"繁"	"简"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"								
"繩"	"绳"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"剩"	"剩"	"zəŋ13"	"zen6"		6	13		"z"	"en"	"z"	"əŋ"			
"剩"	"剩"	"zã13"	"zan6"		6	13		"z"	"an"	"z"	"ã"			
"升"	"升"	"səŋ53"	"sen1"		1	53		"s"	"en"	"s"	"əŋ"			
"勝"	"胜"	"səŋ35"	"sen5"	"常用读音。"	5	35		"s"	"en"	"s"	"əŋ"			
"勝"	"胜"	"səŋ53"	"sen1"		1	53		"s"	"en"	"s"	"əŋ"			
"承"	"承"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"丞"	"丞"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"仍"	"仍"	"ȵiʌŋ22"	"gnieon2"	"【白读】"	2	22		"gn"	"ieon"	"ȵ"	"iʌŋ"			
"仍"	"仍"	"zəŋ22"	"zen2"	"【文读】"	2	22		"z"	"en"	"z"	"əŋ"			
"扔"	"扔"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"應"	"应"	"iʌŋ53"	"ieon1"	"~该。"	1	53			"ieon"		"iʌŋ"			
"應"	"应"	"iʌŋ35"	"ieon5"	"答~。"	5	35			"ieon"		"iʌŋ"			
"鷹"	"鹰"	"iʌŋ53"	"ieon1"		1	53			"ieon"		"iʌŋ"			
"蠅"	"蝇"	"ɦiʌŋ22"	"yeon2"		2	22		"y"	"eon"	"ɦ"	"iʌŋ"			
"孕"	"孕"	"ɦioŋ13"	"yon6"		6	13		"y"	"on"	"ɦ"	"ioŋ"			
"逼"	"逼"	"ɓiɪʔ5"	"piq7"		7	5		"p"	"iq"	"ɓ"	"iɪʔ"			
"力"	"力"	"liɪʔ23"	"liq8"		8	23		"l"	"iq"	"l"	"iɪʔ"			
"即"	"即"	"tsiɪʔ5"	"tsiq7"		7	5		"ts"	"iq"	"ts"	"iɪʔ"			
"鯽"	"鲫"	"tsiɪʔ5"	"tsiq7"		7	5		"ts"	"iq"	"ts"	"iɪʔ"			
"息"	"息"	"siɪʔ5"	"siq7"		7	5		"s"	"iq"	"s"	"iɪʔ"			
"熄"	"熄"	"siɪʔ5"	"siq7"		7	5		"s"	"iq"	"s"	"iɪʔ"			
"直"	"直"	"zʌk23"	"zeoq8"		8	23		"z"	"eoq"	"z"	"ʌk"			
"值"	"值"	"zʌk23"	"zeoq8"		8	23		"z"	"eoq"	"z"	"ʌk"			
"側"	"侧"	"tsʌk5"	"tseoq7"		7	5		"ts"	"eoq"	"ts"	"ʌk"			
"測"	"测"	"tsʰʌk5"	"tsheoq7"		7	5		"tsh"	"eoq"	"tsʰ"	"ʌk"			
"色"	"色"	"sʌk5"	"seoq7"		7	5		"s"	"eoq"	"s"	"ʌk"			
"織"	"织"	"tsʌk5"	"tseoq7"		7	5		"ts"	"eoq"	"ts"	"ʌk"			
"職"	"职"	"tsʌk5"	"tseoq7"		7	5		"ts"	"eoq"	"ts"	"ʌk"			
"食"	"食"	"zʌk23"	"zeoq8"		8	23		"z"	"eoq"	"z"	"ʌk"			
"識"	"识"	"sʌk5"	"seoq7"		7	5		"s"	"eoq"	"s"	"ʌk"			
"式"	"式"	"sʌk5"	"seoq7"		7	5		"s"	"eoq"	"s"	"ʌk"			
"植"	"植"	"zʌk23"	"zeoq8"		8	23		"z"	"eoq"	"z"	"ʌk"			
"殖"	"殖"	"zʌk23"	"zeoq8"		8	23		"z"	"eoq"	"z"	"ʌk"			
"極"	"极"	"dʑiʌk23"	"jieoq8"		8	23		"j"	"ieoq"	"dʑ"	"iʌk"			
"憶"	"忆"	"iʌk5"	"ieoq7"		7	5			"ieoq"		"iʌk"			
"億"	"亿"	"iʌk5"	"ieoq7"		7	5			"ieoq"		"iʌk"			
"弘"	"弘"	"ɦoŋ22"	"ghon2"		2	22		"gh"	"on"	"ɦ"	"oŋ"			
"肱"	"肱"	"koŋ53"	"kon1"		1	53		"k"	"on"	"k"	"oŋ"			
"國"	"国"	"kok5"	"koq7"		7	5		"k"	"oq"	"k"	"ok"			
"或"	"或"	"βʌk23"	"veoq8"		8	23		"v"	"eoq"	"β"	"ʌk"			
"域"	"域"	"ɦiok23"	"yoq8"		8	23		"y"	"oq"	"ɦ"	"iok"			
"彭"	"彭"	"bã22"	"ban2"		2	22		"b"	"an"	"b"	"ã"			
"膨"	"膨"	"bã22"	"ban2"		2	22		"b"	"an"	"b"	"ã"			
"盲"	"盲"	"mã22"	"man2"		2	22		"m"	"an"	"m"	"ã"			
"猛"	"猛"	"mã213"	"man4"		4	213		"m"	"an"	"m"	"ã"			
"孟"	"孟"	"mã13"	"man6"		6	13		"m"	"an"	"m"	"ã"			
"浜"	"浜"	"ɓã53"	"pan1"		1	53		"p"	"an"	"ɓ"	"ã"			
"打"	"打"	"ɗã44"	"tan3"		3	44		"t"	"an"	"ɗ"	"ã"			
"冷"	"冷"	"lã213"	"lan4"		4	213		"l"	"an"	"l"	"ã"			
"撐"	"撑"	"tsʰã53"	"tshan1"		1	53		"tsh"	"an"	"tsʰ"	"ã"			
"生"	"生"	"sã53"	"san1"	"【白读】~熟。"	1	53		"s"	"an"	"s"	"ã"			
"生"	"生"	"səŋ53"	"sen1"	"【文读】~产。"	1	53		"s"	"en"	"s"	"əŋ"			
"甥"	"甥"	"sã53"	"san1"		1	53		"s"	"an"	"s"	"ã"			
"牲"	"牲"	"sã53"	"san1"	"【白读】众~；畜~。"	1	53		"s"	"an"	"s"	"ã"			
"牲"	"牲"	"səŋ53"	"sen1"	"【文读】牺~。"	1	53		"s"	"en"	"s"	"əŋ"			
"省"	"省"	"sã44"	"san3"	"~份；节~。"	3	44		"s"	"an"	"s"	"ã"			
"省"	"省"	"sin44"	"sin3"	"反~。"	3	44		"s"	"in"	"s"	"in"			
"更"	"更"	"kã53"	"kan1"	"【白读】打~；夜半三~。"	1	53		"k"	"an"	"k"	"ã"			
"更"	"更"	"kəŋ53"	"ken1"	"【文读】~改；~正；变~。"	1	53		"k"	"en"	"k"	"əŋ"			
"更"	"更"	"kã35"	"kan5"	"【白读】"	5	35		"k"	"an"	"k"	"ã"			
"更"	"更"	"kəŋ35"	"ken5"	"【文读】~加。"	5	35		"k"	"en"	"k"	"əŋ"			
"羹"	"羹"	"kã53"	"kan1"	"【白读】~饭。"	1	53		"k"	"an"	"k"	"ã"			
"羹"	"羹"	"kəŋ53"	"ken1"	"【文读】"	1	53		"k"	"en"	"k"	"əŋ"			
"庚"	"庚"	"kã53"	"kan1"		1	53		"k"	"an"	"k"	"ã"			
"粳"	"粳"	"kã53"	"kan1"		1	53		"k"	"an"	"k"	"ã"			
"哽"	"哽"	"kã44"	"kan3"		3	44		"k"	"an"	"k"	"ã"			
"梗"	"梗"	"kã44"	"kan3"	"【白读】"	3	44		"k"	"an"	"k"	"ã"			
"梗"	"梗"	"kəŋ44"	"ken3"	"【文读】~概。"	3	44		"k"	"en"	"k"	"əŋ"			
"坑"	"坑"	"kʰã53"	"khan1"	"【白读】~缸；~棚；粪~。"	1	53		"kh"	"an"	"kʰ"	"ã"			
"坑"	"坑"	"kʰəŋ53"	"khen1"	"【文读】"	1	53		"kh"	"en"	"kʰ"	"əŋ"			
"硬"	"硬"	"ŋã13"	"ngan6"		6	13		"ng"	"an"	"ŋ"	"ã"			
"杏"	"杏"	"ɦã213"	"ghan4"		4	213		"gh"	"an"	"ɦ"	"ã"			
"百"	"百"	"ɓɑk5"	"paq7"		7	5		"p"	"aq"	"ɓ"	"ɑk"			
"柏"	"柏"	"ɓɑk5"	"paq7"		7	5		"p"	"aq"	"ɓ"	"ɑk"			
"伯"	"伯"	"ɓɑk5"	"paq7"		7	5		"p"	"aq"	"ɓ"	"ɑk"			
"迫"	"迫"	"pʰɑk5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑk"			
"拍"	"拍"	"pʰɑk5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑk"			
"魄"	"魄"	"pʰɑk5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑk"			
"泊"	"泊"	"pʰɑk5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑk"			
"舶"	"舶"	"pʰɑk5"	"phaq7"		7	5		"ph"	"aq"	"pʰ"	"ɑk"			
"白"	"白"	"bɑk23"	"baq8"		8	23		"b"	"aq"	"b"	"ɑk"			
"帛"	"帛"	"bɑk23"	"baq8"		8	23		"b"	"aq"	"b"	"ɑk"			
"陌"	"陌"	"mɑk23"	"maq8"		8	23		"m"	"aq"	"m"	"ɑk"			
"拆"	"拆"	"tsʰɑk5"	"tshaq7"		7	5		"tsh"	"aq"	"tsʰ"	"ɑk"			
"擇"	"择"	"zʌk23"	"zeoq8"	"【文读】"	8	23		"z"	"eoq"	"z"	"ʌk"			
"澤"	"泽"	"zɑk23"	"zaq8"	"【白读】地名用字，本字为“宅”：崧~，金~，张~，盛~；古代湖泊通名：震~。"	8	23		"z"	"aq"	"z"	"ɑk"			
"澤"	"泽"	"zʌk23"	"zeoq8"	"【文读】沼~。"	8	23		"z"	"eoq"	"z"	"ʌk"			
"宅"	"宅"	"zɑk23"	"zaq8"		8	23		"z"	"aq"	"z"	"ɑk"			
"格"	"格"	"kɑk5"	"kaq7"		7	5		"k"	"aq"	"k"	"ɑk"			
"客"	"客"	"kʰɑk5"	"khaq7"		7	5		"kh"	"aq"	"kʰ"	"ɑk"			
"額"	"额"	"ŋɑk23"	"ngaq8"		8	23		"ng"	"aq"	"ŋ"	"ɑk"			
"嚇"	"吓"	"hɑk5"	"haq7"		7	5		"h"	"aq"	"h"	"ɑk"			
"赫"	"赫"	"hɑk5"	"haq7"	"【白读】"	7	5		"h"	"aq"	"h"	"ɑk"			
"赫"	"赫"	"hʌk5"	"heoq7"	"【文读】"	7	5		"h"	"eoq"	"h"	"ʌk"			
"棚"	"棚"	"bã22"	"ban2"		2	22		"b"	"an"	"b"	"ã"			
"萌"	"萌"	"mã22"	"man2"	"【白读】"	2	22		"m"	"an"	"m"	"ã"			
"萌"	"萌"	"məŋ22"	"men2"	"【文读】"	2	22		"m"	"en"	"m"	"əŋ"			
"爭"	"争"	"tsã53"	"tsan1"	"【白读】"	1	53		"ts"	"an"	"ts"	"ã"			
"爭"	"争"	"tsəŋ53"	"tsen1"	"【文读】~夺；战~；竞~。"	1	53		"ts"	"en"	"ts"	"əŋ"			
"睜"	"睁"	"tsã53"	"tsan1"	"眼睛~开。"	1	53		"ts"	"an"	"ts"	"ã"			
"耕"	"耕"	"kã53"	"kan1"	"【白读】~田。"	1	53		"k"	"an"	"k"	"ã"			
"耕"	"耕"	"kəŋ53"	"ken1"	"【文读】农~。"	1	53		"k"	"en"	"k"	"əŋ"			
"耿"	"耿"	"kã44"	"kan3"	"【白读】姓。"	3	44		"k"	"an"	"k"	"ã"			
"耿"	"耿"	"kəŋ44"	"ken3"	"【文读】~直。"	3	44		"k"	"en"	"k"	"əŋ"			
"莖"	"茎"	"tɕiʌŋ53"	"cieon1"		1	53		"c"	"ieon"	"tɕ"	"iʌŋ"			
"幸"	"幸"	"ɦiʌŋ213"	"yeon4"	"【文读】"	4	213		"y"	"eon"	"ɦ"	"iʌŋ"			
"櫻"	"樱"	"ã53"	"an1"	"【白读】~桃。"	1	53			"an"		"ã"			
"櫻"	"樱"	"iʌŋ53"	"ieon1"	"【文读】~花。"	1	53			"ieon"		"iʌŋ"			
"鶯"	"莺"	"iʌŋ53"	"ieon1"	"【文读】"	1	53			"ieon"		"iʌŋ"			
"麥"	"麦"	"mɑk23"	"maq8"		8	23		"m"	"aq"	"m"	"ɑk"			
"脈"	"脉"	"mɑk23"	"maq8"		8	23		"m"	"aq"	"m"	"ɑk"			
"摘"	"摘"	"tsɑk5"	"tsaq7"		7	5		"ts"	"aq"	"ts"	"ɑk"			
"責"	"责"	"tsʌk5"	"tseoq7"	"【文读】"	7	5		"ts"	"eoq"	"ts"	"ʌk"			
"策"	"策"	"tsʰɑk5"	"tshaq7"		7	5		"tsh"	"aq"	"tsʰ"	"ɑk"			
"冊"	"册"	"tsʰɑk5"	"tshaq7"		7	5		"tsh"	"aq"	"tsʰ"	"ɑk"			
"柵"	"栅"	"sɑk5"	"saq7"		7	5		"s"	"aq"	"s"	"ɑk"			
"柵"	"栅"	"sɛ53"	"sae1"		1	53		"s"	"ae"	"s"	"ɛ"			
"隔"	"隔"	"kɑk5"	"kaq7"		7	5		"k"	"aq"	"k"	"ɑk"			
"革"	"革"	"kɑk5"	"kaq7"	"【白读】~职。调节仪器，转台。"	7	5		"k"	"aq"	"k"	"ɑk"			
"革"	"革"	"kʌk5"	"keoq7"	"【文读】~命。"	7	5		"k"	"eoq"	"k"	"ʌk"			
"兵"	"兵"	"ɓin53"	"pin1"		1	53		"p"	"in"	"ɓ"	"in"			
"丙"	"丙"	"ɓin44"	"pin3"		3	44		"p"	"in"	"ɓ"	"in"			
"柄"	"柄"	"ɓin35"	"pin5"		5	35		"p"	"in"	"ɓ"	"in"			
"平"	"平"	"bin22"	"bin2"		2	22		"b"	"in"	"b"	"in"			
"評"	"评"	"bin22"	"bin2"		2	22		"b"	"in"	"b"	"in"			
"病"	"病"	"bin13"	"bin6"		6	13		"b"	"in"	"b"	"in"			
"明"	"明"	"min22"	"min2"		2	22		"m"	"in"	"m"	"in"			
"明"	"明"	"məŋ22"	"men2"	"~朝（明天）。"	2	22		"m"	"en"	"m"	"əŋ"			
"鳴"	"鸣"	"min53"	"min1"		1	53		"m"	"in"	"m"	"in"			
"盟"	"盟"	"məŋ22"	"men2"		2	22		"m"	"en"	"m"	"əŋ"			
"命"	"命"	"min13"	"min6"		6	13		"m"	"in"	"m"	"in"			
"京"	"京"	"tɕiʌŋ53"	"cieon1"		1	53		"c"	"ieon"	"tɕ"	"iʌŋ"			
"驚"	"惊"	"tɕiʌŋ53"	"cieon1"		1	53		"c"	"ieon"	"tɕ"	"iʌŋ"			
"景"	"景"	"tɕiʌŋ44"	"cieon3"		3	44		"c"	"ieon"	"tɕ"	"iʌŋ"			
"警"	"警"	"tɕiʌŋ44"	"cieon3"		3	44		"c"	"ieon"	"tɕ"	"iʌŋ"			
"境"	"境"	"tɕiʌŋ35"	"cieon5"		5	35		"c"	"ieon"	"tɕ"	"iʌŋ"			
"竟"	"竟"	"tɕiʌŋ35"	"cieon5"		5	35		"c"	"ieon"	"tɕ"	"iʌŋ"			
"鏡"	"镜"	"tɕiʌŋ35"	"cieon5"		5	35		"c"	"ieon"	"tɕ"	"iʌŋ"			
"敬"	"敬"	"tɕiʌŋ35"	"cieon5"		5	35		"c"	"ieon"	"tɕ"	"iʌŋ"			
"卿"	"卿"	"tɕʰiʌŋ53"	"chieon1"		1	53		"ch"	"ieon"	"tɕʰ"	"iʌŋ"			
"慶"	"庆"	"tɕʰiʌŋ35"	"chieon5"		5	35		"ch"	"ieon"	"tɕʰ"	"iʌŋ"			
"競"	"竞"	"dʑiʌŋ13"	"jieon6"		6	13		"j"	"ieon"	"dʑ"	"iʌŋ"			
"迎"	"迎"	"ȵiʌŋ22"	"gnieon2"		2	22		"gn"	"ieon"	"ȵ"	"iʌŋ"			
"英"	"英"	"iʌŋ53"	"ieon1"		1	53			"ieon"		"iʌŋ"			
"影"	"影"	"iʌŋ44"	"ieon3"		3	44			"ieon"		"iʌŋ"			
"碧"	"碧"	"ɓiɪʔ5"	"piq7"		7	5		"p"	"iq"	"ɓ"	"iɪʔ"			
"劇"	"剧"	"dʑiɑk23"	"jiaq8"		8	23		"j"	"iaq"	"dʑ"	"iɑk"			
"屐"	"屐"	"dʑiɑk23"	"jiaq8"		8	23		"j"	"iaq"	"dʑ"	"iɑk"			
"逆"	"逆"	"ȵiʌk23"	"gnieoq8"		8	23		"gn"	"ieoq"	"ȵ"	"iʌk"			
"虩"	"隙"	"ɕiɪʔ5"	"shiq7"		7	5		"sh"	"iq"	"ɕ"	"iɪʔ"			
"餅"	"饼"	"ɓin44"	"pin3"		3	44		"p"	"in"	"ɓ"	"in"			
"併"	"并"	"ɓin35"	"pin5"	"合~；~铁。"	5	35		"p"	"in"	"ɓ"	"in"			
"并"	"并"	"ɓin53"	"pin1"	"~州。"	1	53		"p"	"in"	"ɓ"	"in"			
"聘"	"聘"	"pʰin35"	"phin5"		5	35		"ph"	"in"	"pʰ"	"in"			
"名"	"名"	"min22"	"min2"		2	22		"m"	"in"	"m"	"in"			
"領"	"领"	"lin213"	"lin4"		4	213		"l"	"in"	"l"	"in"			
"嶺"	"岭"	"lin213"	"lin4"		4	213		"l"	"in"	"l"	"in"			
"令"	"令"	"lin13"	"lin6"		6	13		"l"	"in"	"l"	"in"			
"精"	"精"	"tsin53"	"tsin1"		1	53		"ts"	"in"	"ts"	"in"			
"晶"	"晶"	"tsin53"	"tsin1"		1	53		"ts"	"in"	"ts"	"in"			
"睛"	"睛"	"tsin53"	"tsin1"		1	53		"ts"	"in"	"ts"	"in"			
"井"	"井"	"tsin44"	"tsin3"		3	44		"ts"	"in"	"ts"	"in"			
"清"	"清"	"tsʰin53"	"tshin1"		1	53		"tsh"	"in"	"tsʰ"	"in"			
"請"	"请"	"tsʰin44"	"tshin3"		3	44		"tsh"	"in"	"tsʰ"	"in"			
"情"	"情"	"zin22"	"zin2"		2	22		"z"	"in"	"z"	"in"			
"晴"	"晴"	"zin22"	"zin2"		2	22		"z"	"in"	"z"	"in"			
"靜"	"静"	"zin213"	"zin4"		4	213		"z"	"in"	"z"	"in"			
"靖"	"靖"	"zin213"	"zin4"		4	213		"z"	"in"	"z"	"in"			
"淨"	"净"	"zin13"	"zin6"		6	13		"z"	"in"	"z"	"in"			
"性"	"性"	"sin35"	"sin5"		5	35		"s"	"in"	"s"	"in"			
"姓"	"姓"	"sin35"	"sin5"		5	35		"s"	"in"	"s"	"in"			
"貞"	"贞"	"tsəŋ53"	"tsen1"		1	53		"ts"	"en"	"ts"	"əŋ"			
"偵"	"侦"	"tsəŋ53"	"tsen1"		1	53		"ts"	"en"	"ts"	"əŋ"			
"逞"	"逞"	"tsʰəŋ44"	"tshen3"		3	44		"tsh"	"en"	"tsʰ"	"əŋ"			
"騁"	"骋"	"tsʰəŋ44"	"tshen3"		3	44		"tsh"	"en"	"tsʰ"	"əŋ"			
"呈"	"呈"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"程"	"程"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"鄭"	"郑"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"正"	"正"	"tsəŋ53"	"tsen1"	"~月。"	1	53		"ts"	"en"	"ts"	"əŋ"			
"正"	"正"	"tsin53"	"tsin1"	"~仪（江苏昆山地名）。"	1	53		"ts"	"in"	"ts"	"in"			
"正"	"正"	"tsəŋ35"	"tsen5"	"公~。"	5	35		"ts"	"en"	"ts"	"əŋ"			
"徵"	"征"	"tsəŋ53"	"tsen1"		1	53		"ts"	"en"	"ts"	"əŋ"			
"整"	"整"	"tsəŋ44"	"tsen3"		3	44		"ts"	"en"	"ts"	"əŋ"			
"政"	"政"	"tsəŋ35"	"tsen5"		5	35		"ts"	"en"	"ts"	"əŋ"			
"聲"	"声"	"sã53"	"san1"	"【白读】响一~。"	1	53		"s"	"an"	"s"	"ã"			
"聲"	"声"	"səŋ53"	"sen1"	"【文读】~音。"	1	53		"s"	"en"	"s"	"əŋ"			
"聖"	"圣"	"səŋ35"	"sen5"		5	35		"s"	"en"	"s"	"əŋ"			
"成"	"成"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"城"	"城"	"zã22"	"zan2"	"【白读】巴~（江苏昆山地名）；摇~（江苏苏州地名）。"	2	22		"z"	"an"	"z"	"ã"			
"城"	"城"	"zəŋ22"	"zen2"	"【文读】~里；~市。"	2	22		"z"	"en"	"z"	"əŋ"			
"誠"	"诚"	"zəŋ22"	"zen2"		2	22		"z"	"en"	"z"	"əŋ"			
"盛"	"盛"	"zã13"	"zan6"	"【白读】姓。"	6	13		"z"	"an"	"z"	"ã"			
"盛"	"盛"	"zəŋ13"	"zen6"	"【文读】强~；茂~；~大。"	6	13		"z"	"en"	"z"	"əŋ"			
"盛"	"盛"	"zəŋ22"	"zen2"	"~饭。"	2	22		"z"	"en"	"z"	"əŋ"			
"頸"	"颈"	"tɕiʌŋ44"	"cieon3"		3	44		"c"	"ieon"	"tɕ"	"iʌŋ"			
"勁"	"劲"	"tɕiʌŋ35"	"cieon5"		5	35		"c"	"ieon"	"tɕ"	"iʌŋ"			
"輕"	"轻"	"tɕʰiʌŋ53"	"chieon1"		1	53		"ch"	"ieon"	"tɕʰ"	"iʌŋ"			
"嬰"	"婴"	"iʌŋ53"	"ieon1"		1	53			"ieon"		"iʌŋ"			
"盈"	"盈"	"ɦiʌŋ22"	"yeon2"		2	22		"y"	"eon"	"ɦ"	"iʌŋ"			
"贏"	"赢"	"ɦiʌŋ22"	"yeon2"		2	22		"y"	"eon"	"ɦ"	"iʌŋ"			
"璧"	"璧"	"ɓiɪʔ5"	"piq7"		7	5		"p"	"iq"	"ɓ"	"iɪʔ"			
"僻"	"僻"	"pʰiɪʔ5"	"phiq7"		7	5		"ph"	"iq"	"pʰ"	"iɪʔ"			
"闢"	"辟"	"pʰiɪʔ5"	"phiq7"		7	5		"ph"	"iq"	"pʰ"	"iɪʔ"			
"積"	"积"	"tsiɪʔ5"	"tsiq7"		7	5		"ts"	"iq"	"ts"	"iɪʔ"			
"跡"	"迹"	"tsiɪʔ5"	"tsiq7"		7	5		"ts"	"iq"	"ts"	"iɪʔ"			
"脊"	"脊"	"tsiɪʔ5"	"tsiq7"		7	5		"ts"	"iq"	"ts"	"iɪʔ"			
"惜"	"惜"	"siɪʔ5"	"siq7"		7	5		"s"	"iq"	"s"	"iɪʔ"			
"昔"	"昔"	"siɪʔ5"	"siq7"		7	5		"s"	"iq"	"s"	"iɪʔ"			
"夕"	"夕"	"ziɪʔ23"	"ziq8"		8	23		"z"	"iq"	"z"	"iɪʔ"			
"席"	"席"	"ziɪʔ23"	"ziq8"		8	23		"z"	"iq"	"z"	"iɪʔ"			
"尺"	"尺"	"tsʰɑk5"	"tshaq7"		7	5		"tsh"	"aq"	"tsʰ"	"ɑk"			
"赤"	"赤"	"tsʰɑk5"	"tshaq7"		7	5		"tsh"	"aq"	"tsʰ"	"ɑk"			
"適"	"适"	"sʌk5"	"seoq7"		7	5		"s"	"eoq"	"s"	"ʌk"			
"釋"	"释"	"sʌk5"	"seoq7"		7	5		"s"	"eoq"	"s"	"ʌk"			
"碩"	"硕"	"zɑk23"	"zaq8"		8	23		"z"	"aq"	"z"	"ɑk"			
"碩"	"硕"	"zəʔ23"	"zeq8"	"~望桥（江苏无锡地名，本名“十房桥”）。"	8	23		"z"	"eq"	"z"	"əʔ"			
"石"	"石"	"zɑk23"	"zaq8"		8	23		"z"	"aq"	"z"	"ɑk"			
"石"	"石"	"ɗɛ35"	"tae5"	"容积单位。"	5	35		"t"	"ae"	"ɗ"	"ɛ"			
"擲"	"掷"	"zɑk23"	"zaq8"		8	23		"z"	"aq"	"z"	"ɑk"			
"益"	"益"	"iʌk5"	"ieoq7"		7	5			"ieoq"		"iʌk"			
"譯"	"译"	"ɦiʌk23"	"yeoq8"		8	23		"y"	"eoq"	"ɦ"	"iʌk"			
"易"	"易"	"ɦiʌk23"	"yeoq8"	"交~。"	8	23		"y"	"eoq"	"ɦ"	"iʌk"			
"液"	"液"	"ɦiʌk23"	"yeoq8"		8	23		"y"	"eoq"	"ɦ"	"iʌk"			
"拼"	"拼"	"pʰin53"	"phin1"		1	53		"ph"	"in"	"pʰ"	"in"			
"姘"	"姘"	"pʰin53"	"phin1"		1	53		"ph"	"in"	"pʰ"	"in"			
"瓶"	"瓶"	"bin22"	"bin2"		2	22		"b"	"in"	"b"	"in"			
"萍"	"萍"	"bin22"	"bin2"		2	22		"b"	"in"	"b"	"in"			
"並"	"并"	"bin213"	"bin4"	"~且；~列；~排。"	4	213		"b"	"in"	"b"	"in"			
"銘"	"铭"	"min22"	"min2"		2	22		"m"	"in"	"m"	"in"			
"丁"	"丁"	"ɗin53"	"tin1"		1	53		"t"	"in"	"ɗ"	"in"			
"釘"	"钉"	"ɗin53"	"tin1"		1	53		"t"	"in"	"ɗ"	"in"			
"頂"	"顶"	"ɗin44"	"tin3"		3	44		"t"	"in"	"ɗ"	"in"			
"訂"	"订"	"ɗin35"	"tin5"		5	35		"t"	"in"	"ɗ"	"in"			
"聽"	"听"	"tʰin53"	"thin1"		1	53		"th"	"in"	"tʰ"	"in"			
"廳"	"厅"	"tʰin53"	"thin1"		1	53		"th"	"in"	"tʰ"	"in"			
"亭"	"亭"	"din22"	"din2"		2	22		"d"	"in"	"d"	"in"			
"停"	"停"	"din22"	"din2"		2	22		"d"	"in"	"d"	"in"			
"庭"	"庭"	"din22"	"din2"		2	22		"d"	"in"	"d"	"in"			
"艇"	"艇"	"tʰin44"	"thin3"		3	44		"th"	"in"	"tʰ"	"in"			
"挺"	"挺"	"tʰin44"	"thin3"		3	44		"th"	"in"	"tʰ"	"in"			
"定"	"定"	"din13"	"din6"		6	13		"d"	"in"	"d"	"in"			
"寧"	"宁"	"ȵin22"	"gnin2"		2	22		"gn"	"in"	"ȵ"	"in"			
"靈"	"灵"	"lin22"	"lin2"		2	22		"l"	"in"	"l"	"in"			
"鈴"	"铃"	"lin22"	"lin2"		2	22		"l"	"in"	"l"	"in"			
"零"	"零"	"lin22"	"lin2"		2	22		"l"	"in"	"l"	"in"			
"另"	"另"	"lin13"	"lin6"		6	13		"l"	"in"	"l"	"in"			
"拎"	"拎"	"lin53"	"lin1"		1	53		"l"	"in"	"l"	"in"			
"青"	"青"	"tsʰin53"	"tshin1"		1	53		"tsh"	"in"	"tsʰ"	"in"			
"星"	"星"	"sin53"	"sin1"		1	53		"s"	"in"	"s"	"in"			
"猩"	"猩"	"sin53"	"sin1"		1	53		"s"	"in"	"s"	"in"			
"腥"	"腥"	"sin53"	"sin1"		1	53		"s"	"in"	"s"	"in"			
"醒"	"醒"	"sin44"	"sin3"		3	44		"s"	"in"	"s"	"in"			
"經"	"经"	"tɕiʌŋ53"	"cieon1"		1	53		"c"	"ieon"	"tɕ"	"iʌŋ"			
"形"	"形"	"ɦiʌŋ22"	"yeon2"		2	22		"y"	"eon"	"ɦ"	"iʌŋ"			
"刑"	"刑"	"ɦiʌŋ22"	"yeon2"		2	22		"y"	"eon"	"ɦ"	"iʌŋ"			
"型"	"型"	"ɦiʌŋ22"	"yeon2"		2	22		"y"	"eon"	"ɦ"	"iʌŋ"			
"壁"	"壁"	"ɓiɪʔ5"	"piq7"		7	5		"p"	"iq"	"ɓ"	"iɪʔ"			
"劈"	"劈"	"pʰiɪʔ5"	"phiq7"		7	5		"ph"	"iq"	"pʰ"	"iɪʔ"			
"覓"	"觅"	"miɪʔ23"	"miq8"		8	23		"m"	"iq"	"m"	"iɪʔ"			
"滴"	"滴"	"ɗiɪʔ5"	"tiq7"		7	5		"t"	"iq"	"ɗ"	"iɪʔ"			
"的"	"的"	"ɗiɪʔ5"	"tiq7"		7	5		"t"	"iq"	"ɗ"	"iɪʔ"			
"踢"	"踢"	"tʰiɪʔ5"	"thiq7"		7	5		"th"	"iq"	"tʰ"	"iɪʔ"			
"剔"	"剔"	"tʰiɪʔ5"	"thiq7"		7	5		"th"	"iq"	"tʰ"	"iɪʔ"			
"敵"	"敌"	"diɪʔ23"	"diq8"		8	23		"d"	"iq"	"d"	"iɪʔ"			
