			中山石岐話			南蓢白話			珠海唐家話												
	魔		m	ɔ	55	m	ɔ	45	m	ɔ	55										
	磨		m	ɔ	51	m	ɔ	51	m	ɔ	51	磨刀									
	磨		m	ɔ	33	m	ɔ	33	m	ɔ	22	石磨									
	坡		p	ɔ	55	p	ɔ	45	p	ɔ	55										
	頗		pʰ	ɔ	213	pʰ	ɔ	21	pʰ	ɔ	21										
	玻		p	ɔ	55	p	ɔ	45	p	ɔ	55										
	伽		k	a	55	k	a	45	k	a	55	瑜伽									
	伽		kʰ	ɛ	51	kʰ	ia	51	kʰ	ɛ	51	伽藍									
	茄		k	a	55	k	a	45	k	a	55	雪茄									
	茄		kʰ	œ	51	kʰ	iɔ	51	kʰ	œ	51	茄瓜									
	枷		k	a	55	k	a	45	k	a	55										
	朵		t	ɔ	213	t	ɔ	21	t	ɔ	21										
	朵		t	œ	213																
	妥		tʰ	ɔ	213	tʰ	ɔ	21	tʰ	ɔ	21										
	橢		tʰ	ɔ	213	tʰ	ɔ	21	tʰ	ɔ	21										
	惰		t	ɔ	33	t	ɔ	33	t	ɔ	22										
	舵		tʰ	ai	213	tʰ	ai	21	tʰ	ai	21	白讀									
	舵		tʰ	ɔ	51	tʰ	ɔ	51	tʰ	ɔ	51	文讀									
	娜		n	ɔ	51	n	ɔ	51	n	ɔ	51										
	娜		n	ɔ	213	n	ɔ	21	n	ɔ	21	婀娜									
	裸		l	ɔ	213	l	ɔ	21	l	ɔ	21										
	左		ts	ɔ	213	ts	ɔ	21	ts	ɔ	21										
	坐		ts	ɔ	33	ts	ɔ	33	ts	ɔ	22	文讀									
	坐		tsʰ	ɔ	213	tsʰ	ɔ	21	tsʰ	ɔ	21	白讀									
	瑣		s	ɔ	213	s	ɔ	21	s	ɔ	21										
	鎖		s	ɔ	213	s	ɔ	21	s	ɔ	21										
	粿		k	ɔ	213	kʷ	ɔ	21	k	ɔ	21										
	裹		k	œ	213	k	iɔ	21	k	œ	21	白，裹粽									
	裹		k	ɔ	213	kʷ	ɔ	21	k	ɔ	21										
	果		k	ɔ	213	kʷ	ɔ	21	k	ɔ	21										
	可		kʰ	ɔ	213	kʰ	ɔ	21	kʰ	ɔ	21										
	可		kʰ	ɐk	5	kʰ	ɐk	5	kʰ	ɐk	5	可汗									
	坷		kʰ	ɔ	213	kʰ	ɔ	21	kʰ	ɔ	21										
	顆		l	ɔ	213	l	ɔ	21	l	ɔ	21										
	我		ŋ	ɔ	213	ŋ	ɔ	21	ŋ	ɔ	21										
	火		f	ɔ	213	f	ɔ	21	f	ɔ	21										
	禍		w	ɔ	33	w	ɔ	33	w	ɔ	22										
	跛																				
	跛		p	ɐi	55	p	ɐi	45	p	ɐi	55	跛咗									
	簸		p	ɔ	33	p	ɔ	33	p	ɔ	22										
	爸		p	a	55	p	a	45	p	a	55										
	麼		m	ɔ	55	m	ɔ	45	m	ɔ	55										
	拖		tʰ	ɔ	55	tʰ	ɔ	45	tʰ	ɔ	55										
	唾		tʰ	ɔ	33	tʰ	ɔ	33	tʰ	ɔ	22										
	邏		l	ɔ	51	l	ɔ	51	l	ɔ	51										
	挫		tsʰ	ɔ	33	tsʰ	ɔ	33	tsʰ	ɔ	22										
	佐		ts	ɔ	213	ts	ɔ	21	ts	ɔ	21										
	座		ts	ɔ	33	ts	ɔ	33	ts	ɔ	22										
	個		k	ɔ	33	k	ɔ	33	k	ɔ	22										
	餓		ŋ	ɔ	33	ŋ	ɔ	33	ŋ	ɔ	22										
	臥		ŋ	ɔ	33	ŋ	ɔ	33	ŋ	ɔ	22										
	貨		f	ɔ	33	f	ɔ	33	f	ɔ	22										
	賀		h	ɔ	33	h	ɔ	33	h	ɔ	22										
	播		p	ɔ	33	p	ɔ	33	p	ɔ	22										
	縛		p	ɔk	3	p	ɔk	2	p	ɔk	5										
	縛		f	ɔk	3																
	破		pʰ	ɔ	33	pʰ	ɔ	33	pʰ	ɔ	22										
	些		s	ɛ	55	s	ia	45	s	ɛ	55										
	爹		t	ɛ	55	t	ia	45	t	ɛ	55										
	茶		tsʰ	a	51	tsʰ	a	51	tsʰ	a	51										
	渣		ts	a	55	ts	a	45	ts	a	55										
	槎		tsʰ	a	51	tsʰ	a	51	tsʰ	a	51										
	鯊		s	a	55	s	a	45	s	a	55										
	砂		s	a	55	s	a	45	s	a	55										
	紗		s	a	55	s	a	45	s	a	55										
	沙		s	a	55	s	a	45	s	a	55										
	遮		ts	ɛ	55	ts	ia	45	ts	ɛ	55										
	奢		tsʰ	ɛ	55	tsʰ	ia	45	tsʰ	ɛ	55										
	若		j	ɔk	3	j	ɔk	2	j	œk	2	假若									
	若		j	a	213	j	a	21	j	ɛ	21	般若									
	加		k	a	55	k	a	45	k	a	55										
	瓜		kʷ	a	55	kʷ	a	45	k	a	55										
	嘉		k	a	55	k	a	45	k	a	55										
	家		k	a	55	k	a	45	k	a	55										
	家																				
	跨		kʷʰ	a	55	kʷʰ	a	45	kʰ	a	55										
	夸		kʷʰ	a	55	kʷʰ	a	45	kʰ	a	55										
	誇		kʷʰ	a	55	kʷʰ	a	45	kʰ	a	55										
	芽		ŋ	a	51	ŋ	a	51	ŋ	a	51										
	呀			a	55		a	45		a	55										
	牙		ŋ	a	51	ŋ	a	51	ŋ	a	51										
	枒																				
	譁		w	a	55	w	a	45	w	a	55										
	花		f	a	55	f	a	45	f	a	55										
	遐		h	a	51	h	a	51	h	a	51										
	樺		w	a	51	w	a	51	w	a	51										
	划		w	a	55	w	a	45	w	a	55	划船									
	瑕		h	a	51	h	a	51	h	a	51										
	蝦		h	a	55	h	a	45	h	a	55										
	霞		h	a	51	h	a	51	h	a	51										
	華		w	a	51	w	a	51	w	a	51	中華									
	華		w	a	33	w	a	33	w	a	22	華山									
	鴉			a	55		a	45		a	55										
	椏			a	55		a	45		a	55										
	窪		w	a	55	w	a	45	w	a	55										
	丫			a	55		a	45		a	55										
	斜		tsʰ	ɛ	51	tsʰ	ia	51	tsʰ	ɛ	51										
	斜		tsʰ	œ	33	tsʰ	iɔ	33	tsʰ	œ	22										
	椰		j	a	51	j	a	51	j	ɛ	51										
	邪		tsʰ	ɛ	51	tsʰ	ia	51	tsʰ	ɛ	51										
	耶		j	a	51	j	a	51	j	ɛ	51										
	巴		p	a	55	p	a	45	p	a	55										
	笆		p	a	55	p	a	45	p	a	55										
	芭		p	a	55	p	a	45	p	a	55										
	杷																				
	琶		pʰ	a	51	pʰ	a	51	pʰ	a	51										
	爬		pʰ	a	51	pʰ	a	51	pʰ	a	51										
	麻		m	a	51	m	a	51	m	a	51										
	蟆		m	a	51	m	a	51	m	a	51										
	痲																				
	吧		p	a	55	p	a	45	p	a	55										
	吧																				
	姐		ts	ɛ	213	ts	ia	21	ts	ɛ	21										
	瀉		s	ɛ	33	s	ia	33	s	ɛ	22										
	寫		s	ɛ	213	s	ia	21	s	ɛ	21										
	奼																				
	傻		s	ɔ	51	s	ɔ	51	s	ɔ	51										
	者		ts	ɛ	213	ts	ia	21	ts	ɛ	21										
	社		s	ɛ	213	s	ia	21	s	ɛ	21										
	捨		s	ɛ	213	s	ia	21	s	ɛ	21										
	舍		s	ɛ	33	s	ia	33	s	ɛ	22	宿舍									
	舍		s	ɛ	213	s	ia	21	s	ɛ	21	舍生取義									
	惹		j	a	213	j	a	21	j	ɛ	21										
	寡		kʷ	a	213	kʷ	a	21	k	a	21										
	假		k	a	213	k	a	21	k	a	21	假如									
	假		k	a	33	k	a	33	k	a	22	放假									
	雅		ŋ	a	213	ŋ	a	21	ŋ	a	21										
	瓦		ŋ	a	213	ŋ	a	21	ŋ	a	21										
	踝																				
	夏		h	a	33	h	a	33	h	a	22										
	廈		h	a	33	h	a	33	h	a	22										
	下		h	a	33	h	a	33	h	a	22	下面									
	下		h	a	213	h	a	21	h	a	21	打一下									
	啞			a	213		a	21		a	21										
	冶		j	a	213	j	a	21	j	ɛ	21										
	也		j	a	213	j	a	21	j	ɛ	21										
	把		p	a	213	p	a	21	p	a	21										
	罵		m	a	33	m	a	33	m	a	22										
	碼		m	a	213	m	a	21	m	a	21										
	馬		m	a	213	m	a	21	m	a	21										
	借		ts	ɛ	33	ts	ia	33	ts	ɛ	22										
	藉		ts	ɪk	3	ts	ɐk	2	ts	ɐk	2										
	卸		s	ɛ	33	s	ia	33	s	ɛ	22										
	榭		ts	ɛ	33	ts	ia	33	ts	ɛ	22										
	謝		ts	ɛ	33	ts	ia	33	ts	ɛ	22										
	吒		ts	a	55	ts	a	45	ts	a	55	哪吒									
	吒		tsʰ	ak	5	tsʰ	ak	5	tsʰ	ak	5	叱吒									
	詫		tsʰ	a	33	tsʰ	a	33	tsʰ	a	22										
	詐		ts	a	33	ts	a	33	ts	a	22										
	榨		ts	a	33	ts	a	33	ts	a	22										
	乍		ts	a	33	ts	a	33	ts	a	22										
	蔗		ts	ɛ	33	ts	ia	33	ts	ɛ	22										
	炙		ts	iak	3	ts	iak	2	ts	ɛk	2	白讀									
	炙		ts	ɪk	3	ts	ɐk	2	ts	ɐk	5	文讀									
	斥		tsʰ	ɪk	5	tsʰ	ɐk	5	tsʰ	ɐk	5										
	赦		s	ɛ	33	s	ia	33	s	ɛ	22										
	價		k	a	33	k	a	33	k	a	22										
	嫁		k	a	33	k	a	33	k	a	22										
	駕		k	a	33	k	a	33	k	a	22										
	架		kʰ	a	33	kʰ	a	33	kʰ	a	22										
	訝		ŋ	a	33	ŋ	a	33	ŋ	a	22										
	嚇		h	ak	3	h	ak	2	h	ak	5										
	唬		h	u	213	h	u	21	h	u	21										
	化		f	a	33	f	a	33	f	a	22										
	暇		h	a	33	h	a	33	h	a	22										
	亞			a	33		a	33		a	22										
	夜		j	a	33	j	a	33	j	ɛ	22										
	射		s	ɛ	33	s	ia	33	s	ɛ	22										
	射																				
	射																				
	霸		p	a	33	p	a	33	p	a	22										
	靶		p	a	213	p	a	21	p	a	21										
	怕		pʰ	a	33	pʰ	a	33	pʰ	a	22										
	檔		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22										
	當		t	ɔŋ	55	t	ɔŋ	45	t	ɔŋ	55	當然									
	當		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22	適當									
	鐺		t	ɔŋ	55	t	ɔŋ	45	t	ɔŋ	55	鐺鐺									
	鐺		tsʰ	aŋ	55	tsʰ	aŋ	45	tsʰ	aŋ	55	瓦鐺									
	盪		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22										
	糖		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51										
	棠		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51										
	塘		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51										
	唐		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51										
	螳		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51										
	堂		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51										
	囊		n	ɔŋ	51	n	ɔŋ	51	n	ɔŋ	51										
	瑯		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51										
	琅		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51										
	榔		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51										
	郎		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51										
	浪		l	ɔŋ	33	l	ɔŋ	33	l	ɔŋ	22	波浪									
	浪		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51	滄浪									
	廊		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51										
	狼		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51										
	贓		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55										
	滄		tsʰ	ɔŋ	55	tsʰ	ɔŋ	45	tsʰ	ɔŋ	55										
	蒼		tsʰ	ɔŋ	55	tsʰ	ɔŋ	45	tsʰ	ɔŋ	55										
	倉		tsʰ	ɔŋ	55	tsʰ	ɔŋ	45	tsʰ	ɔŋ	55										
	藏		tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	收藏									
	藏		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22	寶藏									
	桑		s	ɔŋ	55	s	ɔŋ	45	s	ɔŋ	55										
	喪		s	ɔŋ	55	s	ɔŋ	45	s	ɔŋ	55	喪事									
	喪		s	ɔŋ	33	s	ɔŋ	33	s	ɔŋ	22	喪失									
	亢		kʰ	ɔŋ	55	kʰ	ɔŋ	45	kʰ	ɔŋ	55	人的喉嚨									
	亢		kʰ	ɔŋ	33	kʰ	ɔŋ	33	kʰ	ɔŋ	22	高亢									
	剛		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55										
	胱		k	ɔŋ	55	kʷ	ɔŋ	45	k	ɔŋ	55										
	崗		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55										
	光		k	ɔŋ	55	kʷ	ɔŋ	45	k	ɔŋ	55										
	恍		f	ɔŋ	213	f	ɔŋ	21	f	ɔŋ	21										
	岡		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55										
	橫		w	aŋ	51	w	aŋ	51													
	綱		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55										
	鋼		k	ɔŋ	33	k	ɔŋ	33	k	ɔŋ	22										
	康		h	ɔŋ	55	h	ɔŋ	45	h	ɔŋ	55										
	昂		ŋ	ɔŋ	51	ŋ	ɔŋ	51	ŋ	ɔŋ	51										
	炕		kʰ	ɔŋ	33	kʰ	ɔŋ	33	kʰ	ɔŋ	22										
	荒		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55										
	杭		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51										
	凰		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51										
	航		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51										
	惶		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51										
	徨		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51										
	簧		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51										
	行		h	ɐŋ	51	h	ɐŋ	51	h	ɐŋ	51	步行									
	行		h	aŋ	51	h	aŋ	51	h	aŋ	51	行路									
	行		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51	銀行									
	行		h	ɐŋ	33	h	ɐŋ	33	h	ɐŋ	22	品行									
	抗		kʰ	ɔŋ	33	kʰ	ɔŋ	33	kʰ	ɔŋ	22										
	吭		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51										
	潢		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51										
	皇		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51										
	黃		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51										
	煌		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51										
	汪		w	ɔŋ	55	w	ɔŋ	45	w	ɔŋ	55										
	幫		p	ɔŋ	55	p	ɔŋ	45	p	ɔŋ	55										
	膀		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	膀胱									
	膀		p	ɔŋ	213	p	ɔŋ	21	p	ɔŋ	21	肩膀									
	旁		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51										
	彷		f	ɔŋ	213	f	ɔŋ	21	f	ɔŋ	21	仿佛									
	彷		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	彷徨									
	螃		p	ɔŋ	213	p	ɔŋ	21	p	ɔŋ	21										
	傍		p	ɔŋ	33	p	ɔŋ	33	p	ɔŋ	22	依山傍水									
	傍		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	傍晚									
	忙		m	ɔŋ	51	m	ɔŋ	51	m	ɔŋ	51										
	茫		m	ɔŋ	51	m	ɔŋ	51	m	ɔŋ	51										
	茫		m	ɔŋ	55																
	磅		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	磅礴									
	磅		p	ɔŋ	33	p	ɔŋ	33	p	ɔŋ	22	一磅									
	滂		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51										
	黨		t	ɔŋ	213	t	ɔŋ	21	t	ɔŋ	21										
	蕩		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22										
	朗		l	ɔŋ	213	l	ɔŋ	21	l	ɔŋ	21										
	髒		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55										
	奘		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22										
	廣		k	ɔŋ	213	kʷ	ɔŋ	21	k	ɔŋ	21										
	慷		kʰ	ɔŋ	213	kʰ	ɔŋ	21	kʰ	ɔŋ	21										
	慌		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55										
	骯			ɔŋ	55		ɔŋ	45		ɔŋ	55										
	骯		kʰ	ɔŋ	33	kʰ	ɔŋ	33	kʰ	ɔŋ	22										
	晃		f	ɔŋ	213	f	ɔŋ	21	f	ɔŋ	21										
	映		j	ɪŋ	213	j	ɐŋ	21	j	ɐŋ	21										
	映			ɪŋ	213																
	盎			ɔŋ	213		ɔŋ	21		ɔŋ	21										
	蟒		m	ɔŋ	213	m	ɔŋ	21	m	ɔŋ	21										
	擋		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22	摒擋									
	擋		t	ɔŋ	213	t	ɔŋ	21	t	ɔŋ	21	阻擋									
	宕		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22										
	葬		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22										
	曠		kʰ	ɔŋ	33	kʷʰ	ɔŋ	33	kʰ	ɔŋ	22										
	擴		kʰ	ɔk	3	kʷʰ	ɔk	2	kʰ	ɔk	5										
	擴		kʰ	ɔŋ	33	kʷʰ	ɔŋ	33													
	徬		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51										
	魄		pʰ	ak	3	pʰ	ak	2	pʰ	ak	5										
	魄																				
	魄																				
	託		tʰ	ɔk	3	tʰ	ɔk	2	tʰ	ɔk	5										
	拓		tʰ	ɔk	3	tʰ	ɔk	2	tʰ	ɔk	5	開拓									
	拓		tʰ	ap	3	tʰ	ap	2	tʰ	ap	5	拓本									
	踱		t	ɔk	3	t	ɔk	2	t	ɔk	2										
	諾		n	ɔk	3	n	ɔk	2	n	ɔk	2										
	酪		l	ɔk	3	l	ɔk	2	l	ɔk	5										
	酪																				
	洛		l	ɔk	3	l	ɔk	2	l	ɔk	5										
	烙		l	ɔk	3	l	ɔk	2	l	ɔk	5										
	絡		l	ɔk	3	l	ɔk	2	l	ɔk	5										
	落		l	ɔk	3	l	ɔk	2	l	ɔk	2										
	落																				
	駱		l	ɔk	3	l	ɔk	2	l	ɔk	5										
	昨		ts	ɔk	3	ts	ɔk	2	ts	ɔk	2										
	昨		ts	œk	3							昨日									
	索		s	ɔk	3	s	ɔk	2	s	ɔk	5										
	格		k	ak	3	k	ak	2	k	ak	5										
	閣		k	ɔk	3	k	ɔk	2	k	ɔk	5										
	胳		k	ak	3	k	ak	2	k	ak	5										
	各		k	ɔk	3	k	ɔk	2	k	ɔk	5										
	郭		k	ɔk	3	kʷ	ɔk	2	k	ɔk	5										
	廓		k	ɔk	3	kʷ	ɔk	2	k	ɔk	5										
	噩		ŋ	ɔk	3	ŋ	ɔk	2	ŋ	ɔk	2										
	愕		ŋ	ɔk	3	ŋ	ɔk	2	ŋ	ɔk	2										
	顎		ŋ	ɔk	3	ŋ	ɔk	2	ŋ	ɔk	2										
	壑		kʰ	ɔk	3	kʰ	ɔk	2	kʰ	ɔk	5										
	霍		kʰ	ɔk	3	kʷʰ	ɔk	2	kʰ	ɔk	5										
	郝		kʰ	ɔk	3	kʰ	ɔk	2	kʰ	ɔk	5										
	穫		w	ɔk	3	w	ɔk	2	w	ɔk	2										
	涸		kʰ	ɔk	3	kʰ	ɔk	2	kʰ	ɔk	5										
	鶴		h	ɔk	3	h	ɔk	2	h	ɔk	2										
	堊			ɔk	3		ɔk	2		ɔk	5										
	博		p	ɔk	3	p	ɔk	2	p	ɔk	5										
	薄		p	ɔk	3	p	ɔk	2	p	ɔk	2										
	泊		p	ɔk	3	p	ɔk	2	p	ɔk	2										
	泊		pʰ	ak	3	pʰ	ak	2	pʰ	ak	5	梁山泊									
	箔		p	ɔk	3	p	ɔk	2	p	ɔk	2										
	礴		p	ɔk	3	p	ɔk	2	p	ɔk	2										
	莫		m	ɔk	3	m	ɔk	2	m	ɔk	2										
	寞		m	ɔk	3	m	ɔk	2	m	ɔk	2										
	漠		m	ɔk	3	m	ɔk	2	m	ɔk	2										
	幕		m	ɔk	3	m	ɔk	2	m	ɔk	2										
	粕		pʰ	ɔk	3	pʰ	ɔk	2	pʰ	ɔk	5										
	膊		p	ɔk	3	p	ɔk	2	p	ɔk	5										
	娘		n	œŋ	51	n	iɔŋ	51	n	œŋ	51										
	糧		l	œŋ	51	l	iɔŋ	51	l	œŋ	51										
	量		l	œŋ	51	l	iɔŋ	51	l	œŋ	51	測量									
	量		l	œŋ	33	l	iɔŋ	33	l	œŋ	22	重量									
	蜋																				
	粱		l	œŋ	51	l	iɔŋ	51	l	œŋ	51										
	良		l	œŋ	51	l	iɔŋ	51	l	œŋ	51										
	涼		l	œŋ	51	l	iɔŋ	51	l	œŋ	51										
	梁		l	œŋ	51	l	iɔŋ	51	l	œŋ	51										
	蔣		ts	œŋ	213	ts	iɔŋ	21	ts	œŋ	21										
	將		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	將來									
	將		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	將領									
	漿		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55										
	搶		tsʰ	œŋ	213	tsʰ	iɔŋ	21	tsʰ	œŋ	21										
	搶																				
	鏘		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55										
	槍		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55										
	牆		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51										
	薔		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51										
	襄		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	湘		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	相		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	互相									
	相		s	œŋ	33	s	iɔŋ	33	s	œŋ	22	相貌									
	廂		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	箱		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	翔		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51										
	祥		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51										
	庠																				
	張		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55										
	漲		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22										
	長		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	長久									
	長		ts	œŋ	213	ts	iɔŋ	21	ts	œŋ	21	長大									
	腸		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51										
	場		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51										
	妝		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55										
	莊		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55										
	裝		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55										
	創																				
	創		tsʰ	ɔŋ	33	tsʰ	ɔŋ	33	tsʰ	ɔŋ	22										
	瘡		tsʰ	ɔŋ	55	tsʰ	ɔŋ	45	tsʰ	ɔŋ	55										
	床		tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	tsʰ	ɔŋ	51										
	霜		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	障		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22										
	璋		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55										
	樟		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55										
	章		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55										
	漳		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55										
	彰		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55										
	猖		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55										
	倡		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55										
	倡																				
	昌		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55										
	菖		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55										
	嘗		s	œŋ	51	s	iɔŋ	51	s	œŋ	51										
	常		s	œŋ	51	s	iɔŋ	51	s	œŋ	51										
	償		s	œŋ	51	s	iɔŋ	51	s	œŋ	51										
	徜		s	œŋ	51	s	iɔŋ	51	s	œŋ	51										
	尚		s	œŋ	33	s	iɔŋ	33	s	œŋ	22										
	裳		s	œŋ	51	s	iɔŋ	51	s	œŋ	51										
	商		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	傷		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	湯		tʰ	ɔŋ	55	tʰ	ɔŋ	45	tʰ	ɔŋ	55										
	攘		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	攘除									
	攘		j	ɔŋ	213	j	ɔŋ	21	j	œŋ	21	擾攘									
	鑲		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	疆		k	œŋ	55	k	iɔŋ	45	k	œŋ	55										
	薑		k	œŋ	55	k	iɔŋ	45	k	œŋ	55										
	韁		k	œŋ	55	k	iɔŋ	45	k	œŋ	55										
	僵		k	œŋ	55	k	iɔŋ	45	k	œŋ	55										
	姜		k	œŋ	55	k	iɔŋ	45	k	œŋ	55										
	框		kʷʰ	aŋ	55	kʷʰ	aŋ	45	kʰ	aŋ	55										
	筐		h	ɔŋ	55	h	ɔŋ	45	h	ɔŋ	55										
	羌		k	œŋ	55	k	iɔŋ	45	kʰ	œŋ	55										
	眶		h	ɔŋ	55	h	ɔŋ	45	h	ɔŋ	55										
	鄉		h	œŋ	55	h	iɔŋ	45	h	œŋ	55										
	香		h	œŋ	55	h	iɔŋ	45	h	œŋ	55										
	鴦		j	ɔŋ	55	j	ɔŋ	45	j	œŋ	55										
	央		j	ɔŋ	55	j	ɔŋ	45	j	œŋ	55										
	殃		j	ɔŋ	55	j	ɔŋ	45	j	œŋ	55										
	秧		j	ɔŋ	55	j	ɔŋ	45	j	œŋ	55										
	王		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	國王									
	王		w	ɔŋ	33	w	ɔŋ	33	w	ɔŋ	22	王天下									
	揚		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51										
	詳		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51										
	洋		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51										
	羊		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51										
	陽		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51										
	烊		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51										
	徉		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51										
	楊		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51										
	瘍		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51										
	肪		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55										
