繁	簡	IPA	IPA無調	拼音	調值	解釋													
頂	顶	tiŋ⁵¹	tiŋ	tin3	51														
𩠑	顶	tiŋ⁵¹	tiŋ	tin3	51	同頂													
鼎	鼎	tiŋ⁵¹	tiŋ	tin3	51														
酊	酊	tiŋ⁵¹	tiŋ	tin3	51	酩~													
釘	钉	tiŋ³²⁴	tiŋ	tin5	324	動詞													
訂	订	tiŋ³²⁴	tiŋ	tin5	324														
碇	碇	tiŋ³²⁴	tiŋ	tin5	324														
矴	矴	tiŋ³²⁴	tiŋ	tin5	324	同碇													
澄	澄	tiŋ³²⁴	tiŋ	tin5	324	沈澱：~清													
聽	听	tʰiŋ⁴⁴	tʰiŋ	thin1	44	一~啤酒													
聽	听	tʰiŋ⁴⁴	tʰiŋ	thin1	44	聞，嗅													
廳	厅	tʰiŋ⁴⁴	tʰiŋ	thin1	44														
汀	汀	tʰiŋ⁴⁴	tʰiŋ	thin1	44														
挺	挺	tʰiŋ⁵¹	tʰiŋ	thin3	51														
艇	艇	tʰiŋ⁵¹	tʰiŋ	thin3	51														
𨁗	𨁗	tʰiŋ⁵¹	tʰiŋ	thin3	51														
町	町	tʰiŋ⁵¹	tʰiŋ	thin3	51														
聽	听	tʰiŋ³²⁴	tʰiŋ	thin5	324	~便，~戲，~說													
□		tʰiŋ³²⁴	tʰiŋ	thin5	324	~下來：剩下來（含主動傾向）													
亭	亭	diŋ¹¹³	diŋ	din2A	113														
停	停	diŋ¹¹³	diŋ	din2A	113														
婷	婷	diŋ¹¹³	diŋ	din2A	113														
廷	廷	diŋ¹¹³	diŋ	din2A	113														
庭	庭	diŋ¹¹³	diŋ	din2A	113														
莛	莛	diŋ¹¹³	diŋ	din2A	113														
蜓	蜓	diŋ¹¹³	diŋ	din2A	113														
霆	霆	diŋ¹¹³	diŋ	din2A	113														
鋌	铤	diŋ²¹³	diŋ	din6	213														
定	定	diŋ²¹³	diŋ	din6	213														
錠	锭	diŋ²¹³	diŋ	din6	213														
腚	腚	diŋ²¹³	diŋ	din6	213														
拎	拎	ʔɭiŋ⁴⁴	ʔɭiŋ	lin1	44														
領	领	ʔɭiŋ⁵¹	ʔɭiŋ	lin3	51														
嶺	岭	ʔɭiŋ⁵¹	ʔɭiŋ	lin3	51														
凜	凛	ʔɭiŋ⁵¹	ʔɭiŋ	lin3	51														
檁	檩	ʔɭiŋ⁵¹	ʔɭiŋ	lin3	51														
廩	廪	ʔɭiŋ⁵¹	ʔɭiŋ	lin3	51														
㐭	㐭	ʔɭiŋ⁵¹	ʔɭiŋ	lin3	51	同廩													
林	林	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	姓氏													
淋	淋	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	~雨；~病													
琳	琳	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
霖	霖	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	人名用字													
臨	临	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
鄰	邻	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
隣	邻	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	同鄰													
鱗	鳞	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
磷	磷	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
燐	磷	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
㷠	磷	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	同燐													
麟	麟	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
繗	繗	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	縫（衣）													
粼	粼	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
轔	辚	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
嶙	嶙	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
疄	疄	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	~溝：田間排水溝													
遴	遴	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	新													
凌	凌	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
淩	淩	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
陵	陵	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
夌	夌	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	說文越也													
菱	菱	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	~角													
綾	绫	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	人名用字													
伶	伶	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
鈴	铃	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
齡	龄	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
聆	聆	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
零	零	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
玲	玲	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
岭	岭	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
令	令	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	一~紙；~狐沖													
羚	羚	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
苓	苓	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
瓴	瓴	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
囹	囹	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
蛉	蛉	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
翎	翎	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
靈	灵	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
霛	灵	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	同靈													
霝	灵	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
欞	棂	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
冷	冷	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	~溏，冰凌													
泠	泠	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
蠅	蝇	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34	蒼~													
〇	〇	ʔɭiŋ³⁴	ʔɭiŋ	lin2B	34														
令	令	ʔɭiŋ²¹³	ɭiŋ	lin6	213														
另	另	ʔɭiŋ²¹³	ɭiŋ	lin6	213														
吝	吝	ʔɭiŋ²¹³	ɭiŋ	lin6	213														
藺	蔺	ʔɭiŋ²¹³	ɭiŋ	lin6	213														
躪	躏	ʔɭiŋ²¹³	ɭiŋ	lin6	213														
遴	遴	ʔɭiŋ²¹³	ɭiŋ	lin6	213	老													
娌	娌	ʔɭiŋ²¹³	ɭiŋ	lin6	213	妯~，疑爲小稱兒化													
金	金	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
今	今	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
斤	斤	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
筋	筋	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
津	津	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
禁	禁	tɕiŋ⁴⁴	tɕiŋ	cin1	44	~受													
襟	襟	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
巾	巾	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
矜	矜	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
京	京	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
驚	惊	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
精	精	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
睛	睛	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
菁	菁	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
腈	腈	tɕiŋ⁴⁴	tɕiŋ	cin1	44	~肉（瘦肉）													
晶	晶	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
兢	兢	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
莖	茎	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
經	经	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
涇	泾	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
荊	荊	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
荆	荆	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
旌	旌	tɕiŋ⁴⁴	tɕiŋ	cin1	44														
𪏴	𪏴	tɕiŋ⁴⁴	tɕiŋ	cin1	44	~䵑（麪糰等柔軟而富黏性）													
□		tɕiŋ⁴⁴	tɕiŋ	cin1	44	緊捏													
□		tɕiŋ⁴⁴	tɕiŋ	cin1	44	紮（辮子）													
緊	紧	tɕiŋ⁵¹	tɕiŋ	cin3	51														
錦	锦	tɕiŋ⁵¹	tɕiŋ	cin3	51														
謹	谨	tɕiŋ⁵¹	tɕiŋ	cin3	51														
堇	堇	tɕiŋ⁵¹	tɕiŋ	cin3	51														
槿	槿	tɕiŋ⁵¹	tɕiŋ	cin3	51														
瑾	瑾	tɕiŋ⁵¹	tɕiŋ	cin3	51	新													
饉	馑	tɕiŋ⁵¹	tɕiŋ	cin3	51	新													
僅	仅	tɕiŋ⁵¹	tɕiŋ	cin3	51	新													
境	境	tɕiŋ⁵¹	tɕiŋ	cin3	51														
儘	尽	tɕiŋ⁵¹	tɕiŋ	cin3	51	~管													
巹	卺	tɕiŋ⁵¹	tɕiŋ	cin3	51														
卺	卺	tɕiŋ⁵¹	tɕiŋ	cin3	51														
井	井	tɕiŋ⁵¹	tɕiŋ	cin3	51														
阱	阱	tɕiŋ⁵¹	tɕiŋ	cin3	51	新													
警	警	tɕiŋ⁵¹	tɕiŋ	cin3	51														
儆	儆	tɕiŋ⁵¹	tɕiŋ	cin3	51														
景	景	tɕiŋ⁵¹	tɕiŋ	cin3	51														
頸	颈	tɕiŋ⁵¹	tɕiŋ	cin3	51														
進	进	tɕiŋ³²⁴	tɕiŋ	cin5	324	~來、~去、~門													
浸	浸	tɕiŋ³²⁴	tɕiŋ	cin5	324														
禁	禁	tɕiŋ³²⁴	tɕiŋ	cin5	324	~止													
晉	晋	tɕiŋ³²⁴	tɕiŋ	cin5	324														
勁	劲	tɕiŋ³²⁴	tɕiŋ	cin5	324														
靳	靳	tɕiŋ³²⁴	tɕiŋ	cin5	324														
縉	缙	tɕiŋ³²⁴	tɕiŋ	cin5	324														
敬	敬	tɕiŋ³²⁴	tɕiŋ	cin5	324														
竟	竟	tɕiŋ³²⁴	tɕiŋ	cin5	324														
鏡	镜	tɕiŋ³²⁴	tɕiŋ	cin5	324														
境	境	tɕiŋ³²⁴	tɕiŋ	cin5	324	新													
徑	径	tɕiŋ³²⁴	tɕiŋ	cin5	324														
逕	迳	tɕiŋ³²⁴	tɕiŋ	cin5	324														
脛	胫	tɕiŋ³²⁴	tɕiŋ	cin5	324														
鯽	鲫	tɕiŋ³²⁴	tɕiŋ	cin5	324	~魚													
侵	侵	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
欽	钦	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
衾	衾	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
親	亲	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
卿	卿	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
輕	轻	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
青	青	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
清	清	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
腈	腈	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44	~綸													
蜻	蜻	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
氫	氢	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
氰	氰	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
傾	倾	tɕʰiŋ⁴⁴	tɕʰiŋ	chin1	44														
請	请	tɕʰiŋ⁵¹	tɕʰiŋ	chin3	51														
頃	顷	tɕʰiŋ⁵¹	tɕʰiŋ	chin3	51														
寢	寝	tɕʰiŋ⁵¹	tɕʰiŋ	chin3	51														
撳	揿	tɕʰiŋ³²⁴	tɕʰiŋ	chin5	324														
搇	搇	tɕʰiŋ³²⁴	tɕʰiŋ	chin5	324	按：拏被子~~													
親	亲	tɕʰiŋ³²⁴	tɕʰiŋ	chin5	324	~家公													
慶	庆	tɕʰiŋ³²⁴	tɕʰiŋ	chin5	324														
磬	磬	tɕʰiŋ³²⁴	tɕʰiŋ	chin5	324														
沁	沁	tɕʰiŋ³²⁴	tɕʰiŋ	chin5	324														
膝	膝	tɕʰiŋ³²⁴	tɕʰiŋ	chin5	324	~饅頭，又音													
琴	琴	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
禽	禽	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
擒	擒	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
勤	勤	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
懃	勤	dʑiŋ¹¹³	dʑiŋ	jin2A	113	慇~													
芹	芹	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
擎	擎	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
鯨	鲸	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
情	情	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
晴	晴	dʑiŋ¹¹³	dʑiŋ	jin2A	113														
黔	黔	dʑiŋ¹¹³	dʑiŋ	jin2A	113	又音													
鈐	钤	dʑiŋ¹¹³	dʑiŋ	jin2A	113	又音													
近	近	dʑiŋ²³¹	dʑiŋ	jin4	231														
痙	痉	dʑiŋ²³¹	dʑiŋ	jin4	231	感到振動													
凚	凚	dʑiŋ²³¹	dʑiŋ	jin4	231	因冷而顫抖													
澿	澿	dʑiŋ²¹³	dʑiŋ	jin6	213														
僅	仅	dʑiŋ²¹³	dʑiŋ	jin6	213	老													
瑾	瑾	dʑiŋ²¹³	dʑiŋ	jin6	213	老，人名用字													
饉	馑	dʑiŋ²¹³	dʑiŋ	jin6	213	老，饑~													
覲	觐	dʑiŋ²¹³	dʑiŋ	jin6	213														
近	近	dʑiŋ²¹³	dʑiŋ	jin6	213	又音													
盡	尽	dʑiŋ²¹³	dʑiŋ	jin6	213	~力，~心													
競	竞	dʑiŋ²¹³	dʑiŋ	jin6	213														
靖	靖	dʑiŋ²¹³	dʑiŋ	jin6	213														
靜	静	dʑiŋ²¹³	dʑiŋ	jin6	213														
殣	殣	dʑiŋ²¹³	dʑiŋ	jin6	213														
脛	胫	dʑiŋ²¹³	dʑiŋ	jin6	213														
妗	妗	dʑiŋ²¹³	dʑiŋ	jin6	213	舅母，俗字													
噤	噤	dʑiŋ²¹³	dʑiŋ	jin6	213														
人	人	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
仁	仁	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34	麥~子，蝦~													
吟	吟	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
您	您	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
凝	凝	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
迎	迎	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
寧	宁	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
嚀	咛	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
聹	聍	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
獰	狞	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
檸	柠	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
擰	拧	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
銀	银	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
垠	垠	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34														
齦	龈	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34	牙~													
蠅	蝇	ʔȵiŋ³⁴	ʔȵiŋ	gnin2B	34	又音，蒼~													
濘	泞	ȵiŋ²¹³	ȵiŋ	gnin6	213	泥~													
韌	韧	ȵiŋ²¹³	ȵiŋ	gnin6	213														
肕	肕	ȵiŋ²¹³	ȵiŋ	gnin6	213														
佞	佞	ȵiŋ²¹³	ȵiŋ	gnin6	213														
甯	甯/宁	ȵiŋ²¹³	ȵiŋ	gnin6	213	姓氏													
䵑	䵑	ȵiŋ²¹³	ȵiŋ	gnin6	213	黏性（的）													
忍	忍	ȵiŋ²¹³	ȵiŋ	gnin6	213	~~他													
硬	硬	ŋiŋ²¹³	ŋiŋ	gnin6	213	又音													
星	星	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
猩	猩	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
腥	腥	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
惺	惺	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
䗌	䗌	ɕiŋ⁴⁴	ɕiŋ	shin1	44	~虰（蜻蜓）													
鑫	鑫	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
辛	辛	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
新	新	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
薪	薪	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
心	心	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
芯	芯	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
欣	欣	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
馨	馨	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
興	兴	ɕiŋ⁴⁴	ɕiŋ	shin1	44	~旺													
鋅	锌	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
些	些	ɕiŋ⁴⁴	ɕiŋ	shin1	44	又音													
〇	〇	ɕiŋ⁴⁴	ɕiŋ	shin1	44	同星													
昕	昕	ɕiŋ⁴⁴	ɕiŋ	shin1	44														
省	省	ɕiŋ⁵¹	ɕiŋ	shin3	51	反~													
醒	醒	ɕiŋ⁵¹	ɕiŋ	shin3	51														
擤	擤	ɕiŋ⁵¹	ɕiŋ	shin3	51	又音													
信	信	ɕiŋ³²⁴	ɕiŋ	shin5	324														
汛	汛	ɕiŋ³²⁴	ɕiŋ	shin5	324	大~													
釁	衅	ɕiŋ³²⁴	ɕiŋ	shin5	324														
衅	衅	ɕiŋ³²⁴	ɕiŋ	shin5	324	釁俗字													
性	性	ɕiŋ³²⁴	ɕiŋ	shin5	324														
姓	姓	ɕiŋ³²⁴	ɕiŋ	shin5	324														
興	兴	ɕiŋ³²⁴	ɕiŋ	shin5	324														
臖	臖	ɕiŋ³²⁴	ɕiŋ	shin5	324	~仁𣝗（淋巴結）；~蘗子													
䯂	䯂	ɕiŋ³²⁴	ɕiŋ	shin5	324	莊稼茂盛													
□		xiŋ³²⁴	xiŋ	hin5	324	食物未煮軟：肉皮~个，又音xəŋ³²⁴													
尋	寻	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	~錢													
𢒫	寻	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	尋本字													
秦	秦	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	文													
行	行	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	~走													
形	形	ʑiŋ¹¹³	ʑiŋ	zhin2A	113														
邢	邢	ʑiŋ¹¹³	ʑiŋ	zhin2A	113														
刑	刑	ʑiŋ¹¹³	ʑiŋ	zhin2A	113														
㓝	刑	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	說文刑作此													
型	型	ʑiŋ¹¹³	ʑiŋ	zhin2A	113														
餳	餳	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	~糖													
𩛿	𩛿	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	~糖													
情	情	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	又音													
晴	晴	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	又音													
覃	覃	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	姓氏													
潯	浔	ʑiŋ¹¹³	ʑiŋ	zhin2A	113														
㭢	㭢	ʑiŋ¹¹³	ʑiŋ	zhin2A	113	~柏村，正餘鎮某村名，字今作刑													
幸	幸	ʑiŋ²¹³	ʑiŋ	zhin6	213	~福													
倖	幸	ʑiŋ²¹³	ʑiŋ	zhin6	213	僥~													
悻	悻	ʑiŋ²¹³	ʑiŋ	zhin6	213														
靜	静	ʑiŋ²¹³	ʑiŋ	zhin6	213														
淨	净	ʑiŋ²¹³	ʑiŋ	zhin6	213														
阱	阱	ʑiŋ²¹³	ʑiŋ	zhin6	213														
穽	阱	ʑiŋ²¹³	ʑiŋ	zhin6	213														
靖	靖	ʑiŋ²¹³	ʑiŋ	zhin6	213														
盡	尽	ʑiŋ²¹³	ʑiŋ	zhin6	213														
燼	烬	ʑiŋ²¹³	ʑiŋ	zhin6	213														
㶳	烬	ʑiŋ²¹³	ʑiŋ	zhin6	213	同燼													
杏	杏	ʑiŋ²¹³	ʑiŋ	zhin6	213	文，~子													
行	行	ʑiŋ²¹³	ʑiŋ	zhin6	213	品~													
音	音	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
陰	阴	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
蔭	荫	Ǿiŋ⁴⁴	Ǿiŋ	in1	44	又音，樹~													
因	因	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
銦	铟	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
瑛	瑛	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
姻	姻	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
湮	湮	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
洇	洇	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
殷	殷	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
慇	殷	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
應	应	Ǿiŋ⁴⁴	Ǿiŋ	in1	44	~該；又姓氏													
英	英	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
鷹	鹰	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
氤	氤	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
鶯	莺	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
嚶	嘤	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
膺	膺	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
嬰	婴	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
櫻	樱	Ǿiŋ⁴⁴	Ǿiŋ	in1	44	文													
茵	茵	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
罌	罂	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
纓	缨	Ǿiŋ⁴⁴	Ǿiŋ	in1	44														
情	情	Ǿiŋ⁴⁴	Ǿiŋ	in1	44	人~，語流音變													
引	引	Ǿiŋ⁵¹	Ǿiŋ	in3	51														
蚓	蚓	Ǿiŋ⁵¹	Ǿiŋ	in3	51														
飲	饮	Ǿiŋ⁵¹	Ǿiŋ	in3	51														
隱	隐	Ǿiŋ⁵¹	Ǿiŋ	in3	51														
癮	瘾	Ǿiŋ⁵¹	Ǿiŋ	in3	51														
影	影	Ǿiŋ⁵¹	Ǿiŋ	in3	51														
穎	颖	Ǿiŋ⁵¹	Ǿiŋ	in3	51														
印	印	Ǿiŋ³²⁴	Ǿiŋ	in5	324														
映	映	Ǿiŋ³²⁴	Ǿiŋ	in5	324														
應	应	Ǿiŋ³²⁴	Ǿiŋ	in5	324	答~													
蔭	荫	Ǿiŋ³²⁴	Ǿiŋ	in5	324	~庇													
廕	荫	Ǿiŋ³²⁴	Ǿiŋ	in5	324	同蔭													
窨	窨	Ǿiŋ³²⁴	Ǿiŋ	in5	324	~井													
飲	饮	Ǿiŋ³²⁴	Ǿiŋ	in5	324	~馬													
縈	萦	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
婬	淫	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
淫	淫	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
霪	霪	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
瀴	瀴	Ǿiŋ³²⁴	Ǿiŋ	in5	324	涼													
螢	萤	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
熒	荧	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
塋	茔	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
滎	荥	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
營	营	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
蠅	蝇	Ǿiŋ³⁴	Ǿiŋ	in2B	34	文													
瑩	莹	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
寅	寅	Ǿiŋ³⁴	Ǿiŋ	in2B	34														
胤	胤	ɦiŋ²¹³	ɦiŋ	yn6	213														
行	行	ɦiŋ²¹³	ɦiŋ	yn6	213	品~													
昆	昆	kuəŋ⁴⁴	kuəŋ	kuen1	44	推導音													
崑	昆	kuəŋ⁴⁴	kuəŋ	kuen1	44	推導音													
滚	滚	kuəŋ⁵¹	kuəŋ	kuen1	51														
緄	绲	kuəŋ⁵¹	kuəŋ	kuen1	51	縫紉方法：~邊													
衮	衮	kuəŋ⁵¹	kuəŋ	kuen1	51														
輥	辊	kuəŋ⁵¹	kuəŋ	kuen1	51														
磙	磙	kuəŋ⁵¹	kuəŋ	kuen1	51														
鯀	鲧	kuəŋ⁵¹	kuəŋ	kuen1	51														
棍	棍	kuəŋ³²⁴	kuəŋ	kuen5	324	~子													
□		kuəŋ³²⁴	kuəŋ	kuen5	324	燜：煮開仔再~~；悶熱（天气）：~气；化膿：~膿													
昆	昆	kʰuəŋ⁴⁴	kʰuəŋ	khuen1	44	~明													
崑	昆	kʰuəŋ⁴⁴	kʰuəŋ	khuen1	44	~崙；~山；~曲													
坤	坤	kʰuəŋ⁴⁴	kʰuəŋ	khuen1	44														
堃	堃	kʰuəŋ⁴⁴	kʰuəŋ	khuen1	44														
捆	捆	kʰuəŋ⁵¹	kʰuəŋ	khuen3	51														
困	困	kʰuəŋ⁵¹	kʰuəŋ	khuen3	51	圍~													
綑	綑	kʰuəŋ⁵¹	kʰuəŋ	khuen3	51														
困	困	kʰuəŋ³²⁴	kʰuəŋ	khuen5	324	~難													
睏	困	kʰuəŋ³²⁴	kʰuəŋ	khuen5	324	睡													
昏	昏	xuəŋ⁴⁴	xuəŋ	huen1	44														
惛	惛	xuəŋ⁴⁴	xuəŋ	huen1	44														
婚	婚	xuəŋ⁴⁴	xuəŋ	huen1	44														
葷	荤	xuəŋ⁴⁴	xuəŋ	huen1	44	~菜													
葷	荤	xuəŋ³²⁴	xuəŋ	huen5	324	蔥蒜味或魚類變質的气味：~气。破讀													
混	混	xuəŋ³²⁴	xuəŋ	huen5	324	副詞，胡亂：伲嫑~來。破讀													
渾	浑	ɣuəŋ¹¹³	ɣuəŋ	ruen2A	113	~樸、~厚；~圓；~濁													
琿	珲	ɣuəŋ¹¹³	ɣuəŋ	ruen2A	113														
混	混	ɣuəŋ²³¹	ɣuəŋ	ruen4	231	~喫等死													
諢	诨	ɣuəŋ²¹³	ɣuəŋ	ruen6	213														
混	混	ɣuəŋ²¹³	ɣuəŋ	ruen6	213	~日腳；~和；蒙~													
渾	浑	ɣuəŋ²¹³	ɣuəŋ	ruen6	213	~身													
橫	横	ɣuəŋ²¹³	ɣuəŋ	ruen6	213	蠻~													
溫	温	Ǿuəŋ⁴⁴	Ǿuəŋ	uen1	44	姓氏													
瘟	瘟	Ǿuəŋ⁴⁴	Ǿuəŋ	uen1	44														
□		Ǿuəŋ⁴⁴	Ǿuəŋ	uen1	44	麥~：麥殼、麥芒等混合物													
穩	稳	Ǿuəŋ⁵¹	Ǿuəŋ	uen3	51														
