字	声母	韵母	调值	備註	陰平54 陰上32 陰去52 陰入2  陽平24 陽去21 陽入4		
洪	0/h	aŋ/ɒŋ	24	文讀，姓。			
洲	ts	iu	54				
洶	h	yøŋ	54				
洽	h	ieʔ	4				
派	pʰ	ua/ai	52	文讀，開田水。			
流	l	au/iu	24				
浆	ts	iũ/yøŋ	54				
浊	ts	ɒʔ	4				
测	tsʰ	ɛʔ	2				
浑	h	uoŋ	24				
浒	h	ɔu	32				
浓	l	yøŋ	24				
浙	ts	ieʔ	2	浙江。			
浦	pʰ	ɔu	32				
浩	h	ɒ	21				
浮	h/pʰ	ieu/u	24	人浮於事，白讀。			
浴	0	yøʔ	4				
海	h	ai	32				
浸	ts	iŋ	52				
涅	n	ieʔ	2				
消	ɬ	ieu	54				
涉	ɬ	ieʔ	4				
涌	0	yøŋ	32				
涎	0	ɛŋ	24	涎龍：中藥。			
涓	k	yøŋ	54				
涛	t	ɒ	24				
涝	l	ɒ	24				
润	ts	uoŋ	21				
涧	k	aŋ	52				
涩	ɬ	ieʔ	2				
液	0	iʔ	4				
涵	0/h	aŋ	24	文讀，涵頭：舊稱涵江、涵道：下水道。			
淄	ts	o	54				
淆	h	au	24				
淋	l	iŋ	24				
淑	ɬ	yøʔ	2				
淒	tsʰ	e	54				
淚	l	ui	21				
淤	0	y	54				
淨	ts	iŋ	21				
淪	l	uoŋ	24				
淫	0	iŋ	24				
淮	h	uoi	24				
深	tsʰ	iŋ	54				
淵	0	yøŋ	54				
混	h	uoŋ	21				
淹	0	iŋ/ieŋ	54				
淺	tsʰ	ɛŋ	32				
添	tʰ	iŋ/ieŋ	54				
清	tsʰ	iŋ	32/54	文讀，他讀，福清，清明。			
渊	0	yøŋ	54				
渎	t	ɒʔ	4				
渐	ts	ieŋ	21				
渔	h/k	y	24				
渗	tsʰ	iŋ	52				
渠	k	y	24				
渡	t	ɔu	21				
渣	ts	ɒ/a	54				
測	tsʰ	ɛʔ	2				
渭	0	ui	21				
港	k	aŋ	32				
游	0	iu	24				
渺	p/pʰ	ieu/iu	32/24	文讀，看渺渺：看不起（渺為小，引伸為蔑視）。			
渾	h	uoŋ	24				
湊	tsʰ	au	52				
湍	tʰ	uoŋ	54				
湖	0/h	ɔu	24	文讀，湖洋：地名。			
湘	ɬ	yøŋ	54				
湯	tʰ	ŋ/ɒŋ	54				
湾	0	uoŋ	24/54	海灣，臺灣。			
溃	kʰ	ui	52				
源	ŋ	yŋ	24				
準	ts	uoŋ	32				
溝	k	au/ieu	54				
溢	0	iʔ	4				
溪	kʰ	e	54				
溫	0	uoŋ	54				
溶	0	yøŋ	24				
溷	k	uoŋ	24	加水久煮。			
溼	ɬ	iʔ	2				
滄	tsʰ	ɒŋ	54				
滅	p	ɛʔ	4				
滋	ts	o	54				
滑	k	uoʔ	4				
滓	ts	ai	32				
滔	tʰ	ɒ	54				
滞	t	e	52				
满	m	uã	32				
滥	l	aŋ	21				
滬	h	ɔu	21				
滯	t	e	52				
滲	tsʰ	iŋ	52				
滴	t	ɛʔ	2				
滷	l	ɔu	32				
滸	h	ɔu	32				
滿	m	uã	32				
漁	h/k	y	24				
漂	pʰ	ieu	54				
漆	tsʰ	ɛʔ/iʔ	2				
漏	l	ieu/au	21				
演	0	ɛŋ	32				
漠	p	ɒʔ	4				
漢	h	aŋ	52				
漫	m	uã/aŋ	21				
漳	ts	yøŋ	54				
漸	ts	ieŋ	21				
漿	ts	iũ/yøŋ	54				
潑	pʰ	ua/uoʔ	21/2				
潔	k	e/ɛʔ	21/2	文讀，澈潔：乾淨。			
潘	pʰ	uã/uoŋ	54	泔水，姓。			
潛	ts	ieŋ	24				
潤	ts	uoŋ	21				
潦	l	ieu	32				
潮	t	ieu	24				
潰	kʰ	ui	52				
澄	t						
澇	l	ɒ	24				
澈	t	ɛʔ	2				
澗	k	aŋ	52				
澤	ts	ɛʔ	4				
激	kʰ	iʔ	2				
濁	ts	ɒʔ	4				
濃	l	yøŋ	24				
濤	t	ɒ	24				
濫	l	aŋ	21				
濱	p	iŋ	54				
濵	p	iŋ	54				
瀆	t	ɒʔ	4				
灌	k	uoŋ	52				
灣	0	uoŋ	24/54	海灣，臺灣。			
火	h	uoi/ɒ	32				
灭	p	ɛʔ	4				
灰	h	u/uoi	54	單字讀，禾灰：草木灰。			
災	ts	ø/ai	54	災害，雞瘟。			
灿	tsʰ	aŋ	52				
炉	l	ɔu	24				
炊	tsʰ	uoi	54				
炎	0	ieŋ	24				
炒	tsʰ	ɒ	32				
炭	tʰ	uã/aŋ	52				
炮	p	u	24	～蕃薯：焙。			
炰	p	u	24	～蕃薯：焙。			
炳	p	iŋ	32				
点	t	ieŋ	32				
為	0	ui	24	作為。			
烁	ɬ	yøʔ	2				
烈	l	ɛʔ	4				
烊	0	yøŋ	24	融化（原作融）。			
烏	0	ɔu	54				
烙	l	ɒʔ	4				
烦	h	uoŋ	24				
烧	ɬ	ieu	54				
热	ts	ɛʔ	4				
烹	h	ɛŋ	54				
烽	h	ɒŋ	54				
焚	h	uoŋ	24				
無	p	o/u	24				
焦	t/ts	ɒ/ieu	54	文讀，幹。			
然	ts	ɛŋ	24				
煉	l	yøŋ	21				
煌	h	ɒŋ	24				
煎	ts	yã/ɛŋ	54	文讀，煎藥。			
煑	ts	y	32				
煙	0	ɛŋ	54				
煞	ɬ	aʔ	2				
煤	p	uoi	24				
煥	h	uoŋ	52				
照	ts	ieu	52				
煩	h	uoŋ	24				
熄	ɬ	iʔ	2				
熊	h	yøŋ	24				
熙	h	i	54				
熟	ɬ	yøʔ	4				
熨	0	uoʔ	2				
熬	k	o	24	熬油。			
熱	ts	ɛʔ	4				
熻	h	iʔ	2	悶。			
燈	t	ɛŋ	54				
燒	ɬ	ieu	54				
燕	0	ɛŋ	52	燕子。			
營	0	ieu/yã/yŋ	24	文讀，營長，營油：豬油。			
燦	tsʰ	aŋ	52				
燧	ɬ	ui	21				
燭	ts	ɒʔ	2				
燺	kʰ	ɒ	32				
爆	p	ɒ	21				
爍	ɬ	yøʔ	2				
爐	l	ɔu	24				
爛	l/n	aŋ/uã	21				
爬	p	ɒ	24				
爭	ts	ã/ɛŋ	54				
爱	0	ai	52				
爵	ts	yøʔ	2				
父	h	u	21/32	漁父，父親。			
爹	t	e/ia	54				
爺	0	e	24				
爽	ɬ	ɒŋ	32				
爾	ts	i	32				
牆	tsʰ	iũ/yøŋ	24				
片	pʰ	ɛŋ	52				
版	p	aŋ	32				
牌	p	e	24				
牍	t	ɒʔ	4				
牐	ts	ɒ/aʔ	24/4				
牒	t	ieʔ	4				
牘	t	ɒʔ	4				
牙	k	ɒ/a	24				
牛	k	u/iu	24	文讀，白讀。			
牟	p	ieu	24				
牡	p	ɔu	32				
牢	l	ɒ	24				
牧	p	ɒʔ	4				
物	m/p	ui/uoʔ	54/4	單字讀，甚～：什麼。			
牲	ɬ	ã/ɛŋ	54	文讀，頭牲。			
牵	kʰ	ɛŋ	54				
特	t	ɛʔ	4				
牺	h	i	54				
牽	kʰ	ɛŋ	54				
犀	ɬ	e	54				
犊	t	ɒʔ	4				
犢	t	ɒʔ	4				
犧	h	i	54				
犬	kʰ	yøŋ	32				
犯	h	aŋ	21				
状	ts	iŋ/ŋ/ɒŋ	21	文讀，狀紙，狀元。			
犹	0	iu	24				
狀	ts	iŋ/ŋ/ɒŋ	21	文讀，狀紙，狀元。			
狂	k	ɒŋ	24				
狄	t	ɛʔ	4				
狐	h	ɔu	24				
狗	k	au/ieu	32				
狡	k	au	32				
独	t	ɒʔ	4				
狭	h	ia	24				
狮	ɬ	ai	54				
狱	k	yøʔ	4				
狸	l	i	24				
狹	h	ia	24				
狼	l	ɒŋ	24				
猖	tsʰ	yøŋ	54				
猜	tsʰ	ai	54				
猝	tsʰ	yøʔ	2				
猥	0	ui	32				
猬	0	ui	32				
献	h	yøŋ	52				
猴	h/k	aũ/ieu/au	24	文讀，白讀，特殊音變。			
猶	0	iu	24				
猾	k	uoʔ	4				
猿	0	yøŋ	24				
獃	t	ai	54	原作呆。			
獄	k	yøʔ	4				
獅	ɬ	ai	54				
獨	t	ɒʔ	4				
獭	tʰ	ya/aʔ	21/2				
獲	h	ɛʔ	4	獲得。			
獵	l	aʔ	4				
獸	ɬ	iu	52				
獺	tʰ	ya/aʔ	21/2				
獻	h	yøŋ	52				
玄	h	yøŋ	24				
王	0	ɒŋ	24				
玩	ŋ	uoŋ	24				
玫	p	uoi	24				
环	h/kʰ	uoŋ/yøŋ	24	文讀，～點：畫環形（原作本字不明）。			
玲	l	ɛŋ	24				
玻	p	ɒ	54				
珊	ɬ	aŋ	54				
珍	tʰ	iŋ	54				
班	p	aŋ	54				
球	k	iu	24				
理	l	i	32				
琐	ɬ	ɒ	32				
琛	tʰ	iŋ	54				
琢	t	ɒʔ	2				
琳	l	iŋ	24				
琴	k	iŋ	24				
琵	p	i	24				
琶	p	ɒ	24				
琼	kʰ	yŋ	24				
瑕	h	a	24				
瑚	h	ɔu	24				
瑛	0	iŋ	54				
瑞	ɬ	ui	21				
瑟	ɬ	ɛʔ	2				
瑠	l	iu	24				
瑣	ɬ	ɒ	32				
瑩	0	yŋ	24				
璃	l	i	24				
璜	h	ɒŋ	24				
璧	p	iʔ	2				
環	h/kʰ	uoŋ/yøŋ	24	文讀，～點：畫環形（原作本字不明）。			
瓊	kʰ	yŋ	24				
瓜	k	ua	54				
瓢	pʰ	ieu	24				
瓣	p	aŋ	21				
瓯	0	au	54	小碗。			
瓷	ts	o	24				
甌	0	au	54	小碗。			
甎	ts	uĩ/uoŋ	54				
甘	k	aŋ	54				
甚	ɬ	iŋ	21				
甜	t	iŋ/ieŋ	54/24	文讀，原作珍。			
生	ɬ	ã/ɛŋ	54	文讀，生卵，不熟。			
產	ɬ	aŋ	32				
用	0	yøŋ	21				
甫	h	u	32				
甬	0	yøŋ	32				
田	t	ɛŋ	24				
由	0	iu	24				
甲	k	ɒ/aʔ	21/2				
申	ɬ	iŋ	54				
电	t	ɛŋ	21				
男	n	aŋ	24				
画	0	ua	21				
畅	tʰ	yøŋ	52				
界	k	ai	52				
畏	0	ui	52				
畔	pʰ	uoŋ	21				
留	l	au/iu	24				
畚	p	uoŋ	32				
畝	p	ɔu	32				
畞	p	ɔu	32				
略	l	yøʔ	4				
畦	k	i	24	一畦秧：量詞。			
畫	0	ua	21				
畮	p	ɔu	32				
異	0	i	21				
畴	t	iu	24				
當	t	ŋ/ɒŋ	54	文讀，介詞。			
疆	k	yøŋ	54				
疇	t	iu	24				
疊	t	e/ieʔ	24/4				
疎	ɬ	ø	54				
疏	ɬ	ø	54				
疑	k	i	24				
疗	l	ieu	24				
疝	ɬ	aŋ	54				
疟	k	yøʔ	4				
疡	ɬ	iũ	24	粘狀。			
疥	k	e/ai	52				
疫	0	yʔ	4				
疮	tsʰ	ŋ/ɒŋ	54				
疵	tsʰ	o	24				
疹	tʰ	iŋ	32				
疾	ts	iʔ	4				
病	p	ã/iŋ	21				
痈	0	yøŋ	54				
痊	ts	yøŋ	24				
痔	t	i	21				
痕	h	uoŋ	24				
痛	tʰ	ɒŋ	52				
痞	pʰ	i	32				
痢	l	i	52				
痣	k	i	52				
痨	l	ɒ	24				
痲	p	ɒ	24	痲瘋。			
痴	tsʰ	i	54				
痹	p	i	52				
瘁	ts	ui	21				
瘍	ɬ	iũ	24	粘狀。			
瘡	tsʰ	ŋ/ɒŋ	54				
瘤	l	iu	24				
瘥	tsʰ	a	54	病輕。			
瘧	k	yøʔ	4				
瘴	ts	yøŋ	52				
瘵	ts	e	52	病也。			
療	l	ieu	24				
癆	l	ɒ	24				
癖	pʰ	iʔ	2				
癞	l	ai	21				
癡	tsʰ	i	54				
癢	0/ɬ	yøŋ/iũ	32/21				
癣	tsʰ	yã	32				
癩	l	ai	21				
癫	t	ɛŋ	54				
癬	tsʰ	yã	32				
癰	0	yøŋ	54				
癲	t	ɛŋ	54				
癸	k	ui	32				
發	h	uoi/uoʔ	21/2				
白	p	a/aʔ/ɛʔ	4	文讀，講白：道白，白讀。			
皁	ts	ɒ	32	皂尖：中藥。			
的	t	ɛʔ	2				
皆	k	ai	54				
皓	h	ɒ	21				
皮	pʰ	uoi/i	24				
皱	ts	ieu	52				
皷	k	ɔu	32				
皺	ts	ieu	52				
皿	m	iŋ	32				
盂	0	u/y	24/54				
盅	ts	yøŋ	54				
盆	pʰ	uoŋ	24				
盈	0	iŋ	24				
益	0	ia/iʔ	21/2				
盌	0	uã	32				
盏	ts	uã/aŋ	32				
盐	0	ieŋ	24				
监	k	aŋ	52	監視。			
盒	0	ɒʔ	4				
盔	kʰ	uoi	54				
盖	k	ua/ai	52	文讀，名詞。			
盘	p/pʰ	uã/uoŋ	24	盤點，白讀。			
盜	t	ɒ	21				
盞	ts	uã/aŋ	32				
盟	m	ɛŋ	24				
盡	ts	iŋ	21				
監	k	aŋ	52	監視。			
盤	p/pʰ	uã/uoŋ	24	盤點，白讀。			
盧	l	ɔu	24				
盬	k	ɔu	32	茶盬：茶壺。			
目	m/p	ɒʔ/aʔ	4				
盲	m	a/ɒŋ	24				
直	t	ɛʔ/iʔ	4				
相	ɬ	iũ/yøŋ	54	互相，相公。			
看	kʰ	uã/aŋ	52				
真	ts	ɛŋ/iŋ	54				
眠	m	iŋ/ɛŋ	24				
眨	ts	aʔ	2				
眩	h	yŋ/yøŋ	24				
眶	kʰ	ɒŋ	54				
眷	k	yøŋ	52				
眸	p	ieu	24				
眼	ŋ	ĩ/aŋ	32	文讀，龍眼。			
睐	l	ai	21				
睛	ts	iŋ	54				
睞	l	ai	21				
督	t	ɒʔ	2				
睫	ts	ieʔ	4				
睬	tsʰ	ai	32				
睹	t	ɔu	32				
瞎	h	aʔ	2				
瞒	m	uã	24				
瞖	0	e	52				
瞞	m	uã	24				
瞥	pʰ	ɛʔ	2				
瞬	ɬ	uoŋ	52				
瞻	ts	ieŋ	54				
矢	ɬ	i	32				
矣	0	i	21				
知	t/ts	i/ai	54	文讀，知道。			
矩	k	y	32				
矫	k	ieu	32				
短	t	ø/uoŋ	32				
矯	k	ieu	32				
矿	kʰ	ɒŋ	52				
码	m/p	a/ɒ	32				
砌	k	i	21				
砒	pʰ	i	54				
砚	h	iŋ	52				
砧	t	ieŋ	54				
破	pʰ	ua/ɒ	52				
砺	l	e	21				
砻	l	aŋ	24	拖礱：碾米。			
砾	l	ɛʔ	2				
础	tsʰ	ø	32				
硃	ts	ɔu	54	朱砂。			
硎	0	yã	24	潘硎：地名。			
硕	ɬ	iʔ	4				
硝	ɬ	ieu	54				
硫	l	iu	24				
硬	ŋ	ĩ	21				
硯	h	iŋ	52				
碍	ŋ	ai	21				
碎	tsʰ	ui	52				
碑	p	i	54				
碓	t	ui	52				
碗	0	uã	32				
碧	p	iʔ	4				
碩	ɬ	iʔ	4				
碪	t	ieŋ	54				
確	kʰ	aʔ	2				
碼	m/p	a/ɒ	32				
碾	l	ɛŋ	52	旋轉（原作本字不明）。			
磁	ts	o	24				
磅	p	ɒŋ	21/24	單字讀，量。			
磇	pʰ	i	54				
磐	p	uoŋ	24				
磨	m/p	ɒ/ua	24	折磨，磨刀。			
磬	kʰ	ɛŋ	52				
磷	l	iŋ	24				
礎	tsʰ	ø	32				
礙	ŋ	ai	21				
礠	ts	o	24				
礤	tsʰ	ya	21	薯類刮成絲條（原作本字不明）。			
礦	kʰ	ɒŋ	52				
礪	l	e	21				
礫	l	ɛʔ	2				
礮	pʰ	au	52				
礱	l	aŋ	24	拖礱：碾米。			
示	ɬ	i	21				
社	ɬ	ia	21				
祀	ɬ	ai	21	祀菩薩。			
祈	k	i	24				
祐	0	iu	21				
祕	p	i	52				
祖	ts	ɔu	32				
祝	ts	yøʔ	2				
神	ɬ	iŋ	24				
祟	ɬ	ui	52				
祠	ɬ	o	24				
祥	ɬ	yøŋ	24				
祭	ts	e	52				
祯	t	iŋ	54				
祸	h	ɒ	21				
祿	l	ɒʔ	4				
禁	k	iŋ	52				
禍	h	ɒ	21				
禎	t	iŋ	54				
福	h	ɒʔ	2				
禧	h	i	54				
禮	l	e	32				
禹	0	y	32				
禽	k	iŋ	24				
禾	h	ɒ	24				
禿	tʰ	ɒʔ	2				
秀	ɬ	iu	52				
秉	p	iŋ	32				
秋	tsʰ	iu	54				
科	kʰ	o/ɒ	54	單字讀，內科。			
秒	pʰ	ieu	32				
秘	p	i	52				
租	ts	ɔu	54				
秦	ts	iŋ	24				
秩	t	iʔ	4				
称	tsʰ	iŋ	54	稱米。			
秽	0	uoi	52	傳染。原作本字不明。			
稀	h	i	54				
稅	ɬ	uoi	52				
稈	k	uã/aŋ	32				
程	t/tʰ	iŋ/iã	24	文讀，姓。			
稗	pʰ	e	52				
稚	t	i	21				
稛	kʰ	uoŋ	32				
稠	t	iu	24				
種	ts	yøŋ	32	種子。			
稱	tsʰ	iŋ	54	稱米。			
稳	0	uoŋ	32				
稻	t	ɒ	21				
稼	k	a	52				
稽	kʰ	e	54				
稾	k/kʰ	ɒ	32/52	他讀，文讀，莖杆。			
穆	p	ɒʔ	4				
穎	0	iŋ	32				
穗	ɬ	ui	52				
穢	0	uoi	52	傳染。原作本字不明。			
穧	ɬ	e	21	多。			
穩	0	uoŋ	32				
穫	h	ɔu	21	收穫。			
究	k	iu	52				
穷	k	yøŋ	24				
穿	tsʰ	uĩ/ỹ/yøŋ	54	文讀，穿針、尻穿：屁股（原作川），穿梭（原作梭）。			
窃	tsʰ	ieʔ	2				
窄	ts	a/ɛʔ	21/2				
窍	kʰ	ieu	52				
窑	0	ieu	24				
窒	tʰ	ɛʔ	2				
窖	k	au	21	窖肥。			
窗	tʰ	yøŋ	54				
窜	tsʰ	uã	52				
窟	kʰ	uoʔ	2				
窥	kʰ	i	54				
窩	0	o/ɒ	54				
窪	0	ua	54				
窮	k	yøŋ	24				
窯	0	ieu	24				
窰	0	ieu	24				
窺	kʰ	i	54				
竄	tsʰ	uã	52				
竅	kʰ	ieu	52				
竈	ts	au	52				
竊	tsʰ	ieʔ	2				
立	l	iʔ	4				
站	ts	aŋ	21				
竞	k	iŋ	21				
竟	k	iŋ	52				
章	ts	iũ/yøŋ	54				
竣	ts	uoŋ	52				
童	t	ɒŋ	24				
端	t	uoŋ	54				
竵	0	uoi	54				
競	k	iŋ	21				
竹	t	yøʔ	2				
竿	k	uã/aŋ	54				
笃	t	ɒʔ	2				
笆	p	a	54				
笑	ɬ/tsʰ	ieu	52	文讀，白讀。			
笔	p	iʔ	2				
笙	ɬ	ɛŋ	54				
笛	t	ɛʔ	4				
符	h	u	24				
第	t	e	21				
笮	t						
笺	tsʰ	ieŋ	54				
笼	l	aŋ/ɒŋ	24				
筅	tsʰ	ĩ	32	刷馬桶的用具。			
筆	p	iʔ	2				
筋	k	yŋ	54				
筍	ɬ	uoŋ	32				
筐	kʰ	ɒŋ	54				
策	tsʰ	ɛʔ	2				
筭	ɬ	uoŋ	52				
筵	0	ɛŋ	24				
筹	t	iu	24				
简	k	aŋ	32				
箋	tsʰ	ieŋ	54				
箍	kʰ	ɔu	54				
箏	ts	ɛŋ	54				
箕	k	i	54				
管	k	uĩ/uoŋ	32	文讀，名詞。			
箧	kʰ	e	21	抽屜。			
箩	l	ua	24				
箫	ɬ	ieu	54				
箬	n	iu	24	葉子。			
箭	ts	iŋ	52				
箱	ɬ	iũ	54				
節	ts	e/ɛʔ	21/2	文讀，過節。			
範	p	aŋ	21	模子。			
篆	t	uĩ	52	篆書。			
篇	pʰ	ɛŋ	54				
築	t	yøʔ	2				
篋	kʰ	e	21	抽屜。			
篙	k	o	54	竹篙。			
篡	tsʰ	uoŋ	52				
篤	t	ɒʔ	2				
篦	p	i	52	口語為pin52，例如虱箆。			
篮	l/n	ɒ̃/aŋ	24				
篷	pʰ	aŋ	24				
簁	tʰ	ai	54				
簡	k	aŋ	32				
簧	h	ɒŋ	24				
簫	ɬ	ieu	54				
簳	k	uã/aŋ	32				
簾	l	ieŋ	24				
簿	pʰ	ɔu	21				
籁	l	ai	21				
籃	l/n	ɒ̃/aŋ	24				
籌	t	iu	24				
籍	ts	ia/iʔ	21/4				
籟	l	ai	21				
籠	l	aŋ/ɒŋ	24				
籬	l	e/i	24	笊籬，圍籬笆。			
籮	l	ua	24				
米	p	i	32				
类	l	ui	21				
粉	h	uoŋ	32				
粒	l	iʔ	4				
粕	pʰ	o	21	蔗粕：渣。			
粜	tʰ	ieu	52				
粟	ɬ/tsʰ	yøʔ/ɒʔ	2	文讀，穀。			
粥	ts	yøʔ	2				
粪	h/p	uoŋ	52				
粱	l	yøŋ	24				
粵	0	yøʔ	4				
粹	tsʰ	ui	52				
粽	ts	aŋ	52				
精	ts	iŋ	54				
粿	k	uoi	32				
糊	h/k	ɔu	24				
糕	k	o/ɒ	54				
糖	tʰ	ŋ/ɒŋ	24				
糙	tsʰ	o/ɒ	52				
糜	p	ui/uoi/i	24	文讀，糜爛，飲糜：稀粥。			
糞	h/p	uoŋ	52				
糧	l/n	yøŋ/iũ	24	文讀，糧草。			
糴	t	ia	24				
糶	tʰ	ieu	52				
系	h	e	21				
糾	k	iu	32				
紀	k	i	32				
紂	t	iu	21				
約	0	yøʔ	2				
紅	0/h	aŋ/ɒŋ	24				
紊	m	uoŋ	32				
紋	m	uoŋ	24				
納	l	aʔ	4	出納。			
紐	tʰ	iu	32	紐約。			
純	ɬ	uoŋ	24				
紗	ɬ	ɒ/a	54				
紙	ts	ya/i	32				
級	kʰ	ɛʔ/iʔ	2				
紛	h	uoŋ	54				
素	ɬ	ɔu	52				
紡	h/pʰ	ɒŋ/aŋ	32				
索	ɬ	o/ɛʔ	21/2				
紧	k	iŋ	32				
紫	ts	i/o	32				
紮	ts	ɒ/aʔ	21/2	文讀，紮蚊帳：捆、纏。			
累	l	ui	32	果實累累。			
細	ɬ	e	52				
紳	ɬ	iŋ	54				
紹	ɬ	ieu	21				
終	ts	yøŋ	54				
組	ts	ɔu	32				
絆	pʰ	uoŋ	21				
結	k	ɛʔ	2				
絕	ts	ø/yøʔ	52/4	文讀，絕戶。			
絞	k	ɒ/au	32				
絡	l	ɒʔ	4				
給	k	ɛ/ɛʔ/iʔ	2	供給，給你，他讀。			
絨	ts	yøŋ	24				
絮	ɬ	y	52				
統	tʰ	ɒŋ	32				
絲	ɬ	i	54				
絹	k	yøŋ	52				
綏	ɬ	ui	54				
經	k	ã/iã/iŋ	54	文讀，真經，經布：織布。			
綜	ts	aŋ/ɒŋ	54	文讀，綜錢：抓錢。			
綠	l	ɒʔ	4				
綢	t/tʰ	iu	24				
維	p	i	24				
綱	k	ɒŋ	54				
網	m	aŋ/ɒŋ	21/32				
綴	t	uoi	52	綴被：縫。			
綽	ɬ	yøʔ	2	孫綽。			
綾	l	iŋ	24				
綿	m	iŋ/ɛŋ	24				
緒	ɬ	y	32				
線	ɬ	yã	52				
緝	ts	iʔ	4				
緞	t	uoŋ	21				
緩	h	uoŋ	21				
緫	ts	aŋ/ɒŋ	32	文讀，菜～（原作穗）。			
緬	m	ɛŋ	21				
緯	h	ui	52	經緯。			
練	l	yøŋ	21				
縈	0	yŋ	24				
縋	tʰ	ui	21				
縗	ɬ	ui	54	纓子。			
縣	h	ĩ/yøŋ	24	文讀，懸蚊帳，高。			
縫	p	aŋ	24	縫衫。			
縮	ɬ	yøʔ	2				
縷	l	y	32				
總	ts	aŋ/ɒŋ	32	文讀，菜～（原作穗）。			
績	ts	a/iʔ	21/2				
繁	h	uoŋ	24				
繆	p	ieu	24	綢繆。			
織	ts	iʔ	2				
繕	ɬ	ɛŋ	21				
繚	l	ieu	24				
繡	ɬ	iu	52				
繩	ɬ	iŋ	24				
繪	h	uoi	21				
繭	ŋ	ĩ	32				
繮	k	yøŋ	54				
繼	k	e	52				
繽	p	iŋ	54				
續	ɬ	yøʔ	4				
纏	t	iŋ/ɛŋ	24				
纓	0	iã/iŋ	54	文讀，紅纓。			
纖	tsʰ	ieŋ	54	纖維。			
纜	l	aŋ	32				
纠	k	iu	32				
红	0/h	aŋ/ɒŋ	24				
纣	t	iu	21				
约	0	yøʔ	2				
级	kʰ	ɛʔ/iʔ	2				
纪	k	i	32				
纬	h	ui	52	經緯。			
纯	ɬ	uoŋ	24				
纱	ɬ	ɒ/a	54				
纲	k	ɒŋ	54				
纳	l	aʔ	4	出納。			
纷	h	uoŋ	54				
纸	ts	ya/i	32				
纺	h/pʰ	ɒŋ/aŋ	32				
练	l	yøŋ	21				
组	ts	ɔu	32				
绅	ɬ	iŋ	54				
织	ts	iʔ	2				
终	ts	yøŋ	54				
绊	pʰ	uoŋ	21				
绍	ɬ	ieu	21				
经	k	ã/iã/iŋ	54	文讀，真經，經布：織布。			
绒	ts	yøŋ	24				
结	k	ɛʔ	2				
绘	h	uoi	21				
给	k	ɛ/ɛʔ/iʔ	2	供給，給你，他讀。			
络	l	ɒʔ	4				
绝	ts	ø/yøʔ	52/4	文讀，絕戶。			
绞	k	ɒ/au	32				
统	tʰ	ɒŋ	32				
绢	k	yøŋ	52				
绥	ɬ	ui	54				
继	k	e	52				
绩	ts	a/iʔ	21/2				
绪	ɬ	y	32				
绫	l	iŋ	24				
续	ɬ	yøʔ	4				
绰	ɬ	yøʔ	2	孫綽。			
绳	ɬ	iŋ	24				
维	p	i	24				
绵	m	iŋ/ɛŋ	24				
绸	t/tʰ	iu	24				
综	ts	aŋ/ɒŋ	54	文讀，綜錢：抓錢。			
绿	l	ɒʔ	4				
缀	t	uoi	52	綴被：縫。			
缅	m	ɛŋ	21				
缆	l	aŋ	32				
缉	ts	iʔ	4				
缎	t	uoŋ	21				
缒	tʰ	ui	21				
缓	h	uoŋ	21				
缕	l	y	32				
缝	p	aŋ	24	縫衫。			
缞	ɬ	ui	54	纓子。			
缠	t	iŋ/ɛŋ	24				
缤	p	iŋ	54				
缨	0	iã/iŋ	54	文讀，紅纓。			
缩	ɬ	yøʔ	2				
缪	p	ieu	24	綢繆。			
缭	l	ieu	24				
缮	ɬ	ɛŋ	21				
缰	k	yøŋ	54				
缺	kʰ	i	21				
缽	p	uoʔ	2				
罂	0	ɛŋ	54				
罌	0	ɛŋ	54				
罐	k	uoŋ	52				
罔	m	ŋ/ɒŋ	32	文讀，罔行：隨便走（原作惘）。			
罕	h	aŋ	32				
罗	l	ɒ	24	姓。			
罚	h	uoʔ	4				
罩	t	au	52				
罪	ts	ø/uoi	21	文讀，罪過。			
置	t	i	52				
罰	h	uoʔ	4				
署	ɬ	y	21/32				
羁	k	e	54	栓。			
羅	l	ɒ	24	姓。			
羈	k	e	54	栓。			
羊	0	iũ/yøŋ	24				
羌	k/kʰ	iũ/yøŋ	54	羌活：中藥，山羌。			
羔	k	o/ɒ	54				
羚	l	ɛŋ	24				
羞	ɬ	ieu/iu	54	單字讀，羞恥，羞臉。			
羣	k	uoŋ	24				
義	k	i	21				
羹	k	ɛŋ	54				
羽	0	y	32				
翅	tsʰ	i	52				
習	ɬ	iʔ	4				
翕	h	iʔ	2	翕相：照相（原作本字不明）。			
翟	t	ɛʔ	4				
翩	pʰ	ɛŋ	54				
翻	h/pʰ	uoŋ/ɒ̃	54	文讀，翻筋斗。			
翼	0/ɬ	iʔ	4	文讀，翅膀。			
耀	0	ieu	21				
老	l	au/ɒ	21/32				
考	kʰ	ɒ	32				
者	ts	ia	32				
而	ts	i	24				
耐	n	ai	21				
耕	k	ɛŋ	54				
耳	h/ts	i	21/32				
耶	0	e	24				
耻	tʰ	i	32				
耽	t	ɒ̃/aŋ	54				
耿	k	ɛŋ	32				
聂	n	ieʔ	2				
聊	l	ieu	24				
聋	l	aŋ/ɒŋ	24	聾啞，白讀。			
职	ts	iʔ	2				
联	l	ɛŋ	24				
聖	ɬ	iã/iŋ	52	文讀，靈驗。			
