字目	读音	注释	声母(实际)	声母(原)	韵母	声调	声调（调类)						声调	国际惯例	声调
祖	tsou3		ts	ts	ou	53	3								
驟	tsou4		ts	ts	ou	213	4								
粗	tsʰou1		tsʰ	tsʰ	ou	22	1								
愁	tsʰou2		tsʰ	tsʰ	ou	44	2								
醋	tsʰou5		tsʰ	tsʰ	ou	21	5								
湊	tsʰou5		tsʰ	tsʰ	ou	21	5								
酥蘇	sou1		s	s	ou	22	1								
叟瘦	sou3		s	s	ou	53	3								
□	sou6	教～：教训	s	s	ou	42	6								
姑孤菇辜枯	kou1		k	k	ou	22	1								
糊	kou2		k	k	ou	44	2								
古估牯鼓股	kou3		k	k	ou	53	3								
苟	kou3		k	k	ou	53	3								
雇	kou5		k	k	ou	21	5								
顧	kou5	姓	k	k	ou	21	5								
購構夠	kou5		k	k	ou	21	5								
□	kou6	觉～（留意到）。可能是“悟”gou42音变	k	k	ou	42	6								
箍	kʰou1		kʰ	kʰ	ou	22	1								
枯	kʰou1		kʰ	kʰ	ou	22	1								
摳	kʰou1		kʰ	kʰ	ou	22	1								
苦	kʰou3		kʰ	kʰ	ou	53	3								
許	kʰou3	白，姓	kʰ	kʰ	ou	53	3								
寇蔻	kʰou5		kʰ	kʰ	ou	21	5								
庫褲	kʰou5		kʰ	kʰ	ou	21	5								
吳	gou2		g	g	ou	44	2								
誤	gou6		g	g	ou	42	6								
五伍午仵	ŋou3		ŋ	ŋ	ou	53	3								
偶藕	ŋou3	文	ŋ	ŋ	ou	53	3								
語	ŋou3	白，～文	ŋ	ŋ	ou	53	3								
五	ŋou4		ŋ	ŋ	ou	213	4								
呼	hou1		h	h	ou	22	1								
胡狐蝴	hou2		h	h	ou	44	2								
糊	hou2	白：～tou2，指做事不细心	h	h	ou	44	2								
侯	hou2		h	h	ou	44	2								
□	hou2	大叫	h	h	ou	44	2								
葫	hou2		h	h	ou	44	2								
雨戶	hou4		h	h	ou	213	4								
后	hou4		h	h	ou	213	4								
戽	hou5		h	h	ou	21	5								
互	hou6		h	h	ou	42	6								
淤	ou1	训，～青			ou	22	1								
烏	ou1				ou	22	1								
胡湖	ou2				ou	44	2								
芋	ou6	白			ou	42	6								
沉	tim2		t	t	im	44	2								
林臨琳	lim2		l	l	im	44	2								
吣	tsim1	亲吻	ts	ts	im	22	1								
□	tsim2	从口袋中取出	ts	ts	im	44	2								
□	tsim2	从袋中取出	ts	ts	im	44	2								
□	tsim3	用力拋出物品	ts	ts	im	53	3								
枕	tsim3		ts	ts	im	53	3								
浸	tsim5		ts	ts	im	21	5								
深	tsʰim1		tsʰ	tsʰ	im	22	1								
侵尋潯	tsʰim2		tsʰ	tsʰ	im	44	2								
寢	tsʰim3		tsʰ	tsʰ	im	53	3								
□	tsʰim5	抬起重物	tsʰ	tsʰ	im	21	5								
沁	tsʰim5		tsʰ	tsʰ	im	21	5								
任賃	dzim4		dz	dz	im	213	4								
任	dzim6		dz	dz	im	42	6								
心芯森蔘	sim1		s	s	im	22	1								
參	sim1	海～，党～	s	s	im	22	1								
沈瀋	sim3		s	s	im	53	3								
甚	sim3	～至	s	s	im	53	3								
審嬸	sim3		s	s	im	53	3								
□	sim5	弯腰	s	s	im	21	5								
□	sim6	等待	s	s	im	42	6								
甚	sim6	～么	s	s	im	42	6								
審	sim6		s	s	im	42	6								
今金錦	kim1		k	k	im	22	1								
妗	kim4		k	k	im	213	4								
禁	kim5		k	k	im	21	5								
襟欽	kʰim1		kʰ	kʰ	im	22	1								
琴禽	kʰim2		kʰ	kʰ	im	44	2								
岑吟	ŋim2		ŋ	ŋ	im	44	2								
□	ŋim3	抓，握	ŋ	ŋ	im	53	3								
熊	him2		h	h	im	44	2								
音陰	im1				im	22	1								
淫	im2				im	44	2								
飲	im3				im	53	3								
窨蔭	im5				im	21	5								
耽擔	tam1		t	t	am	22	1								
□	tam2	湿	t	t	am	44	2								
膽	tam3		t	t	am	53	3								
貪	tʰam1		tʰ	tʰ	am	22	1								
潭痰譚談	tʰam2		tʰ	tʰ	am	44	2								
探	tʰam5		tʰ	tʰ	am	21	5								
婪嵐	lam2		l	l	am	44	2								
淋	lam2		l	l	am	44	2								
覽攬纜腩	lam3		l	l	am	53	3								
南男藍	nam2		n	n	am	44	2								
淋	nam2	白：南糖，普宁特产糕点。疑本字为淋	n	n	am	44	2								
針	tsam1		ts	ts	am	22	1								
斬	tsam3		ts	ts	am	53	3								
站	tsam4	文	ts	ts	am	213	4								
湛	tsam4	文	ts	ts	am	213	4								
□	tsam5	好	ts	ts	am	21	5								
滲	tsam5	白：～水	ts	ts	am	21	5								
參滲	tsʰam1		tsʰ	tsʰ	am	22	1								
慚	tsʰam2		tsʰ	tsʰ	am	44	2								
潺	tsʰam2		tsʰ	tsʰ	am	44	2								
慘	tsʰam3		tsʰ	tsʰ	am	53	3								
三杉	sam1		s	s	am	22	1								
甘	kam1		k	k	am	22	1								
監	kam1		k	k	am	22	1								
含	kam2		k	k	am	44	2								
感	kam3		k	k	am	53	3								
㔶	kam3	埋	k	k	am	53	3								
贛	kam5		k	k	am	21	5								
監	kam5	～管，～督	k	k	am	21	5								
鑒	kam5	借～	k	k	am	21	5								
堪勘	kʰam1		kʰ	kʰ	am	22	1								
湛	kʰam1	～江，广东地名	kʰ	kʰ	am	22	1								
龕	kʰam1		kʰ	kʰ	am	22	1								
坎	kʰam3	一～楼梯：一级楼梯	kʰ	kʰ	am	53	3								
限	kʰam3	训，如：到～（到顶），极～	kʰ	kʰ	am	53	3								
砍	kʰam3	文	kʰ	kʰ	am	53	3								
坎	kʰam5	文	kʰ	kʰ	am	21	5								
檻	kʰam5	门～	kʰ	kʰ	am	21	5								
勘	ŋam1	白：估测	ŋ	ŋ	am	22	1								
堪	ŋam1	白：～好，刚好	ŋ	ŋ	am	22	1								
巖癌	ŋam2		ŋ	ŋ	am	44	2								
蚶	ham1		h	h	am	22	1								
憨	ham1		h	h	am	22	1								
酣	ham1		h	h	am	22	1								
含涵函	ham2		h	h	am	44	2								
咸	ham2	全	h	h	am	44	2								
銜	ham2		h	h	am	44	2								
撼	ham4		h	h	am	213	4								
憾	ham4		h	h	am	213	4								
喊	ham5		h	h	am	21	5								
陷	ham6		h	h	am	42	6								
餡	ham6	文	h	h	am	42	6								
庵鵪	am1				am	22	1								
飲	am3	白，米汤			am	53	3								
□	am4	张嘴。本字或为含			am	213	4								
暗	am5				am	21	5								
沾砧	tiam1		t	t	iam	22	1								
甜	tiam2		t	t	iam	44	2								
點	tiam3		t	t	iam	53	3								
簟	tiam4		t	t	iam	213	4								
店	tiam5		t	t	iam	21	5								
添	tʰiam1		tʰ	tʰ	iam	22	1								
沉	tʰiam2		tʰ	tʰ	iam	44	2								
□	tʰiam5	踢	tʰ	tʰ	iam	21	5								
黏沾粘	niam1		n	n	iam	22	1								
廉鐮簾	niam2		n	n	iam	44	2								
斂殮	niam3		n	n	iam	53	3								
念	niam4		n	n	iam	213	4								
捻	niam5	扯	n	n	iam	21	5								
唸	niam6		n	n	iam	42	6								
尖占詹	tsiam1		ts	ts	iam	22	1								
粘	tsiam1	～粞，粘米粉	ts	ts	iam	22	1								
暫	tsiam4	依《广韵》藏濫切，今俗读不合音韵，本字“渐”音	ts	ts	iam	213	4								
漸	tsiam4		ts	ts	iam	213	4								
占	tsiam5		ts	ts	iam	21	5								
簽	tsʰiam1		tsʰ	tsʰ	iam	22	1								
殱纖潛	tsʰiam2		tsʰ	tsʰ	iam	44	2								
染	dziam3		dz	dz	iam	53	3								
蟬	siam2		s	s	iam	44	2								
陝	siam3		s	s	iam	53	3								
閃	siam3		s	s	iam	53	3								
滲	siam5		s	s	iam	21	5								
兼	kiam1		k	k	iam	22	1								
鹹	kiam2		k	k	iam	44	2								
減堿	kiam3		k	k	iam	53	3								
檢	kiam3		k	k	iam	53	3								
劍	kiam5		k	k	iam	21	5								
謙	kʰiam1		kʰ	kʰ	iam	22	1								
鉗	kʰiam2		kʰ	kʰ	iam	44	2								
歉	kʰiam3		kʰ	kʰ	iam	53	3								
儉芡	kʰiam4		kʰ	kʰ	iam	213	4								
欠	kʰiam5		kʰ	kʰ	iam	21	5								
嚴	ŋiam2		ŋ	ŋ	iam	44	2								
釅	ŋiam2	浓，常用于茶、药汤等	ŋ	ŋ	iam	44	2								
釅	ŋiam3	苦	ŋ	ŋ	iam	53	3								
驗	ŋiam6		ŋ	ŋ	iam	42	6								
嫌	hiam2		h	h	iam	44	2								
險	hiam3		h	h	iam	53	3								
醃淹	iam1				iam	22	1								
腌	iam1	文，～制			iam	22	1								
鹽閻	iam2				iam	44	2								
掩睒	iam3				iam	53	3								
厭	iam5				iam	21	5								
炎焰豔	iam6				iam	42	6								
凡矾	huam2		h	h	uam	44	2								
范犯患範販飯	huam4		h	h	uam	213	4								
幻泛	huam5		h	h	uam	21	5								
丼	tom4	石头落入水井声	t	t	om	213	4								
□	tsom2	口	ts	ts	om	44	2								
斌賓濱殯	piŋ1		p	p	iŋ	22	1								
乒	piŋ1		p	p	iŋ	22	1								
品	piŋ3		p	p	iŋ	53	3								
瓶	pʰiŋ2		pʰ	pʰ	iŋ	44	2								
屏貧頻蘋	pʰiŋ2		pʰ	pʰ	iŋ	44	2								
品	pʰiŋ3		pʰ	pʰ	iŋ	53	3								
遍	pʰiŋ5	白：～身，全身	pʰ	pʰ	iŋ	21	5								
眠民	miŋ2		m	m	iŋ	44	2								
面	miŋ6		m	m	iŋ	42	6								
命	miŋ6	司～公	m	m	iŋ	42	6								
藤塵	tiŋ2		t	t	iŋ	44	2								
陣	tiŋ6		t	t	iŋ	42	6								
陳	tʰiŋ2		tʰ	tʰ	iŋ	44	2								
□	liŋ1	次	l	l	iŋ	22	1								
磷鄰鱗	liŋ2		l	l	iŋ	44	2								
津	tsiŋ1		ts	ts	iŋ	22	1								
薪真	tsiŋ1		ts	ts	iŋ	22	1								
振震拯	tsiŋ3		ts	ts	iŋ	53	3								
盡	tsiŋ4	～量，～力	ts	ts	iŋ	213	4								
晉進	tsiŋ5		ts	ts	iŋ	21	5								
親	tsʰiŋ1		tsʰ	tsʰ	iŋ	22	1								
秦臣	tsʰiŋ2		tsʰ	tsʰ	iŋ	44	2								
衬	tsʰiŋ5		tsʰ	tsʰ	iŋ	21	5								
凊	tsʰiŋ5	冷。只用于食物：～饭，～糜（冷的稀饭）。～水，未开的水	tsʰ	tsʰ	iŋ	21	5								
襯	tsʰiŋ5	~衫	tsʰ	tsʰ	iŋ	21	5								
秤	tsʰiŋ5		tsʰ	tsʰ	iŋ	21	5								
人仁	dziŋ2		dz	dz	iŋ	44	2								
忍	dziŋ3		dz	dz	iŋ	53	3								
刃	dziŋ3		dz	dz	iŋ	53	3								
認	dziŋ6		dz	dz	iŋ	42	6								
先	siŋ1	~生	s	s	iŋ	22	1								
辛新身申	siŋ1		s	s	iŋ	22	1								
伸紳呻	siŋ1		s	s	iŋ	22	1								
神辰晨繩蠅	siŋ2		s	s	iŋ	44	2								
承	siŋ2	白，用容器接	s	s	iŋ	44	2								
慎	siŋ3		s	s	iŋ	53	3								
信迅訊汛	siŋ5		s	s	iŋ	21	5								
今	kiŋ1		k	k	iŋ	22	1								
根跟巾斤筋均鈞	kiŋ1		k	k	iŋ	22	1								
凝	kiŋ2	～冻：（凝结成果冻状）	k	k	iŋ	44	2								
□	kiŋ2	瞪	k	k	iŋ	44	2								
緊	kiŋ3		k	k	iŋ	53	3								
僅謹	kiŋ3		k	k	iŋ	53	3								
腎	kiŋ4	鸡~：鸡胗	k	k	iŋ	213	4								
近	kiŋ4		k	k	iŋ	213	4								
氫輕	kʰiŋ1		kʰ	kʰ	iŋ	22	1								
勤芹	kʰiŋ2		kʰ	kʰ	iŋ	44	2								
迎	ŋeŋ2		ŋ	ŋ	eŋ	44	2								
迎	ŋiŋ2	又音ŋeŋ2	ŋ	ŋ	iŋ	44	2								
凝	ŋiŋ2	文	ŋ	ŋ	iŋ	44	2								
銀	ŋiŋ2		ŋ	ŋ	iŋ	44	2								
齦	ŋiŋ2	牙～	ŋ	ŋ	iŋ	44	2								
軒欣勳	hiŋ1		h	h	iŋ	22	1								
眩	hiŋ2	白读，晕	h	h	iŋ	44	2								
很狠	hiŋ3		h	h	iŋ	53	3								
恨	hiŋ4		h	h	iŋ	213	4								
烟恩姻茵	iŋ1				iŋ	22	1								
煙	iŋ1	白，～下～，形容烟气直冒；~筒			iŋ	22	1								
引	iŋ3				iŋ	53	3								
尹隱癮	iŋ3				iŋ	53	3								
印	iŋ5				iŋ	21	5								
應	iŋ5	白：～承（答应）。动词，回答			iŋ	21	5								
班斑頒幫	paŋ1		p	p	aŋ	22	1								
方	paŋ1	～形	p	p	aŋ	22	1								
邦	paŋ1		p	p	aŋ	22	1								
崩	paŋ1		p	p	aŋ	22	1								
房	paŋ2		p	p	aŋ	44	2								
瓶	paŋ2	白	p	p	aŋ	44	2								
馮	paŋ2		p	p	aŋ	44	2								
扳板版榜膀謗綁梆	paŋ3		p	p	aŋ	53	3								
蚌棒	paŋ4		p	p	aŋ	213	4								
扮	paŋ5		p	p	aŋ	21	5								
放	paŋ5		p	p	aŋ	21	5								
攀滂	pʰaŋ1		pʰ	pʰ	aŋ	22	1								
芳	pʰaŋ1	白，单音词，香	pʰ	pʰ	aŋ	22	1								
蜂	pʰaŋ1		pʰ	pʰ	aŋ	22	1								
帆	pʰaŋ2	训读，本字为篷	pʰ	pʰ	aŋ	44	2								
旁航	pʰaŋ2		pʰ	pʰ	aŋ	44	2								
篷	pʰaŋ2		pʰ	pʰ	aŋ	44	2								
龐彷	pʰaŋ2		pʰ	pʰ	aŋ	44	2								
紡	pʰaŋ3		pʰ	pʰ	aŋ	53	3								
盼	pʰaŋ5		pʰ	pʰ	aŋ	21	5								
縫	pʰaŋ6	白	pʰ	pʰ	aŋ	42	6								
萬	baŋ6		b	b	aŋ	42	6								
忙芒茫	maŋ2		m	m	aŋ	44	2								
盲	maŋ2	文	m	m	aŋ	44	2								
蠻氓	maŋ2		m	m	aŋ	44	2								
閩	maŋ2		m	m	aŋ	44	2								
挽	maŋ3		m	m	aŋ	53	3								
蟒莽	maŋ3		m	m	aŋ	53	3								
慢饅	maŋ4	文	m	m	aŋ	213	4								
網	maŋ4	白	m	m	aŋ	213	4								
漫曼	maŋ4		m	m	aŋ	213	4								
慢夢	maŋ6	白	m	m	aŋ	42	6								
緩	maŋ6	训	m	m	aŋ	42	6								
丹當襠	taŋ1		t	t	aŋ	22	1								
冬東	taŋ1		t	t	aŋ	22	1								
中	taŋ1	～央	t	t	aŋ	22	1								
同筒童銅	taŋ2		t	t	aŋ	44	2								
陳	taŋ2		t	t	aŋ	44	2								
黨擋	taŋ3		t	t	aŋ	53	3								
重動	taŋ4		t	t	aŋ	213	4								
蕩	taŋ4		t	t	aŋ	213	4								
蛋誕當	taŋ5		t	t	aŋ	21	5								
檔	taŋ5	文，日常读音，～次，大排～	t	t	aŋ	21	5								
凍	taŋ5	结～	t	t	aŋ	21	5								
旦	taŋ5		t	t	aŋ	21	5								
但	taŋ6		t	t	aŋ	42	6								
洞	taŋ6		t	t	aŋ	42	6								
通	tʰaŋ1		tʰ	tʰ	aŋ	22	1								
湯	tʰaŋ1	文	tʰ	tʰ	aŋ	22	1								
檀	tʰaŋ2		tʰ	tʰ	aŋ	44	2								
堂	tʰaŋ2		tʰ	tʰ	aŋ	44	2								
唐	tʰaŋ2		tʰ	tʰ	aŋ	44	2								
彈	tʰaŋ2		tʰ	tʰ	aŋ	44	2								
蟲	tʰaŋ2		tʰ	tʰ	aŋ	44	2								
毯坦	tʰaŋ3		tʰ	tʰ	aŋ	53	3								
倘躺	tʰaŋ3		tʰ	tʰ	aŋ	53	3								
桶	tʰaŋ3		tʰ	tʰ	aŋ	53	3								
趟歎	tʰaŋ5		tʰ	tʰ	aŋ	21	5								
通	tʰaŋ5		tʰ	tʰ	aŋ	21	5								
□	laŋ1	空旷	l	l	aŋ	22	1								
郎	laŋ2	文	l	l	aŋ	44	2								
廊	laŋ2		l	l	aŋ	44	2								
零	laŋ2	个别	l	l	aŋ	44	2								
狼螂朗	laŋ2		l	l	aŋ	44	2								
榔	laŋ2	文	l	l	aŋ	44	2								
聾籠	laŋ2		l	l	aŋ	44	2								
蘭瀾攔欄琅	laŋ2		l	l	aŋ	44	2								
懶囊	laŋ3		l	l	aŋ	53	3								
卵	laŋ4	口语音，男阴；汝别支～，口语表达“你懂个锤子”的意思。俗音，非本字。口语也读lan4	l	l	aŋ	213	4								
浪	laŋ4		l	l	aŋ	213	4								
閬	laŋ5	空开	l	l	aŋ	21	5								
人	naŋ2	训	n	n	aŋ	44	2								
難	naŋ2		n	n	aŋ	44	2								
膿	naŋ2	流～	n	n	aŋ	44	2								
儂	naŋ2	“人”的本字	n	n	aŋ	44	2								
俺	naŋ3	俗字，我们	n	n	aŋ	53	3								
難	naŋ6	灾～	n	n	aŋ	42	6								
曾	tsaŋ1		ts	ts	aŋ	22	1								
棕	tsaŋ1		ts	ts	aŋ	22	1								
贓	tsaŋ1		ts	ts	aŋ	22	1								
層	tsaŋ2		ts	ts	aŋ	44	2								
灇	tsaŋ2	泼	ts	ts	aŋ	44	2								
叢	tsaŋ2		ts	ts	aŋ	44	2								
□	tsaŋ3	抓头发	ts	ts	aŋ	53	3								
藏臟	tsaŋ4		ts	ts	aŋ	213	4								
粽	tsaŋ5		ts	ts	aŋ	21	5								
贊	tsaŋ5		ts	ts	aŋ	21	5								
壯	tsaŋ5		ts	ts	aŋ	21	5								
贈	tsaŋ6		ts	ts	aŋ	42	6								
餐	tsʰaŋ1		tsʰ	tsʰ	aŋ	22	1								
蔥	tsʰaŋ1		tsʰ	tsʰ	aŋ	22	1								
田	tsʰaŋ2	训	tsʰ	tsʰ	aŋ	44	2								
藏殘	tsʰaŋ2		tsʰ	tsʰ	aŋ	44	2								
塍	tsʰaŋ2		tsʰ	tsʰ	aŋ	44	2								
鏟	tsʰaŋ3		tsʰ	tsʰ	aŋ	53	3								
剷	tsʰaŋ3		tsʰ	tsʰ	aŋ	53	3								
剗	tsʰaŋ3		tsʰ	tsʰ	aŋ	53	3								
璨燦	tsʰaŋ5		tsʰ	tsʰ	aŋ	21	5								
創	tsʰaŋ5		tsʰ	tsʰ	aŋ	21	5								
鉎	saŋ1	铁锈	s	s	aŋ	22	1								
珊	saŋ1		s	s	aŋ	22	1								
山	saŋ1	文，下～虎，民宅类型	s	s	aŋ	22	1								
三	saŋ1	又音，～华李	s	s	aŋ	22	1								
鬆	saŋ1	白，轻～	s	s	aŋ	22	1								
刪姍	saŋ1		s	s	aŋ	22	1								
雙	saŋ1		s	s	aŋ	22	1								
送	saŋ5		s	s	aŋ	21	5								
喪	saŋ5		s	s	aŋ	21	5								
干奸	kaŋ1		k	k	aŋ	22	1								
乾艱	kaŋ1		k	k	aŋ	22	1								
江	kaŋ1		k	k	aŋ	22	1								
肛	kaŋ1		k	k	aŋ	22	1								
蚣	kaŋ1	蜈(ia2,ge2)~	k	k	aŋ	22	1								
工	kaŋ1		k	k	aŋ	22	1								
間	kaŋ1	中间	k	k	aŋ	22	1								
岡崗剛綱	kaŋ1		k	k	aŋ	22	1								
港癇簡	kaŋ3		k	k	aŋ	53	3								
講	kaŋ3		k	k	aŋ	53	3								
柬	kaŋ3		k	k	aŋ	53	3								
降幹	kaŋ5		k	k	aŋ	21	5								
共	kaŋ6		k	k	aŋ	42	6								
康	kʰaŋ1		kʰ	kʰ	aŋ	22	1								
功	kʰaŋ1	～课，指职业	kʰ	kʰ	aŋ	22	1								
空	kʰaŋ1	肚~~	kʰ	kʰ	aŋ	22	1								
孔	kʰaŋ1	洞	kʰ	kʰ	aŋ	22	1								
牽	kʰaŋ1		kʰ	kʰ	aŋ	22	1								
擎	kʰaŋ2	拿着	kʰ	kʰ	aŋ	44	2								
傾	kʰaŋ3	～斜，～khi1，表示把盆或者盘子斜着提起	kʰ	kʰ	aŋ	53	3								
看抗	kʰaŋ5		kʰ	kʰ	aŋ	21	5								
空	kʰaŋ5	三位数以上代指中间的0	kʰ	kʰ	aŋ	21	5								
亢	kʰaŋ5		kʰ	kʰ	aŋ	21	5								
言	ŋaŋ2		ŋ	ŋ	aŋ	44	2								
凝	ŋaŋ2	冷	ŋ	ŋ	aŋ	44	2								
眼	ŋaŋ3		ŋ	ŋ	aŋ	53	3								
雁彥	ŋaŋ4		ŋ	ŋ	aŋ	213	4								
烘	haŋ1	烧～（温暖）	h	h	aŋ	22	1								
寒韓	haŋ2		h	h	aŋ	44	2								
行杭	haŋ2		h	h	aŋ	44	2								
降	haŋ2	投～	h	h	aŋ	44	2								
罕捍桿焊	haŋ3		h	h	aŋ	53	3								
汗	haŋ3	文，如：成吉思～，阿富～	h	h	aŋ	53	3								
限	haŋ4		h	h	aŋ	213	4								
項	haŋ4		h	h	aŋ	213	4								
漢	haŋ5		h	h	aŋ	21	5								
巷	haŋ6		h	h	aŋ	42	6								
安肮氨	aŋ1				aŋ	22	1								
翁	aŋ1				aŋ	22	1								
洪	aŋ2	白：～阳iang2（普宁旧县城，旧名），～水，姓			aŋ	44	2								
紅	aŋ2				aŋ	44	2								
按	aŋ5				aŋ	21	5								
宴	aŋ5				aŋ	21	5								
彬邊	piaŋ1		p	p	iaŋ	22	1								
扁匾	piaŋ3	文	p	p	iaŋ	53	3								
便辯辯辮	piaŋ4		p	p	iaŋ	213	4								
變	piaŋ5		p	p	iaŋ	21	5								
篇偏	pʰiaŋ1		pʰ	pʰ	iaŋ	22	1								
編	pʰiaŋ1		pʰ	pʰ	iaŋ	22	1								
貶	pʰiaŋ3		pʰ	pʰ	iaŋ	53	3								
遍片騙	pʰiaŋ5		pʰ	pʰ	iaŋ	21	5								
棉	miaŋ2	~城，地名在潮阳	m	m	iaŋ	44	2								
綿	miaŋ2		m	m	iaŋ	44	2								
免勉娩緬	miaŋ3		m	m	iaŋ	53	3								
敏	miaŋ3		m	m	iaŋ	53	3								
珍	tiaŋ1		t	t	iaŋ	22	1								
顛癲巔滇	tiaŋ1		t	t	iaŋ	22	1								
碾展典碘	tiaŋ3		t	t	iaŋ	53	3								
殿電澱甸奠臀	tiaŋ4		t	t	iaŋ	213	4								
墊	tiaŋ4		t	t	iaŋ	213	4								
鎮	tiaŋ5		t	t	iaŋ	21	5								
天	tʰiaŋ1		tʰ	tʰ	iaŋ	22	1								
填	tʰiaŋ2		tʰ	tʰ	iaŋ	44	2								
暢	tʰiaŋ5		tʰ	tʰ	iaŋ	21	5								
良量	liaŋ2		l	l	iaŋ	44	2								
梁	liaŋ2	文	l	l	iaŋ	44	2								
連聯憐	liaŋ2		l	l	iaŋ	44	2								
臉	liaŋ3		l	l	iaŋ	53	3								
兩輛	liaŋ3		l	l	iaŋ	53	3								
量亮諒	liaŋ4		l	l	iaŋ	213	4								
練煉鏈	liaŋ6		l	l	iaŋ	42	6								
娘	niaŋ2		n	n	iaŋ	44	2								
煎	tsiaŋ1		ts	ts	iaŋ	22	1								
章漳彰將樟	tsiaŋ1		ts	ts	iaŋ	22	1								
張	tsiaŋ1	文，开～	ts	ts	iaŋ	22	1								
踐診剪疹	tsiaŋ3		ts	ts	iaŋ	53	3								
長	tsiaŋ3		ts	ts	iaŋ	53	3								
趁	tsiaŋ3		ts	ts	iaŋ	53	3								
丈仗杖漲	tsiaŋ4		ts	ts	iaŋ	213	4								
障獎將	tsiaŋ5		ts	ts	iaŋ	21	5								
戰薦	tsiaŋ5		ts	ts	iaŋ	21	5								
昌娼猖	tsʰiaŋ1		tsʰ	tsʰ	iaŋ	22	1								
長	tsʰiaŋ2		tsʰ	tsʰ	iaŋ	44	2								
敞廠	tsʰiaŋ3		tsʰ	tsʰ	iaŋ	53	3								
淺	tsʰiaŋ3		tsʰ	tsʰ	iaŋ	53	3								
倡唱悵	tsʰiaŋ5		tsʰ	tsʰ	iaŋ	21	5								
然燃	dziaŋ2		dz	dz	iaŋ	44	2								
壤攘	dziaŋ3		dz	dz	iaŋ	53	3								
嚷	dziaŋ3		dz	dz	iaŋ	53	3								
酿	dziaŋ3		dz	dz	iaŋ	53	3								
讓	dziaŋ4		dz	dz	iaŋ	213	4								
仙	siaŋ1		s	s	iaŋ	22	1								
相厢湘商	siaŋ1		s	s	iaŋ	22	1								
祥翔詳嫦	siaŋ2		s	s	iaŋ	44	2								
嘗	siaŋ2	文，～试	s	s	iaŋ	44	2								
婵	siaŋ2	tiau1～：贤惠	s	s	iaŋ	44	2								
想	siaŋ3	文，理～	s	s	iaŋ	53	3								
鮮	siaŋ3	文，朝~	s	s	iaŋ	53	3								
善	siaŋ4		s	s	iaŋ	213	4								
想	siaŋ4	～着（觉得）。替字，本字未知	s	s	iaŋ	213	4								
象	siaŋ4	印～	s	s	iaŋ	213	4								
上	siaŋ4	文：～海。口语表示“最”，如：“上好”，最好	s	s	iaŋ	213	4								
尚	siaŋ4		s	s	iaŋ	213	4								
單	siaŋ4	姓	s	s	iaŋ	213	4								
腎	siaŋ4		s	s	iaŋ	213	4								
相	siaŋ5	丞～	s	s	iaŋ	21	5								
娟捐堅	kiaŋ1		k	k	iaŋ	22	1								
疆僵姜	kiaŋ1		k	k	iaŋ	22	1								
建	kiaŋ4	～设	k	k	iaŋ	213	4								
健鍵	kiaŋ4		k	k	iaŋ	213	4								
建	kiaŋ5	福～	k	k	iaŋ	21	5								
乾虔	kʰiaŋ2		kʰ	kʰ	iaŋ	44	2								
強	kʰiaŋ2	～力	kʰ	kʰ	iaŋ	44	2								
遣譴	kʰiaŋ3		kʰ	kʰ	iaŋ	53	3								
犬	kʰiaŋ3		kʰ	kʰ	iaŋ	53	3								
肯	kʰiaŋ3	又	kʰ	kʰ	iaŋ	53	3								
啃	kʰiaŋ3		kʰ	kʰ	iaŋ	53	3								
強	kʰiaŋ5	厉害	kʰ	kʰ	iaŋ	21	5								
勥	kʰiaŋ5		kʰ	kʰ	iaŋ	21	5								
研妍	ŋiaŋ2		ŋ	ŋ	iaŋ	44	2								
研	ŋiaŋ3	~究	ŋ	ŋ	iaŋ	53	3								
仰	ŋiaŋ3		ŋ	ŋ	iaŋ	53	3								
憖	ŋiaŋ5	喜欢	ŋ	ŋ	iaŋ	21	5								
掀	hiaŋ1	文	h	h	iaŋ	22	1								
香	hiaŋ1		h	h	iaŋ	22	1								
玄賢懸	hiaŋ2		h	h	iaŋ	44	2								
享响響	hiaŋ3		h	h	iaŋ	53	3								
顯	hiaŋ3		h	h	iaŋ	53	3								
炫	hiaŋ4		h	h	iaŋ	213	4								
向嚮	hiaŋ5		h	h	iaŋ	21	5								
憲獻	hiaŋ5		h	h	iaŋ	21	5								
□	hiaŋ5	气味	h	h	iaŋ	21	5								
眩	hiaŋ6		h	h	iaŋ	42	6								
現	hiaŋ6		h	h	iaŋ	42	6								
蔫焉	iaŋ1				iaŋ	22	1								
央秧殃	iaŋ1				iaŋ	22	1								
煙淵	iaŋ1				iaŋ	22	1								
演寅沿鉛	iaŋ2				iaŋ	44	2								
陽瘍揚	iaŋ2				iaŋ	44	2								
遠	iaŋ3				iaŋ	53	3								
氧養	iaŋ3				iaŋ	53	3								
兗	iaŋ3				iaŋ	53	3								
延援羨	iaŋ4				iaŋ	213	4								
漾	iaŋ4				iaŋ	213	4								
燕	iaŋ5	～窝			iaŋ	21	5								
映	iaŋ5				iaŋ	21	5								
叛	pfuaŋ4		pf	p	uaŋ	213	4								
磐	pfʰuaŋ2		pfʰ	pʰ	uaŋ	44	2								
拌胖判	pfʰuaŋ5		pfʰ	pʰ	uaŋ	21	5								
亡忘	bvuaŋ2		bv	b	uaŋ	44	2								
罔	bvuaŋ3		bv	b	uaŋ	53	3								
妄	bvuaŋ3		bv	b	uaŋ	53	3								
