"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"
"3010"	"薦"	"荐"	"tsĩ去声"	"白"	""	""
"3011"	"千"	"千"	"tsʰiaŋ阴平"	"文"	""	""
"3012"	"千"	"千"	"tsʰaĩ阴平"	"白"	""	""
"3013"	"前"	"前"	"tsaĩ阳平"	""	""	""
"3014"	"先"	"先"	"siaŋ阴平"	"文"	""	""
"3015"	"先"	"先"	"siŋ阴平"	"文"	""	""
"3016"	"先"	"先"	"saĩ阴平"	"白"	""	""
"3017"	"肩"	"肩"	"kaĩ阴平"	""	""	""
"3018"	"堅"	"坚"	"kiaŋ阴平"	""	""	""
"3019"	"繭"	"茧"	"kiaŋ阴上"	"文"	""	""
"3020"	"繭"	"茧"	"kaĩ阴上"	"白"	""	""
"3021"	"見"	"见"	"kiaŋ去声"	"文"	""	""
"3022"	"見"	"见"	"kĩ去声"	"白"	""	""
"3023"	"牽"	"牵"	"kʰaŋ阴平"	""	""	""
"3024"	"研"	"研"	"ŋiaŋ阴上"	"文"	""	""
"3025"	"研"	"研"	"ŋiaŋ阳平"	"又"	""	""
"3026"	"研"	"研"	"ŋai阴上"	"白"	""	""
"3027"	"硯"	"砚"	"ŋiaŋ去声"	""	""	""
"3028"	"顯"	"显"	"hiaŋ阴上"	""	""	""
"3029"	"賢"	"贤"	"hiaŋ阳平"	""	""	""
"3030"	"弦"	"弦"	"hiaŋ阳平"	"文"	""	""
"3031"	"弦"	"弦"	"hĩ阳平"	"白"	""	""
"3032"	"現"	"现"	"hiaŋ去声"	""	""	""
"3033"	"煙"	"烟"	"iaŋ阴平"	""	""	""
"3034"	"煙"	"烟"	"iŋ阴平"	""	""	""
"3035"	"煙"	"烟"	"eŋ阴平"	"替"	""	""
"3036"	"燕"	"燕"	"iaŋ去声"	"文"	""	""
"3037"	"燕"	"燕"	"ĩ去声"	"白"	""	""
"3038"	"嚥"	"咽"	"iaŋ去声"	""	""	""
"3039"	"宴"	"宴"	"iaŋ去声"	""	""	""
"3040"	"獺"	"獭"	"tʰak阴入"	"文"	""	""
"3041"	"獺"	"獭"	"tʰuaʔ阴入"	"白"	""	""
"3042"	"達"	"达"	"tak阳入"	""	""	""
"3043"	"捺"	"捺"	"nak阳入"	""	""	""
"3044"	"捺"	"捺"	"nai阳上"	"俗"	""	""
"3045"	"辣"	"辣"	"luaʔ阴入"	"白"	""	""
"3046"	"辣"	"辣"	"luaʔ阳入"	"白"	""	""
"3047"	"辣"	"辣"	"laʔ文"	""	""	""
"3048"	"辣"	"辣"	"lak阳入"	"文"	""	""
"3049"	"癩"	"癞"	"lai去声"	"文"	""	""
"3050"	"癩"	"癞"	"lak阳入"	"文"	""	""
"3051"	"擦"	"擦"	"tsʰak阴入"	""	""	""
"3052"	"撒"	"撒"	"sak阴入"	"文"	""	""
"3053"	"撒"	"撒"	"suaʔ阴入"	"白"	""	""
"3054"	"薩"	"萨"	"sak阴入"	""	""	""
"3055"	"割"	"割"	"kak阴入"	"文"	""	""
"3056"	"割"	"割"	"kuaʔ阴入"	"白"	""	""
"3057"	"葛"	"葛"	"kak阴入"	"文"	""	""
"3058"	"葛"	"葛"	"kuaʔ阴入"	"白"	""	""
"3059"	"渴"	"渴"	"kʰak阴入"	"文"	""	""
"3060"	"渴"	"渴"	"kʰuaʔ阴入"	"白"	""	""
"3061"	"曷"	"曷"	"hak阴入"	""	""	""
"3062"	"八"	"八"	"pak阴入"	"文"	""	""
"3063"	"八"	"八"	"poiʔ阴入"	"白"	""	""
"3064"	"八"	"八"	"piak阴入"	"又"	""	""
"3065"	"拔"	"拔"	"puak阳入"	"文"	""	""
"3066"	"拔"	"拔"	"poiʔ阳入"	"俗"	""	""
"3067"	"札"	"札"	"tsak阴入"	""	""	""
"3068"	"紮"	"扎"	"tsak阴入"	""	""	""
"3069"	"扎"	"扎"	"tsak阴入"	""	""	""
"3070"	"察"	"察"	"tsʰak阴入"	""	""	""
"3071"	"殺"	"杀"	"sak阴入"	"文"	""	""
"3072"	"殺"	"杀"	"suaʔ阴入"	"白"	""	""
"3073"	"軋"	"轧"	"ak阴入"	"文"	""	""
"3074"	"軋"	"轧"	"iak阴入"	"又"	""	""
"3075"	"軋"	"轧"	"kʰoiʔ阴入"	"俗"	""	""
"3076"	"鍘"	"铡"	"tsak阴入"	""	""	""
"3077"	"瞎"	"瞎"	"hak阴入"	""	""	""
"3078"	"轄"	"辖"	"hak阴入"	""	""	""
"3079"	"別"	"别"	"piak阳入"	"文"	""	""
"3080"	"別"	"别"	"pak阳入"	"白"	""	""
"3081"	"別"	"别"	"pak阴入"	"白"	""	""
"3082"	"別"	"别"	"bak阳入"	"白"	""	""
"3083"	"憋"	"憋"	"piak阴入"	"文"	""	""
"3084"	"憋"	"憋"	"piʔ阴入"	"白"	""	""
"3085"	"鱉"	"鳖"	"piʔ阴入"	""	""	""
"3086"	"滅"	"灭"	"miak阳入"	""	""	""
"3087"	"列"	"列"	"liak阳入"	""	""	""
"3088"	"裂"	"裂"	"liak阳入"	"文"	""	""
"3089"	"裂"	"裂"	"liʔ阳入"	"白"	""	""
"3090"	"裂"	"裂"	"leʔ阳入"	"白"	""	""
"3091"	"烈"	"烈"	"liak阳入"	""	""	""
"3092"	"薛"	"薛"	"siʔ阳入"	""	""	""
"3093"	"褻"	"亵"	"siak阴入"	""	""	""
"3094"	"泄"	"泄"	"siak阴入"	""	""	""
"3095"	"哲"	"哲"	"tiak阴入"	""	""	""
"3096"	"徹"	"彻"	"tʰiak阴入"	""	""	""
"3097"	"撤"	"撤"	"tʰiak阴入"	""	""	""
"3098"	"撤"	"撤"	"tsʰek阴入"	"又"	""	""
"3099"	"轍"	"辙"	"tʰiak阴入"	""	""	""
"3100"	"折"	"折"	"tsiak阴入"	"文"	""	""
"3101"	"折"	"折"	"tsiʔ阴入"	"白"	""	""
"3102"	"折"	"折"	"tsiʔ阳入"	"白"	""	""
"3103"	"浙"	"浙"	"tsiak阴入"	""	""	""
"3104"	"舌"	"舌"	"tsiʔ阳入"	""	""	""
"3105"	"設"	"设"	"siak阴入"	""	""	""
"3106"	"熱"	"热"	"dziak阳入"	"文"	""	""
"3107"	"熱"	"热"	"dzuaʔ阳入"	"白"	""	""
"3108"	"孑"	"孑"	"kiak阴入"	""	""	""
"3109"	"傑"	"杰"	"kiak阳入"	""	""	""
"3110"	"孽"	"孽"	"ŋiak阳入"	""	""	""
"3111"	"揭"	"揭"	"kiak阴入"	"文"	""	""
"3112"	"揭"	"揭"	"kiaʔ阴入"	"白"	""	""
"3113"	"揭"	"揭"	"kik阳上"	"又"	""	""
"3114"	"揭"	"揭"	"kia阳平"	"又"	""	""
"3115"	"竭"	"竭"	"kiak阳入"	""	""	""
"3116"	"歇"	"歇"	"hiak阴入"	"文"	""	""
"3117"	"歇"	"歇"	"hiaʔ阴入"	"白"	""	""
"3118"	"蝎"	"蝎"	"hiak阴入"	""	""	""
"3119"	"蝎"	"蝎"	"hak阴入"	""	""	""
"3120"	"謁"	"谒"	"iak阴入"	""	""	""
"3121"	"撇"	"撇"	"pʰiak阴入"	"文"	""	""
"3122"	"撇"	"撇"	"pʰuak阴入"	""	""	""
"3123"	"篾"	"篾"	"miak阳入"	"文"	""	""
"3124"	"篾"	"篾"	"biʔ阳入"	"白"	""	""
"3125"	"鐵"	"铁"	"tʰĩ阴入"	""	""	""
"3126"	"迭"	"迭"	"tiak阴入"	""	""	""
"3127"	"跌"	"跌"	"tiak阴入"	"文"	""	""
"3128"	"跌"	"跌"	"tiʔ阴入"	"白"	""	""
"3129"	"捏"	"捏"	"niak阴入"	"文"	""	""
"3130"	"節"	"节"	"tsiak阴入"	"文"	""	""
"3131"	"節"	"节"	"tsak阴入"	"又"	""	""
"3132"	"節"	"节"	"tsoiʔ阴入"	"白"	""	""
"3133"	"切"	"切"	"tsʰiak阴入"	""	""	""
"3134"	"切"	"切"	"tsʰik阴入"	""	""	""
"3135"	"截"	"截"	"tsʰiak阳入"	"文"	""	""
"3136"	"截"	"截"	"tsoiʔ阳入"	"白"	""	""
"3137"	"屑"	"屑"	"siak阴入"	"文"	""	""
"3138"	"屑"	"屑"	"siaʔ阴入"	"白"	""	""
"3139"	"結"	"结"	"kiak阴入"	"文"	""	""
"3140"	"結"	"结"	"kak阴入"	"白"	""	""
"3141"	"潔"	"洁"	"kiak阴入"	""	""	""
"3142"	"噎"	"噎"	"iak阴入"	""	""	""
"3143"	"噎"	"噎"	"ik阴入"	""	""	""
"3144"	"搬"	"搬"	"puã阳平"	""	""	""
"3145"	"般"	"般"	"pʰuaŋ阳平"	"文"	""	""
"3146"	"般"	"般"	"pʰuã阴平"	"白"	""	""
"3147"	"半"	"半"	"puaŋ去声"	"文"	""	""
"3148"	"半"	"半"	"puã去声"	"白"	""	""
"3149"	"絆"	"绊"	"pʰuaŋ去声"	"文"	""	""
"3150"	"絆"	"绊"	"puã阳上"	"白"	""	""
"3151"	"潘"	"潘"	"pʰuaŋ阴平"	"文"	""	""
"3152"	"潘"	"潘"	"pʰuã阴平"	"白"	""	""
"3153"	"潘"	"潘"	"pʰuŋ阴平"	"又"	""	""
"3154"	"拚"	"拚"	"piã去声"	""	""	""
"3155"	"判"	"判"	"pʰuaŋ去声"	"文"	""	""
"3156"	"判"	"判"	"pʰuã去声"	"白"	""	""
"3157"	"盤"	"盘"	"pʰuaŋ阳平"	"文"	""	""
"3158"	"盤"	"盘"	"puã阳平"	"白"	""	""
"3159"	"伴"	"伴"	"puaŋ阳上"	"文"	""	""
"3160"	"伴"	"伴"	"puã阳上"	"白"	""	""
"3161"	"叛"	"叛"	"puaŋ阳上"	""	""	""
"3162"	"瞞"	"瞒"	"mua阳平"	""	""	""
"3163"	"饅"	"馒"	"maŋ阴平"	""	""	""
"3164"	"滿"	"满"	"muaŋ阴上"	"文"	""	""
"3165"	"滿"	"满"	"mua阴上"	"白"	""	""
"3166"	"漫"	"漫"	"muaŋ阳上"	"文"	""	""
"3167"	"漫"	"漫"	"maŋ去声"	"又"	""	""
"3168"	"漫"	"漫"	"mua去声"	"白"	""	""
"3169"	"幔"	"幔"	"muaŋ去声"	"文"	""	""
"3170"	"幔"	"幔"	"buaŋ去声"	"文"	""	""
"3171"	"幔"	"幔"	"mua阴平"	"替"	""	""
"3172"	"端"	"端"	"tuaŋ阴平"	""	""	""
"3173"	"短"	"短"	"tuaŋ阴上"	"文"	""	""
"3174"	"短"	"短"	"to阴上"	"白"	""	""
"3175"	"斷"	"断"	"tuaŋ阳上"	"文"	""	""
"3176"	"斷"	"断"	"tuaŋ去声"	"文"	""	""
"3177"	"斷"	"断"	"tŋ阳上"	"白"	""	""
"3178"	"鍛"	"锻"	"tuaŋ去声"	""	""	""
"3179"	"團"	"团"	"tʰuaŋ阳平"	""	""	""
"3180"	"段"	"段"	"tuaŋ去声"	"文"	""	""
"3181"	"段"	"段"	"tŋ去声"	"白"	""	""
"3182"	"緞"	"缎"	"tuaŋ去声"	"文"	""	""
"3183"	"緞"	"缎"	"tŋ去声"	"白"	""	""
"3184"	"暖"	"暖"	"nuaŋ阴上"	""	""	""
"3185"	"鸞"	"鸾"	"luaŋ阳平"	""	""	""
"3186"	"卵"	"卵"	"luaŋ阳上"	"文"	""	""
"3187"	"卵"	"卵"	"nŋ阳上"	"白"	""	""
"3188"	"卵"	"卵"	"laŋ阳上"	"又"	""	""
"3189"	"亂"	"乱"	"luaŋ阳上"	""	""	""
"3190"	"亂"	"乱"	"dzuaŋ阳上"	""	""	""
"3191"	"亂"	"乱"	"luŋ阳上"	""	""	""
"3192"	"鑽"	"钻"	"tsuaŋ去声"	"文"	""	""
"3193"	"鑽"	"钻"	"tsŋ去声"	"白"	""	""
"3194"	"鑽"	"钻"	"nŋ去声"	"替"	""	""
"3195"	"纂"	"纂"	"tsʰuaŋ去声"	""	""	""
"3196"	"竄"	"窜"	"tsʰuaŋ去声"	""	""	""
"3197"	"酸"	"酸"	"suaŋ阴平"	"文"	""	""
"3198"	"酸"	"酸"	"sŋ阴平"	"白"	""	""
"3199"	"算"	"算"	"suaŋ去声"	"文"	""	""
"3200"	"算"	"算"	"sŋ去声"	"白"	""	""
"3201"	"蒜"	"蒜"	"suaŋ去声"	"文"	""	""
"3202"	"蒜"	"蒜"	"sŋ去声"	"白"	""	""
"3203"	"官"	"官"	"kuaŋ阴平"	"文"	""	""
"3204"	"官"	"官"	"kuã阴平"	"白"	""	""
"3205"	"觀"	"观"	"kuaŋ阴平"	""	""	""
"3206"	"觀"	"观"	"kuaŋ去声"	""	""	""
"3207"	"冠"	"冠"	"kuaŋ阴平"	""	""	""
"3208"	"冠"	"冠"	"kuaŋ去声"	""	""	""
"3209"	"管"	"管"	"kuaŋ阴上"	"文"	""	""
"3210"	"管"	"管"	"kŋ阴上"	"白"	""	""
"3211"	"館"	"馆"	"kuaŋ阴上"	""	""	""
"3212"	"灌"	"灌"	"kuaŋ去声"	""	""	""
"3213"	"罐"	"罐"	"kuaŋ去声"	""	""	""
"3214"	"貫"	"贯"	"kuaŋ去声"	""	""	""
"3215"	"寬"	"宽"	"kʰuaŋ阴平"	"文"	""	""
"3216"	"寬"	"宽"	"kʰuã阴平"	"白"	""	""
"3217"	"款"	"款"	"kʰuaŋ阴上"	"文"	""	""
"3218"	"款"	"款"	"kʰuã阴上"	"白"	""	""
"3219"	"玩"	"玩"	"ŋuaŋ阴上"	""	""	""
"3220"	"歡"	"欢"	"huaŋ阴平"	"文"	""	""
"3221"	"歡"	"欢"	"huã阴平"	"白"	""	""
"3222"	"喚"	"唤"	"huaŋ去声"	""	""	""
"3223"	"煥"	"焕"	"huaŋ去声"	""	""	""
"3224"	"桓"	"桓"	"huaŋ阳平"	""	""	""
"3225"	"完"	"完"	"uaŋ阳平"	""	""	""
"3226"	"丸"	"丸"	"uaŋ阳平"	""	""	""
"3227"	"丸"	"丸"	"ĩ阳平"	"训读圆"	""	""
"3228"	"紈"	"纨"	"uaŋ阳平"	""	""	""
"3229"	"緩"	"缓"	"huaŋ阴上"	""	""	""
"3230"	"皖"	"皖"	"uaŋ阴上"	""	""	""
"3231"	"換"	"换"	"huaŋ去声"	"文"	""	""
"3232"	"換"	"换"	"uã去声"	"白"	""	""
"3233"	"豌"	"豌"	"uaŋ阴平"	""	""	""
"3234"	"碗"	"碗"	"uã阴上"	""	""	""
"3235"	"腕"	"腕"	"uã阴上"	""	""	""
"3236"	"鰥"	"鳏"	"kuaŋ阴平"	""	""	""
"3237"	"幻"	"幻"	"huam去声"	""	""	""
"3238"	"篡"	"篡"	"tsʰuaŋ去声"	""	""	""
"3239"	"撰"	"撰"	"tsuaŋ阳上"	""	""	""
"3240"	"閂"	"闩"	"suaŋ阴平"	"文"	""	""
"3241"	"閂"	"闩"	"tsʰuã去声"	"训"	""	""
"3242"	"拴"	"拴"	"tsʰuaŋ阳平"	""	""	""
"3243"	"涮"	"涮"	"suaŋ去声"	""	""	""
"3244"	"關"	"关"	"kuaŋ阴平"	"文"	""	""
"3245"	"關"	"关"	"kuẽ阴平"	"白"	""	""
"3246"	"慣"	"惯"	"kuaŋ去声"	"文"	""	""
"3247"	"慣"	"惯"	"kuaĩ去声"	"白"	""	""
"3248"	"頑"	"顽"	"ŋuaŋ阴上"	""	""	""
"3249"	"還"	"还"	"huaŋ阳平"	"文"	""	""
"3250"	"還"	"还"	"haŋ阳平"	"又"	""	""
"3251"	"還"	"还"	"huã阴平"	"白"	""	""
"3252"	"還"	"还"	"haĩ阳平"	"白"	""	""
"3253"	"環"	"环"	"huaŋ阳平"	""	""	""
"3254"	"患"	"患"	"huaŋ阳上"	""	""	""
"3255"	"宦"	"宦"	"huaŋ去声"	""	""	""
"3256"	"彎"	"弯"	"uaŋ阴平"	""	""	""
"3257"	"灣"	"湾"	"uaŋ阴平"	""	""	""
"3258"	"戀"	"恋"	"luaŋ去声"	""	""	""
"3259"	"痊"	"痊"	"tsʰuaŋ阳平"	""	""	""
"3260"	"全"	"全"	"tsʰuaŋ阳平"	"文"	""	""
"3261"	"全"	"全"	"tsŋ阳平"	"白"	""	""
"3262"	"泉"	"泉"	"tsuã阳平"	""	""	""
"3263"	"宣"	"宣"	"suaŋ阴平"	""	""	""
"3264"	"選"	"选"	"suaŋ阴上"	""	""	""
"3265"	"旋"	"旋"	"suaŋ阳平"	"文"	""	""
"3266"	"旋"	"旋"	"suaŋ去声"	"文"	""	""
"3267"	"旋"	"旋"	"tsŋ去声"	"白"	""	""
"3268"	"鏇"	"旋"	"suaŋ去声"	""	""	""
"3269"	"轉"	"转"	"tsuaŋ阴上"	"文"	""	""
"3270"	"轉"	"转"	"tŋ阴上"	"白"	""	""
"3271"	"轉"	"转"	"dzuaŋ阴上"	"又"	""	""
"3272"	"傳"	"传"	"tʰuaŋ阳平"	"文"	""	""
"3273"	"傳"	"传"	"tuaŋ阳平"	"文"	""	""
"3274"	"傳"	"传"	"tuaŋ去声"	"文"	""	""
"3275"	"傳"	"传"	"tŋ去声"	"白"	""	""
"3276"	"椽"	"椽"	"tsʰuaŋ阳平"	""	""	""
"3277"	"篆"	"篆"	"tuaŋ阳上"	""	""	""
"3278"	"專"	"专"	"tsuaŋ阴平"	""	""	""
"3279"	"磚"	"砖"	"tsuaŋ阴平"	"文"	""	""
"3280"	"磚"	"砖"	"tsŋ阴平"	"白"	""	""
"3281"	"川"	"川"	"tsʰuaŋ阴平"	""	""	""
"3282"	"穿"	"穿"	"tsʰuaŋ阴平"	"文"	""	""
"3283"	"穿"	"穿"	"tsʰŋ阴平"	"白"	""	""
"3284"	"穿"	"穿"	"tsʰŋ去声"	"训"	""	""
"3285"	"喘"	"喘"	"tsʰuaŋ阴上"	"文"	""	""
"3286"	"喘"	"喘"	"tsʰuã阴上"	"白"	""	""
"3287"	"舛"	"舛"	"tsʰuaŋ阴上"	""	""	""
"3288"	"串"	"串"	"tsʰuaŋ去声"	""	""	""
"3289"	"船"	"船"	"tsʰuaŋ阳平"	"文"	""	""
"3290"	"船"	"船"	"tsuŋ阳平"	"白"	""	""
"3291"	"軟"	"软"	"dzuaŋ阴上"	"文"	""	""
"3292"	"軟"	"软"	"nŋ阴上"	"白"	""	""
"3293"	"捲"	"卷"	"kuaŋ阴上"	"文"	""	""
"3294"	"捲"	"卷"	"kŋ阴上"	"白"	""	""
"3295"	"眷"	"眷"	"kuaŋ去声"	""	""	""
"3296"	"卷"	"卷"	"kuaŋ阴上"	"文"	""	""
"3297"	"卷"	"卷"	"kŋ阴上"	"白"	""	""
"3298"	"絹"	"绢"	"kiaŋ去声"	""	""	""
"3299"	"圈"	"圈"	"kʰuaŋ阴平"	""	""	""
"3300"	"圈"	"圈"	"kʰiaŋ阴平"	""	""	""
"3301"	"權"	"权"	"kʰuaŋ阳平"	""	""	""
"3302"	"拳"	"拳"	"kuŋ阳平"	""	""	""
"3303"	"鬈"	"鬈"	"kʰuaŋ阳平"	""	""	""
"3304"	"倦"	"倦"	"kuaŋ去声"	""	""	""
"3305"	"員"	"员"	"uaŋ阳平"	""	""	""
"3306"	"圓"	"圆"	"uaŋ阳平"	"文"	""	""
"3307"	"圓"	"圆"	"ĩ阳平"	"白"	""	""
"3308"	"院"	"院"	"uaŋ阳平"	"文"	""	""
"3309"	"院"	"院"	"ĩ阳平"	"白"	""	""
"3310"	"緣"	"缘"	"uaŋ阳平"	""	""	""
"3311"	"沿"	"沿"	"iaŋ阳平"	""	""	""
"3312"	"鉛"	"铅"	"iaŋ阳平"	""	""	""
"3313"	"捐"	"捐"	"kiaŋ阴平"	""	""	""
"3314"	"兖"	"兖"	"iaŋ阳上"	""	""	""
"3315"	"藩"	"藩"	"pʰuaŋ阴平"	""	""	""
"3316"	"反"	"反"	"huaŋ阴上"	"文"	""	""
"3317"	"反"	"反"	"paĩ阴上"	"白"	""	""
"3318"	"翻"	"翻"	"huaŋ阴平"	""	""	""
"3319"	"番"	"番"	"huaŋ阴平"	"文"	""	""
"3320"	"番"	"番"	"pʰuã阴平"	"白"	""	""
"3321"	"番"	"番"	"pʰuaŋ阴平"	"文"	""	""
"3322"	"番"	"番"	"haŋ阴平"	"文"	""	""
"3323"	"販"	"贩"	"huaŋ去声"	"文"	""	""
"3324"	"販"	"贩"	"pʰaŋ去声"	"白"	""	""
"3325"	"煩"	"烦"	"huaŋ阳平"	""	""	""
"3326"	"礬"	"矾"	"huaŋ阳平"	""	""	""
"3327"	"繁"	"繁"	"huaŋ阳平"	""	""	""
"3328"	"飯"	"饭"	"huam阳上"	"文"	""	""
"3329"	"飯"	"饭"	"pŋ去声"	"白"	""	""
"3330"	"晚"	"晚"	"buaŋ阳上"	"文"	""	""
"3331"	"晚"	"晚"	"mŋ阳上"	"白"	""	""
"3332"	"挽"	"挽"	"maŋ阴上"	""	""	""
"3333"	"萬"	"万"	"buaŋ去声"	"文"	""	""
"3334"	"萬"	"万"	"maŋ去声"	"又"	""	""
"3335"	"勸"	"劝"	"kʰiaŋ去声"	"文"	""	""
"3336"	"勸"	"劝"	"kʰŋ去声"	"白"	""	""
"3337"	"券"	"券"	"kŋ阴上"	"训卷字"	""	""
"3338"	"元"	"元"	"ŋuaŋ阳平"	"文"	""	""
"3339"	"原"	"原"	"ŋuaŋ阳平"	""	""	""
"3340"	"源"	"源"	"ŋuaŋ阳平"	""	""	""
"3341"	"阮"	"阮"	"ŋuaŋ阳平"	""	""	""
"3342"	"願"	"愿"	"ŋuaŋ阳上"	""	""	""
"3343"	"喧"	"喧"	"suaŋ阴平"	""	""	""
"3344"	"楦"	"楦"	"suaŋ阴平"	""	""	""
"3345"	"冤"	"冤"	"uaŋ阴平"	""	""	""
"3346"	"宛"	"宛"	"uaŋ阴上"	""	""	""
"3347"	"婉"	"婉"	"uaŋ阴上"	""	""	""
"3348"	"怨"	"怨"	"uaŋ去声"	""	""	""
"3349"	"袁"	"袁"	"uaŋ阳平"	""	""	""
"3350"	"園"	"园"	"uaŋ阳平"	"文"	""	""
"3351"	"園"	"园"	"hŋ阳平"	"白"	""	""
"3352"	"援"	"援"	"huã去声"	"白"	""	""
"3353"	"援"	"援"	"iaŋ阳平"	"文"	""	""
"3354"	"援"	"援"	"iaŋ阳上"	"文"	""	""
"3355"	"垣"	"垣"	"huaŋ阳平"	""	""	""
"3356"	"遠"	"远"	"iaŋ阴上"	"文"	""	""
"3357"	"遠"	"远"	"hŋ阳上"	"白"	""	""
"3358"	"涓"	"涓"	"kiaŋ阴平"	""	""	""
"3359"	"犬"	"犬"	"kʰiaŋ阴上"	""	""	""
"3360"	"懸"	"悬"	"hiaŋ阳平"	"文"	""	""
"3361"	"懸"	"悬"	"kuaĩ阳平"	"白"	""	""
"3362"	"玄"	"玄"	"hiaŋ阳平"	""	""	""
"3363"	"縣"	"县"	"hiaŋ阳上"	"文"	""	""
"3364"	"縣"	"县"	"kuaĩ去声"	"白"	""	""
"3365"	"眩"	"眩"	"hiaŋ阳平"	"文"	""	""
"3366"	"眩"	"眩"	"hiŋ阳平"	"白"	""	""
"3367"	"淵"	"渊"	"iaŋ阴平"	""	""	""
"3368"	"淵"	"渊"	"uaŋ阴平"	""	""	""
"3369"	"缽"	"钵"	"puaʔ阴入"	""	""	""
"3370"	"撥"	"拨"	"puak阴入"	"文"	""	""
"3371"	"撥"	"拨"	"puaʔ阴入"	"白"	""	""
"3372"	"潑"	"泼"	"pʰuak阴入"	"文"	""	""
"3373"	"潑"	"泼"	"pʰuaʔ阴入"	"白"	""	""
"3374"	"鈸"	"钹"	"puak阳入"	"文"	""	""
"3375"	"鈸"	"钹"	"buaʔ阳入"	"白"	""	""
"3376"	"跋"	"跋"	"puak阳入"	"文"	""	""
"3377"	"跋"	"跋"	"puaʔ阳入"	"白"	""	""
"3378"	"末"	"末"	"muak阳入"	"文"	""	""
"3379"	"末"	"末"	"buaʔ阳入"	"白"	""	""
"3380"	"抹"	"抹"	"muak阳入"	"文"	""	""
"3381"	"抹"	"抹"	"buaʔ阳入"	"白"	""	""
"3382"	"沫"	"沫"	"muak阳入"	"文"	""	""
"3383"	"沫"	"沫"	"buaʔ阳入"	"白"	""	""
"3384"	"掇"	"掇"	"tuak阳入"	"文"	""	""
"3385"	"掇"	"掇"	"toʔ阳入"	"白"	""	""
"3386"	"脫"	"脱"	"tʰuak阴入"	"文"	""	""
"3387"	"脫"	"脱"	"tʰuk阴入"	"又"	""	""
"3388"	"脫"	"脱"	"luk阴入"	"又"	""	""
"3389"	"奪"	"夺"	"tuak阳入"	"文"	""	""
"3390"	"奪"	"夺"	"toʔ阳入"	"白"	""	""
"3391"	"捋"	"捋"	"luak阴入"	"文"	""	""
"3392"	"捋"	"捋"	"luk阳入"	"又"	""	""
"3393"	"撮"	"撮"	"tsʰuak阴入"	"文"	""	""
"3394"	"撮"	"撮"	"tsʰoʔ阴入"	"白"	""	""
"3395"	"括"	"括"	"kuak阴入"	"文"	""	""
"3396"	"括"	"括"	"kuaʔ阴入"	"白"	""	""
"3397"	"括"	"括"	"kuat阴入"	"又"	""	""
"3398"	"闊"	"阔"	"kʰuak阴入"	"文"	""	""
"3399"	"闊"	"阔"	"kʰuat阴入"	"又"	""	""
"3400"	"闊"	"阔"	"kʰuaʔ阴入"	"白"	""	""
"3401"	"豁"	"豁"	"huak阴入"	""	""	""
"3402"	"活"	"活"	"kuak阴入"	"文"	""	""
"3403"	"活"	"活"	"uaʔ阳入"	"白"	""	""
"3404"	"斡"	"斡"	"uak阴入"	"文"	""	""
"3405"	"斡"	"斡"	"uk阴入"	"白"	""	""
"3406"	"滑"	"滑"	"kuk阳入"	""	""	""
"3407"	"猾"	"猾"	"kuk阳入"	""	""	""
"3408"	"挖"	"挖"	"uak阴入"	""	""	""
"3409"	"挖"	"挖"	"uek阴入"	"又"	""	""
"3410"	"刷"	"刷"	"suak阴入"	"文"	""	""
"3411"	"刷"	"刷"	"sueʔ阴入"	"白"	""	""
"3412"	"刮"	"刮"	"kuak阴入"	"文"	""	""
"3413"	"刮"	"刮"	"kuaʔ阴入"	"白"	""	""
"3414"	"刮"	"刮"	"kueʔ阴入"	"又"	""	""
"3415"	"劣"	"劣"	"luak阴入"	""	""	""
"3416"	"絕"	"绝"	"tsuak阳入"	"文"	""	""
"3417"	"絕"	"绝"	"tsoʔ阳入"	"白"	""	""
"3418"	"雪"	"雪"	"suak阴入"	"文"	""	""
"3419"	"雪"	"雪"	"soʔ阴入"	"白"	""	""
"3420"	"輟"	"辍"	"tsuak阴入"	""	""	""
"3421"	"拙"	"拙"	"tsuak阴入"	""	""	""
"3422"	"說"	"说"	"suak阴入"	"文"	""	""
"3423"	"說"	"说"	"sue去声"	"文"	""	""
"3424"	"說"	"说"	"sueʔ阴入"	"白"	""	""
"3425"	"說"	"说"	"dzuak阴入"	"又"	""	""
"3426"	"悅"	"悦"	"dzuak阳入"	"文"	""	""
"3427"	"悅"	"悦"	"dzuaʔ阳入"	"白"	""	""
"3428"	"閲"	"阅"	"dzuak阳入"	""	""	""
"3429"	"髮"	"发"	"huak阴入"	""	""	""
"3430"	"發"	"发"	"huak阴入"	""	""	""
"3431"	"伐"	"伐"	"huak阳入"	"文"	""	""
"3432"	"伐"	"伐"	"huaʔ阳入"	"白"	""	""
"3433"	"筏"	"筏"	"huak阳入"	""	""	""
"3434"	"罰"	"罚"	"huak阳入"	""	""	""
"3435"	"襪"	"袜"	"gueʔ阳入"	""	""	""
"3436"	"厥"	"厥"	"kuak阴入"	"文"	""	""
"3437"	"厥"	"厥"	"kiak阴入"	"又"	""	""
"3438"	"孓"	"孓"	"kuak阴入"	""	""	""
"3439"	"闕"	"阙"	"kʰiak阴入"	""	""	""
"3440"	"闕"	"阙"	"kʰuak阴入"	""	""	""
"3441"	"掘"	"掘"	"kuk阳入"	""	""	""
