單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	備註
叻		l	iaak	7A		l	iak	6		l	iak	35	聰明
瀝		l	iak	7B		l	iak	7		l	iɐk	23	瀝乾
凌		l	iaang	4		l	iang	2		l	iaŋ	22	雪凌，冰錐
零		l	iaang	4		l	iang	2		l	iaŋ	22	廿零、卅零
靈		l	iaang	4		l	iang	2		l	iaŋ	22	靈驗，白讀
領		l	iaang	5		l	iang	5		l	iaŋ	21	白領，白讀
嶺		l	iaang	5		l	iang	5		l	iaŋ	21	南嶺，白讀
令		l	iaang	6		l	iang	4		l	iaŋ	31	白讀
歷		l	ik	8		l	ik	8		l	ɪk	31	
曆		l	ik	8		l	ik	8		l	ɪk	31	
瀝		l	ik	8		l	ik	8		l	ɪk	31	瀝乾
力		l	ik	8		l	ik	8		l	ɪk	31	
礫		l	ik	7A		l	ik	6		l	ɪk	35	
靂		l	ik	7A		l	ik	6		l	ɪk	35	
斂		l	iaam	1		l	iam	1		l	iam	23	
臉		l	iaam	1		l	iam	1		l	iam	23	
廉		l	iaam	4		l	iam	2		l	iam	22	
簾		l	iaam	4		l	iam	2		l	iam	22	
鐮		l	iaam	4		l	iam	2		l	iam	22	
殮		l	iaam	6		l	iam	4		l	iam	31	
卵		l	waan	2		l	uan	3		l	uan	35	
戀		l	in	2		l	in	3		l	in	35	
巒		l	waan	4		l	uan	2		l	uan	22	
蓮		l	in	4		l	in	2		l	in	22	
憐		l	in	4		l	in	2		l	in	22	
連		l	in	4		l	in	2		l	in	22	
漣		l	in	4		l	in	2		l	in	22	
聯		l	in	4		l	in	2		l	in	22	
亂		l	waan	6		l	uan	4		l	uan	31	
練		l	in	6		l	in	4		l	in	31	
鍊		l	in	6		l	in	4		l	in	31	
鏈		l	in	6		l	in	4		l	in	31	
煉		l	in	6		l	in	4		l	in	31	
拎		l	ing	1		l	ing	1		l	ɪŋ	23	
領		l	ing	1		l	ing	1		l	ɪŋ	23	領會
嶺		l	ing	1		l	ing	1		l	ɪŋ	23	嶺澳
令		l	ing	1		l	ing	1		l	ɪŋ	23	一令紙
伶		l	ing	4		l	ing	2		l	ɪŋ	22	
玲		l	ing	4		l	ing	2		l	ɪŋ	22	
聆		l	ing	4		l	ing	2		l	ɪŋ	22	
蛉		l	ing	4		l	ing	2		l	ɪŋ	22	
羚		l	ing	4		l	ing	2		l	ɪŋ	22	
鈴		l	ing	4		l	ing	2		l	ɪŋ	22	
齡		l	ing	4		l	ing	2		l	ɪŋ	22	
靈		l	ing	4		l	ing	2		l	ɪŋ	22	
令		l	ing	4		l	ing	2		l	ɪŋ	22	令狐
零		l	ing	4		l	ing	2		l	ɪŋ	22	
領		l	ing	5		l	ing	5		l	ɪŋ	21	領導
嶺		l	ing	5		l	ing	5		l	ɪŋ	21	嶺南
凌		l	ing	4		l	ing	2		l	ɪŋ	22	
陵		l	ing	4		l	ing	2		l	ɪŋ	22	
菱		l	ing	4		l	ing	2		l	ɪŋ	22	
楞		l	ing	4		l	ing	2		l	ɪŋ	22	楞角
稜		l	ing	4		l	ing	2		l	ɪŋ	22	
令		l	ing	6		l	ing	4		l	ɪŋ	31	命令
愣		l	ing	6		l	ing	4		l	ɪŋ	31	
另		l	ing	6		l	ing	4		l	ɪŋ	31	
楞		l	ing	6		l	ing	4		l	ɪŋ	31	發楞
掠		l	iaak	8		l	iak	8		l	iak	31	
略		l	iaak	8		l	iak	8		l	iak	31	
兩		l	iaang	2		l	iang	3		l	iaŋ	35	
倆		l	iaang	2		l	iang	3		l	iaŋ	35	姓氏
良		l	iaang	4		l	iang	2		l	iaŋ	22	
涼		l	iaang	4		l	iang	2		l	iaŋ	22	
梁		l	iaang	4		l	iang	2		l	iaŋ	22	
粱		l	iaang	4		l	iang	2		l	iaŋ	22	
糧		l	iaang	4		l	iang	2		l	iaŋ	22	
量		l	iaang	4		l	iang	2		l	iaŋ	22	測量
亮		l	iaang	6		l	iang	4		l	iaŋ	31	
量		l	iaang	6		l	iang	4		l	iaŋ	31	重量
諒		l	iaang	6		l	iang	4		l	iaŋ	31	
輛		l	iaang	6		l	iang	4		l	iaŋ	31	
獵		l	iaap	8		l	iap	8		l	iap	31	
捩		l	it	8		l	it	8		l	it	31	捩手
劣		l	it	8		l	it	8		l	it	31	
冽		l	it	8		l	it	8		l	it	31	
烈		l	it	8		l	it	8		l	it	31	
裂		l	it	7B		l	it	7		l	it	23	
列		l	it	8		l	it	8		l	it	31	
了		l	iaau	1		l	iau	1		l	iau	23	了結
撩		l	iaau	2		l	iau	3		l	iau	35	撩開
撩		l	iaau	4		l	iau	2		l	iau	22	撩動
聊		l	iaau	4		l	iau	2		l	iau	22	
僚		l	iaau	4		l	iau	2		l	iau	22	
寥		l	iaau	4		l	iau	2		l	iau	22	
遼		l	iaau	4		l	iau	2		l	iau	22	
嘹		l	iaau	4		l	iau	2		l	iau	22	
寮		l	iaau	4		l	iau	2		l	iau	22	
繚		l	iaau	4		l	iau	2		l	iau	22	
了		l	iaau	5		l	iau	5		l	iau	21	了解
瞭		l	iaau	5		l	iau	5		l	iau	21	瞭解
燎		l	iaau	4		l	iau	2		l	iau	22	
療		l	iaau	4		l	iau	2		l	iau	22	
潦		l	iaau	5		l	iau	5		l	iau	21	
料		l	iaau	6		l	iau	4		l	iau	31	
廖		l	iaau	6		l	iau	4		l	iau	31	
瞭		l	iaau	6		l	iau	4		l	iau	31	瞭望
瞭		l	iaau	6		l	iau	4		l	iau	31	明瞭
囉		l	o	1		l	o	1		l	ɔ	23	囉嗦
咯		l	o	1		l	o	1		l	ɔ	23	
裸		l	o	2		l	o	3		l	ɔ	35	
螺		l	o	4		l	o	2		l	ɔ	22	
騾		l	o	4		l	o	2		l	ɔ	22	
羅		l	o	4		l	o	2		l	ɔ	22	
儸		l	o	4		l	o	2		l	ɔ	22	
蘿		l	o	4		l	o	2		l	ɔ	22	
籮		l	o	4		l	o	2		l	ɔ	22	
鑼		l	o	4		l	o	2		l	ɔ	22	
邏		l	o	4		l	o	2		l	ɔ	22	
囉		l	o	4		l	o	2		l	ɔ	22	嘍囉
來		l	oi	4		l	oi	2		l	ɔi	22	
萊		l	oi	4		l	oi	2		l	ɔi	22	
睞		l	oi	6		l	oi	4		l	ɔi	31	
骼		l	ok	8		l	ok	8		l	ɔk	31	
酪		l	ok	8		l	ok	8		l	ɔk	31	乳酪
落		l	ok	8		l	ok	8		l	ɔk	31	上落、落下
樂		l	ok	8		l	ok	8		l	ɔk	31	快樂
絡		l	ok	8		l	ok	8		l	ɔk	31	
落		l	ok	7A		l	ok	6		l	ɔk	35	角落
駱		l	ok	7B		l	ok	7		l	ɔk	23	
烙		l	ok	7B		l	ok	7		l	ɔk	23	
洛		l	ok	7B		l	ok	7		l	ɔk	23	
蜋		l	ong	4		l	ong	2		l	ɔŋ	22	
郎		l	ong	4		l	ong	2		l	ɔŋ	22	
狼		l	ong	4		l	ong	2		l	ɔŋ	22	
琅		l	ong	4		l	ong	2		l	ɔŋ	22	
廊		l	ong	4		l	ong	2		l	ɔŋ	22	
瑯		l	ong	4		l	ong	2		l	ɔŋ	22	
榔		l	ong	4		l	ong	2		l	ɔŋ	22	
浪		l	ong	4		l	ong	2		l	ɔŋ	22	滄浪
朗		l	ong	5		l	ong	5		l	ɔŋ	21	
螂		l	ong	4		l	ong	2		l	ɔŋ	22	
晾		l	ong	6		l	ong	4		l	ɔŋ	31	
浪		n	ong	6		n	ong	4		n	ɔŋ	31	波浪
虜		l	ou	1		l	ou	1		l	ou	23	
滷		l	ou	1		l	ou	1		l	ou	23	
魯		l	ou	1		l	ou	1		l	ou	23	
擄		l	ou	1		l	ou	1		l	ou	23	
櫓		l	ou	1		l	ou	1		l	ou	23	
嚕		l	ou	1		l	ou	1		l	ou	23	
老		l	aau	2		l	au	3		l	au	35	
硓		l	aau	2		l	au	3		l	au	35	
蘆		l	ou	4		l	ou	2		l	ou	22	
廬		l	ou	4		l	ou	2		l	ou	22	
驢		l	ou	4		l	ou	2		l	ou	22	
盧		l	ou	4		l	ou	2		l	ou	22	
爐		l	ou	4		l	ou	2		l	ou	22	
顱		l	ou	4		l	ou	2		l	ou	22	
嘮		l	aau	4		l	au	2		l	au	22	
牢		l	aau	4		l	au	2		l	au	22	
勞		l	aau	4		l	au	2		l	au	22	
賂		l	ou	6		l	ou	4		l	ou	31	
路		l	ou	6		l	ou	4		l	ou	31	
露		l	ou	6		l	ou	4		l	ou	31	
鷺		l	ou	6		l	ou	4		l	ou	31	
酪		l	aau	6		l	au	4		l	au	31	杏仁酪
屢		l	ui	1		l	ui	1		l	ui	23	
縷		l	ui	1		l	ui	1		l	ui	23	
儡		l	ui	1		l	ui	1		l	ui	23	
𧒽		l	ui	2		l	ui	3		l	ui	35	一種貝類、𧒽步，地名
呂		l	ui	2		l	ui	3		l	ui	35	
䉪		l	ui	2		l	ui	3		l	ui	35	一種捕魚工具、深䉪，地名
壘		l	ui	2		l	ui	3		l	ui	35	深壘，地名
裏		l	ui	5		l	ui	5		l	ui	21	夜裏
累		l	ui	4		l	ui	2		l	ui	22	果實累累，同“纍”
耒		l	ui	5		l	ui	5		l	ui	21	
壘		l	ui	5		l	ui	5		l	ui	21	堡壘
履		l	ui	5		l	ui	5		l	ui	21	
櫚		l	ui	4		l	ui	2		l	ui	22	
呂		l	ui	5		l	ui	5		l	ui	21	
侶		l	ui	5		l	ui	5		l	ui	21	
旅		l	ui	5		l	ui	5		l	ui	21	
雷		l	ui	4		l	ui	2		l	ui	22	
鐳		l	ui	4		l	ui	2		l	ui	22	
蕾		l	ui	5		l	ui	5		l	ui	21	
擂		l	ui	4		l	ui	2		l	ui	22	
裡		l	ui	5		l	ui	5		l	ui	21	夜裡
鋁		l	ui	5		l	ui	5		l	ui	21	
戾		l	ui	6		l	ui	4		l	ui	31	
累		l	ui	6		l	ui	4		l	ui	31	累積
纍		l	ui	6		l	ui	4		l	ui	31	
淚		l	ui	6		l	ui	4		l	ui	31	
類		l	ui	6		l	ui	4		l	ui	31	
慮		l	ui	6		l	ui	4		l	ui	31	
濾		l	ui	6		l	ui	4		l	ui	31	
六		l	uk	8		l	uk	8		l	ʊk	31	
陸		l	uk	8		l	uk	8		l	ʊk	31	
錄		l	uk	8		l	uk	8		l	ʊk	31	
綠		l	uk	8		l	uk	8		l	ʊk	31	
谷		l	uk	8		l	uk	8		l	ʊk	31	谷蠡王
鹿		l	uk	8		l	uk	8		l	ʊk	31	
祿		l	uk	8		l	uk	8		l	ʊk	31	
氯		l	uk	8		l	uk	8		l	ʊk	31	
碌		l	uk	7A		l	uk	6		l	ʊk	35	
漉		l	uk	7A		l	uk	6		l	ʊk	35	
麓		l	uk	7A		l	uk	6		l	ʊk	35	
窿		l	ung	1		l	ung	1		l	ʊŋ	23	
隆		l	ung	4		l	ung	2		l	ʊŋ	22	
龍		l	ung	4		l	ung	2		l	ʊŋ	22	
隴		l	ung	5		l	ung	5		l	ʊŋ	21	
嚨		l	ung	4		l	ung	2		l	ʊŋ	22	
瓏		l	ung	4		l	ung	2		l	ʊŋ	22	
朧		l	ung	4		l	ung	2		l	ʊŋ	22	
籠		l	ung	4		l	ung	2		l	ʊŋ	22	
聾		l	ung	4		l	ung	2		l	ʊŋ	22	
攏		l	ung	5		l	ung	5		l	ʊŋ	21	
壟		l	ung	5		l	ung	5		l	ʊŋ	21	
嗯		m		1		m		1		m		23	
五		m		2		m		3		m		35	
午		m		2		m		3		m		35	
伍		m		2		m		3		m		35	
嗯		m		2		m		3		m		35	
蜈		m		4		m		2		m		22	
吾		m		4		m		2		m		22	
吳		m		4		m		2		m		22	
梧		m		4		m		2		m		22	
唔		m		5		m		5		m		21	
悟		m		6		m		4		m		31	
晤		m		6		m		4		m		31	
誤		m		6		m		4		m		31	
寤		m		6		m		4		m		31	
媽		m	aa	1		m	a	1		m	a	23	
嗎		m	aa	1		m	a	1		m	a	23	是嗎
瑪		m	aa	1		m	a	1		m	a	23	
嬤		m	aa	1		m	a	1		m	a	23	
螞		m	aa	1		m	a	1		m	a	23	螞螂
媽		m	aa	2		m	a	3		m	a	35	
螞		m	aa	2		m	a	3		m	a	35	螞蟻
麻		m	aa	4		m	a	2		m	a	22	
痲		m	aa	4		m	a	2		m	a	22	
蟆		m	aa	4		m	a	2		m	a	22	
馬		m	aa	5		m	a	5		m	a	21	喇嘛
碼		m	aa	5		m	a	5		m	a	21	
嘛		m	aa	5		m	a	5		m	a	21	嗎啡
嗎		m	aa	5		m	a	5		m	a	21	
罵		m	aa	6		m	a	4		m	a	31	
螞		m	aa	6		m	a	4		m	a	31	螞蚱
買		m	aai	1		m	ai	1		m	ai	23	
埋		m	aai	4		m	ai	2		m	ai	22	
霾		m	aai	4		m	ai	2		m	ai	22	
邁		m	aai	6		m	ai	4		m	ai	31	
賣		m	aai	6		m	ai	4		m	ai	31	
晚		m	aan	5		m	an	5		m	an	21	
蠻		m	aan	4		m	an	2		m	an	22	
蔓		m	aan	4		m	an	2		m	an	22	蔓菁
蔓		m	aan	6		m	an	4		m	an	31	藤蔓
萬		m	aan	6		m	an	4		m	an	31	
慢		m	aan	6		m	an	4		m	an	31	
饅		m	aan	6		m	an	4		m	an	31	
鰻		m	aan	6		m	an	4		m	an	31	
曼		m	aan	6		m	an	4		m	an	31	
幔		m	aan	6		m	an	4		m	an	31	
漫		m	aan	6		m	an	4		m	an	31	
抹		m	aat	7B		m	at	7		m	at	23	抹檯
卯		m	aau	1		m	au	1		m	au	23	
貓		m	iaau	2		m	iau	3		m	iau	35	
矛		m	aau	4		m	au	2		m	au	22	
茅		m	aau	4		m	au	2		m	au	22	
牡		m	aau	5		m	au	5		m	au	21	
錨		m	iaau	4		m	iau	2		m	iau	22	
貌		m	iaau	6		m	iau	4		m	iau	31	
米		m	oi	2		m	oi	3		m	ɔi	35	
迷		m	oi	4		m	oi	2		m	ɔi	22	
謎		m	oi	4		m	oi	2		m	ɔi	22	
陌		m	aak	8		m	ak	8		m	ak	31	
驀		m	aak	8		m	ak	8		m	ak	31	
脈		m	aak	8		m	ak	8		m	ak	31	
麥		m	aak	8		m	ak	8		m	ak	31	
冒		m	aak	8		m	ak	8		m	ak	31	冒頓
墨		m	aak	8		m	ak	8		m	ak	31	
默		m	aak	8		m	ak	8		m	ak	31	
嘿		m	aak	8		m	ak	8		m	ak	31	通「默」
閩		m	an	1		m	aen	1		m	ɐn	23	
閩		m	an	5		m	aen	5		m	ɐn	21	又音
敏		m	an	1		m	aen	1		m	ɐn	23	
憫		m	an	1		m	aen	1		m	ɐn	23	
蚊		m	an	1		m	aen	1		m	ɐn	23	蚊赧
蚊		m	an	5		m	aen	5		m	ɐn	21	本調
紊		m	an	1		m	aen	1		m	ɐn	23	
刎		m	an	1		m	aen	1		m	ɐn	23	
吻		m	an	1		m	aen	1		m	ɐn	23	
憫		m	an	2		m	aen	3		m	ɐn	35	
民		m	an	4		m	aen	2		m	ɐn	22	
岷		m	an	4		m	aen	2		m	ɐn	22	
文		m	an	4		m	aen	2		m	ɐn	22	
蚊		m	an	4		m	aen	2		m	ɐn	22	
紋		m	an	4		m	aen	2		m	ɐn	22	
聞		m	an	4		m	aen	2		m	ɐn	22	
緡		m	an	5		m	aen	5		m	ɐn	21	
問		m	an	6		m	aen	4		m	ɐn	31	
猛		m	aang	2		m	ang	3		m	aŋ	35	發猛（發脾氣）
蜢		m	aang	2		m	ang	3		m	aŋ	35	
盟		m	aang	4		m	ang	2		m	aŋ	22	
盲		m	aang	4		m	ang	2		m	aŋ	22	
猛		m	aang	5		m	ang	5		m	aŋ	21	
艋		m	aang	5		m	ang	5		m	aŋ	21	
萌		m	aang	4		m	ang	2		m	aŋ	22	
錳		m	aang	5		m	ang	5		m	aŋ	21	
孟		m	aang	6		m	ang	4		m	aŋ	31	
蜜		m	at	8		m	aet	8		m	ɐt	31	
謐		m	at	8		m	aet	8		m	ɐt	31	
密		m	at	8		m	aet	8		m	ɐt	31	
勿		m	at	8		m	aet	8		m	ɐt	31	
物		m	at	8		m	aet	8		m	ɐt	31	
襪		m	at	8		m	aet	8		m	ɐt	31	
某		m	ou	1		m	ou	1		m	ou	23	
繆		m	au	4		m	aeu	2		m	ɐu	22	未雨綢繆
牟		m	ou	4		m	ou	2		m	ou	22	
謀		m	ou	4		m	ou	2		m	ou	22	
畝		m	ou	5		m	ou	5		m	ou	21	
哞		m	au	4		m	aeu	2		m	ɐu	22	
繆		m	au	6		m	aeu	4		m	ɐu	31	繆論
謬		m	au	6		m	aeu	4		m	ɐu	31	
茂		m	ou	6		m	ou	4		m	ou	31	
貿		m	ou	6		m	ou	4		m	ou	31	
咩		m	iaa	1		m	ia	1		m	ia	23	
咪		m	ei	1		m	ei	1		m	ei	23	
瞇		m	ei	1		m	ei	1		m	ei	23	
美		m	ei	2		m	ei	3		m	ei	35	
尾		m	ei	2		m	ei	3		m	ei	35	
娓		m	ei	2		m	ei	3		m	ei	35	
獼		m	ei	4		m	ei	2		m	ei	22	
瀰		m	ei	4		m	ei	2		m	ei	22	
糜		m	ei	4		m	ei	2		m	ei	22	
靡		m	ei	5		m	ei	5		m	ei	21	
眉		m	ei	4		m	ei	2		m	ei	22	
楣		m	ei	4		m	ei	2		m	ei	22	
麋		m	ei	4		m	ei	2		m	ei	22	
薇		m	ei	4		m	ei	2		m	ei	22	
美		m	ei	5		m	ei	5		m	ei	21	
微		m	ei	4		m	ei	2		m	ei	22	
彌		m	ei	4		m	ei	2		m	ei	22	
寐		m	ei	6		m	ei	4		m	ei	31	
媚		m	ei	6		m	ei	4		m	ei	31	
魅		m	ei	6		m	ei	4		m	ei	31	
未		m	ei	6		m	ei	4		m	ei	31	
味		m	ei	6		m	ei	4		m	ei	31	
名		m	iaang	2		m	iang	3		m	iaŋ	35	你叫乜名？
名		m	iaang	4		m	iang	2		m	iaŋ	22	名聲，白讀
命		m	iaang	6		m	iang	4		m	iaŋ	31	一條命
覓		m	ik	8		m	ik	8		m	ɪk	31	
緬		m	in	1		m	in	1		m	in	23	
勉		m	in	1		m	in	1		m	in	23	
免		m	in	2		m	in	3		m	in	35	
冕		m	in	2		m	in	3		m	in	35	
靦		m	in	2		m	in	3		m	in	35	靦腆
眠		m	in	4		m	in	2		m	in	22	
棉		m	in	4		m	in	2		m	in	22	
綿		m	in	4		m	in	2		m	in	22	
麵		m	in	6		m	in	4		m	in	31	
面		m	in	6		m	in	4		m	in	31	
皿		m	ing	1		m	ing	1		m	ɪŋ	23	
冥		m	ing	4		m	ing	2		m	ɪŋ	22	
銘		m	ing	4		m	ing	2		m	ɪŋ	22	
螟		m	ing	4		m	ing	2		m	ɪŋ	22	
明		m	ing	4		m	ing	2		m	ɪŋ	22	
明		m	iaang	4		m	iang	2		m	iaŋ	22	明解，白讀
鳴		m	ing	4		m	ing	2		m	ɪŋ	22	
皿		m	ing	5		m	ing	5		m	ɪŋ	21	
名		m	ing	4		m	ing	2		m	ɪŋ	22	
命		m	ing	6		m	ing	4		m	ɪŋ	31	
蔑		m	it	8		m	it	8		m	it	31	
篾		m	it	8		m	it	8		m	it	31	
滅		m	it	8		m	it	8		m	it	31	
杳		m	iaau	1		m	iau	1		m	iau	23	
喵		m	iaau	1		m	iau	1		m	iau	23	
眇		m	iaau	5		m	iau	5		m	iau	21	
秒		m	iaau	5		m	iau	5		m	iau	21	
渺		m	iaau	5		m	iau	5		m	iau	21	
苗		m	iaau	4		m	iau	2		m	iau	22	
描		m	iaau	4		m	iau	2		m	iau	22	
瞄		m	iaau	4		m	iau	2		m	iau	22	
妙		m	iaau	6		m	iau	4		m	iau	31	
廟		m	iaau	6		m	iau	4		m	iau	31	
摩		m	o	1		m	o	1		m	ɔ	23	
魔		m	o	1		m	o	1		m	ɔ	23	
麼		m	o	1		m	o	1		m	ɔ	23	
摸		m	o	2		m	o	3		m	ɔ	35	
磨		m	o	4		m	o	2		m	ɔ	22	
磨		m	o	6		m	o	4		m	ɔ	31	
膜		m	ok	8		m	ok	8		m	ɔk	31	薄膜
莫		m	ok	8		m	ok	8		m	ɔk	31	
漠		m	ok	8		m	ok	8		m	ɔk	31	
寞		m	ok	8		m	ok	8		m	ɔk	31	
幕		m	ok	8		m	ok	8		m	ɔk	31	
剝		m	ok	7A		m	ok	6		m	ɔk	35	
芒		m	ong	1		m	ong	1		m	ɔŋ	23	芒果
惘		m	ong	2		m	ong	3		m	ɔŋ	35	
網		m	ong	2		m	ong	3		m	ɔŋ	35	
莽		m	ong	2		m	ong	3		m	ɔŋ	35	
蟒		m	ong	2		m	ong	3		m	ɔŋ	35	
芒		m	ong	4		m	ong	2		m	ɔŋ	22	光芒
亡		m	ong	4		m	ong	2		m	ɔŋ	22	
忘		m	ong	4		m	ong	2		m	ɔŋ	22	
忙		m	ong	4		m	ong	2		m	ɔŋ	22	
茫		m	ong	4		m	ong	2		m	ɔŋ	22	
望		m	ong	6		m	ong	4		m	ɔŋ	31	
妄		m	ong	6		m	ong	4		m	ɔŋ	31	
舞		m	ou	2		m	ou	3		m	ou	35	
母		m	ou	2		m	ou	3		m	ou	35	
巫		m	ou	4		m	ou	2		m	ou	22	
誣		m	ou	4		m	ou	2		m	ou	22	
毋		m	ou	4		m	ou	2		m	ou	22	
無		m	ou	4		m	ou	2		m	ou	22	
蕪		m	ou	4		m	ou	2		m	ou	22	
武		m	ou	5		m	ou	5		m	ou	21	
侮		m	ou	5		m	ou	5		m	ou	21	
舞		m	ou	5		m	ou	5		m	ou	21	
鵡		m	ou	5		m	ou	5		m	ou	21	
模		m	ou	4		m	ou	2		m	ou	22	
膜		m	ou	4		m	ou	2		m	ou	22	膜拜
姆		m	ou	5		m	ou	5		m	ou	21	
母		m	ou	5		m	ou	5		m	ou	21	
拇		m	ou	5		m	ou	5		m	ou	21	
摹		m	ou	4		m	ou	2		m	ou	22	
毛		m	aau	4		m	au	2		m	au	22	
髦		m	aau	4		m	au	2		m	au	22	
務		m	ou	6		m	ou	4		m	ou	31	
婺		m	ou	6		m	ou	4		m	ou	31	
霧		m	ou	6		m	ou	4		m	ou	31	
募		m	ou	6		m	ou	4		m	ou	31	
墓		m	ou	6		m	ou	4		m	ou	31	
慕		m	ou	6		m	ou	4		m	ou	31	
暮		m	ou	6		m	ou	4		m	ou	31	
戊		m	ou	6		m	ou	4		m	ou	31	
冒		m	aau	6		m	au	4		m	au	31	冒犯
帽		m	aau	6		m	au	4		m	au	31	
每		m	waai	1		m	uai	1		m	uai	23	
每		m	waai	2		m	uai	3		m	uai	35	
黴		m	waai	4		m	uai	2		m	uai	22	
枚		m	waai	4		m	uai	2		m	uai	22	
莓		m	waai	4		m	uai	2		m	uai	22	
梅		m	waai	4		m	uai	2		m	uai	22	
媒		m	waai	4		m	uai	2		m	uai	22	
煤		m	waai	4		m	uai	2		m	uai	22	
每		m	waai	5		m	uai	5		m	uai	21	
玫		m	ui	4		m	ui	2		m	ui	22	
霉		m	ui	4		m	ui	2		m	ui	22	
妹		m	waai	6		m	uai	4		m	uai	31	
昧		m	waai	6		m	uai	4		m	uai	31	
目		m	uk	8		m	uk	8		m	ʊk	31	
牧		m	uk	8		m	uk	8		m	ʊk	31	
睦		m	uk	8		m	uk	8		m	ʊk	31	
穆		m	uk	8		m	uk	8		m	ʊk	31	
木		m	uk	8		m	uk	8		m	ʊk	31	
木		m	uk	9		m	uk	9		m	ʊk	21	變調
沐		m	uk	8		m	uk	8		m	ʊk	31	
滿		m	waan	2		m	uan	3		m	uan	35	
瞞		m	waan	4		m	uan	2		m	uan	22	
門		m	waan	4		m	uan	2		m	uan	22	
們		m	waan	4		m	uan	2		m	uan	22	
悶		m	waan	6		m	uan	4		m	uan	31	
燜		m	waan	6		m	uan	4		m	uan	31	
檬		m	ung	1		m	ung	1		m	ʊŋ	23	
懵		m	ung	2		m	ung	3		m	ʊŋ	35	
蒙		m	ung	4		m	ung	2		m	ʊŋ	22	
濛		m	ung	4		m	ung	2		m	ʊŋ	22	
朦		m	ung	4		m	ung	2		m	ʊŋ	22	
矇		m	ung	4		m	ung	2		m	ʊŋ	22	
夢		m	ung	6		m	ung	4		m	ʊŋ	31	
沫		m	waat	8		m	uat	8		m	uat	31	
末		m	waat	8		m	uat	8		m	uat	31	
沒		m	waat	8		m	uat	8		m	uat	31	
茉		m	waat	8		m	uat	8		m	uat	31	
抹		m	waat	7B		m	uat	7		m	uat	23	
哪		n	aa	1		n	a	1		n	a	23	天哪
那		n	aa	5		n	a	5		n	a	21	姓那
拿		n	aa	4		n	a	2		n	a	22	
哪		n	aa	5		n	a	5		n	a	21	哪吒
娜		n	aa	4		n	a	2		n	a	22	
那		n	aa	6		n	a	4		n	a	31	地名
乃		n	aai	5		n	ai	5		n	ai	21	
迺		n	aai	5		n	ai	5		n	ai	21	
奶		n	aai	5		n	ai	5		n	ai	21	
喃		n	aam	4		n	am	2		n	am	22	
男		n	aam	4		n	am	2		n	am	22	
南		n	aam	4		n	am	2		n	am	22	
楠		n	aam	4		n	am	2		n	am	22	
囡		n	aam	5		n	am	5		n	am	21	困難
腩		n	aam	5		n	am	5		n	am	21	牛腩
難		n	aan	4		n	an	2		n	an	22	難民
難		n	aan	6		n	an	4		n	an	31	
鈉		n	aap	6		n	ap	4		n	ap	31	
吶		n	aap	8		n	ap	8		n	ap	31	
納		n	aap	8		n	ap	8		n	ap	31	
捺		n	aat	8		n	at	8		n	at	31	
暱		n	aat	7B		n	at	7		n	at	23	暱埋，躲藏
撓		n	aau	4		n	au	2		n	au	22	
鬧		n	aau	6		n	au	4		n	au	31	
泥		n	e	5		n	e	5		n	ɛ	21	泥土，白讀
泥		n	oi	4		n	oi	2		n	ɔi	22	泥土
稔		n	am	5		n	aem	5		n	ɐm	21	
腩		n	am	5		n	aem	5		n	ɐm	21	肚腩
能		n	aang	4		n	ang	2		n	aŋ	22	
粒		n	ap	7A		n	aep	6		n	ɐp	35	
凹		n	ap	7A		n	aep	6		n	ɐp	35	
扭		n	au	2		n	aeu	3		n	ɐu	35	
紐		n	au	2		n	aeu	3		n	ɐu	35	
鈕		n	au	2		n	aeu	3		n	ɐu	35	
朽		n	au	2		n	aeu	3		n	ɐu	35	
妞		n	au	2		n	aeu	3		n	ɐu	35	
呢		n	e	1		n	e	1		n	ɛ	23	語氣助詞
呢		n	e	5		n	e	5		n	ɛ	21	語氣助詞
你		n	ei	1		n	ei	1		n	ei	23	
妳		n	ei	1		n	ei	1		n	ei	23	
您		n	ei	1		n	ei	1		n	ei	23	
洱		n	ei	2		n	ei	3		n	ei	35	
匿		n	ei	2		n	ei	3		n	ei	35	
坭		n	e	4		n	e	2		n	ɛ	22	紫坭，地名
獼		n	ei	4		n	ei	2		n	ei	22	
瀰		n	ei	4		n	ei	2		n	ei	22	
彌		n	ei	4		n	ei	2		n	ei	22	
呢		n	ei	4		n	ei	2		n	ei	22	呢喃
尼		n	ei	4		n	ei	2		n	ei	22	
妮		n	ei	4		n	ei	2		n	ei	22	
泥		n	ei	6		n	ei	4		n	ei	31	拘泥
餌		n	ei	6		n	ei	4		n	ei	31	
膩		n	ei	6		n	ei	4		n	ei	31	
洱		n	ei	6		n	ei	4		n	ei	31	
若		n	iaak	9		n	iak	9		n	iak	21	你哋
溺		n	ik	8		n	ik	8		n	ɪk	31	溺死
暱		n	ik	7A		n	ik	6		n	ɪk	35	
匿		n	ik	7A		n	ik	6		n	ɪk	35	躲藏
匿		n	ik	7A		n	ik	6		n	ɪk	35	匿名
暱		n	ik	7A		n	ik	6		n	ɪk	35	暱名
拈		n	iaam	1		n	iam	1		n	iam	23	拈花惹草
黏		n	iaam	1		n	iam	1		n	iam	23	
拈		n	iaam	2		n	iam	3		n	iam	35	拈線
