正體	簡體	聲母	韻母	聲調	詞例	声母音标	韵母音标	調值	拼音	
甲	甲	g	aeh	7	四甲	k	iaʔ	4	gaeh7	
胛	胛	g	aeh	7	胛肢窩	k	iaʔ	4	gaeh7	
尷	尴	g	aen	1		k	ɛ̃	21	gaen1	
間	间	g	aen	1	房間	k	ɛ̃	21	gaen1	
監	监	g	aen	1	牢監	k	ɛ̃	21	gaen1	
揀	拣	g	aen	3		k	ɛ̃	31	gaen3	
柬	柬	g	aen	3	柬埔寨	k	ɛ̃	31	gaen3	
減	减	g	aen	3		k	ɛ̃	31	gaen3	
襇	裥	g	aen	3		k	ɛ̃	31	gaen3	
堿	碱	g	aen	3		k	ɛ̃	31	gaen3	
幹	干	g	aen	5	幹部	k	ɛ̃	44	gaen5	
間	间	g	aen	5	間天	k	ɛ̃	44	gaen5	
擱	搁	g	ah	7		k	aʔ	4	gah7	
閣	阁	g	ah	7		k	aʔ	4	gah7	
各	各	g	ah	7		k	aʔ	4	gah7	
角	角	g	ah	7		k	aʔ	4	gah7	
覺	觉	g	ah	7	覺察	k	aʔ	4	gah7	
岡	冈	g	an	1		k	ã	21	gan1	
剛	刚	g	an	1		k	ã	21	gan1	
肛	肛	g	an	1		k	ã	21	gan1	
綱	纲	g	an	1		k	ã	21	gan1	
鋼	钢	g	an	1		k	ã	21	gan1	
缸	缸	g	an	1		k	ã	21	gan1	
罡	罡	g	an	1		k	ã	21	gan1	
𠵹	𠵹	g	an	1		k	ã	21	gan1	
江	江	g	an	1		k	ã	21	gan1	
豇	豇	g	an	1		k	ã	21	gan1	
崗	岗	g	an	3		k	ã	31	gan3	
港	港	g	an	3		k	ã	31	gan3	
講	讲	g	an	3		k	ã	31	gan3	
杠	杠	g	an	5		k	ã	44	gan5	
槓	杠	g	an	5		k	ã	44	gan5	
焵	焵	g	an	5		k	ã	44	gan5	
虹	虹	g	an	5		k	ã	44	gan5	
降	降	g	an	5	霜降	k	ã	44	gan5	
疙	疙	g	eh	7		k	əʔ	4	geh7	
革	革	g	eh	7		k	əʔ	4	geh7	
格	格	g	eh	7		k	əʔ	4	geh7	
隔	隔	g	eh	7		k	əʔ	4	geh7	
嗝	嗝	g	eh	7		k	əʔ	4	geh7	
膈	膈	g	eh	7		k	əʔ	4	geh7	
骼	骼	g	eh	7		k	əʔ	4	geh7	
鎘	镉	g	eh	7		k	əʔ	4	geh7	
虼	虼	g	eh	7		k	əʔ	4	geh7	
鉻	铬	g	eh	7		k	əʔ	4	geh7	
給	给	g	ei	5	給你	k	əi	44	gei5	
根	根	g	en	1		k	əŋ	21	gen1	
跟	跟	g	en	1		k	əŋ	21	gen1	
庚	庚	g	en	1		k	əŋ	21	gen1	
耕	耕	g	en	1		k	əŋ	21	gen1	
羹	羹	g	en	1		k	əŋ	21	gen1	
更	更	g	en	1	五更	k	əŋ	21	gen1	
今	今	g	en	1	今朝（今天）	k	əŋ	21	gen1	
粳	粳	g	en	1		k	əŋ	21	gen1	
埂	埂	g	en	3		k	əŋ	31	gen3	
挭	挭	g	en	3		k	əŋ	31	gen3	
耿	耿	g	en	3		k	əŋ	31	gen3	
哽	哽	g	en	3		k	əŋ	31	gen3	
梗	梗	g	en	3		k	əŋ	31	gen3	
更	更	g	en	5	更加	k	əŋ	44	gen5	
勾	勾	g	eu	1		k	ɤɯ	21	geu1	
佝	佝	g	eu	1		k	ɤɯ	21	geu1	
溝	沟	g	eu	1		k	ɤɯ	21	geu1	
鉤	钩	g	eu	1		k	ɤɯ	21	geu1	
篝	篝	g	eu	1		k	ɤɯ	21	geu1	
苟	苟	g	eu	3		k	ɤɯ	31	geu3	
狗	狗	g	eu	3		k	ɤɯ	31	geu3	
枸	枸	g	eu	3		k	ɤɯ	31	geu3	
構	构	g	eu	5		k	ɤɯ	44	geu5	
購	购	g	eu	5		k	ɤɯ	44	geu5	
垢	垢	g	eu	5		k	ɤɯ	44	geu5	
夠	够	g	eu	5		k	ɤɯ	44	geu5	
皋	皋	g	o	1		k	ɔ	21	go1	
高	高	g	o	1		k	ɔ	21	go1	
羔	羔	g	o	1		k	ɔ	21	go1	
睾	睾	g	o	1		k	ɔ	21	go1	
膏	膏	g	o	1		k	ɔ	21	go1	
篙	篙	g	o	1		k	ɔ	21	go1	
糕	糕	g	o	1		k	ɔ	21	go1	
交	交	g	o	1		k	ɔ	21	go1	
茭	茭	g	o	1		k	ɔ	21	go1	
膠	胶	g	o	1	膠粘	k	ɔ	21	go1	
跤	跤	g	o	1		k	ɔ	21	go1	
教	教	g	o	1	教書	k	ɔ	21	go1	
杲	杲	g	o	3		k	ɔ	31	go3	
搞	搞	g	o	3		k	ɔ	31	go3	
稿	稿	g	o	3		k	ɔ	31	go3	
絞	绞	g	o	3		k	ɔ	31	go3	
鉸	铰	g	o	3		k	ɔ	31	go3	
攪	搅	g	o	3		k	ɔ	31	go3	
告	告	g	o	5		k	ɔ	44	go5	
較	较	g	o	5		k	ɔ	44	go5	
窖	窖	g	o	5		k	ɔ	44	go5	
酵	酵	g	o	5	酵條	k	ɔ	44	go5	
覺	觉	g	o	5	睏覺	k	ɔ	44	go5	
谷	谷	g	oh	7	山谷	k	ɔʔ	4	goh7	
穀	谷	g	oh	7	稻穀	k	ɔʔ	4	goh7	
嘓	啯	g	oh	7		k	ɔʔ	4	goh7	
蟈	蝈	g	oh	7		k	ɔʔ	4	goh7	
國	国	g	oh	7		k	ɔʔ	4	goh7	
幗	帼	g	oh	7		k	ɔʔ	4	goh7	
工	工	g	on	1		k	ɔŋ	21	gon1	
弓	弓	g	on	1		k	ɔŋ	21	gon1	
公	公	g	on	1		k	ɔŋ	21	gon1	
功	功	g	on	1		k	ɔŋ	21	gon1	
攻	攻	g	on	1		k	ɔŋ	21	gon1	
宮	宫	g	on	1		k	ɔŋ	21	gon1	
恭	恭	g	on	1		k	ɔŋ	21	gon1	
蚣	蚣	g	on	1		k	ɔŋ	21	gon1	
躬	躬	g	on	1		k	ɔŋ	21	gon1	
龔	龚	g	on	1		k	ɔŋ	21	gon1	
鞏	巩	g	on	3		k	ɔŋ	31	gon3	
汞	汞	g	on	3		k	ɔŋ	31	gon3	
拱	拱	g	on	3		k	ɔŋ	31	gon3	
供	供	g	on	5		k	ɔŋ	44	gon5	
貢	贡	g	on	5		k	ɔŋ	44	gon5	
戈	戈	g	u	1		k	ʊ	21	gu1	
哥	哥	g	u	1		k	ʊ	21	gu1	
歌	歌	g	u	1		k	ʊ	21	gu1	
鍋	锅	g	u	1		k	ʊ	21	gu1	
過	过	g	u	1	過期	k	ʊ	21	gu1	
哿	哿	g	u	3		k	ʊ	31	gu3	
果	果	g	u	3		k	ʊ	31	gu3	
裹	裹	g	u	3		k	ʊ	31	gu3	
錁	锞	g	u	3		k	ʊ	31	gu3	
個	个	g	u	5		k	ʊ	44	gu5	
過	过	g	u	5	不好過	k	ʊ	44	gu5	
呱	呱	g	ua	1		k	ua	21	gua1	
瓜	瓜	g	ua	1		k	ua	21	gua1	
剮	剐	g	ua	3		k	ua	31	gua3	
寡	寡	g	ua	3		k	ua	31	gua3	
卦	卦	g	ua	5		k	ua	44	gua5	
挂	挂	g	ua	5		k	ua	44	gua5	
掛	挂	g	ua	5		k	ua	44	gua5	
褂	褂	g	ua	5		k	ua	44	gua5	
乖	乖	g	uae	1		k	uɛ	21	guae1	
拐	拐	g	uae	3		k	uɛ	31	guae3	
柺	拐	g	uae	3		k	uɛ	31	guae3	
怪	怪	g	uae	5		k	uɛ	44	guae5	
刮	刮	g	uaeh	7		k	yaʔ	4	guaeh7	
颳	刮	g	uaeh	7		k	yaʔ	4	guaeh7	
括	括	g	uaeh	7		k	yaʔ	4	guaeh7	
關	关	g	uaen	1		k	uɛ̃	21	guaen1	
鰥	鳏	g	uaen	1		k	uɛ̃	21	guaen1	
慣	惯	g	uaen	5		k	uɛ̃	44	guaen5	
郭	郭	g	uah	7		k	uaʔ	4	guah7	
光	光	g	uan	1		k	uã	21	guan1	
胱	胱	g	uan	1		k	uã	21	guan1	
廣	广	g	uan	3		k	uã	31	guan3	
逛	逛	g	uan	5		k	uã	44	guan5	
骨	骨	g	ueh	7		k	uə?	4	gueh7	
歸	归	g	uei	1		k	uəi	21	guei1	
圭	圭	g	uei	1		k	uəi	21	guei1	
龜	龟	g	uei	1		k	uəi	21	guei1	
規	规	g	uei	1		k	uəi	21	guei1	
閨	闺	g	uei	1		k	uəi	21	guei1	
硅	硅	g	uei	1		k	uəi	21	guei1	
瑰	瑰	g	uei	1		k	uəi	21	guei1	
鮭	鲑	g	uei	1		k	uəi	21	guei1	
軌	轨	g	uei	3		k	uəi	31	guei3	
鬼	鬼	g	uei	3		k	uəi	31	guei3	
癸	癸	g	uei	3		k	uəi	31	guei3	
劊	刽	g	uei	5		k	uəi	44	guei5	
貴	贵	g	uei	5		k	uəi	44	guei5	
桂	桂	g	uei	5		k	uəi	44	guei5	
鱖	鳜	g	uei	5		k	uəi	44	guei5	
輥	辊	g	uen	3		k	uəŋ	31	guen3	
滾	滚	g	uen	3		k	uəŋ	31	guen3	
棍	棍	g	uen	5		k	uəŋ	44	guen5	
鴿	鸽	g	uh	7		k	ʊʔ	4	guh7	
割	割	g	uh	7		k	ʊʔ	4	guh7	
葛	葛	g	uh	7		k	ʊʔ	4	guh7	
蛤	蛤	g	uh	7	蛤蜊	k	ʊʔ	4	guh7	
佮	合	g	uh	7		k	ʊʔ	4	guh7	
閤	合	g	uh	7		k	ʊʔ	4	guh7	
合	合	g	uh	7	量詞，十合一升	k	ʊʔ	4	guh7	
頜	颌	g	uh	7	頜腮	k	ʊʔ	4	guh7	
甘	甘	g	un	1		k	ʊ̃	21	gun1	
杆	杆	g	un	1	旗杆	k	ʊ̃	21	gun1	
肝	肝	g	un	1		k	ʊ̃	21	gun1	
泔	泔	g	un	1		k	ʊ̃	21	gun1	
柑	柑	g	un	1		k	ʊ̃	21	gun1	
竿	竿	g	un	1		k	ʊ̃	21	gun1	
干	干	g	un	1	干擾	k	ʊ̃	21	gun1	
乾	干	g	un	1	乾淨，乾燥	k	ʊ̃	21	gun1	
觀	观	g	un	1	觀察	k	ʊ̃	21	gun1	
官	官	g	un	1		k	ʊ̃	21	gun1	
冠	冠	g	un	1	雞冠花	k	ʊ̃	21	gun1	
倌	倌	g	un	1		k	ʊ̃	21	gun1	
棺	棺	g	un	1		k	ʊ̃	21	gun1	
桿	杆	g	un	3	筆桿	k	ʊ̃	31	gun3	
稈	秆	g	un	3		k	ʊ̃	31	gun3	
趕	赶	g	un	3		k	ʊ̃	31	gun3	
敢	敢	g	un	3		k	ʊ̃	31	gun3	
感	感	g	un	3		k	ʊ̃	31	gun3	
澉	澉	g	un	3		k	ʊ̃	31	gun3	
橄	橄	g	un	3		k	ʊ̃	31	gun3	
擀	擀	g	un	3		k	ʊ̃	31	gun3	
㔶	㔶	g	un	3		k	ʊ̃	31	gun3	
莞	莞	g	un	3	東莞	k	ʊ̃	31	gun3	
館	馆	g	un	3		k	ʊ̃	31	gun3	
管	管	g	un	3		k	ʊ̃	31	gun3	
幹	干	g	un	5	樹幹，幹細胞	k	ʊ̃	44	gun5	
贛	赣	g	un	5		k	ʊ̃	44	gun5	
觀	观	g	un	5	道觀	k	ʊ̃	44	gun5	
冠	冠	g	un	5	冠軍	k	ʊ̃	44	gun5	
貫	贯	g	un	5		k	ʊ̃	44	gun5	
盥	盥	g	un	5		k	ʊ̃	44	gun5	
灌	灌	g	un	5		k	ʊ̃	44	gun5	
鸛	鹳	g	un	5		k	ʊ̃	44	gun5	
罐	罐	g	un	5		k	ʊ̃	44	gun5	
咕	咕	g	v	1		k	ʋ	21	gv1	
孤	孤	g	v	1		k	ʋ	21	gv1	
姑	姑	g	v	1		k	ʋ	21	gv1	
菰	菰	g	v	1		k	ʋ	21	gv1	
菇	菇	g	v	1		k	ʋ	21	gv1	
蛄	蛄	g	v	1		k	ʋ	21	gv1	
辜	辜	g	v	1		k	ʋ	21	gv1	
箍	箍	g	v	1		k	ʋ	21	gv1	
估	估	g	v	3		k	ʋ	31	gv3	
古	古	g	v	3		k	ʋ	31	gv3	
股	股	g	v	3		k	ʋ	31	gv3	
鼓	鼓	g	v	3		k	ʋ	31	gv3	
固	固	g	v	5		k	ʋ	44	gv5	
故	故	g	v	5		k	ʋ	44	gv5	
顧	顾	g	v	5		k	ʋ	44	gv5	
雇	雇	g	v	5		k	ʋ	44	gv5	
僱	雇	g	v	5		k	ʋ	44	gv5	
錮	锢	g	v	5		k	ʋ	44	gv5	
哈	哈	h	a	1		x	a	21	ha1	
颬	颬	h	a	1		x	a	21	ha1	
蝦	蛤	h	a	2	蝦蟆	x	a	24	ha2	
下	下	h	a	2	一下子	x	a	24	ha2	
下	下	h	a	6	下來	x	a	33	ha6	
還	还	h	ae	2	還有	x	ɛ	24	hae2	
孩	孩	h	ae	2		x	ɛ	24	hae2	
骸	骸	h	ae	2		x	ɛ	24	hae2	
諧	谐	h	ae	2		x	ɛ	24	hae2	
鞋	鞋	h	ae	2		x	ɛ	24	hae2	
海	海	h	ae	3		x	ɛ	31	hae3	
蟹	蟹	h	ae	3		x	ɛ	31	hae3	
許	许	h	ae	3	哪許（哪裡）	x	ɛ	31	hae3	
亥	亥	h	ae	6		x	ɛ	33	hae6	
駭	骇	h	ae	6		x	ɛ	33	hae6	
氦	氦	h	ae	6		x	ɛ	33	hae6	
害	害	h	ae	6		x	ɛ	33	hae6	
瞎	瞎	h	aeh	7		x	iaʔ	4	haeh7	
匣	匣	h	aeh	8		x	iaʔ	3	haeh8	
狎	狎	h	aeh	8		x	iaʔ	3	haeh8	
狹	狭	h	aeh	8		x	iaʔ	3	haeh8	
轄	辖	h	aeh	8		x	iaʔ	3	haeh8	
函	函	h	aen	2		x	ɛ̃	24	haen2	
鹹	咸	h	aen	2		x	ɛ̃	24	haen2	
啣	衔	h	aen	2		x	ɛ̃	24	haen2	
喊	喊	h	aen	3		x	ɛ̃	31	haen3	
喊	喊	h	aen	5	喊人	x	ɛ̃	44	haen5	
莧	苋	h	aen	6		x	ɛ̃	33	haen6	
限	限	h	aen	6		x	ɛ̃	33	haen6	
陷	陷	h	aen	6		x	ɛ̃	33	haen6	
麲	𪎉	h	aen	6		x	ɛ̃	33	haen6	
蠚	蠚	h	ah	7		x	aʔ	4	hah7	
鶴	鹤	h	ah	8		x	aʔ	3	hah8	
學	学	h	ah	8	學舌	x	aʔ	3	hah8	
夯	夯	h	an	1		x	ã	21	han1	
𩠾	𩠾	h	an	1	喘氣	x	ã	21	han1	
杭	杭	h	an	2		x	ã	24	han2	
航	航	h	an	2		x	ã	24	han2	
行	行	h	an	2	銀行	x	ã	24	han2	
㨔	㨔	h	an	3	給	x	ã	31	han3	
炕	炕	h	an	5	火热	x	ã	44	han5	
項	项	h	an	6	白读	x	ã	33	han6	
巷	巷	h	an	6		x	ã	33	han6	
郝	郝	h	eh	7		x	aʔ	4	heh7	
赫	赫	h	eh	7		x	əʔ	4	heh7	
黑	黑	h	eh	7		x	əʔ	4	heh7	
嚇	吓	h	eh	7		x	əʔ	4	heh7	
核	核	h	eh	8	核桃	x	əʔ	3	heh8	
覈	核	h	eh	8		x	əʔ	3	heh8	
齕	龁	h	eh	8	齕骨頭	x	əʔ	3	heh8	
亨	亨	h	en	1		x	əŋ	21	hen1	
哼	哼	h	en	1		x	əŋ	21	hen1	
痕	痕	h	en	2		x	əŋ	24	hen2	
恆	恒	h	en	2		x	əŋ	24	hen2	
衡	衡	h	en	2		x	əŋ	24	hen2	
很	很	h	en	3		x	əŋ	31	hen3	
狠	狠	h	en	3		x	əŋ	31	hen3	
恨	恨	h	en	6		x	əŋ	33	hen6	
行	行	h	en	6	道行	x	əŋ	33	hen6	
齁	齁	h	eu	1		x	ɤɯ	21	heu1	
侯	侯	h	eu	2		x	ɤɯ	24	heu2	
喉	喉	h	eu	2		x	ɤɯ	24	heu2	
猴	猴	h	eu	2		x	ɤɯ	24	heu2	
瘊	瘊	h	eu	2		x	ɤɯ	24	heu2	
吼	吼	h	eu	3		x	ɤɯ	31	heu3	
鱟	鲎	h	eu	5		x	ɤɯ	44	heu5	
𩄬	𩄬	h	eu	5		x	ɤɯ	44	heu5	
后	后	h	eu	6	皇后，后宮	x	ɤɯ	33	heu6	
後	后	h	eu	6	後來	x	ɤɯ	33	heu6	
厚	厚	h	eu	6		x	ɤɯ	33	heu6	
候	候	h	eu	6		x	ɤɯ	33	heu6	
蒿	蒿	h	o	1		x	ɔ	21	ho1	
薅	薅	h	o	1		x	ɔ	21	ho1	
蠔	蚝	h	o	2		x	ɔ	24	ho2	
毫	毫	h	o	2		x	ɔ	24	ho2	
嗥	嗥	h	o	2		x	ɔ	24	ho2	
豪	豪	h	o	2		x	ɔ	24	ho2	
壕	壕	h	o	2		x	ɔ	24	ho2	
嚎	嚎	h	o	2		x	ɔ	24	ho2	
濠	濠	h	o	2		x	ɔ	24	ho2	
號	号	h	o	2	號叫	x	ɔ	24	ho2	
好	好	h	o	3	好壞	x	ɔ	31	ho3	
好	好	h	o	5	愛好	x	ɔ	44	ho5	
耗	耗	h	o	5		x	ɔ	44	ho5	
孝	孝	h	o	5	孝帽儿	x	ɔ	44	ho5	
號	号	h	o	6	號碼	x	ɔ	33	ho6	
浩	浩	h	o	6		x	ɔ	33	ho6	
皓	皓	h	o	6		x	ɔ	33	ho6	
灝	灏	h	o	6		x	ɔ	33	ho6	
嚄	嚄	h	oh	8		x	ɔʔ	3	hoh8	
或	或	h	oh	8		x	ɔʔ	3	hoh8	
獲	获	h	oh	8	獲得	x	ɔʔ	3	hoh8	
惑	惑	h	oh	8		x	ɔʔ	3	hoh8	
轟	轰	h	on	1		x	ɔŋ	21	hon1	
哄	哄	h	on	1	亂哄哄	x	ɔŋ	21	hon1	
訇	訇	h	on	1		x	ɔŋ	21	hon1	
烘	烘	h	on	1	烘烤	x	ɔŋ	21	hon1	
弘	弘	h	on	2		x	ɔŋ	24	hon2	
紅	红	h	on	2		x	ɔŋ	24	hon2	
宏	宏	h	on	2		x	ɔŋ	24	hon2	
虹	虹	h	on	2		x	ɔŋ	24	hon2	
洪	洪	h	on	2		x	ɔŋ	24	hon2	
鴻	鸿	h	on	2		x	ɔŋ	24	hon2	
蕻	蕻	h	on	2		x	ɔŋ	24	hon2	
哄	哄	h	on	3	哄騙	x	ɔŋ	31	hon3	
擤	擤	h	on	3	擤黃龍	x	ɔŋ	31	hon3	
哄	哄	h	on	5	起哄	x	ɔŋ	44	hon5	
呵	呵	h	u	1		x	ʊ	21	hu1	
歡	欢	h	u	1	歡喜	x	ʊ	21	hu1	
吙	吙	h	u	1		x	ʊ	21	hu1	
𧑚	𧑚	h	u	2	𧑚䘆（蚯蚓）	x	ʊ	24	hu2	
禾	禾	h	u	2		x	ʊ	24	hu2	
何	何	h	u	2		x	ʊ	24	hu2	
和	和	h	u	2	和平	x	ʊ	24	hu2	
河	河	h	u	2		x	ʊ	24	hu2	
荷	荷	h	u	2		x	ʊ	24	hu2	
火	火	h	u	3		x	ʊ	31	hu3	
伙	伙	h	u	3		x	ʊ	31	hu3	
夥	伙	h	u	3		x	ʊ	31	hu3	
鈥	钬	h	u	3		x	ʊ	31	hu3	
貨	货	h	u	5		x	ʊ	44	hu5	
和	和	h	u	6	附和	x	ʊ	33	hu6	
賀	贺	h	u	6		x	ʊ	33	hu6	
禍	祸	h	u	6		x	ʊ	33	hu6	
花	花	h	ua	1		x	ua	21	hua1	
嘩	哗	h	ua	2		x	ua	24	hua2	
華	华	h	ua	2	中華	x	ua	24	hua2	
划	划	h	ua	2	划船	x	ua	24	hua2	
化	化	h	ua	5		x	ua	44	hua5	
華	华	h	ua	6	華山	x	ua	33	hua6	
劃	划	h	ua	6	劃分，計劃	x	ua	33	hua6	
畫	画	h	ua	6	繪畫	x	ua	33	hua6	
話	话	h	ua	6		x	ua	33	hua6	
樺	桦	h	ua	6		x	ua	33	hua6	
歪	歪	h	uae	1		x	uɛ	21	huae1	
竵	歪	h	uae	1	竵斜	x	uɛ	21	huae1	
懷	怀	h	uae	2		x	uɛ	24	huae2	
淮	淮	h	uae	2		x	uɛ	24	huae2	
槐	槐	h	uae	2		x	uɛ	24	huae2	
踝	踝	h	uae	2		x	uɛ	24	huae2	
壞	坏	h	uae	6		x	uɛ	33	huae6	
豁	豁	h	uaeh	7	豁子	x	yaʔ	4	huaeh7	
猾	猾	h	uaeh	8		x	yaʔ	3	huaeh8	
滑	滑	h	uaeh	8		x	yaʔ	3	huaeh8	
㹕	㹕	h	uaen	1		x	uɛ̃	21	huaen1	
還	还	h	uaen	2	歸還	x	uɛ̃	24	huaen2	
鬟	鬟	h	uaen	2		x	uɛ̃	24	huaen2	
幻	幻	h	uaen	6		x	uɛ̃	33	huaen6	
患	患	h	uaen	6		x	uɛ̃	33	huaen6	
劐	劐	h	uah	7		x	uaʔ	4	huah7	
攉	攉	h	uah	7		x	uaʔ	4	huah7	
霍	霍	h	uah	7	姓氏	x	uaʔ	4	huah7	
藿	藿	h	uah	7		x	uaʔ	4	huah7	
穫	获	h	uah	8	收穫	x	uaʔ	3	huah8	
荒	荒	h	uan	1		x	uã	21	huan1	
慌	慌	h	uan	1		x	uã	21	huan1	
黃	黄	h	uan	1	蛋黃	x	uã	21	huan1	
皇	皇	h	uan	2		x	uã	24	huan2	
黃	黄	h	uan	2	黃豆	x	uã	24	huan2	
凰	凰	h	uan	2		x	uã	24	huan2	
隍	隍	h	uan	2		x	uã	24	huan2	
煌	煌	h	uan	2		x	uã	24	huan2	
潢	潢	h	uan	2		x	uã	24	huan2	
璜	璜	h	uan	2		x	uã	24	huan2	
蝗	蝗	h	uan	2		x	uã	24	huan2	
磺	磺	h	uan	2		x	uã	24	huan2	
蟥	蟥	h	uan	2		x	uã	24	huan2	
簧	簧	h	uan	2		x	uã	24	huan2	
恍	恍	h	uan	3		x	uã	31	huan3	
謊	谎	h	uan	3		x	uã	31	huan3	
幌	幌	h	uan	3		x	uã	31	huan3	
晃	晃	h	uan	5		x	uã	44	huan5	
忽	忽	h	ueh	7		x	uə?	4	hueh7	
惚	惚	h	ueh	7		x	uə?	4	hueh7	
□	□	h	ueh	7	差，坏	x	uə?	4	hueh7	
𣝗	核	h	ueh	8	果𣝗，𣝗子	x	uə?	3	hueh8	
囫	囫	h	ueh	8		x	uə?	3	hueh8	
灰	灰	h	uei	1		x	uəi	21	huei1	
揮	挥	h	uei	1		x	uəi	21	huei1	
恢	恢	h	uei	1		x	uəi	21	huei1	
暉	晖	h	uei	1		x	uəi	21	huei1	
輝	辉	h	uei	1		x	uəi	21	huei1	
徽	徽	h	uei	1		x	uəi	21	huei1	
回	回	h	uei	2		x	uəi	24	huei2	
迴	回	h	uei	2		x	uəi	24	huei2	
茴	茴	h	uei	2		x	uəi	24	huei2	
洄	洄	h	uei	2		x	uəi	24	huei2	
蛔	蛔	h	uei	2		x	uəi	24	huei2	
悔	悔	h	uei	3		x	uəi	31	huei3	
毀	毁	h	uei	3		x	uəi	31	huei3	
卉	卉	h	uei	5		x	uəi	44	huei5	
諱	讳	h	uei	5		x	uəi	44	huei5	
誨	诲	h	uei	5		x	uəi	44	huei5	
賄	贿	h	uei	5		x	uəi	44	huei5	
晦	晦	h	uei	5		x	uəi	44	huei5	
穢	秽	h	uei	5		x	uəi	44	huei5	
檜	桧	h	uei	6		x	uəi	33	huei6	
匯	汇	h	uei	6	交匯	x	uəi	33	huei6	
彙	汇	h	uei	6	彙編，詞彙	x	uəi	33	huei6	
會	会	h	uei	6	開會	x	uəi	33	huei6	
薈	荟	h	uei	6		x	uəi	33	huei6	
繪	绘	h	uei	6		x	uəi	33	huei6	
燴	烩	h	uei	6		x	uəi	33	huei6	
惠	惠	h	uei	6		x	uəi	33	huei6	
慧	慧	h	uei	6		x	uəi	33	huei6	
昏	昏	h	uen	1		x	uəŋ	21	huen1	
葷	荤	h	uen	1		x	uəŋ	21	huen1	
婚	婚	h	uen	1		x	uəŋ	21	huen1	
渾	浑	h	uen	2		x	uəŋ	24	huen2	
餛	馄	h	uen	2		x	uəŋ	24	huen2	
魂	魂	h	uen	2		x	uəŋ	24	huen2	
鯶	鯶	h	uen	6		x	uəŋ	33	huen6	
混	混	h	uen	6		x	uəŋ	33	huen6	
喝	喝	h	uh	7		x	ʊʔ	4	huh7	
豁	豁	h	uh	7	豁嘴	x	ʊʔ	4	huh7	
合	合	h	uh	8	合同	x	ʊʔ	3	huh8	
盒	盒	h	uh	8		x	ʊʔ	3	huh8	
闔	阖	h	uh	8		x	ʊʔ	3	huh8	
活	活	h	uh	8		x	ʊʔ	3	huh8	
蚶	蚶	h	un	1		x	ʊ̃	21	hun1	
酣	酣	h	un	1		x	ʊ̃	21	hun1	
憨	憨	h	un	1		x	ʊ̃	21	hun1	
鼾	鼾	h	un	1		x	ʊ̃	21	hun1	
歡	欢	h	un	1	歡樂	x	ʊ̃	21	hun1	
邯	邯	h	un	2		x	ʊ̃	24	hun2	
含	含	h	un	2		x	ʊ̃	24	hun2	
涵	涵	h	un	2		x	ʊ̃	24	hun2	
韓	韩	h	un	2		x	ʊ̃	24	hun2	
寒	寒	h	un	2		x	ʊ̃	24	hun2	
汗	汗	h	un	2	可汗	x	ʊ̃	24	hun2	
罕	罕	h	un	3		x	ʊ̃	31	hun3	
緩	缓	h	un	3		x	ʊ̃	31	hun3	
漢	汉	h	un	5		x	ʊ̃	44	hun5	
喚	唤	h	un	5		x	ʊ̃	44	hun5	
汗	汗	h	un	6	汗水	x	ʊ̃	33	hun6	
旱	旱	h	un	6		x	ʊ̃	33	hun6	
捍	捍	h	un	6		x	ʊ̃	33	hun6	
悍	悍	h	un	6		x	ʊ̃	33	hun6	
焊	焊	h	un	6		x	ʊ̃	33	hun6	
撼	撼	h	un	6		x	ʊ̃	33	hun6	
翰	翰	h	un	6		x	ʊ̃	33	hun6	
瀚	瀚	h	un	6		x	ʊ̃	33	hun6	
換	换	h	un	6		x	ʊ̃	33	hun6	
瘓	痪	h	un	6		x	ʊ̃	33	hun6	
乎	乎	h	v	1		x	ʋ	21	hv1	
呼	呼	h	v	1		x	ʋ	21	hv1	
和	和	h	v	2	來和（打長牌）	x	ʋ	24	hv2	
狐	狐	h	v	2		x	ʋ	24	hv2	
弧	弧	h	v	2		x	ʋ	24	hv2	
胡	胡	h	v	2	胡亂	x	ʋ	24	hv2	
鬍	胡	h	v	2	鬍鬚	x	ʋ	24	hv2	
壺	壶	h	v	2		x	ʋ	24	hv2	
葫	葫	h	v	2		x	ʋ	24	hv2	
猢	猢	h	v	2		x	ʋ	24	hv2	
湖	湖	h	v	2		x	ʋ	24	hv2	
瑚	瑚	h	v	2		x	ʋ	24	hv2	
蝴	蝴	h	v	2		x	ʋ	24	hv2	
糊	糊	h	v	2	糊塗	x	ʋ	24	hv2	
虎	虎	h	v	3		x	ʋ	31	hv3	
滸	浒	h	v	3	水滸	x	ʋ	31	hv3	
唬	唬	h	v	3		x	ʋ	31	hv3	
琥	琥	h	v	3		x	ʋ	31	hv3	
戽	戽	h	v	5		x	ʋ	44	hv5	
糊	糊	h	v	6	碎末	x	ʋ	33	hv6	
互	互	h	v	6		x	ʋ	33	hv6	
戶	户	h	v	6	戶口	x	ʋ	33	hv6	
護	护	h	v	6	保護	x	ʋ	33	hv6	
滬	沪	h	v	6		x	ʋ	33	hv6	
瓠	瓠	h	v	6		x	ʋ	33	hv6	
扈	扈	h	v	6		x	ʋ	33	hv6	
伊	伊		i	1			ɨᶨ	21	i1	
衣	衣		i	1			ɨᶨ	21	i1	
醫	医		i	1			ɨᶨ	21	i1	
依	依		i	1			ɨᶨ	21	i1	
咿	咿		i	1			ɨᶨ	21	i1	
爺	爷		i	2	叔叔		ɨᶨ	24	i2	
