汉字	拼音	IPA	注释	编号	符号	调值	名称		说明：本字表使用Sawroeg，以武鸣壮语为主，收集了壮语（包含方言）的汉字音，不区分层次。				
腕	vanj	βaːn55											
鰥	guenh	kuːn33											
幻													
篡													
撰													
閂													
拴	san	θaːn24											
涮													
關	gan	kaːn24											
關	gvan	kʷaːn24											
關	gven	kʷen24											
慣	gvenq	kʷen35											
頑	ngvanz	ŋʷaːn31											
還	vanz	βaːn31											
環	vanz	βaːn31											
患	vuenh	βuːn33											
宦													
彎	van	βaːn24											
灣	van	βaːn24											
灣	vanh	βaːn33											
戀	lienh	liːn33											
痊													
全	cienz	ɕiːn31											
泉	cienz	ɕiːn31											
宣	sien	θiːn24											
選	sienj	θiːn55											
旋	sienz	θiːn31											
旋													
鏇	sienz	θiːn31											
轉	cienj	ɕiːn55											
轉	cienq	ɕiːn35											
轉	cuenq	ɕuːn35	转交										
轉	swnh	θɯn33	婉转										
傳	cienz	ɕiːn31											
椽	cienz	ɕiːn31											
篆													
傳	cienh	ɕiːn33											
專	cien	ɕiːn24											
磚	cien	ɕiːn24											
川	cien	ɕiːn24											
穿	cien	ɕiːn24											
穿	cin	ɕin24											
穿	con	ɕoːn24											
喘	cienj	ɕiːn55											
舛													
串	cienq	ɕiːn35											
船	sienz	θiːn31											
軟	nyuenj	ȵuːn55											
捲	gienj	kiːn55											
眷													
卷	gienj	kiːn55											
卷	genj	ken55											
絹													
圈	gien	kiːn24											
圈	gyuen	kʲuːn24											
圈	genh	ken33	光圈										
權	gienz	kiːn31											
拳	gienz	kiːn31											
鬈													
圈	gyanh	kʲaːn33											
圈	gvenh	kʷen33											
倦													
員	yienz	jiːn31											
員	yenz	jen31											
圓	yienz	jiːn31											
圓	yuenz	juːn31											
院	yienh	jiːn33											
緣	yienz	jiːn31											
緣	yuenz	juːn31											
沿	yienz	jiːn31											
鉛	yienz	jiːn31											
捐	gien	kiːn24											
兖													
藩													
反	byonj	pʲoːn55											
反	fanj	faːn55											
反	fonj	foːn55											
翻	fan	faːn24											
番	fan	faːn24											
番	fanh	faːn33											
販	buenq	puːn35											
販	fanq	faːn35											
煩	fanz	faːn31											
礬	fanz	faːn31											
繁													
藩													
飯													
晚													
挽													
萬	fanh	faːn33											
勸	gienq	kiːn35											
勸	gyuenq	kʲuːn35											
勸	hienq	hiːn35											
券	gienq	kiːn35											
元	nyienz	ȵiːn31											
元	yienz	jiːn31											
原	nyienz	ȵiːn31											
原	yienz	jiːn31											
原	yuenz	juːn31											
原	nyuenz	ȵuːn31											
源	nyienz	ȵiːn31											
阮													
願	nyienh	ȵiːn33											
喧	hien	hiːn24											
楦	cienq	ɕiːn35											
楦	yienq	jiːn35											
冤	ien	iːn24											
宛	vanj	βaːn55											
婉	vanj	βaːn55											
婉	unq	un35											
怨	ienq	iːn35											
袁	yienz	jiːn31											
園	yienz	jiːn31											
援	vienz	βiːn31											
垣	vienz	βiːn31											
遠	yienx	jiːn42											
涓													
犬													
懸	yienz	jiːn31											
玄	yienz	jiːn31											
縣	yienh	jiːn33											
眩													
淵	ien	iːn24											
缽													
撥	bued	puːt33											
撥	bwed	pɯːt33											
潑	buet	puːt35											
鈸													
跋													
末													
抹	mad	maːt33											
沫													
掇													
脫	duet	tuːt35											
奪	dued	tuːt33											
捋													
撮	cat	ɕaːt35											
括	gvat	kʷaːt35											
闊													
豁													
活	vued	βuːt33											
斡													
滑	vad	βaːt33											
猾	vad	βaːt33											
挖	vat	βaːt35											
刷	cat	ɕaːt35											
刮	gvat	kʷaːt35											
刮	gvet	kʷeːt35											
刮	gved	kʷeːt33											
劣													
絕	cied	ɕiːt33											
絕	cod	ɕoːt33											
雪	siet	θiːt35											
輟													
拙													
說	siet	θiːt35											
悅	yied	jiːt33											
閲	yied	jiːt33											
髮													
發	fat	faːt35											
伐													
筏													
閥	faz	faː31											
罰	fad	faːt33											
襪	mad	maːt33											
厥													
孓													
闕													
掘	gud	kut33											
橛													
月	nyied	ȵiːt33											
噦													
越	yied	jiːt33											
曰	yied	jiːt33											
粵	yied	jiːt33											
決	giet	kiːt35											
訣													
缺	giet	kiːt35											
血	hiet	hiːt35											
穴	yied	jiːt33											
吞	daen	tan24											
根	gaen	kan24											
根	gun	kun24											
跟	gaen	kan24											
墾													
懇	gaenx	kan42											
齦													
痕	haenz	han31											
很	haenx	han42											
恨	haenh	han33											
恩	aen	an24											
彬													
賓	baen	pan24											
檳													
殯													
貧	binz	pin31											
頻													
牝													
閩													
民	minz	min31											
泯													
敏													
憫													
鄰	laenz	lan31											
麟	laenz	lan31											
鱗													
磷	linz	lin31											
吝													
津													
盡	caenh	ɕan33											
進	caenh	ɕan33											
進	cin	ɕin24											
晉													
親	caen	ɕan24											
親	cin	ɕin24											
秦	caenz	ɕan31											
秦	cinz	ɕin31											
辛	sin	θin24											
新	sin	θin24											
薪	sin	θin24											
信	saenq	θan35											
訊	sunq	θun35											
訊	saenq	θan35											
珍													
鎮	cinq	ɕin35											
趁	caenq	ɕan35											
陳	caenz	ɕan31											
陳	cinz	ɕin31											
塵	caenz	ɕan31											
陣	cinx	ɕin42											
榛													
臻													
襯	caenq	ɕan35											
真	caen	ɕan24											
診													
疹	cinj	ɕin55											
振	saenq	θan35											
振	cin	ɕin24											
震	saenq	θan35											
娠													
神	saenz	θan31											
身	saen	θan24											
申	saen	θan24											
伸	saen	θan24											
娠													
辰	caenz	ɕan31											
辰	saenz	θan31											
晨	caenz	ɕan31											
臣	caenz	ɕan31											
腎	saenh	θan33											
慎	saenh	θan33											
人	nyaenz	ȵan31											
仁	nyaenz	ȵan31											
忍	nyaenx	ȵan42											
忍	naenx	nan42											
認	nyinh	ȵin33											
認	nyienh	ȵiːn33											
刃													
巾	gaen	kan24											
緊	gaenj	kan55											
僅													
銀	ngaenz	ŋan31											
銀	yinz	jin31											
釁	yaenq	jan35											
因	aen	an24											
姻	aen	an24											
印	yaenq	jan35											
寅	yinz	jin31											
引	yinx	jin42											
斤	gaen	kan24											
筋	gaen	kan24											
謹													
勁	ging	kiŋ24											
勤	gaenz	kan31											
芹	ginz	kin31											
近	gaenh	kan33											
欣	yaen	jan24											
殷	aen	an24											
隱	yaenj	jan55											
筆	bit	pit55											
畢	bit	pit55											
必	biet	piːt35											
匹	bit	pit55											
弼													
密	maed	mat33											
蜜													
昵													
栗	laed	lat33											
栗	laeq	lai35											
栗	lix	liː42											
七	caet	ɕat55											
漆	caet	ɕat55											
疾													
悉	sit	θit55											
膝	saet	θat55											
窒													
侄													
秩													
瑟													
虱													
質	caet	ɕat55											
實	saed	θat33											
失	saeg	θak33											
失	saet	θat55											
室	saet	θat55											
日	nyaed	ȵat33											
吉	git	kit55											
詰													
一	it	it55											
壹	it	it55											
乙	iet	iːt35											
逸	yaed	jat33											
訖													
乞	hat	haːt35											
迄													
屹	ngaed	ŋat33											
奔	baen	pan24											
本	bonj	poːn55											
噴	bun	pun24											
盆	bunz	pun31											
笨	bwnh	pɯn33											
門	monz	moːn31											
悶													
敦													
墩	doen	ton24											
墩	doenj	ton55											
頓	donq	toːn35											
褪	doiq	toːi35											
屯													
豚													
飩													
臀													
囤	daenz	tan31											
沌													
盾	dun	tun24											
鈍													
遁													
嫩													
崙													
論	lwnh	lɯn33											
侖													
尊													
村	con	ɕoːn24											
忖													
寸	conq	ɕoːn35											
存	conz	ɕoːn31											
蹲													
孫	son	θoːn24											
損	sonj	θoːn55											
遜	son	θoːn24											
昆													
崑													
滾	goenj	kon55											
棍													
坤													
捆													
困													
昏	hoen	hon24											
婚	hoen	hon24											
魂	hoenz	hon31											
魂	hoen	hon24											
餛													
混	hoenx	hon42											
渾													
温	on	oːn24											
瘟	on	oːn24											
穩	onj	oːn55											
倫													
淪													
輪	lwnz	lɯn31											
遵													
俊													
竣													
皴													
荀													
詢	cunz	ɕun31											
筍	swnj	θɯn55											
迅	sunq	θun35											
浚													
旬	cunz	ɕun31											
循	cunz	ɕun31											
巡	cunz	ɕun31											
殉	swnh	θɯn33											
椿	cin	ɕin24											
諄													
肫													
準	cinj	ɕin55											
准	cinj	ɕin55											
春	cin	ɕin24											
蠢	cinj	ɕin55											
唇	swnz	θɯn31											
順	swnh	θɯn33											
舜													
瞬													
純	swnz	θɯn31											
蒓													
醇													
潤	nyinh	ȵin33											
閏	nyinh	ȵin33											
均													
鈞													
菌													
窘													
隕	vaenx	βan42											
匀	yinz	jin31											
允	vaenx	βan42											
尹	yinx	jin42											
分	baen	pan24											
分	ban	paːn24											
分	faen	fan24											
粉	faenj	fan55											
糞	bwnh	pɯn33											
奮													
芬													
紛	faen	fan24											
紛	foen	fon24											
紛	foenx	fon42											
忿													
墳	faenz	fan31											
焚													
憤													
忿													
份	faenh	fan33											
文	faenz	fan31											
文	maenz	man31											
紋	faenz	fan31											
蚊	faenz	fan31											
聞	faenz	fan31											
吻	faenx	fan42											
刎													
問	faenh	fan33											
君													
軍	gun	kun24											
軍	ginh	kin33											
群	gunz	kun31											
裙	gunz	kun31											
郡													
熏	hoen	hon24											
勛	hoen	hon24											
薰													
葷													
訓	hoenq	hon35											
熨													
雲	vaenz	βan31											
云	vaenz	βan31											
韻	vaenh	βan33											
韻	yinh	jin33											
運	vaenh	βan33											
暈	vaenz	βan31											
暈	vaenh	βan33											
不	bwt	pɯt55											
勃													
脖	bued	puːt33											
沒	mued	muːt33											
突	doed	tot33											
卒													
猝													
骨	goet	kot55											
骨	guz	kuː31											
窟													
忽	huet	huːt35											
核	haed	hat33											
核	vaed	βat33											
律	lwd	lɯt33											
率	lwd	lɯt33											
卒													
戌	swt	θɯt55											
恤	swt	θɯt55											
絀													
蟀													
率													
出	cwt	ɕɯt55											
術	swd	θɯt33											
述	swd	θɯt33											
秫													
橘													
弗													
拂	baet	pat55											
佛	baed	pat33											
佛	huet	huːt35											
物	faed	fat33											
勿	faed	fat33											
屈	ut	ut55											
屈	vaet	βat55											
倔													
氯													
幫	bang	paːŋ24											
榜	bangj	paːŋ55											
榜	buengj	puːŋ55											
謗	bangj	paːŋ55											
滂													
旁	bangz	paːŋ31											
旁	bangx	paːŋ42											
傍	bangh	paːŋ33											
忙	muengz	muːŋ31											
芒	muengz	muːŋ31											
茫	muengz	muːŋ31											
莽	mangj	maːŋ55											
當	dang	taːŋ24											
黨	dangj	taːŋ55											
擋	dangj	taːŋ55											
擋	daengj	taŋ55											
當	dangq	taːŋ35											
湯	dang	taːŋ24											
倘	dangj	taːŋ55											
躺	dangj	taːŋ55											
燙	dangq	taːŋ35											
趟	dangq	taːŋ35											
堂	dangz	taːŋ31											
唐	dangz	taːŋ31											
糖	dangz	taːŋ31											
塘	dangz	taːŋ31											
螳													
蕩	dangh	taːŋ33											
宕													
囊													
曩													
狼	langz	laːŋ31											
廊													
郎	langz	laːŋ31											
螂	langz	laːŋ31											
榔	langz	laːŋ31											
朗													
浪	langh	laːŋ33											
臧													
贓	cang	ɕaːŋ24											
贓	coeng	ɕoŋ24											
髒													
葬	cangq	ɕaːŋ35											
倉	cang	ɕaːŋ24											
蒼	cang	ɕaːŋ24											
藏	cangz	ɕaːŋ31											
藏													
臓													
桑	sang	θaːŋ24											
桑	sangh	θaːŋ33											
喪	sang	θaːŋ24											
嗓	sangj	θaːŋ55											
喪													
岡	geng	keŋ24											
剛	geng	keŋ24											
鋼	gang	kaːŋ24											
缸	gang	kaːŋ24											
綱	gang	kaːŋ24											
崗	geng	keŋ24											
崗	gangj	kaːŋ55											
康													
糠													
慷													
抗	gangq	kaːŋ35											
炕	gangq	kaːŋ35											
昂	ngiengx	ŋiːŋ42											
杭	hangz	haːŋ31											
航	hangz	haːŋ31											
行	hangz	haːŋ31											
行	gangz	kaːŋ31											
骯													
娘													
釀													
良	liengz	liːŋ31											
凉	liengz	liːŋ31											
涼	liengz	liːŋ31											
量	liengz	liːŋ31											
糧	liengz	liːŋ31											
梁	liengz	liːŋ31											
粱	liengz	liːŋ31											
兩	liengx	liːŋ42											
亮	liengh	liːŋ33											
輛													
量	liengh	liːŋ33											
諒	liengh	liːŋ33											
將	cieng	ɕiːŋ24											
漿													
蔣	ciengj	ɕiːŋ55											
槳	ciengj	ɕiːŋ55											
獎	ciengj	ɕiːŋ55											
將	ciengq	ɕiːŋ35											
醬	ciengq	ɕiːŋ35											
槍	cieng	ɕiːŋ24											
搶	ciengj	ɕiːŋ55											
牆	ciengz	ɕiːŋ31											
戕													
匠	cangh	ɕaːŋ33											
相	sieng	θiːŋ24											
厢	sieng	θiːŋ24											
鑲	sieng	θiːŋ24											
箱	sieng	θiːŋ24											
襄													
想	siengj	θiːŋ55											
鯗													
相	siengq	θiːŋ35											
詳	ciengz	ɕiːŋ31											
祥	ciengz	ɕiːŋ31											
像	ciengh	ɕiːŋ33											
象	ciengh	ɕiːŋ33											
象	sieng	θiːŋ24											
張	cieng	ɕiːŋ24											
漲													
長													
帳	ciengq	ɕiːŋ35											
賬	ciengq	ɕiːŋ35											
脹	ciengq	ɕiːŋ35											
暢	ciengq	ɕiːŋ35											
悵													
長	ciengz	ɕiːŋ31											
腸	ciengz	ɕiːŋ31											
場	ciengz	ɕiːŋ31											
丈	ciengh	ɕiːŋ33											
杖													
仗	ciengq	ɕiːŋ35											
莊													
裝	cang	ɕaːŋ24											
裝	caeng	ɕaŋ24											
壯	cuengh	ɕuːŋ33											
壯	cangq	ɕaːŋ35											
瘡	cang	ɕaːŋ24											
創	cangq	ɕaːŋ35											
牀	congz	ɕoːŋ31											
狀	cangh	ɕaːŋ33											
狀	cang	ɕaːŋ24											
霜	sueng	θuːŋ24											
孀													
爽	sangj	θaːŋ55											
章	cieng	ɕiːŋ24											
章	cangh	ɕaːŋ33											
樟	cueng	ɕuːŋ24											
掌													
障	cang	ɕaːŋ24											
昌	cang	ɕaːŋ24											
倡	cang	ɕaːŋ24											
廠	cangj	ɕaːŋ55											
唱	ciengq	ɕiːŋ35											
倡	ciengq	ɕiːŋ35											
商	sieng	θiːŋ24											
傷	sieng	θiːŋ24											
賞	siengj	θiːŋ55											
賞	ciengj	ɕiːŋ55											
餉	yiengj	jiːŋ55											
常	ciengz	ɕiːŋ31											
常	siengz	θiːŋ31											
嘗	ciengz	ɕiːŋ31											
償	ciengz	ɕiːŋ31											
裳	ciengz	ɕiːŋ31											
上													
尚	siengh	θiːŋ33											
上	siengh	θiːŋ33											
瓤													
壤													
攘													
嚷													
讓	nyiengh	ȵiːŋ33											
疆													
僵	geng	keŋ24											
姜	gieng	kiːŋ24											
薑	gieng	kiːŋ24											
羌													
強													
強	giengz	kiːŋ31											
仰	ngiengx	ŋiːŋ42											
香	yieng	jiːŋ24											
香	yangh	jaːŋ33											
鄉	yieng	jiːŋ24											
鄉	yangh	jaːŋ33											
享	yiengj	jiːŋ55											
響	yiengj	jiːŋ55											
向	yiengq	jiːŋ35											
央	yieng	jiːŋ24											
秧	yieng	jiːŋ24											
殃	yieng	jiːŋ24											
羊	yiengz	jiːŋ31											
佯	yiengz	jiːŋ31											
洋	yiengz	jiːŋ31											
洋	yangz	jaːŋ31											
楊	yiengz	jiːŋ31											
揚	yiengz	jiːŋ31											
陽	yiengz	jiːŋ31											
養	yiengx	jiːŋ42											
癢	yiengx	jiːŋ42											
樣	yiengh	jiːŋ33											
恙													
博	buek	puːk35											
薄	bog	poːk33											
薄	boz	poː31											
泊	bog	poːk33											
莫													
膜	mueg	muːk33											
摸	mo	moː24											
寞													
幕	muq	muː35											
幕	mu	muː24											
託	dak	taːk35											
托	dak	taːk35											
鐸													
踱													
度													
諾													
落													
洛	lak	laːk35											
駱													
絡	lox	loː42											
酪													
烙	lag	laːk33											
烙	log	loːk33											
樂	lag	laːk33											
樂	loz	loː31											
作													
錯	cak	ɕaːk35											
錯	cok	ɕoːk35											
鑿													
昨													
索	sak	θaːk35											
各	gak	kaːk35											
各	gag	kaːk33											
閣													
胳													
鄂													
鱷	ngieg	ŋiːk33											
壑													
鶴	hag	haːk33											
惡	yak	jaːk35											
掠													
略													
爵													
雀	coz	ɕoː31											
鵲	cak	ɕaːk35											
嚼													
削	soek	θok55											
削	caek	ɕak55											
著													
著													
酌													
綽													
勺	cok	ɕoːk35											
勺	cuek	ɕuːk35											
勺	sieg	θiːk33											
芍	coz	ɕoː31											
若													
弱	nyieg	ȵiːk33											
弱	yieg	jiːk33											
腳													
卻													
虐	nyoeg	ȵok33											
虐	noz	noː31											
瘧													
約	iek	iːk35											
藥	yog	joːk33											
藥	yoz	joː31											
鉻													
鑰	yieg	jiːk33											
鑰	yaek	jak55											
躍	yieg	jiːk33											
光	gvangh	kʷaːŋ33											
廣	guengj	kuːŋ55											
曠	gvangq	kʷaːŋ35											
曠	gvang	kʷaːŋ24											
荒	vueng	βuːŋ24											
慌	vueng	βuːŋ24											
恍													
謊	vuengj	βuːŋ55											
黃	vuengz	βuːŋ31											
黃	vangz	βaːŋ31											
蝗													
皇	vuengz	βuːŋ31											
凰	vuengz	βuːŋ31											
汪	ueng	uːŋ24											
方	fueng	fuːŋ24											
肪													
仿													
放	fang	faːŋ24											
芳													
坊	fangh	faːŋ33											
妨	fuengz	fuːŋ31											
紡													
仿													
彷													
訪	fangj	faːŋ55											
房	fuengz	fuːŋ31											
防	fuengz	fuːŋ31											
亡	muengz	muːŋ31											
忘	muengh	muːŋ33											
網	muengx	muːŋ42											
望	muengh	muːŋ33											
忘	muengh	muːŋ33											
妄	muengh	muːŋ33											
逛													
匡													
筐													
狂	guengz	kuːŋ31											
況	gvang	kʷaːŋ24											
枉	uengj	uːŋ55											
枉	vuengj	βuːŋ55											
王	vuengz	βuːŋ31											
往	vuengx	βuːŋ42											
旺	vuengh	βuːŋ33											
郭													
擴													
廓													
霍													
藿													
鑊													
縛	bog	poːk33											
縛	buk	puk55											
钁													
邦													
綁	bangj	paːŋ55											
乓	bang	paːŋ24											
胖	bangq	paːŋ35											
龐													
棒	bangh	paːŋ33											
蚌	bangx	paːŋ42											
樁													
撞													
撞													
窗	cueng	ɕuːŋ24											
雙	sueng	θuːŋ24											
雙	song	θoːŋ24											
江	gyangh	kʲaːŋ33											
肛													
扛													
講	gangj	kaːŋ55											
港													
耩													
降	yangz	jaːŋ31											
虹	hoengz	hoŋ31											
腔	hang	haːŋ24											
降	gyangq	kʲaːŋ35											
項	hangh	haːŋ33											
項	hang	haːŋ24											
巷	hangh	haːŋ33											
剝	bok	poːk35											
駁	buek	puːk35											
璞													
雹	bag	paːk33											
卓													
桌													
琢													
啄													
戳													
濁	cueg	ɕuːk33											
濯													
捉													
鐲													
朔													
覺													
角	gak	kaːk35											
角	gok	koːk35											
角	giek	kiːk35	旦角										
餃													
確													
殼													
嶽	nyag	ȵaːk33											
岳	nyag	ȵaːk33											
樂													
學	hag	haːk33											
學	yoz	joː31											
握	aek	ak55											
崩													
朋	baengz	paŋ31											
硼	baengz	paŋ31											
登	daeng	taŋ24											
登	daengh	taŋ33											
燈	daeng	taŋ24											
等	daengj	taŋ55											
凳	daengq	taŋ35											
藤													
騰	daengz	taŋ31											
疼	daengz	taŋ31											
謄	daengz	taŋ31											
謄	daengh	taŋ33											
鄧													
能	naengz	naŋ31											
楞													
增													
憎	caengz	ɕaŋ31											
憎													
曾													
曾													
曾	caengz	ɕaŋ31											
層	caengz	ɕaŋ31											
贈	daengq	taŋ35											
僧	saeng	θaŋ24											
亘													
肯	haengj	haŋ55											
恆	haengz	haŋ31											
冰	bing	piŋ24											
憑	baengz	paŋ31											
憑	baengh	paŋ33											
憑	bingz	piŋ31											
凌	lingz	liŋ31											
菱													
陵													
徵	cwng	ɕɯŋ24											
徵	cwngh	ɕɯŋ33											
徵	cing	ɕiŋ24											
澄													
懲	cingz	ɕiŋ31											
懲	cingj	ɕiŋ55											
橙													
瞪	daengj	taŋ55											
瞪	daengx	taŋ42											
蒸	cwng	ɕɯŋ24											
蒸	cwngh	ɕɯŋ33											
拯													
證	cingq	ɕiŋ35											
證	cwngq	ɕɯŋ35											
症													
稱	cwng	ɕɯŋ24											
稱	caengh	ɕaŋ33											
秤	caengh	ɕaŋ33											
乘	singz	θiŋ31											
乘	swngz	θɯŋ31											
繩	swngz	θɯŋ31											
剩	swngh	θɯŋ33											
剩													
升	swng	θɯŋ24											
勝	swngq	θɯŋ35											
承	singz	θiŋ31											
承	cingz	ɕiŋ31											
丞													
仍	nyingz	ȵiŋ31											
扔	nding	ɗiŋ24											
兢													
凝													
興	hwng	hɯŋ24											
興	hwngq	hɯŋ35											
應	yaeng	jaŋ24											
應	wng	ɯŋ24											
鷹	wng	ɯŋ24											
應	wngq	ɯŋ35											
蠅	yingz	jiŋ31											
孕	yinh	jin33											
北	baek	pak55											
墨	maeg	mak33											
默	maeg	mak33											
德	daek	tak55											
得	daek	tak55											
忒													
特	daeg	tak33											
肋													
勒	laeg	lak33											
則	cwz	ɕɯː31											
賊	caeg	ɕak33											
塞	saek	θak55											
塞	caet	ɕat55											
刻	gaek	kak55											
克	haek	hak55											
黑	haek	hak55											
逼	bik	pik55											
匿													
力	lig	lik33											
即													
鯽	caek	ɕak55											
稷													
息	sik	θik55											
熄	sik	θik55											
媳	sik	θik55											
飭													
直	cig	ɕik33											
值	cig	ɕik33											
側	caek	ɕak55											
測	caek	ɕak55											
惻													
色	saek	θak55											
織													
職	cik	ɕik55											
食	sig	θik33											
蝕	sig	θik33											
蝕	sied	θiːt33											
識	sik	θik55											
識	cik	ɕik55											
式	sik	θik55											
飾	sik	θik55											
殖													
植													
棘													
極	gig	kik33											
憶	ik	ik55											
億	ik	ik55											
抑	ik	ik55											
弋													
翼	yig	jik33											
弘													
國	guek	kuːk35											
國	goz	koː31											
或	vueg	βuːk33											
惑	vueg	βuːk33											
域	vig	βik33											
烹													
彭													
膨	bongz	poːŋ31											
膨	bongq	poːŋ35											
盲	mengz	meŋ31											
猛	mangx	maːŋ42											
猛	mengx	meŋ42											
孟													
打	daj	taː55											
冷	lengx	leŋ42											
冷	longx	loːŋ42											
冷	lwngj	lɯŋ55											
撐	cengq	ɕeŋ35											
撐	cengj	ɕeŋ55											
澄													
鐺													
鐺													
生	seng	θeŋ24											
牲	seng	θeŋ24											
笙													
甥	seng	θeŋ24											
省	sengj	θeŋ55											
更	geng	keŋ24											
庚	geng	keŋ24											
羹	geng	keŋ24											
哽	genx	ken42											
更													
坑													
硬	ngengh	ŋeŋ33											
亨													
行	hengz	heŋ31											
衡	hengz	heŋ31											
杏	gingq	kiŋ35											
浜													
迸													
棚	baengz	paŋ31											
棚	bengz	peŋ31											
棚	bungz	puŋ31											
萌													
爭	ceng	ɕeŋ24											
爭	cwngq	ɕɯŋ35											
爭													
箏													
睜	cengq	ɕeŋ35											
耕	geng	keŋ24											
耿													
莖													
幸	hengh	heŋ33											
鶯													
鸚	yengj	jeŋ55											
櫻	ing	iŋ24											
乒	bing	piŋ24											
兵	bing	piŋ24											
丙	bingj	piŋ55											
秉													
柄	bingq	piŋ35											
平	bingz	piŋ31											
評	bingz	piŋ31											
病	bingh	piŋ33											
明	mingz	miŋ31											
鳴													
盟	mungz	muŋ31											
皿													
命	mingh	miŋ33											
命	ming	miŋ24											
京	ging	kiŋ24											
荆													
驚	ging	kiŋ24											
境													
景	gingj	kiŋ55											
警	gingj	kiŋ55											
敬	gingq	kiŋ35											
竟	gingq	kiŋ35											
鏡	gingq	kiŋ35											
卿													
慶	gingq	kiŋ35											
擎	gingz	kiŋ31											
鯨													
競													
迎	nyingz	ȵiŋ31											
英	ing	iŋ24											
影	ingj	iŋ55											
映	ingj	iŋ55											
餅	bingj	piŋ55											
并	bingh	piŋ33											
聘	binq	pin35											
名	mingz	miŋ31											
領	lingx	liŋ42											
嶺													
拎													
令	lingh	liŋ33											
令	ling	liŋ24											
精	cing	ɕiŋ24											
晶													
旌													
睛													
井	cingj	ɕiŋ55											
清	cing	ɕiŋ24											
清	cingx	ɕiŋ42											
清	cingh	ɕiŋ33											
請	cingj	ɕiŋ55											
情	cingz	ɕiŋ31											
晴	cingz	ɕiŋ31											
靜	cingh	ɕiŋ33											
靜	cingx	ɕiŋ42											
净	cingh	ɕiŋ33											
净	cengh	ɕeŋ33											
省	singj	θiŋ55											
性	singq	θiŋ35											
姓	singq	θiŋ35											
貞													
蟶													
偵													
逞													
呈	cingz	ɕiŋ31											
程	cingz	ɕiŋ31											
鄭													
正	cieng	ɕiːŋ24											
征	cwng	ɕɯŋ24											
整	cingj	ɕiŋ55											
政													
正	cingq	ɕiŋ35											
聲	sing	θiŋ24											
聖	singq	θiŋ35											
城	singz	θiŋ31											
成	cingz	ɕiŋ31											
誠	singz	θiŋ31											
誠	cingz	ɕiŋ31											
盛	singh	θiŋ33											
頸													
勁	ging	kiŋ24											
勁													
輕	hing	hiŋ24											
嬰	ing	iŋ24											
纓	ing	iŋ24											
盈	yingz	jiŋ31											
贏	hingz	hiŋ31											
姘													
拼	bing	piŋ24											
拼	bingq	piŋ35											
瓶	bingz	piŋ31											
屏	bingz	piŋ31											
並	bingh	piŋ33											
銘													
冥													
丁	ding	tiŋ24											
丁	dingh	tiŋ33											
釘	ding	tiŋ24											
頂	dingj	tiŋ55											
鼎	dingj	tiŋ55											
訂	dingh	tiŋ33											
訂	ding	tiŋ24											
聽													
汀													
廳	ding	tiŋ24											
聽	dingq	tiŋ35											
廷	dingz	tiŋ31											
停	dingz	tiŋ31											
亭	dingz	tiŋ31											
庭	dingz	tiŋ31											
蜓	dingz	tiŋ31											
挺	dingx	tiŋ42											
艇	dingx	tiŋ42											
艇	dengx	teŋ42											
錠	dingh	tiŋ33											
定	dingh	tiŋ33											
寧	ningz	niŋ31											
寧													
佞													
靈	lingz	liŋ31											
零	lingz	liŋ31											
鈴	lingz	liŋ31											
伶	lingz	liŋ31											
另	lingh	liŋ33											
青	cing	ɕiŋ24											
蜻	cing	ɕiŋ24											
星	sing	θiŋ24											
腥	sing	θiŋ24											
醒	singj	θiŋ55											
經	ging	kiŋ24											
徑													
磬													
馨													
刑	hingz	hiŋ31											
型	hingz	hiŋ31											
形	hingz	hiŋ31											
百	bak	paːk35											
百	bek	peːk35	百姓										
柏	bek	peːk35											
伯	bek	peːk35											
迫	bek	peːk35											
拍	bek	peːk35											
珀													
魄	bek	peːk35											
白	beg	peːk33											
帛													
陌													
陌													
拆	cak	ɕaːk35											
拆	cek	ɕeːk35											
擇													
澤													
宅													
窄	cek	ɕeːk35											
格	gek	keːk35											
客	hek	heːk35											
咳	gag	kaːk33											
咳	gak	kaːk35											
咳	hag	haːk33											
額	ngeg	ŋeːk33											
額	nyeg	ȵeːk33											
赫													
嚇	hag	haːk33											
嚇	hek	heːk35											
嚇	hwk	hɯk55											
麥	meg	meːk33											
脈	meg	meːk33											
脈	maeg	mak33											
摘													
責	cwz	ɕɯː31											
策	cek	ɕeːk35											
册	cek	ɕeːk35											
栅													
革	gwz	kɯː31											
隔	gek	keːk35											
核	hwz	hɯː31											
厄													
扼													
軛	ek	eːk35											
碧	bik	pik55											
戟													
隙													
劇													
屐													
逆	nyig	ȵik33											
璧	bik	pik55											
僻	bik	pik55											
辟	bik	pik55											
闢	bik	pik55											
積	cwk	ɕɯk55											
跡	cik	ɕik55											
脊	cik	ɕik55											
籍	ciz	ɕiː31											
藉													
昔	sik	θik55											
惜	sik	θik55											
席	cig	ɕik33											
夕	cig	ɕik33											
擲													
隻	cik	ɕik55											
炙													
赤	cik	ɕik55											
斥	cik	ɕik55											
斥	ceg	ɕeːk33											
尺	cik	ɕik55											
射													
適	sik	θik55											
釋	sik	θik55											
釋	cek	ɕeːk35											
石	sig	θik33											
碩													
益	ik	ik55											
亦	yieg	jiːk33											
譯	yig	jik33											
易													
液	yig	jik33											
腋	yig	jik33											
壁	bik	pik55											
霹													
劈	bik	pik55											
覓													
滴	ndik	ɗik55											
嫡													
的													
