字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
瘦	=D2163&E2163&F2163		s	ou	53	=IF(D2163=0,"〇",D2163)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2163=B2164,0,1)	=IF(B2163=B2162,L2162&IF(C2163=0,A2163,A2163&"{"&C2163&"}"),IF(C2163=0,A2163,A2163&"{"&C2163&"}"))	=D2163&E2163	=IF(M2163=M2164,0,1)	=IF(N2162=0,IF(K2162=0,IF(B2163=B2162,O2162&IF(C2163=0,A2163,A2163&"{"&C2163&"}"),"["&J2163&"]"&IF(C2163=0,A2163,A2163&"{"&C2163&"}")),O2162&"["&J2163&"]"&IF(C2163=0,A2163,A2163&"{"&C2163&"}")),"["&J2163&"]"&IF(C2163=0,A2163,A2163&"{"&C2163&"}"))	=M2163&O2163
事	=D2164&E2164&F2164	白，教～（教训）	s	ou	311	=IF(D2164=0,"〇",D2164)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2164=B2165,0,1)	=IF(B2164=B2163,L2163&IF(C2164=0,A2164,A2164&"{"&C2164&"}"),IF(C2164=0,A2164,A2164&"{"&C2164&"}"))	=D2164&E2164	=IF(M2164=M2165,0,1)	=IF(N2163=0,IF(K2163=0,IF(B2164=B2163,O2163&IF(C2164=0,A2164,A2164&"{"&C2164&"}"),"["&J2164&"]"&IF(C2164=0,A2164,A2164&"{"&C2164&"}")),O2163&"["&J2164&"]"&IF(C2164=0,A2164,A2164&"{"&C2164&"}")),"["&J2164&"]"&IF(C2164=0,A2164,A2164&"{"&C2164&"}"))	=M2164&O2164
姑	=D2165&E2165&F2165		k	ou	22	=IF(D2165=0,"〇",D2165)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2165=B2166,0,1)	=IF(B2165=B2164,L2164&IF(C2165=0,A2165,A2165&"{"&C2165&"}"),IF(C2165=0,A2165,A2165&"{"&C2165&"}"))	=D2165&E2165	=IF(M2165=M2166,0,1)	=IF(N2164=0,IF(K2164=0,IF(B2165=B2164,O2164&IF(C2165=0,A2165,A2165&"{"&C2165&"}"),"["&J2165&"]"&IF(C2165=0,A2165,A2165&"{"&C2165&"}")),O2164&"["&J2165&"]"&IF(C2165=0,A2165,A2165&"{"&C2165&"}")),"["&J2165&"]"&IF(C2165=0,A2165,A2165&"{"&C2165&"}"))	=M2165&O2165
孤	=D2166&E2166&F2166		k	ou	22	=IF(D2166=0,"〇",D2166)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2166=B2167,0,1)	=IF(B2166=B2165,L2165&IF(C2166=0,A2166,A2166&"{"&C2166&"}"),IF(C2166=0,A2166,A2166&"{"&C2166&"}"))	=D2166&E2166	=IF(M2166=M2167,0,1)	=IF(N2165=0,IF(K2165=0,IF(B2166=B2165,O2165&IF(C2166=0,A2166,A2166&"{"&C2166&"}"),"["&J2166&"]"&IF(C2166=0,A2166,A2166&"{"&C2166&"}")),O2165&"["&J2166&"]"&IF(C2166=0,A2166,A2166&"{"&C2166&"}")),"["&J2166&"]"&IF(C2166=0,A2166,A2166&"{"&C2166&"}"))	=M2166&O2166
菇	=D2167&E2167&F2167		k	ou	22	=IF(D2167=0,"〇",D2167)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2167=B2168,0,1)	=IF(B2167=B2166,L2166&IF(C2167=0,A2167,A2167&"{"&C2167&"}"),IF(C2167=0,A2167,A2167&"{"&C2167&"}"))	=D2167&E2167	=IF(M2167=M2168,0,1)	=IF(N2166=0,IF(K2166=0,IF(B2167=B2166,O2166&IF(C2167=0,A2167,A2167&"{"&C2167&"}"),"["&J2167&"]"&IF(C2167=0,A2167,A2167&"{"&C2167&"}")),O2166&"["&J2167&"]"&IF(C2167=0,A2167,A2167&"{"&C2167&"}")),"["&J2167&"]"&IF(C2167=0,A2167,A2167&"{"&C2167&"}"))	=M2167&O2167
辜	=D2168&E2168&F2168		k	ou	22	=IF(D2168=0,"〇",D2168)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2168=B2169,0,1)	=IF(B2168=B2167,L2167&IF(C2168=0,A2168,A2168&"{"&C2168&"}"),IF(C2168=0,A2168,A2168&"{"&C2168&"}"))	=D2168&E2168	=IF(M2168=M2169,0,1)	=IF(N2167=0,IF(K2167=0,IF(B2168=B2167,O2167&IF(C2168=0,A2168,A2168&"{"&C2168&"}"),"["&J2168&"]"&IF(C2168=0,A2168,A2168&"{"&C2168&"}")),O2167&"["&J2168&"]"&IF(C2168=0,A2168,A2168&"{"&C2168&"}")),"["&J2168&"]"&IF(C2168=0,A2168,A2168&"{"&C2168&"}"))	=M2168&O2168
枯	=D2169&E2169&F2169		k	ou	22	=IF(D2169=0,"〇",D2169)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2169=B2170,0,1)	=IF(B2169=B2168,L2168&IF(C2169=0,A2169,A2169&"{"&C2169&"}"),IF(C2169=0,A2169,A2169&"{"&C2169&"}"))	=D2169&E2169	=IF(M2169=M2170,0,1)	=IF(N2168=0,IF(K2168=0,IF(B2169=B2168,O2168&IF(C2169=0,A2169,A2169&"{"&C2169&"}"),"["&J2169&"]"&IF(C2169=0,A2169,A2169&"{"&C2169&"}")),O2168&"["&J2169&"]"&IF(C2169=0,A2169,A2169&"{"&C2169&"}")),"["&J2169&"]"&IF(C2169=0,A2169,A2169&"{"&C2169&"}"))	=M2169&O2169
糊	=D2170&E2170&F2170		k	ou	44	=IF(D2170=0,"〇",D2170)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2170=B2171,0,1)	=IF(B2170=B2169,L2169&IF(C2170=0,A2170,A2170&"{"&C2170&"}"),IF(C2170=0,A2170,A2170&"{"&C2170&"}"))	=D2170&E2170	=IF(M2170=M2171,0,1)	=IF(N2169=0,IF(K2169=0,IF(B2170=B2169,O2169&IF(C2170=0,A2170,A2170&"{"&C2170&"}"),"["&J2170&"]"&IF(C2170=0,A2170,A2170&"{"&C2170&"}")),O2169&"["&J2170&"]"&IF(C2170=0,A2170,A2170&"{"&C2170&"}")),"["&J2170&"]"&IF(C2170=0,A2170,A2170&"{"&C2170&"}"))	=M2170&O2170
古	=D2171&E2171&F2171		k	ou	53	=IF(D2171=0,"〇",D2171)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2171=B2172,0,1)	=IF(B2171=B2170,L2170&IF(C2171=0,A2171,A2171&"{"&C2171&"}"),IF(C2171=0,A2171,A2171&"{"&C2171&"}"))	=D2171&E2171	=IF(M2171=M2172,0,1)	=IF(N2170=0,IF(K2170=0,IF(B2171=B2170,O2170&IF(C2171=0,A2171,A2171&"{"&C2171&"}"),"["&J2171&"]"&IF(C2171=0,A2171,A2171&"{"&C2171&"}")),O2170&"["&J2171&"]"&IF(C2171=0,A2171,A2171&"{"&C2171&"}")),"["&J2171&"]"&IF(C2171=0,A2171,A2171&"{"&C2171&"}"))	=M2171&O2171
估	=D2172&E2172&F2172		k	ou	53	=IF(D2172=0,"〇",D2172)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2172=B2173,0,1)	=IF(B2172=B2171,L2171&IF(C2172=0,A2172,A2172&"{"&C2172&"}"),IF(C2172=0,A2172,A2172&"{"&C2172&"}"))	=D2172&E2172	=IF(M2172=M2173,0,1)	=IF(N2171=0,IF(K2171=0,IF(B2172=B2171,O2171&IF(C2172=0,A2172,A2172&"{"&C2172&"}"),"["&J2172&"]"&IF(C2172=0,A2172,A2172&"{"&C2172&"}")),O2171&"["&J2172&"]"&IF(C2172=0,A2172,A2172&"{"&C2172&"}")),"["&J2172&"]"&IF(C2172=0,A2172,A2172&"{"&C2172&"}"))	=M2172&O2172
牯	=D2173&E2173&F2173		k	ou	53	=IF(D2173=0,"〇",D2173)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2173=B2174,0,1)	=IF(B2173=B2172,L2172&IF(C2173=0,A2173,A2173&"{"&C2173&"}"),IF(C2173=0,A2173,A2173&"{"&C2173&"}"))	=D2173&E2173	=IF(M2173=M2174,0,1)	=IF(N2172=0,IF(K2172=0,IF(B2173=B2172,O2172&IF(C2173=0,A2173,A2173&"{"&C2173&"}"),"["&J2173&"]"&IF(C2173=0,A2173,A2173&"{"&C2173&"}")),O2172&"["&J2173&"]"&IF(C2173=0,A2173,A2173&"{"&C2173&"}")),"["&J2173&"]"&IF(C2173=0,A2173,A2173&"{"&C2173&"}"))	=M2173&O2173
鼓	=D2174&E2174&F2174		k	ou	53	=IF(D2174=0,"〇",D2174)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2174=B2175,0,1)	=IF(B2174=B2173,L2173&IF(C2174=0,A2174,A2174&"{"&C2174&"}"),IF(C2174=0,A2174,A2174&"{"&C2174&"}"))	=D2174&E2174	=IF(M2174=M2175,0,1)	=IF(N2173=0,IF(K2173=0,IF(B2174=B2173,O2173&IF(C2174=0,A2174,A2174&"{"&C2174&"}"),"["&J2174&"]"&IF(C2174=0,A2174,A2174&"{"&C2174&"}")),O2173&"["&J2174&"]"&IF(C2174=0,A2174,A2174&"{"&C2174&"}")),"["&J2174&"]"&IF(C2174=0,A2174,A2174&"{"&C2174&"}"))	=M2174&O2174
股	=D2175&E2175&F2175		k	ou	53	=IF(D2175=0,"〇",D2175)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2175=B2176,0,1)	=IF(B2175=B2174,L2174&IF(C2175=0,A2175,A2175&"{"&C2175&"}"),IF(C2175=0,A2175,A2175&"{"&C2175&"}"))	=D2175&E2175	=IF(M2175=M2176,0,1)	=IF(N2174=0,IF(K2174=0,IF(B2175=B2174,O2174&IF(C2175=0,A2175,A2175&"{"&C2175&"}"),"["&J2175&"]"&IF(C2175=0,A2175,A2175&"{"&C2175&"}")),O2174&"["&J2175&"]"&IF(C2175=0,A2175,A2175&"{"&C2175&"}")),"["&J2175&"]"&IF(C2175=0,A2175,A2175&"{"&C2175&"}"))	=M2175&O2175
苟	=D2176&E2176&F2176		k	ou	53	=IF(D2176=0,"〇",D2176)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2176=B2177,0,1)	=IF(B2176=B2175,L2175&IF(C2176=0,A2176,A2176&"{"&C2176&"}"),IF(C2176=0,A2176,A2176&"{"&C2176&"}"))	=D2176&E2176	=IF(M2176=M2177,0,1)	=IF(N2175=0,IF(K2175=0,IF(B2176=B2175,O2175&IF(C2176=0,A2176,A2176&"{"&C2176&"}"),"["&J2176&"]"&IF(C2176=0,A2176,A2176&"{"&C2176&"}")),O2175&"["&J2176&"]"&IF(C2176=0,A2176,A2176&"{"&C2176&"}")),"["&J2176&"]"&IF(C2176=0,A2176,A2176&"{"&C2176&"}"))	=M2176&O2176
芶	=D2177&E2177&F2177	姓	k	ou	53	=IF(D2177=0,"〇",D2177)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2177=B2178,0,1)	=IF(B2177=B2176,L2176&IF(C2177=0,A2177,A2177&"{"&C2177&"}"),IF(C2177=0,A2177,A2177&"{"&C2177&"}"))	=D2177&E2177	=IF(M2177=M2178,0,1)	=IF(N2176=0,IF(K2176=0,IF(B2177=B2176,O2176&IF(C2177=0,A2177,A2177&"{"&C2177&"}"),"["&J2177&"]"&IF(C2177=0,A2177,A2177&"{"&C2177&"}")),O2176&"["&J2177&"]"&IF(C2177=0,A2177,A2177&"{"&C2177&"}")),"["&J2177&"]"&IF(C2177=0,A2177,A2177&"{"&C2177&"}"))	=M2177&O2177
彀	=D2178&E2178&F2178		k	ou	53	=IF(D2178=0,"〇",D2178)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2178=B2179,0,1)	=IF(B2178=B2177,L2177&IF(C2178=0,A2178,A2178&"{"&C2178&"}"),IF(C2178=0,A2178,A2178&"{"&C2178&"}"))	=D2178&E2178	=IF(M2178=M2179,0,1)	=IF(N2177=0,IF(K2177=0,IF(B2178=B2177,O2177&IF(C2178=0,A2178,A2178&"{"&C2178&"}"),"["&J2178&"]"&IF(C2178=0,A2178,A2178&"{"&C2178&"}")),O2177&"["&J2178&"]"&IF(C2178=0,A2178,A2178&"{"&C2178&"}")),"["&J2178&"]"&IF(C2178=0,A2178,A2178&"{"&C2178&"}"))	=M2178&O2178
雇	=D2179&E2179&F2179		k	ou	21	=IF(D2179=0,"〇",D2179)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2179=B2180,0,1)	=IF(B2179=B2178,L2178&IF(C2179=0,A2179,A2179&"{"&C2179&"}"),IF(C2179=0,A2179,A2179&"{"&C2179&"}"))	=D2179&E2179	=IF(M2179=M2180,0,1)	=IF(N2178=0,IF(K2178=0,IF(B2179=B2178,O2178&IF(C2179=0,A2179,A2179&"{"&C2179&"}"),"["&J2179&"]"&IF(C2179=0,A2179,A2179&"{"&C2179&"}")),O2178&"["&J2179&"]"&IF(C2179=0,A2179,A2179&"{"&C2179&"}")),"["&J2179&"]"&IF(C2179=0,A2179,A2179&"{"&C2179&"}"))	=M2179&O2179
顧	=D2180&E2180&F2180	姓	k	ou	21	=IF(D2180=0,"〇",D2180)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2180=B2181,0,1)	=IF(B2180=B2179,L2179&IF(C2180=0,A2180,A2180&"{"&C2180&"}"),IF(C2180=0,A2180,A2180&"{"&C2180&"}"))	=D2180&E2180	=IF(M2180=M2181,0,1)	=IF(N2179=0,IF(K2179=0,IF(B2180=B2179,O2179&IF(C2180=0,A2180,A2180&"{"&C2180&"}"),"["&J2180&"]"&IF(C2180=0,A2180,A2180&"{"&C2180&"}")),O2179&"["&J2180&"]"&IF(C2180=0,A2180,A2180&"{"&C2180&"}")),"["&J2180&"]"&IF(C2180=0,A2180,A2180&"{"&C2180&"}"))	=M2180&O2180
購	=D2181&E2181&F2181		k	ou	21	=IF(D2181=0,"〇",D2181)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2181=B2182,0,1)	=IF(B2181=B2180,L2180&IF(C2181=0,A2181,A2181&"{"&C2181&"}"),IF(C2181=0,A2181,A2181&"{"&C2181&"}"))	=D2181&E2181	=IF(M2181=M2182,0,1)	=IF(N2180=0,IF(K2180=0,IF(B2181=B2180,O2180&IF(C2181=0,A2181,A2181&"{"&C2181&"}"),"["&J2181&"]"&IF(C2181=0,A2181,A2181&"{"&C2181&"}")),O2180&"["&J2181&"]"&IF(C2181=0,A2181,A2181&"{"&C2181&"}")),"["&J2181&"]"&IF(C2181=0,A2181,A2181&"{"&C2181&"}"))	=M2181&O2181
構	=D2182&E2182&F2182		k	ou	21	=IF(D2182=0,"〇",D2182)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2182=B2183,0,1)	=IF(B2182=B2181,L2181&IF(C2182=0,A2182,A2182&"{"&C2182&"}"),IF(C2182=0,A2182,A2182&"{"&C2182&"}"))	=D2182&E2182	=IF(M2182=M2183,0,1)	=IF(N2181=0,IF(K2181=0,IF(B2182=B2181,O2181&IF(C2182=0,A2182,A2182&"{"&C2182&"}"),"["&J2182&"]"&IF(C2182=0,A2182,A2182&"{"&C2182&"}")),O2181&"["&J2182&"]"&IF(C2182=0,A2182,A2182&"{"&C2182&"}")),"["&J2182&"]"&IF(C2182=0,A2182,A2182&"{"&C2182&"}"))	=M2182&O2182
夠	=D2183&E2183&F2183		k	ou	21	=IF(D2183=0,"〇",D2183)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2183=B2184,0,1)	=IF(B2183=B2182,L2182&IF(C2183=0,A2183,A2183&"{"&C2183&"}"),IF(C2183=0,A2183,A2183&"{"&C2183&"}"))	=D2183&E2183	=IF(M2183=M2184,0,1)	=IF(N2182=0,IF(K2182=0,IF(B2183=B2182,O2182&IF(C2183=0,A2183,A2183&"{"&C2183&"}"),"["&J2183&"]"&IF(C2183=0,A2183,A2183&"{"&C2183&"}")),O2182&"["&J2183&"]"&IF(C2183=0,A2183,A2183&"{"&C2183&"}")),"["&J2183&"]"&IF(C2183=0,A2183,A2183&"{"&C2183&"}"))	=M2183&O2183
媾	=D2184&E2184&F2184		k	ou	21	=IF(D2184=0,"〇",D2184)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2184=B2185,0,1)	=IF(B2184=B2183,L2183&IF(C2184=0,A2184,A2184&"{"&C2184&"}"),IF(C2184=0,A2184,A2184&"{"&C2184&"}"))	=D2184&E2184	=IF(M2184=M2185,0,1)	=IF(N2183=0,IF(K2183=0,IF(B2184=B2183,O2183&IF(C2184=0,A2184,A2184&"{"&C2184&"}"),"["&J2184&"]"&IF(C2184=0,A2184,A2184&"{"&C2184&"}")),O2183&"["&J2184&"]"&IF(C2184=0,A2184,A2184&"{"&C2184&"}")),"["&J2184&"]"&IF(C2184=0,A2184,A2184&"{"&C2184&"}"))	=M2184&O2184
顧	=D2185&E2185&F2185	觉～（留意到）	k	ou	311	=IF(D2185=0,"〇",D2185)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2185=B2186,0,1)	=IF(B2185=B2184,L2184&IF(C2185=0,A2185,A2185&"{"&C2185&"}"),IF(C2185=0,A2185,A2185&"{"&C2185&"}"))	=D2185&E2185	=IF(M2185=M2186,0,1)	=IF(N2184=0,IF(K2184=0,IF(B2185=B2184,O2184&IF(C2185=0,A2185,A2185&"{"&C2185&"}"),"["&J2185&"]"&IF(C2185=0,A2185,A2185&"{"&C2185&"}")),O2184&"["&J2185&"]"&IF(C2185=0,A2185,A2185&"{"&C2185&"}")),"["&J2185&"]"&IF(C2185=0,A2185,A2185&"{"&C2185&"}"))	=M2185&O2185
箍	=D2186&E2186&F2186		kʰ	ou	22	=IF(D2186=0,"〇",D2186)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2186=B2187,0,1)	=IF(B2186=B2185,L2185&IF(C2186=0,A2186,A2186&"{"&C2186&"}"),IF(C2186=0,A2186,A2186&"{"&C2186&"}"))	=D2186&E2186	=IF(M2186=M2187,0,1)	=IF(N2185=0,IF(K2185=0,IF(B2186=B2185,O2185&IF(C2186=0,A2186,A2186&"{"&C2186&"}"),"["&J2186&"]"&IF(C2186=0,A2186,A2186&"{"&C2186&"}")),O2185&"["&J2186&"]"&IF(C2186=0,A2186,A2186&"{"&C2186&"}")),"["&J2186&"]"&IF(C2186=0,A2186,A2186&"{"&C2186&"}"))	=M2186&O2186
枯	=D2187&E2187&F2187		kʰ	ou	22	=IF(D2187=0,"〇",D2187)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2187=B2188,0,1)	=IF(B2187=B2186,L2186&IF(C2187=0,A2187,A2187&"{"&C2187&"}"),IF(C2187=0,A2187,A2187&"{"&C2187&"}"))	=D2187&E2187	=IF(M2187=M2188,0,1)	=IF(N2186=0,IF(K2186=0,IF(B2187=B2186,O2186&IF(C2187=0,A2187,A2187&"{"&C2187&"}"),"["&J2187&"]"&IF(C2187=0,A2187,A2187&"{"&C2187&"}")),O2186&"["&J2187&"]"&IF(C2187=0,A2187,A2187&"{"&C2187&"}")),"["&J2187&"]"&IF(C2187=0,A2187,A2187&"{"&C2187&"}"))	=M2187&O2187
摳	=D2188&E2188&F2188		kʰ	ou	22	=IF(D2188=0,"〇",D2188)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2188=B2189,0,1)	=IF(B2188=B2187,L2187&IF(C2188=0,A2188,A2188&"{"&C2188&"}"),IF(C2188=0,A2188,A2188&"{"&C2188&"}"))	=D2188&E2188	=IF(M2188=M2189,0,1)	=IF(N2187=0,IF(K2187=0,IF(B2188=B2187,O2187&IF(C2188=0,A2188,A2188&"{"&C2188&"}"),"["&J2188&"]"&IF(C2188=0,A2188,A2188&"{"&C2188&"}")),O2187&"["&J2188&"]"&IF(C2188=0,A2188,A2188&"{"&C2188&"}")),"["&J2188&"]"&IF(C2188=0,A2188,A2188&"{"&C2188&"}"))	=M2188&O2188
苦	=D2189&E2189&F2189		kʰ	ou	53	=IF(D2189=0,"〇",D2189)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2189=B2190,0,1)	=IF(B2189=B2188,L2188&IF(C2189=0,A2189,A2189&"{"&C2189&"}"),IF(C2189=0,A2189,A2189&"{"&C2189&"}"))	=D2189&E2189	=IF(M2189=M2190,0,1)	=IF(N2188=0,IF(K2188=0,IF(B2189=B2188,O2188&IF(C2189=0,A2189,A2189&"{"&C2189&"}"),"["&J2189&"]"&IF(C2189=0,A2189,A2189&"{"&C2189&"}")),O2188&"["&J2189&"]"&IF(C2189=0,A2189,A2189&"{"&C2189&"}")),"["&J2189&"]"&IF(C2189=0,A2189,A2189&"{"&C2189&"}"))	=M2189&O2189
许	=D2190&E2190&F2190		kʰ	ou	53	=IF(D2190=0,"〇",D2190)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2190=B2191,0,1)	=IF(B2190=B2189,L2189&IF(C2190=0,A2190,A2190&"{"&C2190&"}"),IF(C2190=0,A2190,A2190&"{"&C2190&"}"))	=D2190&E2190	=IF(M2190=M2191,0,1)	=IF(N2189=0,IF(K2189=0,IF(B2190=B2189,O2189&IF(C2190=0,A2190,A2190&"{"&C2190&"}"),"["&J2190&"]"&IF(C2190=0,A2190,A2190&"{"&C2190&"}")),O2189&"["&J2190&"]"&IF(C2190=0,A2190,A2190&"{"&C2190&"}")),"["&J2190&"]"&IF(C2190=0,A2190,A2190&"{"&C2190&"}"))	=M2190&O2190
寇	=D2191&E2191&F2191		kʰ	ou	21	=IF(D2191=0,"〇",D2191)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2191=B2192,0,1)	=IF(B2191=B2190,L2190&IF(C2191=0,A2191,A2191&"{"&C2191&"}"),IF(C2191=0,A2191,A2191&"{"&C2191&"}"))	=D2191&E2191	=IF(M2191=M2192,0,1)	=IF(N2190=0,IF(K2190=0,IF(B2191=B2190,O2190&IF(C2191=0,A2191,A2191&"{"&C2191&"}"),"["&J2191&"]"&IF(C2191=0,A2191,A2191&"{"&C2191&"}")),O2190&"["&J2191&"]"&IF(C2191=0,A2191,A2191&"{"&C2191&"}")),"["&J2191&"]"&IF(C2191=0,A2191,A2191&"{"&C2191&"}"))	=M2191&O2191
蔻	=D2192&E2192&F2192		kʰ	ou	21	=IF(D2192=0,"〇",D2192)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B2192=B2193,0,1)	=IF(B2192=B2191,L2191&IF(C2192=0,A2192,A2192&"{"&C2192&"}"),IF(C2192=0,A2192,A2192&"{"&C2192&"}"))	=D2192&E2192	=IF(M2192=M2193,0,1)	=IF(N2191=0,IF(K2191=0,IF(B2192=B2191,O2191&IF(C2192=0,A2192,A2192&"{"&C2192&"}"),"["&J2192&"]"&IF(C2192=0,A2192,A2192&"{"&C2192&"}")),O2191&"["&J2192&"]"&IF(C2192=0,A2192,A2192&"{"&C2192&"}")),"["&J2192&"]"&IF(C2192=0,A2192,A2192&"{"&C2192&"}"))	=M2192&O2192
