單字	國際音標	粵拼	備註
暴	pau32		
曝	pau32		
包	pau21		量詞
逼	pɐt55		
必	pɐt55		
碧	pɐt55		
壁	pɐt55		
璧	pɐt55		
迫	pɐt55		訓讀，本字『逼』
捌	pɐt33		
別	pɐt32		「別事」指「沒事」，同廣州話「無情白事」；單獨用可以指「擠」
崩	paŋ55		崩牙
崩	paŋ33		
繃	paŋ33		繃帶
蹦	paŋ33		
傍	paŋ32		白讀.梯曰『傍企』paŋ32 kʰei²²⁵。
蝙	pɐn55		蝙蝠，即飛鼠也。
扁	pɐn55		扁平
匾	pɐn55		
貶	pɐn55		
冰	pɐn55		用於形容詞「凍冰冰」、「凍冰」
丙	pɐn55		
秉	pɐn55		
炳	pɐn55		
摒	pɐn55		
屏	pɐn55		屏除
鞭	pɐn33		
邊	pɐn33		超常用口語，可指「正如」，如「邊你話過」，即「就像你所說的那樣」
變	pɐn33		
冰	pɐn33		
兵	pɐn33		
迸	pɐn32		
汴	pɐn32		
便	pɐn32		便利台山話說「利便」口語「便311家錢335」有「既然如此」、「這樣子」的意思；「X便」有「X定」的意思，如「帶便」，意思是「帶著某東西以備不時之需」
辨	pɐn32		
辯	pɐn32		
并	pɐn32		
併	pɐn32		
並	pɐn32		老式用語（台山話：土談），「並baan311家錢」，意思是「既然如此」
邊	pɐn21		「側邊」等的變音；地名變音，如「陳邊」、「張良邊」
百	pak55		百家姓百峰山、百家爭鳴
北	pak55		
伯	pak55		文讀，人名用字
百	pak33		
佰	pak33		
白	pak32		「浸白水弟324」指「水浸」
伯	pak32		伯公不知道如何標聲調號，姑且用10
伯	pak32		啊伯彼岸改
帛	pak32		同上，下同
蔔	pak32		蘿蔔luɔ²² pak¹¹⁵
巴	pa55		巴士pa⁵⁵ si¹¹⁵
叭	pa55		喇叭la³³ pa⁵⁵
把	pa55		「把痺」指「厲害」，同廣州話「巴閉」
爸	pa55		
巴	pa33		
芭	pa33		
疤	pa33		
笆	pa33		
靶	pa33		
霸	pa33		
壩	pa33		
罷	pa32		
吧	pa32		
巴	pa21		古巴
兀	ŋut55		參考斗山鄭鈞
月	ŋut32		
	ŋun55		疑似白讀
	ŋun55		「移動」
軟	ŋun33		陰平（陰去）「軟癮」即「軟餅」
閏	ŋun32		
潤	ŋun32		
願	ŋun32		
言	ŋun22		
元	ŋun22		
原	ŋun22		
源	ŋun22		
願	ŋun22		「情taang22願ngun22」的變音
阮	ŋun21		
鋸	ŋui55		白讀
偽	ŋui32		參考斗山鄭鈞
魏	ŋui32		斗山鄭鈞都說本音ngui，根據語音變化規律推測，大江音可能是ngui也可能是ngei
馭	ŋui32		
遇	ŋui32		
御	ŋui32		
寓	ŋui32		
禦	ŋui32		
如	ŋui22		
茹	ŋui22		
危	ŋui22		參考斗山鄭鈞
巍	ŋui22		斗山鄭鈞都說本音ngui，根據語音變化規律推測，大江音可能是ngui也可能是ngei
嵬	ŋui22		斗山鄭鈞都說本音ngui，根據語音變化規律推測，大江音可能是ngui也可能是ngei
禺	ŋui22		
娛	ŋui22		
魚	ŋui22		鯉魚鱅魚鯪魚讀本調ŋui²²，鯽魚鹹魚讀低變調ŋui¹¹，鰍魚魷魚讀升變調ŋui²²⁵，泥魚讀升變調ŋui¹¹⁵，單用讀升變調ŋui¹¹⁵
隅	ŋui22		參考斗山鄭鈞
虞	ŋui22		
愚	ŋui22		
漁	ŋui22		
乳	ŋui21		
魚	ŋui21		
語	ŋui21		
岸	ŋuɔn32		
閏	ŋuɔn32		又音
潤	ŋuɔn32		又音不脆
玩	ŋuɔn32		
我	ŋuɔi33		白讀，陰平（陰去）
礙	ŋuɔi32		
外	ŋuɔi32		文讀
呆	ŋuɔi22		有老派用語（台山話稱作：土談），「呆時」用於比如「下點鹽就搞掂啦呆時」，助詞/副詞屬性，難以表達
我	ŋuɔi21		我們、我們的
餓	ŋuɔ32		文讀
臥	ŋuɔ32		
俄	ŋuɔ22		
峨	ŋuɔ22		
娥	ŋuɔ22		
訛	ŋuɔ22		
蛾	ŋuɔ22		
鵝	ŋuɔ22		單用多升變為ŋuɔ²²4
哦	ŋuɔ22		吟哦
我	ŋuɔ21		文讀
餓	ŋou32		白讀
日	ŋit33		一日
日	ŋit32		日期、日頭11「開日32頭11」指「出太陽」
日	ŋit21		「日啊」指「白天」；「日3日1」指「每日」；單獨指「太陽」
廿	ŋip32		
釀	ŋiŋ32		
嚷	ŋiŋ32		
讓	ŋiŋ32		
壤	ŋiŋ21		
攘	ŋiŋ21		攘除
仰	ŋiŋ21		
忍	ŋin33		白讀「忍肉1」指「惡心」
韌	ŋin33		白讀
紉	ŋin32		
韌	ŋin32		文讀，堅韌
認	ŋin32		
人	ŋin22		「人女」指「人」，用於提及對象故鄉
仁	ŋin22		
忍	ŋin21		文讀「眼忍114」指「眼皮底下」
飲	ŋim55		陰上。飲水、飲茶、飲湯，又米湯曰飲
賃	ŋim32		賃，租也。
任	ŋim32		信任
飪	ŋim32		
壬	ŋim22		
吟	ŋim22		
瘧	ŋik55		參考斗山
若	ŋik32		
弱	ŋik32		
謔	ŋik32		
業	ŋiɛp32		
硯	ŋiɛn32		
染	ŋiɛm33		染色
驗	ŋiɛm32		
蚺	ŋiɛm22		蚺蛇
嚴	ŋiɛm22		
冉	ŋiɛm21		
染	ŋiɛm21		傳染
儼	ŋiɛm21		
	ŋiɛ55		傳染
惹	ŋiɛ21		
饒	ŋiɐu22		
柔	ŋiɐu22		
揉	ŋiɐu22		
糅	ŋiɐu22		
垚	ŋiɐu22		
堯	ŋiɐu22		
嶢	ŋiɐu22		參考斗山
擾	ŋiɐu21		
繞	ŋiɐu21		
凝	ŋiɐŋ22		「在意」
虐	ŋiɐk32		
濃	ŋəŋ22		
茸	ŋəŋ22		
絨	ŋəŋ22		
兀	ŋək33		參考斗山鄭鈞，口語，動
肉	ŋək32		豬肉、吃肉
褥	ŋək32		牀褥tsʰɔŋ²² ŋʊk¹¹⁵
玉	ŋək32		
獄	ŋək32		
肉	ŋək21		螺肉、冇肉、生肉（長胖）；「忍肉1」指「惡心」
耳	ŋei55		「冇耳阻」意思是「當耳邊風」
	ŋei33		超常用口語，「露出縫」的動作
二	ŋei32		
貳	ŋei32		
義	ŋei32		「解義」指「意思」，如「冇乜解義」指「沒意思」
議	ŋei32		
而	ŋei22		
兒	ŋei22		
宜	ŋei22		「宜應」、「宜得」指「合適就」、「應該」；「不宜」口語可以指「不如」
疑	ŋei22		
儀	ŋei22		
誼	ŋei22		
爾	ŋei21		
邇	ŋei21		
二	ŋei21		常用變音，如撲克牌「二仔」、「一二三四五」
擬	ŋei21		
餲	ŋɔt33		口語，尿騷味
嚙	ŋɔt32		嚙同齧。
齧	ŋɔt32		齧，咬也。
戇	ŋɔŋ32		有罵人用語「半天戇」
昂	ŋɔŋ22		
眼	ŋɔn55		作為量詞可表示條狀植物，如「一眼蔗」
雁	ŋɔn32		
頑	ŋɔn22		
顏	ŋɔn22		
垠	ŋɔn22		
銀	ŋɔn22		
齦	ŋɔn22		
鄂	ŋɔk55		上陰入
萼	ŋɔk55		上陰入
愕	ŋɔk55		
噩	ŋɔk55		上陰入參考斗山鄭鈞
鍔	ŋɔk55		上陰入參考斗山鄭鈞
鶚	ŋɔk55		上陰入參考斗山鄭鈞
鱷	ŋɔk55		上陰入
顎	ŋɔk32		
岳	ŋɔk32		
樂	ŋɔk32		音樂
嶽	ŋɔk32		
蟻	ŋɔi55		陰上
艾	ŋɔi32		
泥	ŋɔi32		「用手塗抹」
睨	ŋɔi32		斜視也。參考斗山鄭鈞
外	ŋɔi32		白讀外doi55：「外面」；出doi55：「出面」；「外祖頭114」指「娘家」
偽	ŋɔi32		
魏	ŋɔi32		
刈	ŋɔi32		參考斗山鄭鈞
羿	ŋɔi32		
毅	ŋɔi32		
藝	ŋɔi32		「生藝324」指「消遣」
挨	ŋɔi22		
捱	ŋɔi22		『捱』同『挨』。
倪	ŋɔi22		
霓	ŋɔi22		
危	ŋɔi22		
巍	ŋɔi22		
嵬	ŋɔi22		
崖	ŋɔi22		
涯	ŋɔi22		
咬	ŋau55		
傲	ŋau32		
敖	ŋau22		
遨	ŋau22		
嗷	ŋau22		
熬	ŋau22		
螯	ŋau22		
翱	ŋau22		
淆	ŋau22		
肴	ŋau22		
餚	ŋau22		「餚尾」即「餸尾」
	ŋau22		口語，「搖晃」、「顫抖」，如「kaat5 kaat5 ngaau22」
抑	ŋɐt55		上陰入
熱	ŋɐt32		
噏	ŋap33		噏，妄言也。按，噏本同吸，此處借用。
硬	ŋaŋ32		
彥	ŋɐn32		
唁	ŋɐn32		參考斗山鄭鈞
諺	ŋɐn32		
凝	ŋɐn22		
然	ŋɐn22		
燃	ŋɐn22		
扔	ŋɐn22		
仍	ŋɐn22		
妍	ŋɐn22		
研	ŋɐn22		
迎	ŋɐn22		
盈	ŋɐn22		
啱	ŋam55		口語，碰巧。或指「借過一下」
癌	ŋam22		
岩	ŋam22		
巖	ŋam22		
礹	ŋam22		參考斗山
	ŋam22		超常用口語，指「念念有詞」，亦指「把東西從載體裡面拿出來」
	ŋam21		「啰啰嗦嗦地念」
	ŋam21		「水ngaam11」即「水渠」
呃	ŋak55		
額	ŋak32		
逆	ŋak32		
鉤	ŋai55		白讀，專用於 鉤機（挖掘機）
勾	ŋai33		勾劃
鉤	ŋai33		
鉤	ŋai33		文讀，動詞
句	ŋai33		曲也,俗作勾
	ŋai32		「笨」、「蠢」、「傻」，中性詞；「ngaai32洗啊」指「傻得很厲害」
	ŋai32		僅用於口語「juon22 ngai325」，指「嬰兒爬行」
牛	ŋai22		「牛欄丸」會讀成「牙連丸」
鉤	ŋai21		白讀，名詞
偶	ŋai21		
藕	ŋai21		
瓦	ŋa55		瓦厚：「裡面」
丫	ŋa55		丫鬟
訝	ŋa32		
牙	ŋa22		
芽	ŋa22		
蚜	ŋa22		參考斗山鄭鈞
衙	ŋa22		
雅	ŋa21		
	ŋa21		僅用於「ngei33 ngaa114」，指「露出一點小縫」
五	ŋ55		又讀，老派，陰上
伍	ŋ55		『五』大寫，伍姓，又讀，老派，陰上
悟	ŋ32		又讀，老派
晤	ŋ32		又讀，老派
寤	ŋ32		又讀，老派。
	ŋ32		又讀，老派
吾	ŋ22		又讀，老派
吳	ŋ22		又讀，老派
梧	ŋ22		又讀，老派
蜈	ŋ22		又讀，老派
午	ŋ21		又讀。不是老派？
伍	ŋ21		隊伍，又讀，老派
	nut55		意思是「小朋友長胖」
捽	nut33		搓
	nut33		口語，形容狀態，如「好nut3啊」意思是「很好」、「聽教nut3啊」指「很聽話」
	nut33		口語，「很」，副詞，如「好nut3啊」指「很好」
嫩	nun32		
女	nui55		撲克牌「Q」的叫法；「人女」在提及故鄉所在地的語境時指「人」
內	nui32		又音
餒	nui21		
	nuɔn55		口語，用手慢慢抿開
暖	nuɔn33		白讀
暖	nuɔn21		文讀
奈	nuɔi32		
耐	nuɔi32		
內	nuɔi32		
那	nuɔ22		地名前綴，壯侗語族『田』
娜	nuɔ22		
挪	nuɔ22		
努	nou55		單獨用指「催谷」
	nou33		口語，「nou33起」，不知道什麼字
	nou33		「變扁」、「變小」、「患處逐漸變好」
怒	nou32		
懦	nou32		
奴	nou22		「狗奴」用於對小孩子暱稱
弩	nou21		
妞	niu55		
扭	niu55		
紐	niu55		
鈕	niu55		
	nit55		口語「一點」，如「nit5 mung55」、「nit5 nit5」
凹	nip33		訓讀，本字不明。下陰入。
	nip33		老派讀法
娘	niŋ22		
稔	nim21		崗稔，山果，夏秋之間收
捏	niɛp55		參考鄭鈞
聶	niɛp55		
躡	niɛp55		
攝	niɛp55		上陰入
懾	niɛp55		參考鄭鈞
	niɛp33		形容軟的口語，如「軟niep3啊」
拈	niɛm33		
黏	niɛm33		拿走
念	niɛm32		
唸	niɛm32		單獨用可指「啰嗦」的動作
黏	niɛm22		黏液
	niɛ21		「田nie11」意為「東西」
窈	niɐu33		白讀，瘦
	niɐu33		「瘦」
尿	niɐu32		
蟯	niɐu22		參考鄭鈞
鳥	niɐu21		多升變調
你	niɐk21		你的、你們
	ni21		僅用於口語「ni11久」，指「過一會」
呢	nɛ55		
呢	nɛ0		語氣詞
燶	nəŋ33		燒焦
農	nəŋ22		
膿	nəŋ22		
燶	nəŋ21		低變調，名詞。意為焦飯
淰	nəm32		潮濕
腍	nəm22		軟熟
	nək33		口語，「按」
	nək32		口語「踩」
你	nei33		文讀
餌	nei32		肥料也叫nei32
膩	nei32		
呢	nei22		呢喃
你	nei21		白讀
汝	nei21		
捺	nɔt33		參考鄭鈞，按捺
匿	nɔt33		白讀，詞源不明。
焫	nɔt33		焫，熱也。下陰入。
捺	nɔt21		一撇一捺
	nɔŋ55		漱口，如「nong55口」，同廣州話「啷」，但應該不是此字。或指液體搖搖晃晃，快將瀉出，有詞語「nong55 nong55 piat3」
襠	nɔŋ32		褲襠
囊	nɔŋ22		
瓤	nɔŋ22		瓤，瓜肉也。
襠	nɔŋ21		又音
	nɔn55		口語「調侃」，類似廣州話「潤」；「non55 soi55」指「嬌氣」、「作狀」、「臭美」
難	nɔn32		難民
難	nɔn22		困難
諾	nɔk32		
踩	nɔi55		白讀，詞源不明。
乃	nɔi55		超常用口語，表達「那些」、「些」，表示程度，如「kuoi11乃」、「好乃未」
	nɔi33		口語「累」，有詞「noi33攰」、「noi33 noi33攰」、「noi33眼」
妮	nɔi22		
尼	nɔi22		
泥	nɔi22		「好泥」指「顏值高」
乃	nɔi21		超常用口語，表達「哪」，或「乃時」（以前）
奶	nɔi21		
腦	nau55		
膩	nau22		同「膩」，naau22頸，naau22 nak5(拖拉)，不知道什麼字；「naau22茄」指「做事慢」
惱	nau21		
瑙	nau21		
匿	nɐt55		
溺	nɐt55		溺死
暱	nɐt55		
	nɐt55		苦澀，不知道什麼字
捏	nɐt33		口語，小力捏
吶	nap32		
納	nap32		
鈉	nap32		
納	nap21		名詞，指「掛東西的鉤子」
能	naŋ22		「能持」的意思是「老當益壯」；「有/冇能」指「有/沒能力」，同「有/冇之能」
拎	nɐn55		參考鄭鈞
捏	nɐn55		口語，緊緊用力捏住
輾	nɐn55		捏？
擰	nɐn32		
年	nɐn22		
寧	nɐn22		「寧可」口語一般說「寧火」
嚀	nɐn22		
獰	nɐn22		
檸	nɐn22		
濘	nɐn22		
恁	nɐn21		
惗	nam55		「想」
	nam55		口語「舀」，如「naam55水」
男	nam22		
南	nam22		
喃	nam22		
楠	nam22		
腩	nam21		腩，腹上肥肉也。
黏	nak55		白讀
鬧	nai32		
撓	nai22		
迺	nai21		參考斗山
乸	na55		上陰入
	na33		口語，「連著」的意思
拿	na22		用作動詞表示「爬上去」、「爬高」
那	na22		
疤	na21		訓讀？「疤痕」
緍	mun55		參考鄭鈞，一元
紊	mun32		參考斗山鄭鈞
問	mun32		
文	mun22		
紋	mun22		
聞	mun22		
汶	mun22		
蚊	mun21		低變調，本調缺失
抹	muɔt33		
沒	muɔt32		
末	muɔt32		
茉	muɔt32		
沫	muɔt32		
勿	muɔt32		
物	muɔt32		
滿	muɔn55		「讀滿書」指「畢業」
悶	muɔn32		
瞞	muɔn22		
門	muɔn22		「門幾55」指「傳統大門的鎖」
們	muɔn22		
蹣	muɔn22		參考斗山鄭鈞
妹	muɔi55		
昧	muɔi32		
埋	muɔi22		口語，靠近、「X起來」，如「收埋」
玫	muɔi22		
枚	muɔi22		
莓	muɔi22		
梅	muɔi22		
脢	muɔi22		內脢，又作內梅。
媒	muɔi22		
煤	muɔi22		
霉	muɔi22		
黴	muɔi22		
每	muɔi21		
妹	muɔi21		
么	muɔ55		
么	muɔ55		
麼	muɔ55		
摩	muɔ55		摩托
摩	muɔ33		
魔	muɔ33		
磨	muɔ32		名詞，多數升變調
磨	muɔ22		動詞
摸	mou55		
舞	mou55		陰上
磨	mou32		口語動詞，摩擦的意思
募	mou32		
墓	mou32		
慕	mou32		
暮	mou32		
戊	mou32		
務	mou32		
婺	mou32		
霧	mou32		
摹	mou22		
模	mou22		
謨	mou22		參考斗山鄭鈞
巫	mou22		
誣	mou22		
毋	mou22		
無	mou22		
蕪	mou22		
母	mou21		
拇	mou21		
姆	mou21		
武	mou21		
侮	mou21		
鵡	mou21		鸚鵡115
貓	miu55		
	miu55		口語，「聳起」、「嘟起」的意思，如「miu55喙（zuoi114）」，指「嘟嘴」
密	mit32		
蜜	mit32		蜜糖
謐	mit32		
緍	min55		參考鄭鈞
炆	min55		
	min55		「老民」即老人家；「三民仔」即小朋友
民	min22		
岷	min22		
珉	min22		參考鄭鈞
咩	miɛ55		羊咩
竵（歪）	miɛ55		疑似廣州話傳入
貓	miɐu55		
喵	miɐu55		
妙	miɐu32		
廟	miɐu32		多數升變調
苗	miɐu22		
描	miɐu22		
瞄	miɐu22		
眇	miɐu21		
秒	miɐu21		
渺	miɐu21		
杳	miɐu21		
命	miɐŋ32		白讀
名	miɐŋ22		白讀，多數升變
	miɐŋ22		口語「遮掩」、「遮蓋」
檬	məŋ55		柠檬nɪŋ²² mʊŋ⁵⁵
懵	məŋ55		單獨用可指「雜亂」，多形容過於茂盛的植物
	məŋ55		口語「一點」，如「nit5 mung55」
夢	məŋ32		
蒙	məŋ22		
濛	məŋ22		
朦	məŋ22		
矇	məŋ22		
	mək55		斬，不知道什麼字
	mək55		口語動詞，斬，多用於形容斬食材
木	mək32		「木碌」指「木頭」
目	mək32		
沐	mək32		
牧	mək32		
睦	mək32		
穆	mək32		
尾	mei55		陰上
娓	mei55		陰上
瞇	mei33		
沕	mei32		沕水，潛水也。
寐	mei32		
魅	mei32		
未	mei32		
味	mei32		
眉	mei22		
楣	mei22		
媚	mei22		
糜	mei22		
麋	mei22		
彌	mei22		
靡	mei22		
獼	mei22		
瀰	mei22		
微	mei22		
薇	mei22		
美	mei21		
尾	mei21		低變調。跟尾
襪	mɔt32		
網	mɔŋ55		
芒	mɔŋ33		芒果
望	mɔŋ32		
芒	mɔŋ22		光芒
忙	mɔŋ22		
茫	mɔŋ22		
亡	mɔŋ22		死閪亡
忘	mɔŋ22		
莽	mɔŋ21		
蟒	mɔŋ21		
惘	mɔŋ21		陰上
妄	mɔŋ21		
挽	mɔn33		
饅	mɔn32		
鰻	mɔn32		
曼	mɔn32		
蔓	mɔn32		
幔	mɔn32		
漫	mɔn32		
慢	mɔn32		緊慢mon325：「啼哭」；「散慢」指「拖拖拉拉」
萬	mɔn32		
蠻	mɔn22		
晚	mɔn21		晚頭：「黃昏」；晚頭班：「學前班」；緊晚325：「啼哭」
剝	mɔk55		剝削mɔk⁵ ɬik⁵
漠	mɔk55		
寞	mɔk55		
幕	mɔk55		
剝	mɔk33		剝皮
莫	mɔk32		
膜	mɔk21		多數升變調；「起風膜」指「起風」
米	mɔi55		「酒米」指「痘痘」；「米屎」指「嬌小」
買	mɔi33		
賣	mɔi32		
邁	mɔi32		
埋	mɔi22		
霾	mɔi22		
迷	mɔi22		
謎	mɔi22		
茂	mau32		
冒	mau32		
帽	mau32		多數升變調
貿	mau32		
貌	mau32		
繆	mau32		同『謬』
謬	mau32		「屁謬」指「荒謬」
毛	mau22		
矛	mau22		
茅	mau22		
旄	mau22		參考斗山
髦	mau22		
氂	mau22		參考斗山
錨	mau22		
芼	mau22		參考斗山
眸	mau22		
卯	mau21		
汨	mɐt32		汨羅江
覓	mɐt32		
冪	mɐt32		
滅	mɐt32		
蔑	mɐt21		
篾	mɐt21		參考鄭鈞
蜢	maŋ55		
	maŋ55		副詞，形容瘦、皺的程度，如「窈(niau33)maang55啊」、「皺(caau22maang55)啊」
猛	maŋ33		白讀
錳	maŋ32		
孟	maŋ32		
盲	maŋ22		
萌	maŋ22		
盟	maŋ22		
猛	maŋ21		文讀
艋	maŋ21		
緬	mɐn55		
靦	mɐn55		
免	mɐn32		
勉	mɐn32		
冕	mɐn32		
面	mɐn32		「面頂iang55」指最頂那層
麵	mɐn32		
命	mɐn32		文讀
眠	mɐn22		躺、睡
棉	mɐn22		
綿	mɐn22		
閩	mɐn22		
名	mɐn22		文讀
明	mɐn22		「明正」即「明明」
冥	mɐn22		
鳴	mɐn22		
銘	mɐn22		
螟	mɐn22		
棉	mɐn21		用於 棉衫、棉褲
皿	mɐn21		
敏	mɐn21		
閔	mɐn21		
憫	mɐn21		
刎	mɐn21		
吻	mɐn21		
陌	mak55		
擘	mak33		以手分開曰擘。擘畫，未必用手
脈	mak33		俗語「冇西脈」指「被氣死」
	mak33		「唔得」的連讀產生的音，「maak3手」指「不允許」、「maak子」意思是「沒辦法」
麥	mak32		
墨	mak32		
默	mak32		
驀	mak32		
	mak32		動詞，口語，「摔在地上」的動作，有「maak32地炮」指「玩具砂炮」
癦	mak21		
	mak21		僅用於口語「打maak1線」，代指「講話講到十分明確」。原意應該是「把線頭緊緊聯在布上」
繆	mai22		未雨綢繆
哞	mai22		參考鄭鈞
牟	mai22		
謀	mai22		
某	mai21		
牡	mai21		
牡	mai21		牡蠣
畝	mai21		
媽	ma55		阿媽
嗎	ma55		嗎啡ma⁵⁵ fiɛ⁵⁵
嗎	ma33		語氣助詞
孖	ma33		「孖臍」即「荸薺」
罵	ma32		
麻	ma22		
痲	ma22		
蟆	ma22		參考鄭鈞
馬	ma21		「夾馬」即「保險箱」；「鹹馬」即「鹹蝦」連讀
瑪	ma21		
碼	ma21		
螞	ma21		
五	m55		陰上
伍	m55		『五』大寫，伍姓，陰上。
悟	m32		
晤	m32		
誤	m32		
寤	m32		
吾	m22		
吳	m22		
唔	m22		
梧	m22		
蜈	m22		
午	m21		
伍	m21		隊伍
率	ɬut55		率領
摔	ɬut55		
蟀	ɬut55		蟋蟀ɬɪk⁵ ɬut⁵
戌	ɬut55		
恤	ɬut55		
雪	ɬut55		
劣	lut55		上陰入
	lut33		口語，使紙張變皺的動作
栗	lut32		
慄	lut32		
律	lut32		
率	lut32		效率
筍	ɬun55		
損	ɬun55		
榫	ɬun55		
選	ɬun55		
戀	lun55		
孫	ɬun33		
飧	ɬun33		參考斗山鄭鈞
宣	ɬun33		
喧	ɬun33		
暄	ɬun33		
渲	ɬun33		參考斗山鄭鈞
絢	ɬun33		
詢	ɬun33		
殉	ɬun33		
羨	ɬun32		
篆	ɬun32		參考斗山鄭鈞
吝	lun32		
藺	lun32		
論	lun32		
旋	ɬun22		
漩	ɬun22		
聯	lun22		
掄	lun22		
倫	lun22		
崙	lun22		
圇	lun22		
淪	lun22		
綸	lun22		
綸	lun22		滿腹經綸
輪	lun22		
輪	lun21		「次」，「輪輪」指「次次」
簍	lui55		裝魚之竹籠也。訓讀。參考斗山鄭鈞
雖	ɬui33		
碎	ɬui33		
歲	ɬui33		
須	ɬui33		
需	ɬui33		
萃	ɬui32		參考鄭鈞
悴	ɬui32		參考鄭鈞
粹	ɬui32		
瑞	ɬui32		
祟	ɬui32		
遂	ɬui32		
隧	ɬui32		
穗	ɬui32		
邃	ɬui32		
胥	ɬui32		胥山中學
纍	lui32		
累	lui32		
累	lui32		
淚	lui32		
類	lui32		
戾	lui32		
慮	lui32		
濾	lui32		
雷	lui22		
擂	lui22		
鐳	lui22		
累	lui22		碩果累累
墅	ɬui21		
絮	ɬui21		
緒	ɬui21		
蕾	lui21		
儡	lui21		
壘	lui21		
櫚	lui21		
呂	lui21		
侶	lui21		
旅	lui21		口語表示「去」
鋁	lui21		
屢	lui21		
褸	lui21		襤褸
縷	lui21		
蕊	lui21		
	luɔt9		動詞，挖
捋	luɔt32		參考斗山鄭鈞
卵	luɔn55		
酸	ɬuɔn33		
算	ɬuɔn33		「算幾口」指「有什麼所謂」；「算就」指「就這樣而已」
亂	luɔn32		
巒	luɔn22		
蒜	ɬuɔn21		低變調，本調缺失。
髓	ɬuɔi55		
腮	ɬuɔi33		
鰓	ɬuɔi33		
	luɔi33		口語「穿衣服」、「鑽」，指沒頭沒腦地鑽進去
睞	luɔi32		
耒	luɔi32		參考鄭鈞
來	luɔi22		
萊	luɔi22		
滷	luɔ55		滷水、滷鵝
裸	luɔ55		
娑	ɬuɔ33		婆娑pʰuɔ²² ɬuɔ³³，草木茂盛也。
蓑	ɬuɔ33		
	ɬuɔ33		口語「瀏覽」、「掃視」
螺	luɔ22		田螺、螺絲批
羅	luɔ22		
騾	luɔ22		
邏	luɔ22		
鑼	luɔ22		
螺	luɔ21		常用。潺螺蟲（大蝸牛）
瑣	ɬou55		
鎖	ɬou55		「屙鎖鏈」專指「屙屎太久」
滷	lou55		
甦	ɬou33		
酥	ɬou33		
穌	ɬou33		
蘇	ɬou33		
素	ɬou33		
訴	ɬou33		
塑	ɬou33		
溯	ɬou33		
鬚	ɬou33		
賂	lou32		贿赂huɔi⁵⁵ lu¹¹
路	lou32		
露	lou32		
鷺	lou32		
盧	lou22		
蘆	lou22		
廬	lou22		
爐	lou22		
顱	lou22		
蘿	lou22		
籮	lou22		
鑼	lou22		兩種音都有人用
驢	lou22		
蘆	lou21		葫蘆變音
虜	lou21		
魯	lou21		
擄	lou21		
櫓	lou21		
	ɬiu55		鞭打的動作，一般專用在對小朋友的管教上
了	liu55		口語「即了」指「一向」；單獨用有「算了」的意思
撩	liu55		撩開
師	ɬiu33		又讀，某部分口音（石橋一帶尤甚）讀「師lhiu33傅」
宿	ɬiu33		參考鄭鈞
修	ɬiu33		
脩	ɬiu33		
羞	ɬiu33		俗語「唔怕醜唔怕羞」，醜和羞不同讀音
饈	ɬiu33		
秀	ɬiu33		
繡	ɬiu33		
	liu32		口語，變音為「liu325」，副詞，指「一直」。如：「顫liu325」指「一直顫」
溜	liu22		
留	liu22		
流	liu22		
琉	liu22		
硫	liu22		
榴	liu22		
劉	liu22		
瘤	liu22		
瀏	liu22		
柳	liu21		
膝	ɬip55		
笠	lip55		
粒	lip55		
粒	lip33		又讀
立	lip32		
想	ɬiŋ55		「拔想」、「疏想」指「變瘦」；「想緊」指「正打算」
兩	liŋ55		
倆	liŋ55		
相	ɬiŋ33		互相「相頭」指「相片」
相	ɬiŋ33		相貌
廂	ɬiŋ33		
湘	ɬiŋ33		
箱	ɬiŋ33		
襄	ɬiŋ33		
亮	liŋ32		
量	liŋ32		數量
諒	liŋ32		
另	liŋ32		文讀
良	liŋ22		
涼	liŋ22		「洗涼」即「沖涼」
梁	liŋ22		
粱	liŋ22		
樑	liŋ22		有量詞用法， 如「樑傍企」指「一個梯子」
糧	liŋ22		
量	liŋ22		測量
輛	liŋ22		
鈴	liŋ22		文讀
箱	ɬiŋ21		又讀，紙皮箱
領	liŋ21		帶領、領先「識領」指「知道」
新	ɬin55		「新娘」專用變音
𡳞	lin55		陰莖，不知道什麼字；「𡳞趙」即「罷就」
莘	ɬin33		
燊	ɬin33		
辛	ɬin33		
新	ɬin33		
薪	ɬin33		
信	ɬin33		「信就」指「就這樣而已」；「就信」指「就算」
擤	ɬin33		擤鼻ɬɛn³³ pi¹¹⁵
迅	ɬin33		
訊	ɬin33		
遜	ɬin33		
鄰	lin22		
遴	lin22		
臨	lin22		
磷	lin22		
鱗	lin22		
麟	lin22		
輦	lin21		參考斗山鄭鈞
沁	ɬim55		
心	ɬim33		「好心事」指「有心」
心	ɬim321		地名，田心、湯田心
林	lim22		
淋	lim22		
琳	lim22		
霖	lim22		
	lim22		僅用於口語「甜lim22啊」，意思是「很甜」
凜	lim21		
鵲	ɬik55		
淅	ɬik55		
錫	ɬik55		人名
削	ɬik55		剝削mɔk⁵ ɬik⁵
削	ɬik33		動詞
掠	lik32		
略	lik32		
泄	ɬiɛt55		
洩	ɬiɛt55		排洩
屑	ɬiɛt55		
冽	liɛt32		
	liɛt32		量詞，形容大型條狀物，有「段」的意思，如「一liat32壟」
	liɛp55		口語，縫隙
楔	ɬiɛp33		參考鄭鈞，塞個東西進去
	ɬiɛp33		「塞」入窄位的意思，用於動詞，同廣州話「sip33」
獵	liɛp32		
