字目	读音	注释	声母	声母(原)	韵母	声调	声调（调类)	(声母)
附	hu21		h	h	u	21	5	h
副	hu21		h	h	u	21	5	h
賦	hu21		h	h	u	21	5	h
訃	hu21		h	h	u	21	5	h
酗	hu21		h	h	u	21	5	h
污	u22				u	22	1	〇
迂	u22				u	22	1	〇
于	u22	姓			u	22	1	〇
嗚	u22				u	22	1	〇
捂	u22				u	22	1	〇
吾	u44				u	44	2	〇
予	u44				u	44	2	〇
豫	u44				u	44	2	〇
餘	u44				u	44	2	〇
預	u44				u	44	2	〇
娛	u44				u	44	2	〇
亐	u44				u	44	2	〇
娯	u44				u	44	2	〇
舆	u44				u	44	2	〇
雨	u53				u	53	3	〇
宇	u53				u	53	3	〇
禹	u53				u	53	3	〇
羽	u53				u	53	3	〇
與	u53				u	53	3	〇
有	u213				u	213	4	〇
譽	u213				u	213	4	〇
預	u213	又			u	213	4	〇
俣	u213				u	213	4	〇
瘀	u21				u	21	5	〇
淤	u21	文			u	21	5	〇
惡	u21				u	21	5	〇
悲	pfui22		pf	p	ui	22	1	p
肥	pfui44		pf	p	ui	44	2	p
沸	pfui21	白	pf	p	ui	21	5	p
□	pfʰui21	吐出	pfʰ	pʰ	ui	21	5	pʰ
屁	pfʰui21		pfʰ	pʰ	ui	21	5	pʰ
煨	bvui44		bv	b	ui	44	2	b
微	bvui44	又	bv	b	ui	44	2	b
吠	bvui21		bv	b	ui	21	5	b
痱	bvui21		bv	b	ui	21	5	b
吠	bvui42	又	bv	b	ui	42	6	b
微	ɱui44		ɱ	m	ui	44	2	m
薇	ɱui44		ɱ	m	ui	44	2	m
美	ɱui53		ɱ	m	ui	53	3	m
□	ɱui21	不怕（不畏合音）；没关系	ɱ	m	ui	21	5	m
追	tui22		t	t	ui	22	1	t
錘	tui44		t	t	ui	44	2	t
捶	tui44		t	t	ui	44	2	t
墮	tui213	训	t	t	ui	213	4	t
對	tui21		t	t	ui	21	5	t
懟	tui21		t	t	ui	21	5	t
隊	tui42		t	t	ui	42	6	t
墜	tui42		t	t	ui	42	6	t
梯	tʰui22		tʰ	tʰ	ui	22	1	tʰ
推	tʰui22	又	tʰ	tʰ	ui	22	1	tʰ
煺	tʰui22		tʰ	tʰ	ui	22	1	tʰ
槌	tʰui44		tʰ	tʰ	ui	44	2	tʰ
頹	tʰui44		tʰ	tʰ	ui	44	2	tʰ
錘	tʰui44		tʰ	tʰ	ui	44	2	tʰ
腿	tʰui53		tʰ	tʰ	ui	53	3	tʰ
雷	lui44		l	l	ui	44	2	l
累	lui53		l	l	ui	53	3	l
壘	lui53		l	l	ui	53	3	l
淚	lui213		l	l	ui	213	4	l
累	lui42		l	l	ui	42	6	l
類	lui42		l	l	ui	42	6	l
椎	tsui22		ts	ts	ui	22	1	ts
錐	tsui22		ts	ts	ui	22	1	ts
沝	tsui53	闽语俗字。《類篇》：閩人謂水曰沝。	ts	ts	ui	53	3	ts
水	tsui53		ts	ts	ui	53	3	ts
悴	tsui213		ts	ts	ui	213	4	ts
猝	tsui213	又	ts	ts	ui	213	4	ts
贅	tsui213		ts	ts	ui	213	4	ts
赘	tsui21		ts	ts	ui	21	5	ts
醉	tsui21		ts	ts	ui	21	5	ts
推	tsʰui22		tsʰ	tsʰ	ui	22	1	tsʰ
催	tsʰui22		tsʰ	tsʰ	ui	22	1	tsʰ
崔	tsʰui22		tsʰ	tsʰ	ui	22	1	tsʰ
摧	tsʰui22		tsʰ	tsʰ	ui	22	1	tsʰ
脆	tsʰui53		tsʰ	tsʰ	ui	53	3	tsʰ
碎	tsʰui21		tsʰ	tsʰ	ui	21	5	tsʰ
喙	tsʰui21		tsʰ	tsʰ	ui	21	5	tsʰ
嘴	tsʰui21	训	tsʰ	tsʰ	ui	21	5	tsʰ
翠	tsʰui21		tsʰ	tsʰ	ui	21	5	tsʰ
帷	dzui44		dz	dz	ui	44	2	dz
維	dzui44		dz	dz	ui	44	2	dz
遺	dzui44	又	dz	dz	ui	44	2	dz
濰	dzui44		dz	dz	ui	44	2	dz
惟	dzui44		dz	dz	ui	44	2	dz
蕊	dzui53		dz	dz	ui	53	3	dz
唯	dzui213		dz	dz	ui	213	4	dz
遺	dzui213		dz	dz	ui	213	4	dz
蓑	sui22	白	s	s	ui	22	1	s
雖	sui22		s	s	ui	22	1	s
隋	sui44		s	s	ui	44	2	s
垂	sui44		s	s	ui	44	2	s
隨	sui44		s	s	ui	44	2	s
誰	sui44		s	s	ui	44	2	s
水	sui53	文	s	s	ui	53	3	s
睡	sui213		s	s	ui	213	4	s
瑞	sui213		s	s	ui	213	4	s
遂	sui213		s	s	ui	213	4	s
隧	sui213		s	s	ui	213	4	s
穂	sui213		s	s	ui	213	4	s
祟	sui213		s	s	ui	213	4	s
圭	kui22		k	k	ui	22	1	k
奎	kui22		k	k	ui	22	1	k
閨	kui22		k	k	ui	22	1	k
規	kui22		k	k	ui	22	1	k
歸	kui22		k	k	ui	22	1	k
媯	kui22		k	k	ui	22	1	k
硅	kui22		k	k	ui	22	1	k
鬼	kui53		k	k	ui	53	3	k
幾	kui53	用于询问数量，如：～侬（几人）	k	k	ui	53	3	k
詭	kui53		k	k	ui	53	3	k
跪	kui213		k	k	ui	213	4	k
瑰	kui21		k	k	ui	21	5	k
挂	kui21	白，～纸	k	k	ui	21	5	k
桂	kui21		k	k	ui	21	5	k
癸	kui21		k	k	ui	21	5	k
掛	kui21	～纸	k	k	ui	21	5	k
貴	kui21		k	k	ui	21	5	k
櫃	kui42		k	k	ui	42	6	k
開	kʰui22		kʰ	kʰ	ui	22	1	kʰ
虧	kʰui22		kʰ	kʰ	ui	22	1	kʰ
窺	kʰui22		kʰ	kʰ	ui	22	1	kʰ
巋	kʰui22		kʰ	kʰ	ui	22	1	kʰ
葵	kʰui44	文，秋～	kʰ	kʰ	ui	44	2	kʰ
逵	kʰui44		kʰ	kʰ	ui	44	2	kʰ
軌	kʰui53		kʰ	kʰ	ui	53	3	kʰ
愧	kʰui213		kʰ	kʰ	ui	213	4	kʰ
潰	kʰui213		kʰ	kʰ	ui	213	4	kʰ
饋	kʰui213	一～墙，一面墙，垝	kʰ	kʰ	ui	213	4	kʰ
季	kʰui21		kʰ	kʰ	ui	21	5	kʰ
氣	kʰui21		kʰ	kʰ	ui	21	5	kʰ
垝	gui42	又读kui6，bvui6等音	g	g	ui	42	6	g
危	ŋui44	又读ɱui44	ŋ	ŋ	ui	44	2	ŋ
嵬	ŋui44		ŋ	ŋ	ui	44	2	ŋ
伪	ŋui213		ŋ	ŋ	ui	213	4	ŋ
魏	ŋui42		ŋ	ŋ	ui	42	6	ŋ
灰	hui22	文	h	h	ui	22	1	h
麾	hui22		h	h	ui	22	1	h
非	hui22		h	h	ui	22	1	h
妃	hui22		h	h	ui	22	1	h
菲	hui22		h	h	ui	22	1	h
徽	hui22		h	h	ui	22	1	h
飛	hui22	文，张～	h	h	ui	22	1	h
揮	hui22		h	h	ui	22	1	h
輝	hui22		h	h	ui	22	1	h
暉	hui22		h	h	ui	22	1	h
啡	hui22		h	h	ui	22	1	h
匪	hui53		h	h	ui	53	3	h
翡	hui53		h	h	ui	53	3	h
卉	hui53		h	h	ui	53	3	h
惠	hui213		h	h	ui	213	4	h
慧	hui213		h	h	ui	213	4	h
肺	hui21		h	h	ui	21	5	h
沸	hui21	文	h	h	ui	21	5	h
廢	hui21		h	h	ui	21	5	h
費	hui21		h	h	ui	21	5	h
衣	ui22				ui	22	1	〇
威	ui22				ui	22	1	〇
醫	ui22				ui	22	1	〇
桅	ui44				ui	44	2	〇
爲	ui44				ui	44	2	〇
違	ui44	又			ui	44	2	〇
圍	ui44				ui	44	2	〇
煨	ui53				ui	53	3	〇
萎	ui53				ui	53	3	〇
委	ui53				ui	53	3	〇
違	ui53				ui	53	3	〇
煒	ui53				ui	53	3	〇
偉	ui53				ui	53	3	〇
韋	ui53				ui	53	3	〇
瑋	ui53				ui	53	3	〇
謂	ui213				ui	213	4	〇
爲	ui42				ui	42	6	〇
胃	ui42				ui	42	6	〇
屄	pai44	tsi1～：女阴	p	p	ai	44	2	p
排	pai44		p	p	ai	44	2	p
牌	pai44		p	p	ai	44	2	p
俳	pai44		p	p	ai	44	2	p
擺	pai53		p	p	ai	53	3	p
拜	pai21		p	p	ai	21	5	p
敗	pai42		p	p	ai	42	6	p
歹	pʰai53	白，～囝（坏人）	pʰ	pʰ	ai	53	3	pʰ
沛	pʰai21		pʰ	pʰ	ai	21	5	pʰ
派	pʰai21		pʰ	pʰ	ai	21	5	pʰ
眉	bai44		b	b	ai	44	2	b
楣	bai44		b	b	ai	44	2	b
跛	bai53	白	b	b	ai	53	3	b
埋	mai44		m	m	ai	44	2	m
跛	mai53	又	m	m	ai	53	3	m
□	mai53	～折（指因为坐姿不正将椅子坐坏）	m	m	ai	53	3	m
邁	mai213		m	m	ai	213	4	m
勿	mai21	不要（原是“m4-ãi5”合音字，现在也作为“勿”的读音	m	m	ai	21	5	m
呆	tai22	文，痴～症	t	t	ai	22	1	t
□	tai44	埋	t	t	ai	44	2	t
傣	tai53		t	t	ai	53	3	t
歹	tai53		t	t	ai	53	3	t
舵	tai213	白	t	t	ai	213	4	t
大	tai213	文，～家	t	t	ai	213	4	t
代	tai21	交～	t	t	ai	21	5	t
黛	tai21		t	t	ai	21	5	t
貸	tai21		t	t	ai	21	5	t
帶	tai21	文	t	t	ai	21	5	t
岱	tai21		t	t	ai	21	5	t
台	tʰai22	～州	tʰ	tʰ	ai	22	1	tʰ
篩	tʰai22		tʰ	tʰ	ai	22	1	tʰ
台	tʰai44	文读，电～，写字～	tʰ	tʰ	ai	44	2	tʰ
抬	tʰai44		tʰ	tʰ	ai	44	2	tʰ
治	tʰai44	杀	tʰ	tʰ	ai	44	2	tʰ
□	tʰai53	sai1～：哭闹	tʰ	tʰ	ai	53	3	tʰ
待	tʰai213		tʰ	tʰ	ai	213	4	tʰ
太	tʰai21		tʰ	tʰ	ai	21	5	tʰ
泰	tʰai21		tʰ	tʰ	ai	21	5	tʰ
汰	tʰai21		tʰ	tʰ	ai	21	5	tʰ
態	tʰai21		tʰ	tʰ	ai	21	5	tʰ
梨	lai44		l	l	ai	44	2	l
狸	lai44	hou2-lai2（狐狸）	l	l	ai	44	2	l
來	lai44		l	l	ai	44	2	l
俫	lai44		l	l	ai	44	2	l
倈	lai44		l	l	ai	44	2	l
□	lai53	甜膏～，指菜味道半甜半咸	l	l	ai	53	3	l
内	lai213	训，家	l	l	ai	213	4	l
里	lai213	家	l	l	ai	213	4	l
内	lai42	训，入～（搬入新屋）。也可以用lai4	l	l	ai	42	6	l
利	lai42	刀刃或其他薄片状物体锋利	l	l	ai	42	6	l
蓮	nai44		n	n	ai	44	2	n
奶	nai53		n	n	ai	53	3	n
乃	nai53		n	n	ai	53	3	n
耐	nai213		n	n	ai	213	4	n
奈	nai213		n	n	ai	213	4	n
捺	nai213		n	n	ai	213	4	n
賴	nai213	老～，姓	n	n	ai	213	4	n
嬾	nai213		n	n	ai	213	4	n
柰	nai213		n	n	ai	213	4	n
荔	nai42	～果（荔枝）	n	n	ai	42	6	n
栽	tsai22		ts	ts	ai	22	1	ts
知	tsai22	白	ts	ts	ai	22	1	ts
災	tsai22		ts	ts	ai	22	1	ts
才	tsai44	秀才	ts	ts	ai	44	2	ts
者	tsai53	合	ts	ts	ai	53	3	ts
宰	tsai53		ts	ts	ai	53	3	ts
載	tsai53		ts	ts	ai	53	3	ts
仔	tsai53		ts	ts	ai	53	3	ts
崽	tsai53		ts	ts	ai	53	3	ts
在	tsai213		ts	ts	ai	213	4	ts
载	tsai21	～人	ts	ts	ai	21	5	ts
再	tsai21		ts	ts	ai	21	5	ts
載	tsai21	～人，超～	ts	ts	ai	21	5	ts
猜	tsʰai22		tsʰ	tsʰ	ai	22	1	tsʰ
才	tsʰai44		tsʰ	tsʰ	ai	44	2	tsʰ
材	tsʰai44		tsʰ	tsʰ	ai	44	2	tsʰ
裁	tsʰai44		tsʰ	tsʰ	ai	44	2	tsʰ
財	tsʰai44		tsʰ	tsʰ	ai	44	2	tsʰ
菜	tsʰai21		tsʰ	tsʰ	ai	21	5	tsʰ
腮	sai22		s	s	ai	22	1	s
西	sai22	白	s	s	ai	22	1	s
犀	sai22		s	s	ai	22	1	s
私	sai22	白，走～（非法转运货物入境售卖）	s	s	ai	22	1	s
鰓	sai22		s	s	ai	22	1	s
狮	sai22		s	s	ai	22	1	s
屎	sai53		s	s	ai	53	3	s
使	sai53	～用，～钱（花钱）	s	s	ai	53	3	s
駛	sai53		s	s	ai	53	3	s
柿	sai213		s	s	ai	213	4	s
洒	sai21	潇～	s	s	ai	21	5	s
使	sai21	文，天～	s	s	ai	21	5	s
塞	sai21	边～	s	s	ai	21	5	s
賽	sai21		s	s	ai	21	5	s
灑	sai21		s	s	ai	21	5	s
曬	sai21		s	s	ai	21	5	s
嗮	sai21		s	s	ai	21	5	s
婿	sai21		s	s	ai	21	5	s
皆	kai22		k	k	ai	22	1	k
偕	kai22		k	k	ai	22	1	k
該	kai22		k	k	ai	22	1	k
階	kai22		k	k	ai	22	1	k
個	kai44	白	k	k	ai	44	2	k
介	kai21		k	k	ai	21	5	k
界	kai21	出～，世～	k	k	ai	21	5	k
芥	kai21	～菜	k	k	ai	21	5	k
尬	kai21		k	k	ai	21	5	k
戒	kai21		k	k	ai	21	5	k
蓋	kai21	文	k	k	ai	21	5	k
屆	kai21		k	k	ai	21	5	k
丐	kai21		k	k	ai	21	5	k
匄	kai21		k	k	ai	21	5	k
鈣	kai21		k	k	ai	21	5	k
诫	kai21		k	k	ai	21	5	k
嘅	kai42		k	k	ai	42	6	k
開	kʰai22	文，～放，～发，～始	kʰ	kʰ	ai	22	1	kʰ
楷	kʰai53		kʰ	kʰ	ai	53	3	kʰ
凱	kʰai53		kʰ	kʰ	ai	53	3	kʰ
剴	kʰai53		kʰ	kʰ	ai	53	3	kʰ
鎧	kʰai213		kʰ	kʰ	ai	213	4	kʰ
概	kʰai21		kʰ	kʰ	ai	21	5	kʰ
慨	kʰai21		kʰ	kʰ	ai	21	5	kʰ
愷	kʰai21		kʰ	kʰ	ai	21	5	kʰ
礙	gai42		g	g	ai	42	6	g
呆	ŋai44	俗，痴～（反应迟钝）	ŋ	ŋ	ai	44	2	ŋ
涯	ŋai44		ŋ	ŋ	ai	44	2	ŋ
崖	ŋai44		ŋ	ŋ	ai	44	2	ŋ
捱	ŋai44		ŋ	ŋ	ai	44	2	ŋ
眼	ŋai53	白	ŋ	ŋ	ai	53	3	ŋ
研	ŋai53	白	ŋ	ŋ	ai	53	3	ŋ
艾	ŋai213	文，～草	ŋ	ŋ	ai	213	4	ŋ
岸	ŋai213	文	ŋ	ŋ	ai	213	4	ŋ
哎	ŋai213		ŋ	ŋ	ai	213	4	ŋ
嗨	hai22		h	h	ai	22	1	h
孩	hai44		h	h	ai	44	2	h
諧	hai44		h	h	ai	44	2	h
海	hai53		h	h	ai	53	3	h
亥	hai213		h	h	ai	213	4	h
解	hai213	姓	h	h	ai	213	4	h
懈	hai213		h	h	ai	213	4	h
械	hai213		h	h	ai	213	4	h
害	hai42	文，伤～，无～，公～	h	h	ai	42	6	h
氦	hai42		h	h	ai	42	6	h
哀	ai22				ai	22	1	〇
埃	ai22				ai	22	1	〇
姨	ai44				ai	44	2	〇
隘	ai53				ai	53	3	〇
藹	ai53				ai	53	3	〇
乖	kuai22		k	k	uai	22	1	k
□	kuai53	瘸。～kha1：瘸子	k	k	uai	53	3	k
拐	kuai53		k	k	uai	53	3	k
繪	kuai21		k	k	uai	21	5	k
會	kuai21	～计	k	k	uai	21	5	k
怪	kuai21		k	k	uai	21	5	k
快	kʰuai21		kʰ	kʰ	uai	21	5	kʰ
筷	kʰuai21		kʰ	kʰ	uai	21	5	kʰ
淮	huai44		h	h	uai	44	2	h
槐	huai44		h	h	uai	44	2	h
懷	huai44		h	h	uai	44	2	h
壞	huai213		h	h	uai	213	4	h
歪	uai22	文			uai	22	1	〇
挖	uai22				uai	22	1	〇
批	pʰoi22		pʰ	pʰ	oi	22	1	pʰ
稗	pʰoi42		pʰ	pʰ	oi	42	6	pʰ
買	boi53		b	b	oi	53	3	b
賣	boi42		b	b	oi	42	6	b
堤	toi22		t	t	oi	22	1	t
蹄	toi44		t	t	oi	44	2	t
題	toi44		t	t	oi	44	2	t
第	toi213		t	t	oi	213	4	t
釵	tʰoi22		tʰ	tʰ	oi	22	1	tʰ
代	tʰoi21	训读，本字为“替”	tʰ	tʰ	oi	21	5	tʰ
替	tʰoi21		tʰ	tʰ	oi	21	5	tʰ
犁	loi44		l	l	oi	44	2	l
黎	loi44		l	l	oi	44	2	l
蠡	loi53	弯	l	l	oi	53	3	l
禮	loi53		l	l	oi	53	3	l
劙	loi21	劈	l	l	oi	21	5	l
齊	tsoi44		ts	ts	oi	44	2	ts
多	tsoi42	训	ts	ts	oi	42	6	ts
載	tsoi42	多	ts	ts	oi	42	6	ts
粞	tsʰoi21		tsʰ	tsʰ	oi	21	5	tsʰ
洗	soi53		s	s	oi	53	3	s
細	soi21		s	s	oi	21	5	s
街	koi22		k	k	oi	22	1	k
雞	koi22		k	k	oi	22	1	k
改	koi53		k	k	oi	53	3	k
解	koi53		k	k	oi	53	3	k
計	koi21		k	k	oi	21	5	k
易	koi42	训	k	k	oi	42	6	k
溪	kʰoi22		kʰ	kʰ	oi	22	1	kʰ
契	kʰoi21		kʰ	kʰ	oi	21	5	kʰ
喫	kʰoi21	啃	kʰ	kʰ	oi	21	5	kʰ
倪	goi42	姓	g	g	oi	42	6	g
藝	goi42		g	g	oi	42	6	g
蟹	hoi213		h	h	oi	213	4	h
鞋	oi44				oi	44	2	〇
矮	oi53				oi	53	3	〇
解	oi213	白，会。～知，知道			oi	213	4	〇
噲	oi42				oi	42	6	〇
彪	pʰiu22		pʰ	pʰ	iu	22	1	pʰ
漂	pʰiu21	裂开；乞～去，形容结果很失败	pʰ	pʰ	iu	21	5	pʰ
謬	miu213		m	m	iu	213	4	m
丟	tiu22		t	t	iu	22	1	t
稠	tiu44		t	t	iu	44	2	t
綢	tiu44		t	t	iu	44	2	t
宙	tiu53		t	t	iu	53	3	t
晝	tiu53		t	t	iu	53	3	t
紂	tiu53		t	t	iu	53	3	t
佇	tiu53		t	t	iu	53	3	t
稻	tiu213	训	t	t	iu	213	4	t
住	tiu42		t	t	iu	42	6	t
抽	tʰiu22		tʰ	tʰ	iu	22	1	tʰ
濤	tʰiu44		tʰ	tʰ	iu	44	2	tʰ
籌	tʰiu44		tʰ	tʰ	iu	44	2	tʰ
醜	tʰiu53	俗。应是简化字合并后混读	tʰ	tʰ	iu	53	3	tʰ
溜	liu22		l	l	iu	22	1	l
流	liu44		l	l	iu	44	2	l
留	liu44		l	l	iu	44	2	l
榴	liu44		l	l	iu	44	2	l
琉	liu44		l	l	iu	44	2	l
硫	liu44		l	l	iu	44	2	l
瀏	liu44		l	l	iu	44	2	l
餾	liu44		l	l	iu	44	2	l
柳	liu53		l	l	iu	53	3	l
□	liu53	挖	l	l	iu	53	3	l
溜	liu21		l	l	iu	21	5	l
扭	niu53		n	n	iu	53	3	n
紐	niu53		n	n	iu	53	3	n
州	tsiu22		ts	ts	iu	22	1	ts
洲	tsiu22		ts	ts	iu	22	1	ts
舟	tsiu22		ts	ts	iu	22	1	ts
周	tsiu22		ts	ts	iu	22	1	ts
酒	tsiu53		ts	ts	iu	53	3	ts
就	tsiu213		ts	ts	iu	213	4	ts
咒	tsiu21		ts	ts	iu	21	5	ts
鬚	tsʰiu22	鬍～	tsʰ	tsʰ	iu	22	1	tsʰ
秋	tsʰiu22		tsʰ	tsʰ	iu	22	1	tsʰ
鰍	tsʰiu22		tsʰ	tsʰ	iu	22	1	tsʰ
囚	tsʰiu44		tsʰ	tsʰ	iu	44	2	tsʰ
仇	tsʰiu44		tsʰ	tsʰ	iu	44	2	tsʰ
酬	tsʰiu44		tsʰ	tsʰ	iu	44	2	tsʰ
售	tsʰiu44		tsʰ	tsʰ	iu	44	2	tsʰ
手	tsʰiu53		tsʰ	tsʰ	iu	53	3	tsʰ
□	tsʰiu21	刷	tsʰ	tsʰ	iu	21	5	tsʰ
樹	tsʰiu42		tsʰ	tsʰ	iu	42	6	tsʰ
揉	dziu44		dz	dz	iu	44	2	dz
柔	dziu44		dz	dz	iu	44	2	dz
梳	siu22		s	s	iu	22	1	s
修	siu22		s	s	iu	22	1	s
羞	siu22		s	s	iu	22	1	s
收	siu22		s	s	iu	22	1	s
泅	siu44		s	s	iu	44	2	s
遊	siu44		s	s	iu	44	2	s
守	siu53		s	s	iu	53	3	s
首	siu53		s	s	iu	53	3	s
帚	siu53		s	s	iu	53	3	s
受	siu213		s	s	iu	213	4	s
授	siu213		s	s	iu	213	4	s
秀	siu21		s	s	iu	21	5	s
繡	siu21		s	s	iu	21	5	s
鏽	siu21		s	s	iu	21	5	s
獸	siu21		s	s	iu	21	5	s
袖	siu21		s	s	iu	21	5	s
壽	siu42		s	s	iu	42	6	s
勼	kiu22		k	k	iu	22	1	k
球	kiu44		k	k	iu	44	2	k
毬	kiu44		k	k	iu	44	2	k
九	kiu53		k	k	iu	53	3	k
糾	kiu53		k	k	iu	53	3	k
玖	kiu53		k	k	iu	53	3	k
救	kiu21		k	k	iu	21	5	k
究	kiu21		k	k	iu	21	5	k
丘	kʰiu22		kʰ	kʰ	iu	22	1	kʰ
蚯	kʰiu22		kʰ	kʰ	iu	22	1	kʰ
求	kʰiu44		kʰ	kʰ	iu	44	2	kʰ
捄	kʰiu44		kʰ	kʰ	iu	44	2	kʰ
逑	kʰiu44		kʰ	kʰ	iu	44	2	kʰ
糗	kʰiu53	猪~献：臭味	kʰ	kʰ	iu	53	3	kʰ
悠	iu22	又			iu	22	1	〇
幽	iu22	又			iu	22	1	〇
優	iu22				iu	22	1	〇
憂	iu22				iu	22	1	〇
猶	iu22				iu	22	1	〇
呦	iu22				iu	22	1	〇
尤	iu44				iu	44	2	〇
由	iu44				iu	44	2	〇
油	iu44				iu	44	2	〇
游	iu44				iu	44	2	〇
酋	iu44				iu	44	2	〇
郵	iu44				iu	44	2	〇
遊	iu44				iu	44	2	〇
有	iu53				iu	53	3	〇
友	iu53				iu	53	3	〇
酉	iu53				iu	53	3	〇
又	iu53				iu	53	3	〇
诱	iu53				iu	53	3	〇
又	iu213				iu	213	4	〇
右	iu213				iu	213	4	〇
佑	iu213				iu	213	4	〇
賄	iu213				iu	213	4	〇
宥	iu213				iu	213	4	〇
柚	iu42				iu	42	6	〇
包	pau22		p	p	au	22	1	p
胞	pau22		p	p	au	22	1	p
鮑	pau22		p	p	au	22	1	p
堡	pau53		p	p	au	53	3	p
暴	pau213		p	p	au	213	4	p
爆	pau213		p	p	au	213	4	p
褒	pʰau22		pʰ	pʰ	au	22	1	pʰ
苞	pʰau22		pʰ	pʰ	au	22	1	pʰ
拋	pʰau22		pʰ	pʰ	au	22	1	pʰ
袍	pʰau44		pʰ	pʰ	au	44	2	pʰ
刨	pʰau44		pʰ	pʰ	au	44	2	pʰ
咆	pʰau44		pʰ	pʰ	au	44	2	pʰ
庖	pʰau44		pʰ	pʰ	au	44	2	pʰ
跑	pʰau53		pʰ	pʰ	au	53	3	pʰ
抱	pʰau213		pʰ	pʰ	au	213	4	pʰ
奅	pʰau21	奢大～，吹牛	pʰ	pʰ	au	21	5	pʰ
炮	pʰau21		pʰ	pʰ	au	21	5	pʰ
卯	bau53		b	b	au	53	3	b
矛	mau44		m	m	au	44	2	m
茅	mau44		m	m	au	44	2	m
冒	mau213		m	m	au	213	4	m
貌	mau213		m	m	au	213	4	m
刀	tau22		t	t	au	22	1	t
叨	tau22	又	t	t	au	22	1	t
兜	tau22		t	t	au	22	1	t
投	tau44		t	t	au	44	2	t
倒	tau53		t	t	au	53	3	t
找	tau53		t	t	au	53	3	t
島	tau53		t	t	au	53	3	t
斗	tau53		t	t	au	53	3	t
搗	tau53		t	t	au	53	3	t
道	tau213		t	t	au	213	4	t
稻	tau213		t	t	au	213	4	t
蹈	tau213		t	t	au	213	4	t
盜	tau213		t	t	au	213	4	t
導	tau213		t	t	au	213	4	t
□	tau21	安装	t	t	au	21	5	t
到	tau21		t	t	au	21	5	t
豆	tau42		t	t	au	42	6	t
痘	tau42		t	t	au	42	6	t
逗	tau42		t	t	au	42	6	t
叨	tʰau22	～赔鲤对	tʰ	tʰ	au	22	1	tʰ
滔	tʰau22		tʰ	tʰ	au	22	1	tʰ
掏	tʰau22		tʰ	tʰ	au	22	1	tʰ
偷	tʰau22		tʰ	tʰ	au	22	1	tʰ
陶	tʰau44		tʰ	tʰ	au	44	2	tʰ
頭	tʰau44		tʰ	tʰ	au	44	2	tʰ
淘	tʰau44		tʰ	tʰ	au	44	2	tʰ
㪗	tʰau53		tʰ	tʰ	au	53	3	tʰ
套	tʰau21		tʰ	tʰ	au	21	5	tʰ
透	tʰau21		tʰ	tʰ	au	21	5	tʰ
嘮	lau22		l	l	au	22	1	l
襖	lau22	训	l	l	au	22	1	l
褸	lau22		l	l	au	22	1	l
流	lau44		l	l	au	44	2	l
留	lau44		l	l	au	44	2	l
瘤	lau44		l	l	au	44	2	l
落	lau44	ka1～，掉落	l	l	au	44	2	l
勞	lau44		l	l	au	44	2	l
樓	lau44		l	l	au	44	2	l
劉	lau44		l	l	au	44	2	l
撈	lau44		l	l	au	44	2	l
老	lau53		l	l	au	53	3	l
佬	lau53		l	l	au	53	3	l
老	lau213		l	l	au	213	4	l
佬	lau213		l	l	au	213	4	l
鬧	lau213	~热	l	l	au	213	4	l
褸	lau213	又	l	l	au	213	4	l
落	lau21	拉稀	l	l	au	21	5	l
漏	lau42		l	l	au	42	6	l
澇	lau42		l	l	au	42	6	l
澆	nau44		n	n	au	44	2	n
腦	nau53		n	n	au	53	3	n
惱	nau53	～羞成怒	n	n	au	53	3	n
瑙	nau53		n	n	au	53	3	n
藕	nau213		n	n	au	213	4	n
扭	nau213	白，~着腰	n	n	au	213	4	n
鬧	nau213	文	n	n	au	213	4	n
遭	tsau22		ts	ts	au	22	1	ts
糟	tsau22		ts	ts	au	22	1	ts
□	tsau44	整齐	ts	ts	au	44	2	ts
蚤	tsau53		ts	ts	au	53	3	ts
走	tsau53		ts	ts	au	53	3	ts
澡	tsau53		ts	ts	au	53	3	ts
藻	tsau53		ts	ts	au	53	3	ts
造	tsau213		ts	ts	au	213	4	ts
罩	tsau213		ts	ts	au	213	4	ts
灶	tsau21		ts	ts	au	21	5	ts
奏	tsau21		ts	ts	au	21	5	ts
皂	tsau21		ts	ts	au	21	5	ts
操	tsʰau22		tsʰ	tsʰ	au	22	1	tsʰ
抄	tsʰau22		tsʰ	tsʰ	au	22	1	tsʰ
鈔	tsʰau22		tsʰ	tsʰ	au	22	1	tsʰ
曹	tsʰau44		tsʰ	tsʰ	au	44	2	tsʰ
剿	tsʰau22		tsʰ	tsʰ	au	22	1	tsʰ
巢	tsʰau44		tsʰ	tsʰ	au	44	2	tsʰ
草	tsʰau53	文	tsʰ	tsʰ	au	53	3	tsʰ
吵	tsʰau53		tsʰ	tsʰ	au	53	3	tsʰ
操	tsʰau21		tsʰ	tsʰ	au	21	5	tsʰ
燥	tsʰau21		tsʰ	tsʰ	au	21	5	tsʰ
躁	tsʰau21		tsʰ	tsʰ	au	21	5	tsʰ
臭	tsʰau21		tsʰ	tsʰ	au	21	5	tsʰ
稍	sau22	文	s	s	au	22	1	s
□	sau22	形容人声音沙哑；扬声器声音模糊不清	s	s	au	22	1	s
騷	sau22		s	s	au	22	1	s
梢	sau22		s	s	au	22	1	s
嗽	sau21		s	s	au	21	5	s
掃	sau21		s	s	au	21	5	s
哨	sau21		s	s	au	21	5	s
啸	sau21		s	s	au	21	5	s
