#漢字	音標	解釋#('ko_okm', '中世紀朝鮮語', '中世朝鮮', '#8B0000,#4D4D4D', None, None, '來源：<a href=https://github.com/nk2028/sino-korean-readings>韓國漢字音歷史層次研究</a>', None)
臉	rjem	
臉	kem	
臊	tso	
臍	tsjei	
臑	njo	
臕	pʰjo	
臘	rap	
臛	hak	
臛	hwak	
臞	ku	
臣	sin	
臥	wa	
臧	tsaŋ	
臨	rim	
自	tsə	
臭	tsʰjui	
至	tsi	
致	tʰi	
臺	təi	
臼	ku	
臾	ju	
舀	jo	
舃	sjek	
舅	ku	
與	je	
與	jei	
興	hɨŋ	
舊	ku	
舌	sjer	
舍	sja	
舐	tjei	
舒	sje	
舔	tʰjem	
舜	sjun	
舞	mu	
舟	tsju	
舠	to	
舡	sjen	
舥	pʰa	
航	haŋ	
舫	paŋ	
般	pan	
舳	tʰjuk	
舵	tʰa	
舶	məik	
舶	pəik	
舷	hjen	
船	sjen	
艄	tsʰjo	
艇	tjeŋ	
艑	pʰjen	
艘	su	
艚	tso	
艦	ham	
艪	no	
艫	ro	
良	rjaŋ	
艱	kan	
色	səik	
艾	ai	
芄	hwan	
芋	u	
芍	tsjak	
芍	sjak	
芍	sja	
芎	kuŋ	
芙	pu	
芝	tsi	
芡	kam	
芣	pu	
芥	kai	
芥	kje	
芧	sje	
芬	pun	
芭	pʰa	
芰	ki	
花	hwa	
芳	paŋ	
芷	tsi	
芸	un	
芹	kɨn	
芻	tsʰu	
芽	a	
苓	rjeŋ	
苔	tʰəi	
苗	mjo	
苙	rip	
苜	mok	
苞	pʰo	
苟	ku	
苡	i	
苣	ke	
若	zjak	
苦	ko	
苦	ku	
苧	tje	
苫	sjem	
苫	tsjem	
英	jeŋ	
苶	nar	
茂	mu	
范	pem	
茄	ka	
茅	mjo	
茅	mo	
茗	mjeŋ	
茯	pok	
茲	tsə	
茴	hoi	
茵	in	
茶	ta	
茺	tsʰjuŋ	
荅	tap	
草	tsʰo	
荊	hjeŋ	
荏	zim	
荑	tjei	
荑	i	
荒	hwaŋ	
荔	rjei	
荔	rje	
荳	tu	
荷	ha	
荻	tjek	
荽	zju	
荽	sju	
莄	kjeŋ	
莊	tsaŋ	
莒	ke	
莒	kei	
莓	məi	
莖	kəiŋ	
莙	kun	
莚	jen	
莞	kwan	
莞	wan	
莞	wen	
莠	ju	
莢	hip	
莢	hjep	
莧	hjen	
莩	pu	
莪	a	
莫	mo	
莫	mak	
莽	mo	
莽	maŋ	
莿	tsə	
菀	wen	
菁	tsʰjeŋ	
菂	tjek	
菅	kwan	
菇	ko	
菊	kuk	
菌	kjun	
菑	tsəi	
菓	kwa	
菖	tsʰjaŋ	
菘	sjoŋ	
菜	tsʰəi	
菜	tsʰɨi	
菟	tʰo	
菠	pʰa	
菡	ham	
菢	pʰo	
菩	po	
華	hwa	
菱	rɨŋ	
菲	pi	
菼	tam	
菽	sjuk	
萃	tsʰjwei	
萄	to	
萌	məiŋ	
萍	pʰjeŋ	
萎	ui	
萏	tam	
萑	tsʰju	
萑	hwan	
萬	man	
萱	hwen	
萵	wa	
萼	ak	
落	rak	
葅	tso	
葇	zju	
葈	si	
葉	nip	
葉	sjep	
葉	jep	
葎	rjur	
葒	hoŋ	
著	tje	
著	tʰjak	
葚	sim	
葛	kar	
葡	pʰo	
董	toŋ	
葦	ui	
葩	pʰa	
葬	tsaŋ	
葭	ka	
葰	sa	
葱	tsʰoŋ	
葳	ui	
葵	kju	
葷	hun	
葸	sɨi	
葺	tsɨp	
蒐	su	
蒔	si	
蒙	moŋ	
蒜	swen	
蒡	paŋ	
蒨	tsʰjen	
蒱	pʰo	
蒲	pʰo	
蒸	tsɨŋ	
蒹	kjem	
蒺	tsir	
蒼	tsʰaŋ	
蒿	ho	
蒿	ko	
蓀	son	
蓁	tsin	
蓋	kai	
蓍	si	
蓏	ra	
蓑	sa	
蓖	pi	
蓧	tjo	
蓬	poŋ	
蓮	rjen	
蓲	ku	
蓴	sjun	
蓷	tʰoi	
蓼	rjo	
蓼	rjuk	
蔓	man	
蔔	pok	
蔕	tʰjei	
蔗	tsja	
蔘	səm	
蔘	sim	
蔚	ur	
蔞	ru	
蔡	tsʰwai	
蔡	tsʰai	
蔢	pʰa	
蔬	so	
蔷	tsjaŋ	
蔽	pʰjei	
蕈	sim	
蕉	tsʰjo	
蕎	kjo	
蕒	məi	
蕖	ke	
蕘	jo	
蕢	kwei	
蕣	sjun	
蕨	kwer	
蕩	tʰaŋ	
蕪	mu	
蕬	sə	
蕭	sjo	
蕷	je	
蕺	tsɨp	
薄	pak	
薅	ho	
薇	mi	
薊	kjei	
薍	ran	
薏	ɨi	
薑	kaŋ	
薘	tar	
薛	sjer	
薜	pjek	
薤	hjei	
薦	tsʰjen	
薨	huŋ	
薩	sar	
薪	sin	
薯	sje	
薸	pʰjo	
薺	tsjei	
藁	ko	
藉	tsja	
藍	ram	
藏	tsaŋ	
藐	jak	
藐	mjak	
藕	u	
藜	rjei	
藜	rje	
藝	jei	
藤	tɨŋ	
藥	jak	
藩	pen	
藪	su	
藫	tam	
藻	tso	
蘂	jei	
蘄	kɨi	
蘆	ro	
蘇	so	
蘊	on	
蘋	pin	
蘋	piŋ	
蘖	pjek	
蘘	jaŋ	
蘚	sjen	
蘝	hem	
蘧	ke	
蘩	pen	
蘭	ran	
蘸	tsam	
蘿	ra	
虆	rju	
虌	pjer	
虎	ho	
虐	hak	
虔	ken	
處	tsʰje	
處	tsʰju	
虛	he	
虜	ro	
虞	u	
號	ho	
虢	koik	
虫	tʰjuŋ	
虹	hoŋ	
虺	hwei	
虻	məiŋ	
虼	ker	
蚆	pʰa	
蚇	tsʰjek	
蚊	mun	
蚌	paŋ	
蚓	in	
蚖	wen	
蚛	tjuŋ	
蚡	pun	
蚣	koŋ	
蚩	tsʰi	
蚪	tu	
蚯	ku	
蚰	ju	
蚱	tsa	
蛀	tsju	
蛄	ko	
蛆	tsje	
蛇	sja	
蛉	rjeŋ	
蛙	wa	
蛚	rjer	
蛛	tju	
蛜	i	
蛞	kwar	
蛟	kjo	
蛤	hap	
蛭	tir	
蛸	sjo	
蛸	so	
蛸	tsʰjo	
蛺	hjep	
蛻	jei	
蛾	a	
蜃	sjun	
蜆	hjen	
蜈	o	
蜉	pu	
蜊	ri	
蜋	raŋ	
蜋	rjaŋ	
蜍	je	
蜒	jen	
蜓	tjeŋ	
蜘	ti	
蜜	mir	
蜣	kaŋ	
蜥	sjek	
蜩	tjo	
蜫	kon	
蜻	tsʰjeŋ	
蝀	toŋ	
蝃	tʰjei	
蝌	kwa	
蝎	kar	
蝕	sik	
蝗	hwaŋ	
蝙	pʰjen	
蝛	ui	
蝜	pu	
蝟	ui	
蝠	pok	
蝣	ju	
蝥	mo	
蝦	ha	
蝨	sɨr	
蝪	tʰjek	
蝮	pok	
蝶	tjep	
蝸	kwa	
螂	raŋ	
螃	paŋ	
螄	sə	
螉	oŋ	
螋	su	
螌	pan	
融	rjuŋ	
螓	tsin	
螕	pi	
螗	taŋ	
螞	ma	
螢	hjeŋ	
螫	sjek	
螬	tso	
螯	o	
螳	taŋ	
螺	ra	
螻	ru	
螽	tsjoŋ	
蟀	sor	
蟆	ma	
蟈	kuk	
蟋	sir	
蟒	maŋ	
蟠	pan	
蟢	hɨi	
蟣	kɨi	
蟥	hwaŋ	
蟫	tam	
蟬	sjen	
蟲	tʰjuŋ	
蟶	tjeŋ	
蟹	həi	
蟺	sjen	
蟻	ɨi	
蟼	kjeŋ	
蟾	sjem	
蠅	sɨŋ	
蠆	tʰai	
蠍	kar	
蠍	her	
蠐	tsjei	
蠑	jeŋ	
蠓	moŋ	
蠕	zjen	
蠖	hwak	
蠛	mjer	
蠟	rap	
蠟	ra	
蠢	tsjun	
蠧	tu	
蠨	sjo	
蠮	jer	
蠱	ko	
蠲	kjen	
蠶	tsəm	
蠷	ku	
蠻	man	
血	hjer	
行	haŋ	
行	həiŋ	
衏	wen	
衒	hjen	
術	sjur	
衕	toŋ	
街	kai	
衙	a	
衚	ho	
衞	ui	
衡	hjeŋ	
衢	ku	
衣	ɨi	
表	pʰjo	
衫	san	
衫	sam	
衰	tsʰoi	
衰	soi	
衲	nap	
衷	tʰjuŋ	
衽	zim	
衾	kɨm	
衿	kɨŋ	
袁	wen	
袂	mjei	
袈	ka	
袋	təi	
袍	pʰo	
袒	tan	
袒	tʰan	
袖	sju	
袗	tin	
袞	kon	
袪	ke	
被	pʰi	
袴	kwa	
袴	ko	
裁	tsəi	
裂	rjer	
裌	hjep	
裎	tjeŋ	
裏	ri	
裒	pu	
裓	kɨk	
裔	jei	
裕	ju	
裘	ku	
裙	kun	
補	po	
裝	tsaŋ	
裟	sa	
裨	pi	
裩	kun	
裳	sjaŋ	
裴	pəi	
裸	ra	
裸	na	
裹	kwa	
裼	tʰjek	
製	tsjei	
裾	ke	
褂	kʰwai	
褐	kar	
褐	her	
褓	po	
褪	ton	
褯	tsja	
褯	tsʰja	
褸	ru	
褻	sjer	
襀	tsjek	
襁	kaŋ	
襄	zjaŋ	
襉	kan	
襋	kɨk	
襌	tan	
襖	o	
襜	tsjem	
襞	pjek	
襟	kɨm	
襠	taŋ	
襤	ram	
襪	mar	
襯	tsʰin	
襲	sɨp	
襺	kjen	
西	sje	
要	jo	
覆	pu	
覆	pok	
覈	kəik	
見	kjen	
見	hjen	
規	kju	
視	si	
覘	tjem	
覡	hjek	
覡	kjek	
覩	to	
親	tsʰin	
親	tsʰiŋ	
覯	ku	
覲	kɨn	
覺	kjo	
覺	kak	
覽	ram	
覿	tjek	
觀	kwan	
角	kak	
觚	ko	
觝	tjei	
解	həi	
解	ha	
觥	koiŋ	
觱	pʰir	
觱	pʰi	
觴	sjaŋ	
觿	kju	
言	en	
計	kjei	
訊	sin	
討	tʰo	
訐	kjer	
訐	ar	
訒	zin	
訓	hun	
訕	san	
訖	hɨr	
託	tʰak	
記	kɨi	
訢	ɨn	
訢	hɨn	
訣	kjer	
訥	nur	
訪	paŋ	
設	sjer	
許	he	
訴	so	
訶	ha	
訹	tʰjur	
註	tsu	
詈	ri	
詐	sai	
詐	sa	
詔	tsjo	
評	pʰjeŋ	
詞	sə	
詠	jeŋ	
詢	sjun	
詣	jei	
試	si	
詩	si	
詭	kwei	
詰	hir	
話	hwa	
該	həi	
詳	sjaŋ	
誄	roi	
誅	tju	
誆	kwaŋ	
誌	tsi	
誑	kwaŋ	
誓	sjei	
誓	sje	
誕	tʰan	
誘	ju	
誚	tsʰjo	
語	je	
語	e	
誠	sjeŋ	
誡	kjei	
誣	mu	
誤	o	
誥	ko	
誨	hoi	
說	sjei	
說	sjer	
誰	sju	
課	kwa	
誹	pi	
誼	ɨi	
誾	ɨn	
調	tjo	
諂	tʰjem	
談	tam	
請	tsʰjeŋ	
請	tsʰiŋ	
諍	tsəiŋ	
諍	tsjeŋ	
諒	rjaŋ	
論	ron	
諛	ju	
諟	si	
諠	hwan	
諡	si	
諤	ak	
諦	tjei	
諦	tʰjei	
諫	kan	
諮	tsə	
諱	hui	
諶	tʰim	
諷	pʰuŋ	
諸	tsje	
諸	tsjei	
諺	en	
諾	rak	
諾	nak	
謀	mo	
謁	ar	
謂	ui	
謇	ken	
謊	hwaŋ	
謗	paŋ	
謙	kjem	
謙	kjep	
講	kaŋ	
謝	sja	
謫	tjek	
謫	tek	
謬	nju	
謮	tsʰəik	
謳	ku	
謹	kɨn	
謾	man	
譁	hwa	
證	tsɨŋ	
譏	kɨi	
譖	tsʰəm	
識	tsi	
譙	tsʰjo	
譟	tso	
警	kjeŋ	
譬	pi	
譮	hwai	
譮	hoi	
譮	hui	
譯	jek	
議	ɨi	
譴	kjen	
護	ho	
護	hu	
譽	je	
譽	jei	
讀	tok	
變	pjen	
讎	sju	
讒	tsʰam	
讓	zjaŋ	
讖	tsəm	
讖	tsʰəm	
讟	tok	
谷	kok	
豁	har	
豆	tu	
豇	kaŋ	
豈	kɨi	
豉	si	
豌	wan	
豎	sju	
豐	pʰuŋ	
豔	jem	
豕	si	
豚	ton	
象	sjaŋ	
豢	hwan	
豨	hɨi	
豪	ho	
豫	jei	
豬	tjei	
豶	pun	
豹	pʰjo	
豺	sɨi	
貂	tjo	
貆	hwen	
貉	rak	
貉	hak	
貊	məik	
貍	ri	
貓	mjo	
貝	pəi	
貝	pʰai	
貝	pɨi	
貞	tjeŋ	
負	pu	
財	tsəi	
財	tsʰai	
貢	koŋ	
貧	pin	
貧	piŋ	
貨	hwa	
貨	ho	
販	pʰan	
貪	tʰam	
貫	kwan	
責	tsʰəik	
貰	sjei	
貲	tsə	
貳	zi	
貴	kui	
貶	pʰjem	
買	məi	
貸	təi	
費	pi	
貼	tʰjep	
貽	i	
貿	mu	
賀	ha	
賁	pun	
賂	roi	
賃	im	
賃	nim	
賄	hoi	
資	tsə	
賈	ka	
賈	ko	
賊	tsek	
賑	tsin	
賒	sja	
賓	pin	
賓	piŋ	
賙	tsju	
賚	roi	
賜	sə	
賞	sjaŋ	
賠	pəi	
賢	hjen	
賣	mai	
賤	tsʰjen	
賦	pu	
質	tsir	
賭	to	
賺	tsam	
賺	tam	
購	ku	
賽	səi	
賽	sai	
贅	tsʰjwei	
贈	tsɨŋ	
贊	tsan	
贊	tsʰan	
贋	an	
贏	jeŋ	
贓	tsaŋ	
赤	tsjek	
赤	tsi	
赤	tsʰi	
赤	si	
赦	sja	
赧	nan	
赫	hjek	
赬	tjeŋ	
赭	tsja	
走	tsu	
赴	pu	
赶	kan	
赶	han	
起	kɨi	
趁	tin	
超	tʰjo	
越	wer	
趙	tjo	
趣	tsʰjui	
趨	tsʰu	
趯	tʰjek	
足	tsu	
趺	pu	
趼	kjen	
趾	tsi	
跋	par	
跌	tir	
跎	tʰa	
跏	ka	
跐	tsʰai	
跑	pʰo	
跗	pu	
距	ke	
跟	kɨn	
跡	tsjek	
跣	sjen	
跪	kwei	
跬	kju	
路	ro	
跲	kjep	
跳	tjo	
跽	kɨi	
踏	tap	
踐	tsʰjen	
踖	tsʰjek	
踝	kwa	
踞	ke	
踠	wan	
踣	pɨk	
踦	kɨi	
踧	tsʰjuk	
踰	ju	
踶	tjei	
蹄	tjei	
蹈	to	
蹉	tsʰa	
蹊	kjei	
蹔	tsam	
蹜	tsʰjuk	
蹟	tsjek	
蹢	tʰjek	
蹢	tjek	
蹲	tsun	
蹶	kwer	
蹺	kjo	
蹻	kjak	
躁	tso	
躄	pjek	
躍	jak	
躑	tʰjek	
躓	tʰi	
躩	hwak	
身	sin	
躬	kuŋ	
車	tsʰja	
車	ke	
軌	kwei	
軍	kun	
軏	wer	
軒	hen	
軛	əik	
軟	jen	
軟	tor	
軸	tʰjuk	
軺	jo	
軾	sik	
軿	pjeŋ	
輅	ro	
輈	tju	
載	tsəi	
輒	tʰjep	
輔	po	
輕	kjeŋ	
輗	jei	
輛	rjaŋ	
輜	tsʰɨi	
輝	hui	
輞	maŋ	
輟	tʰjer	
輦	rjen	
輨	kwan	
輩	pəi	
輪	rjun	
輶	ju	
輸	sju	
輻	pok	
輿	je	
輿	jei	
轂	kok	
轄	har	
轅	wen	
轉	tjen	
轎	kjo	
轓	pen	
轜	zi	
轡	pi	
轤	ro	
辛	sin	
辜	ko	
辟	pi	
辟	pʰi	
辟	pjek	
辟	pʰjek	
辣	rar	
辦	pan	
辦	pʰan	
辨	pjen	
辭	sə	
辯	pjen	
辰	sin	
辰	tsin	
農	noŋ	
農	roŋ	
迂	o	
迅	sin	
迎	jeŋ	
近	kɨn	
返	pan	
迦	ka	
迫	pak	
迭	tir	
述	sjur	
迴	hoi	
迷	mi	
迸	pjeŋ	
追	tʰju	
退	tʰoi	
送	soŋ	
适	kwar	
逃	to	
逅	hu	
逆	jek	
逋	pʰo	
透	tʰo	
透	tʰu	
逐	tʰjuk	
途	to	
這	tsja	
這	tsje	
通	tʰoŋ	
逝	sjei	
逝	sje	
逞	rjeŋ	
速	sok	
造	tso	
逡	tsjun	
連	rjen	
逮	tjei	
進	tsin	
逵	kju	
逸	ir	
逼	pʰip	
遂	tsʰju	
遆	tjei	
遇	u	
遊	ju	
運	un	
遍	pjen	
遍	pʰjen	
過	kwa	
遏	ar	
遐	ha	
道	to	
達	tar	
達	ta	
達	tai	
違	ui	
遠	wan	
遠	wen	
遣	kjen	
遥	jo	
適	tjek	
遭	tso	
遮	tsʰja	
遲	ti	
遵	tsun	
遶	zjo	
遷	tsʰjen	
遺	ju	
遼	rjo	
遽	ke	
避	pʰi	
邁	mai	
還	hwan	
邇	zi	
邈	mak	
邊	pjen	
邑	ɨp	
那	na	
邦	paŋ	
邪	sja	
邪	ja	
邳	pi	
邵	sjo	
邸	tjei	
邸	tje	
郁	uk	
郊	kjo	
郎	raŋ	
郛	pu	
郡	kun	
郢	rjeŋ	
部	po	
部	pu	
郭	kwak	
都	to	
鄉	hjaŋ	
鄙	pi	
鄧	tɨŋ	
鄭	tjeŋ	
鄰	rin	
鄴	ep	
鄹	tsʰu	
酉	ju	
酌	tsjak	
配	pəi	
酒	tsju	
酗	hu	
酡	tʰa	
酥	so	
酥	su	
酪	rak	
酬	sju	
酵	kjo	
酶	məi	
酷	hok	
酸	san	
酺	pʰo	
醃	em	
醅	pəi	
醇	sjun	
醉	tsʰjui	
醋	tso	
醋	tsʰo	
醍	tjei	
醐	ho	
醖	on	
醗	par	
醜	tsʰjui	
醜	tsʰu	
醢	həi	
醪	rjo	
醫	ɨi	
醬	tsjaŋ	
醭	pok	
醯	hjei	
醴	rjei	
醴	rje	
醵	kjak	
釀	jaŋ	
釁	hɨn	
釃	sɨi	
釅	em	
釋	sjek	
里	ri	
野	ja	
量	rjaŋ	
金	kim	
金	kɨm	
釘	tjeŋ	
釜	pu	
釣	tjo	
釦	ku	
釴	ik	
釵	tsʰai	
釵	tsʰa	
鈇	pu	
鈍	tun	
鈔	tsʰjo	
鈕	nju	
鈚	pi	
鈞	kjun	
鈦	tʰai	
鈴	rjeŋ	
鈸	par	
鈹	pʰi	
鉋	pʰo	
鉎	səiŋ	
鉏	se	
鉐	sjek	
鉗	kjem	
鉛	jen	
鉞	wer	
鉢	par	
鉤	ku	
鉦	tsjeŋ	
鉦	tsiŋ	
鉸	kjo	
銀	ɨn	
銃	tsʰjuŋ	
銅	toŋ	
銅	tʰuŋ	
銊	sjur	
銍	tir	
銖	sju	
銘	mjeŋ	
銙	kwa	
銜	ham	
銲	han	
銳	jei	
銷	sjo	
銹	sju	
銼	tsʰa	
鋈	ok	
鋏	hjep	
鋜	tsʰak	
鋤	se	
鋥	tjeŋ	
鋩	maŋ	
鋪	pʰu	
鋪	pu	
鋸	ke	
錐	tsʰju	
錐	tsʰjo	
錔	tap	
錘	tʰju	
錛	pun	
錡	kɨi	
錢	tsjen	
錤	kɨi	
錦	kɨm	
錫	sjek	
錮	ko	
錯	tso	
錯	tsʰak	
鍇	həi	
鍉	si	
鍊	rjen	
鍋	kwa	
鍋	wa	
鍋	ko	
鍍	to	
鍔	ak	
鍛	tan	
鍤	sap	
鍥	kjer	
鍪	mo	
鍬	tsʰjo	
鍭	hu	
鍮	tʰo	
鍮	tju	
鍵	ken	
鍼	tsʰim	
鎖	soi	
鎖	swa	
鎖	swai	
鎖	sa	
鎚	tʰoi	
鎞	pi	
鎡	tsə	
鎧	kai	
鎮	tin	
鏃	tsok	
鏊	o	
鏑	tjek	
鏗	kəiŋ	
鏚	tsʰjek	
鏝	man	
鏟	san	
鏡	kjeŋ	
鏤	ru	
鏵	hwa	
鐃	njo	
鐃	jo	
鐋	tʰaŋ	
鐏	tson	
鐐	rjo	
鐕	tsəm	
鐕	tsam	
鐙	tɨŋ	
鐫	tsjen	
鐮	rjem	
鐮	kjem	
鐵	tʰjer	
鐸	tʰak	
鐺	tʰəiŋ	
鐺	taŋ	
鑄	tsu	
鑊	hwak	
鑑	kam	
鑞	rap	
鑢	rje	
鑣	pʰjo	
鑰	jak	
鑷	njep	
鑹	tsʰan	
鑼	ra	
鑼	ro	
鑽	tsʰan	
鑿	tsʰak	
钁	hwak	
長	tjaŋ	
門	mun	
閃	sjen	
閉	pʰjei	
開	kəi	
閏	zjun	
閑	han	
間	kan	
間	han	
閔	min	
閣	kak	
閤	hap	
閨	kju	
閫	kon	
閭	rje	
閱	jer	
閹	em	
閻	jem	
閻	zjem	
閽	hon	
閾	jek	
闇	am	
闈	ui	
闊	kʰwar	
闋	kjer	
闍	sja	
闍	tsja	
闑	er	
闕	kwer	
闖	tʰɨm	
闚	kju	
關	kwan	
闡	tsʰjen	
闢	pjek	
闥	tar	
阜	pu	
阪	pan	
阮	wan	
阱	tsjeŋ	
防	paŋ	
阸	əik	
阻	tso	
阼	tso	
阿	a	
陀	ta	
陀	tʰa	
陂	pʰi	
附	pu	
陋	ru	
陌	məik	
降	kaŋ	
降	haŋ	
限	hən	
陛	pʰjei	
陞	sɨŋ	
院	wen	
陣	tin	
除	tje	
除	tjei	
陪	pəi	
陰	am	
陰	ɨm	
陳	tin	
陵	rɨŋ	
陶	to	
陶	jo	
陷	ham	
陸	rjuk	
陽	jaŋ	
隅	u	
隆	rjuŋ	
隈	oi	
隊	təi	
隊	tʰju	
隋	sju	
隍	hwaŋ	
階	kjei	
隔	kjek	
隕	un	
隘	əi	
隘	əik	
隙	kɨk	
際	tsjei	
障	tsjaŋ	
隧	sju	
隨	sjui	
隨	sju	
險	hem	
隱	ɨn	
隱	on	
隸	jei	
隹	tsʰjo	
隻	tsʰjek	
隼	tsjun	
雀	tsjak	
雄	uŋ	
雅	a	
集	tsip	
雇	ko	
雉	tʰi	
雊	ku	
雊	hu	
雌	tsə	
雎	tsje	
雕	tjo	
雖	sju	
雘	hwak	
雙	saŋ	
雙	swaŋ	
雛	tsʰu	
雜	tsap	
雞	kjei	
離	ri	
難	nan	
難	ran	
雨	u	
雩	u	
雪	sjer	
雲	un	
零	rjeŋ	
雷	roi	
雹	pak	
電	tjen	
霄	sjo	
震	tsin	
霍	kwak	
霓	jei	
霓	jer	
霓	ŋjer	
霖	rim	
霜	saŋ	
霞	ha	
霧	mu	
霰	sjen	
露	ro	
霸	pʰai	
霹	pjek	
霽	tsjei	
霾	məi	
靂	rjek	
靈	rjeŋ	
青	tsʰjeŋ	
青	tsʰiŋ	
靖	tsjeŋ	
靜	tsjeŋ	
非	pi	
靠	ko	
靡	ma	
靡	mi	
面	mjen	
靦	tjen	
革	hjek	
靫	tsʰa	
靮	tjek	
靳	kɨn	
靴	hwa	
靴	hwe	
靶	pʰa	
靼	tsjer	
靾	jei	
靾	tʰjei	
鞁	pʰi	
鞋	həi	
鞋	hjei	
鞍	an	
鞓	tjeŋ	
鞔	man	
鞘	sjo	
鞘	so	
鞚	koŋ	
鞞	pi	
鞟	kwak	
鞠	kuk	
鞦	tsʰju	
鞦	tsju	
鞧	tsʰju	
鞬	ken	
鞭	pʰjen	
鞴	po	
鞹	kwak	
鞽	kjo	
鞿	kɨi	
韁	kaŋ	
韂	tsʰjem	
韃	tar	
韆	tsʰjen	
韈	mar	
韋	ui	
韓	han	
韔	tʰjaŋ	
韘	sjep	
韛	pʰai	
韜	to	
韝	ku	
韞	on	
韣	tok	
韭	ku	
韲	tsjei	
音	ɨm	
韶	sjo	
韻	un	
響	hjaŋ	
頂	tjeŋ	
頂	tiŋ	
頃	kjeŋ	
項	haŋ	
順	sjun	
須	sju	
預	jei	
頑	wan	
頒	pan	
頓	ton	
頓	tun	
頗	pʰa	
領	rjeŋ	
領	riŋ	
頡	hir	
頤	i	
頦	həi	
頭	tʰo	
頭	tu	
頰	hjep	
頷	ham	
頸	kjeŋ	
頹	tʰoi	
頼	roi	
顁	tjeŋ	
顋	sɨi	
題	tjei	
額	əik	
顎	ak	
顏	an	
顓	tsjen	
顖	sin	
願	wen	
顙	saŋ	
顛	tjen	
類	rju	
顥	ho	
顧	ko	
顪	hwei	
顯	hjen	
顱	ro	
顴	kwan	
風	pʰuŋ	
飄	pʰjo	
飛	pi	
食	sə	
食	sik	
食	si	
飢	kɨi	
飣	tjeŋ	
飥	tʰak	
飧	son	
飧	tsʰan	
飩	ton	
飪	zim	
飫	e	
飭	tʰik	
飯	pan	
飯	pʰan	
飲	ɨm	
飲	nim	
飴	i	
飼	sə	
飽	pʰo	
飾	sik	
餅	pjeŋ	
餅	piŋ	
餈	tsə	
餈	tsʰə	
餉	hjaŋ	
養	jaŋ	
餌	zi	
餐	tsʰan	
餒	noi	
餒	roi	
餓	a	
餕	san	
餖	tu	
餗	sok	
餘	je	
餛	hon	
餞	tsjen	
餡	ham	
餧	ui	
館	kwan	
餫	un	
餮	tʰjer	
餲	ai	
餳	sjeŋ	
餺	pak	
餻	ko	
餼	hɨi	
餾	rju	
饁	njep	
饅	man	
饈	sju	
饉	kɨn	
饊	san	
饋	kwei	
饌	tsʰan	
饐	ei	
饑	kɨi	
饒	zjo	
饕	to	
饗	hjaŋ	
饘	tsjen	
饙	pun	
饞	tsʰam	
首	sju	
馘	koik	
香	hjaŋ	
馥	pok	
馨	hjeŋ	
馬	ma	
馭	e	
馮	piŋ	
馮	pʰuŋ	
馳	tʰi	
駄	tʰa	
駒	ku	
駕	ka	
駙	pu	
駝	tʰa	
駟	sə	
駢	pjeŋ	
駭	həi	
駱	rak	
駸	tsʰim	
騂	sjeŋ	
騃	əi	
騃	ai	
騍	kwa	
騎	kɨi	
騙	pʰjen	
騣	tsoŋ	
騧	wa	
騫	ken	
騰	tɨŋ	
騲	tsʰo	
騸	sjen	
騾	ra	
騾	ro	
驀	məik	
驅	ku	
驐	ton	
驕	kjo	
驗	hem	
驚	kjeŋ	
驛	jek	
驝	tʰak	
驢	rje	
驢	ro	
驤	jaŋ	
驥	kɨi	
骨	kor	
骭	han	
骰	tʰu	
骲	pak	
骴	tsə	
骸	həi	
骹	kjo	
骼	kak	
髀	pi	
髇	ho	
髏	ru	
髑	tok	
髓	sju	
體	tʰjei	
高	ko	
髢	tʰjei	
髭	tsə	
髮	par	
髯	zjem	
髲	pʰi	
髻	kjei	
髽	tswa	
鬉	tsoŋ	
鬍	ho	
鬐	ki	
鬘	man	
鬚	sju	
鬟	hwan	
鬢	piŋ	
鬣	rjep	
鬧	njo	
鬨	hoŋ	
鬪	tʰu	
鬮	ku	
鬱	ur	
鬵	sim	
鬻	rjuk	
鬻	juk	
鬼	kui	
魁	koi	
魂	hon	
魄	pəik	
魅	məi	
魋	tʰoi	
魍	maŋ	
魎	rjaŋ	
魏	ui	
魑	ri	
魔	mai	
魔	ma	
魚	e	
魨	ton	
魯	ro	
魴	paŋ	
魺	ha	
鮀	tʰa	
鮎	njem	
鮎	tjem	
鮎	tsjem	
鮑	pʰjo	
鮒	pu	
鮓	tsa	
鮮	sjen	
鯉	ri	
鯊	sa	
鯔	tsʰɨi	
鯖	tsʰjeŋ	
鯢	jei	
鯨	kjeŋ	
鯹	sjeŋ	
鯽	tsɨk	
鰋	en	
鰍	tsʰju	
鰒	pak	
鰒	pok	
鰕	ha	
鰱	rjen	
鰳	rɨk	
鰷	tjo	
鰻	man	
鰾	pʰjo	
鱉	pjer	
鱔	sjen	
鱖	kwer	
鱗	rin	
鱣	tsjen	
鱧	rjei	
鱧	tʰjei	
鱸	ro	
鱺	ri	
鳥	tjo	
鳦	ɨr	
鳧	pu	
鳩	ku	
鳲	si	
鳳	poŋ	
鳴	mjeŋ	
鳶	jen	
鴈	an	
鴉	a	
鴉	ja	
鴒	rjeŋ	
鴛	wen	
鴞	hjo	
鴟	tʰəi	
鴟	tsʰi	
鴡	tsje	
鴦	aŋ	
鴨	ap	
鴶	ar	
鴷	rjer	
鴻	hoŋ	
鴿	hap	
鵂	hju	
鵑	kjen	
鵓	pər	
鵚	tok	
鵜	tjei	
鵝	a	
鵠	kok	
鵡	mu	
