"例字"	"中古音"	"电白龙山海话"	"罗定漳州话"	"湛江雷州黎话"	"吴川兰石东话"	"说明：兰石东话 阴平 33 家多初开 阳平 22 牙河图鱼 阴上 31 左把假女 阳上 42 午谢异硬 阴去 44 化废放布 阴入 5 发括得绩 阳入 2 活越贼局 升降调 453 之爸血百"
"浮"	"流开三平尤奉"	"pʰu22"	"pʰu24"	"pʰu22/ɓɛu22"	"pʰy22"	
"妇"	"流开三上有奉"	"hu42"	"wou451"	"hu453"	"fu42"	
"谋"	"流开三平尤明"	"mau22"	"ɓau22"	"mɛu22"	"mou22"	
"矛"	"流开三平尤明"	"mau22"	"ɓau22"	"mau22"	"mau22"	
"纽"	"流开三上有泥"	"nau31"	"liu451"	"niu33"	"nɛu42"	
"流"	"流开三平尤来"	"lau22"	"lau24"	"lau22"	"lau22"	
"刘"	"流开三平尤来"	"lau22"	"lau24"	"lau22"	"lau22"	
"留"	"流开三平尤来"	"lau22"	"lau24"	"lau22"	"lau22"	
"柳"	"流开三上有来"	"lɛu31"	"lau451"	"liu33"	"lau31"	
"酒"	"流开三上有精"	"ʦiu31"	"ʦiu451"	"ʦiu41"	"ʦiu31"	
"秋"	"流开三平尤清"	"tsʰiu33"	"tsʰiu45"	"tsʰiu24"	"siu33"	
"就"	"流开三去宥从"	"ʦiu42"	"ʦiu443"	"ʦiu33"	"tou42"	
"修"	"流开三平尤心"	"ɬiu33"	"siu45"	"siu24"	"ɬiu33"	
"绣"	"流开三去宥心"	"ɬiu44"	"sou31"	"siu21"	"ɬou44"	
"袖"	"流开三去宥邪"	"ɬiu53/ui31"	"ʦiu443"	"tsʰiu21/ui453"	"siu33"	
"昼"	"流开三去宥知"	"tsʰiu33"	"——"	"ʦiu453"	"ɗau44"	
"抽"	"流开三平尤彻"	"tsʰiu33"	"tsʰiu45"	"tsʰiu24"	"sou33"	
"绸"	"流开三平尤澄"	"tsʰiu22"	"tsʰou24"	"tiu22"	"sou22"	
"皱"	"流开三去宥庄"	"niɛu44"	"niau31"	"niau33"	"niɛu44"	
"愁"	"流开三平尤崇"	"ɬau22"	"tsʰe451"	"tsʰɛu22"	"ɬou22"	
"搜"	"流开三平尤生"	"tsʰieu33"	"tsʰiu55"	"sɛu41"	"tʰa33"	
"瘦"	"流开三去宥生"	"ɬaŋ31"	"san451"	"saŋ41"	"ɬaŋ33"	
"周"	"流开三平尤章"	"ʦiu33"	"ciu45"	"ʦiu24"	"ʦiu33"	
"州"	"流开三平尤章"	"ʦiu33"	"ʦiu45"	"ʦiu24"	"ʦiu33"	
"帚"	"流开三上有章"	"ʦiu31"	"ʦau451"	"tsʰiu41"	"siu31"	
"咒"	"流开三去宥章"	"ʦiu44"	"ʦau31"	"ʦiu21"	"tou5"	
"臭"	"流开三去宥昌"	"tsʰiɛu44"	"tsʰau31"	"tsʰiau21"	"sou44"	
"收"	"流开三平尤书"	"ɬiu33"	"siu45"	"siu24"	"ɬiu33"	
"手"	"流开三上有书"	"tsʰiu31"	"tsʰiu451"	"tsʰiu41"	"siu31"	
"守"	"流开三上有书"	"ɬiu31"	"ʦiu451"	"siu41"	"ɬiu31"	
"仇"	"流开三平尤禅"	"tsʰiu22"	"tsʰiu24"	"tsʰiu22"	"ɬou22"	
"受"	"流开三上有禅"	"ɬiu42"	"siu443"	"siu33"	"ɬou42"	
"寿"	"流开三去宥禅"	"ɬiu42"	"siu443"	"siu33"	"ɬou42"	
"阄"	"流开三平侯见"	"kʰɛu453"	"——"	"kʰau24/kiu453"	"kʰou33"	
"九"	"流开三上有见"	"kau31"	"kau451"	"kau41"	"kau31"	
"久"	"流开三上有见"	"ku31"	"ku451"	"ku41"	"ku31"	
"救"	"流开三去宥见"	"kiu44"	"kiu31"	"kiu21"	"kiu44"	
"丘"	"流开三平尤溪"	"kʰiu33"	"iu45"	"kʰu24/kʰiu24"	"fu33/kʰiu33"	
"球"	"流开三平尤群"	"kʰiu22"	"kʰiu24"	"kʰiu22"	"kʰou22"	
"舅"	"流开三上有群"	"ku42"	"ku443"	"ku33"	"ky42"	
"旧"	"流开三去宥群"	"ku33"	"ku443"	"ku24"	"ky33"	
"牛"	"流开三平尤晓"	"ku22"	"wu24"	"ɓu22/niu22"	"ky22"	
"休"	"流开三平尤晓"	"hiu33"	"iu45"	"hiu24"	"hou453"	
"忧"	"流开三平尤影"	"iɛu33"	"iu45"	"iu24"	"iɐu33"	
"有"	"流开三上有云"	"u42"	"u443"	"iu453"	"y31"	
"右"	"流开三去宥云"	"iu42"	"iu24"	"iu33"	"jiou42"	
"油"	"流开三平尤以"	"iu22"	"iu24"	"iu22"	"iu22"	
"彪"	"流开三平幽帮"	"piɛu33"	"pye45"	"piau24"	"ɓiu453"	
"纠"	"流开三上黝见"	"kiɛu31"	"tau451"	"kiu41"	"ɗou31"	
"幼"	"流开三去幼影"	"iu44"	"iu31"	"iu22"	"iu44"	
"答"	"咸开一入合端"	"ta53"	"ta451"	"tap5"	"ɗa453"	
"搭"	"咸开一入合端"	"ta53"	"ta451"	"ta453/tap5"	"ɗa453"	
"贪"	"咸开一平覃透"	"tʰam33"	"tʰam45"	"tʰam24"	"tʰam33"	
"探"	"咸开一去勘透"	"tʰam44"	"tʰam31"	"tʰam21"	"tʰam44"	
"踏"	"咸开一入合透"	"ta42"	"ta443"	"ta33"	"ɗa42"	
"潭"	"咸开一平覃定"	"tʰam22"	"tʰam24"	"tʰam22"	"tʰam22"	
"男"	"咸开一平覃泥"	"nam22"	"nam24"	"nam22"	"nam22"	
"纳"	"咸开一入合泥"	"nap2"	"na443"	"nap5"	"nap2"	
"参～加"	"咸开一平覃清"	"tsʰam33"	"tsʰam45"	"tsʰam24"	"sam33"	
"蚕"	"咸开一平覃从"	"tsʰam22"	"tsʰam24"	"tsʰam22"	"sam22"	
"三"	"咸开一平谈心"	"ɬa33"	"sa45"	"sa24"		
"杂"	"咸开一入合从"	"ʦap2"	"ʦap2"	"ʦap2"	"tap2"	
"感"	"咸开一上感见"	"kam31"	"kim451"	"kam41"	"kam31"	
"鸽"	"咸开一入合见"	"kap5"	"kap5"	"kap5"	"kap5"	
"含"	"咸开一平覃匣"	"ham22"	"kam24"	"ham22"	"kam22"	
"合"	"咸开一入合匣"	"hap2"	"hap2"	"hap2"	"ap2"	
"暗"	"咸开一去勘影"	"am44"	"am31"	"am21/im24"	"am44"	
"担担～"	"咸开一平谈端"	"tam33"	"ta31"	"ta24"	"ɗa33"	
"胆"	"咸开一上敢端"	"ta31"	"ta451"	"ta41"	"ɗa31"	
"担挑～"	"咸开一去阚端"	"ta33"	"ta45"	"ta21"	"ɗa44"	
"塌"	"咸开一入盍透"	"tʰa33"	"tʰap5"	"tʰap5"	"tʰap5"	
"塔"	"咸开一入合透"	"tʰa53"	"tʰap5"	"tʰa453"	"tʰa453"	
"痰"	"咸开一平谈定"	"tʰam22"	"tʰam22"	"tam33"	"tʰam22"	
"淡"	"咸开一上敢定"	"tam42/ʦia31"	"ʦia451"	"tam33/ʦia41"	"tʰam42"	
"篮"	"咸开一平谈来"	"lam22"	"na24"	"na22"	"na22/lam22"	
"腊"	"咸开一入盍来"	"la42"	"la443"	"liap5"	"la42"	
"蜡"	"咸开一入盍来"	"la42"	"la443"	"liap5/la33"	"la42"	
"甘"	"咸开一平谈见"	"kam33"	"kim45"	"kam24"	"kɐm33"	
"柑"	"咸开一平谈见"	"kam33"	"kim45"	"kam24/ka24"	"kɐm33"	
"敢"	"咸开一上敢见"	"kam31/ka31"	"ka451"	"ka41"	"ka31"	
"喊"	"咸开一上敢晓"	"ham44"	"hiam443"	"ham22"	"ham44"	
"站车～"	"咸开二去陷澄"	"ʦam42"	"ʦam31"	"tsʰam33"	"tam44"	
"赚"	"咸开二去陷澄"	"ʦaŋ42"	"tʰan31"	"ʦuaŋ33"	"taŋ42"	
"斩"	"咸开二上兼庄"	"ʦam31"	"ʦam31"	"tsam41"	"tam31"	
"插"	"咸开二入洽初"	"tsʰa53"	"tsʰa451"	"tsʰa453"	"sa453"	
"杉"	"咸开二平咸生"	"tsʰam44"	"tsʰam451"	"siam24/sam24"	"sam33"	
"减"	"咸开二上敢见"	"kam31"	"kiem451"	"kiam41"	"kam31"	
"咸"	"咸开二平咸匣"	"kiam22"	"kiam24"	"kiam22/ham22"	"kiam22"	
"狭"	"咸开二入洽匣"	"kʰiap2"	"hap2"	"hiap5/oi33"	"kʰiap5"	
"衫"	"咸开二平衔生"	"ɬa33"	"sa451"	"sa24"	"sa33"	
"甲"	"咸开二入狎见"	"ka53"	"ka451"	"ka453"	"ka453"	
"衔"	"咸开二平衔匣"	"hiŋ22/ka42"	"ka21"	"kam22"	"kam22"	
"舰"	"咸开二上槛匣"	"lam33"	"lam24"	"lam453"	"lam33"	
"鸭"	"咸开二入狎影"	"a53"	"a451"	"a453/ap5"	"a453"	
"压"	"咸开二入狎影"	"ak5"	"at2"	"a453"	"ak5"	
"贬"	"咸开三上琰帮"	"——"	"pien451"	"piɛŋ41"	"——"	
"粘～性"	"咸开三平盐泥"	"ʦiam33"	"li24"	"ʦiam24/nak5"	"ʦɛm33"	
"镰"	"咸开三平盐来"	"liam22"	"liam24"	"siap5"	"liam22"	
"猎"	"咸开三入叶来"	"lik2"	"liap2"	"liap2"	"lip2"	
"尖"	"咸开三平盐精"	"ʦiam53"	"ʦiam45"	"ʦiam24"	"ʦɐm453"	
"接"	"咸开三入叶精"	"ʦi53"	"ʦi451"	"ʦiap5"	"ʦi453"	
"签"	"咸开三平盐清"	"ʦiam33"	"tsʰiam45"	"tsʰiam24"	"sɐm33"	
"占～领"	"咸开三入叶章"	"ʦiam44"	"ʦiam31"	"ʦiam24"	"ʦɐm44"	
"闪"	"咸开三上琰书"	"ɬiam31"	"siam451"	"siam453"	"ɬiam31"	
"染"	"咸开三上琰日"	"im31"	"ni451"	"jiam41"	"ȵi42"	
"检"	"咸开三上琰见"	"kiam31"	"kiam451"	"kiam41"	"kiam31"	
"钳"	"咸开三平盐群"	"kʰiam22"	"kʰiam24"	"kʰiam22"	"kʰiam22"	
"验"	"咸开三去艳疑"	"niam42"	"niem443"	"niam33"	"ȵim42"	
"险"	"咸开三上琰晓"	"hiam31"	"hiem451"	"hiam33"	"hiam31"	
"厌"	"咸开三去艳影"	"iam44"	"iam31"	"iam21"	"iam44"	
"盐"	"咸开三平盐以"	"iam22"	"iam24"	"jiam22"	"iam22"	
"檐"	"咸开三平盐以"	"im22"	"iem24"	"siam22"	"jiam22"	
"叶"	"咸开三入叶以"	"hiɛu42"	"hyo443"	"jiap2"	"hiɔ42/jip2"	
"剑"	"咸开三去酽见"	"kiam44"	"kiam31"	"kiam21"	"kiam44"	
"欠"	"咸开三去酽溪"	"kʰiam44"	"kʰiam31"	"kʰiam21"	"hiam44"	
"严"	"咸开三平严疑"	"ŋiam22"	"niam443"	"niam22"	"jim22"	
"业"	"咸开三入业疑"	"ŋiap2"	"jiep2"	"niap5"	"ȵip2"	
"点"	"咸开四上忝端"	"tiam31"	"tiam451"	"tiam41"	"ɗiam31"	
"店"	"咸开四去端"	"tiam44"	"tiam31"	"tiam21"	"ɗiam44"	
"跌"	"咸开四入帖端"	"pua42"	"tiet5"	"pua33/tiap5"	"ɗap2/ɗak2"	
"蝶"	"咸开四入帖定"	"tiap2"	"tiap2"	"tiap5"	"ɗip2"	
"添"	"咸开四平添透"	"tʰiam33/tʰim453"	"tʰi45"	"tʰiam24"	"kʰiam33"	
"贴"	"咸开四入帖透"	"tʰiap5"	"tʰiap5"	"nak5"	"kʰiap5"	
"帖"	"咸开四入帖透"	"tʰiap5"	"tʰiap5"	"tʰiap5"	"kʰiap5"	
"甜"	"咸开四平添定"	"tiam22"	"ti24"	"tiam22"	"ɗiam22"	
"叠"	"咸开四入帖定"	"tʰiap2"	"tiet2"	"tʰa33"	"kʰiap5"	
"拈"	"咸开四平添泥"	"——"	"li45"	"ʦiam24"	"niam453"	
"念"	"咸开四去㮇泥"	"niam33"	"niam443"	"niam24"	"niam44"	
"兼"	"咸开四平添见"	"kiam33"	"kiam45"	"kʰiam24"	"kiam33"	
"谦"	"咸开四平添溪"	"kʰiam33"	"hiam45"	"kʰiam24"	"hiam33"	
"嫌"	"咸开四平添匣"	"hiam22"	"iam24"	"hiam22"	"hiam22"	
"协"	"咸开四入帖匣"	"hiap2"	"hiap5"	"hiap5"	"hip2"	
"凡"	"咸合三平凡奉"	"huaŋ22"	"huon443"	"ɓaŋ22"	"faŋ22"	
"犯"	"咸合三平凡奉"	"huaŋ42"	"huon443"	"ɓaŋ33"	"faŋ42"	
"乏"	"咸合三入乏奉"	"huak2"	"huot5"	"ɓak5"	"fak2"	
"法"	"咸合三入乏非"	"huak5"	"huot5"	"ɓak5"	"fak5"	
"泛"	"咸合三去梵敷"	"huaŋ42"	"huon443"	"ɓaŋ21"	"faŋ44"	
"品"	"深开三上寝滂"	"pʰiŋ31"	"pin451"	"piɛŋ41"	"pʰən31"	
"林"	"深开三平侵来"	"lim22"	"lim24"	"lim22"	"lɐm22"	
"笠"	"深开三入缉来"	"lip2/lip5"	"lap5"	"lip5/loi33"	"——"	
"粒"	"深开三入缉来"	"liap2"	"liap2"	"liap2/lip5"	"liap2"	
"浸"	"深开三去沁精"	"ʦim44"	"tsim31"	"ʦim21"	"ʦim44"	
"集"	"深开三入缉从"	"ʦip2"	"ʦap2"	"ʦik5"	"tɐp2"	
"心"	"深开三平侵心"	"ɬim33"	"sim45"	"sim24"	"ɬim33"	
"寻"	"深开三入侵邪"	"tsʰim22"	"tsʰye443"	"tsʰim22"	"ɬun22"	
"习"	"深开三入缉邪"	"tsʰip2"	"ʦap2"	"ʦip5"	"tɐp2"	
"沉"	"深开三平侵澄"	"tʰiam22"	"tiam24"	"tʰiam22/tsʰim22"	"kʰiam22"	
"参人～"	"深开三平侵生"	"tsʰam33"	"tsʰam45"	"sɛm24"	"sam33"	
"森"	"深开三平侵生"	"tsʰim33"	"sim45"	"sɛm22/sim22"	"——"	
"针"	"深开三平侵章"	"ʦiam33"	"ʦiam45"	"ʦiam24"	"ʦɐm33"	
"汁"	"深开三入缉章"	"ʦiap5"	"ʦiap5"	"ʦiap5"	"ʦɐp5"	
"深"	"深开三平侵书"	"tsʰim33"	"tsʰim45"	"ʦim24"	"sim33"	
"沈"	"深开三上寝书"	"ɬim31"	"——"	"sim41"		
"湿"	"深开三入缉书"	"ɬip5"	"tam22"	"tam22"	"ɬɐp5"	
"十"	"深开三入缉禅"	"ʦap2"	"ʦap2"	"ʦap2/sip5"	"tap2"	
"任责～"	"深开三去沁日"	"im42"	"nim443"	"jim453"	"ȵiɐm42"	
"入"	"深开三入缉日"	"ip2"	"jip2"	"ip2/ip5"	"jip2"	
"金"	"深开三平侵见"	"kim33"	"kim45"	"kim24"	"kim33"	
"锦"	"深开三上寝见"	"kim31"	"kim451"	"kim33"	"kɐm31"	
"禁～止"	"深开三去沁见"	"kim44"	"kim31"	"kim21"	"kim44"	
"急"	"深开三入缉见"	"kip5"	"kip5"	"kɛŋ41/kʰip5"	"kip5"	
"级"	"深开三入缉见"	"kʰip5"	"kʰip5"	"kʰip5"	"kʰɐp5"	
"琴"	"深开三平侵群"	"kʰiŋ22"	"kʰim24"	"kʰim22"	"kʰɐm22"	
"及"	"深开三入缉群"	"kip2"	"kiap2"	"kip5"	"kʰɛp2"	
"吸"	"深开三入缉晓"	"kʰip5"	"kʰip5"	"kʰip5"	"kʰɐp5"	
"阴"	"深开三平侵影"	"im33"	"im45"	"im24"	"jim33"	
"单"	"山开一平寒端"	"taŋ33"	"tua45"	"taŋ24"	"ɗu33/ɗaŋ33"	
"摊"	"山开一平寒透"	"tʰaŋ33"	"tʰan45"	"tʰaŋ453"	"tʰaŋ453"	
"炭"	"山开一去翰透"	"tʰua44"	"tʰua31"	"tʰua21"	"tʰu33"	
"弹～琴"	"山开一平寒定"	"taŋ22"	"tʰan24"	"tʰaŋ22/tua22"	"tʰaŋ22"	
"蛋"	"山开一去翰定"	"nui42"	"nui443"	"taŋ453/nui33"	"ɗaŋ33"	
"达"	"山开一入曷定"	"tak2"	"tat2"	"tak5"	"ɗak2"	
"难～易"	"山开一平寒泥"	"naŋ22"	"nan24"	"naŋ22"	"naŋ22"	
"兰"	"山开一平寒来"	"laŋ22"	"lan31"	"laŋ22"	"na22/laŋ22"	
"懒"	"山开一上旱来"	"laŋ31"	"lan451"	"laŋ22/tua33"	"laŋ31"	
"烂"	"山开一去翰来"	"nua33"	"nua443"	"nua24"	"nu33"	
"辣"	"山开一入曷来"	"lua42"	"lua443"	"lua33"	"lu42/lak2"	
"赞"	"山开一去翰精"	"ʦaŋ44"	"tʰan31"	"ʦaŋ21"	"taŋ44"	
"餐"	"山开一平寒清"	"tsʰaŋ44"	"tui31"	"tsʰaŋ453/tui21"	"saŋ453"	
"擦"	"山开一入曷清"	"tsʰit5"	"tsʰat5"	"tsʰua453"	"su453"	
"残"	"山开一平寒从"	"tsʰaŋ22"	"tsʰan24"	"tsʰaŋ22"	"saŋ22"	
"伞"	"山开一上旱心"	"ɬua44"	"sua31"	"saŋ41"	"ɬu44"	
"散分～"	"山开一去翰心"	"ɬua44"	"sua451"	"sua41"	"ɬu44"	
"肝"	"山开一平寒见"	"kua33"	"kua45"	"ko24"	"ku33"	
"杆"	"山开一上旱见"	"pia44"	"——"	"kaŋ41"	"kɔ33"	
"干～杯"	"山开一去翰见"	"kaŋ33"	"kan31"	"kaŋ24"	"kɔŋ453"	
"割"	"山开一入曷见"	"kua53"	"kua451"	"kua453/kak5"	"ku453"	
"看～见"	"山开一去翰溪"	"kʰam22"	"kʰua31"	"kʰaŋ453/kʰua453"	"oŋ44"	
"岸"	"山开一去翰疑"	"ŋaŋ42"	"ŋuon443"	"ŋaŋ33"	"ɔŋ42"	
"汉"	"山开一去翰匣"	"haŋ44"	"han31"	"haŋ21"	"hɔŋ44"	
"寒"	"山开一平寒匣"	"kua22"	"kua24"	"kua22"	"ku22/hɔŋ22"	
"旱"	"山开一上旱匣"	"ua42"	"ua443"	"haŋ33/ua33"	"u42"	
"汗"	"山开一去翰匣"	"kua33"	"kua443"	"haŋ33"	"ku33"	
"安"	"山开一平寒影"	"ŋaŋ33"	"an45"	"aŋ24"	"u33/ɔŋ33"	
"案"	"山开一去裥影"	"ua44"	"an31"	"ua21"	"u44/ɔŋ44"	
"扮"	"山开二去裥帮"	"paŋ42"	"pan443"	"paŋ453"	"ɓaŋ42"	
"八"	"山开二入黠帮"	"pɔi53"	"pye451"	"poi453/pak5"	"ɓɛi453"	
"办"	"山开二去裥并"	"paŋ42"	"pan443"	"paŋ33"	"ɓaŋ42"	
"拔"	"山开二入黠并"	"pɔi42"	"ɓaŋ451"	"puak5"	"ɗən33"	
"抹"	"山开二入黠明"	"mak5"	"ɓua451"	"muak5"	"mak5"	
"盏"	"山开二上产庄"	"ʦaŋ31"	"ʦan451"	"ʦaŋ41"	"taŋ31"	
"铲"	"山开二上产初"	"tsʰaŋ31"	"tsʰan451"	"tsʰaŋ41"	"saŋ31"	
"察"	"山开二入黠初"	"tsʰak5"	"tsʰat2"	"tsʰak5"	"sak5"	
"山"	"山开二平山生"	"ɬua33"	"sua45"	"sua24"	"ɬu33"	
"产"	"山开二上产生"	"ɬaŋ33"	"tsʰan451"	"saŋ41"	"saŋ31"	
"杀"	"山开二入黠生"	"ɬak5"	"tʰai45"	"sua453"	"ɬu453"	
"间中～"	"山开二平山见"	"kaŋ33/kai33"	"kan45"	"kɛŋ24"	"kai33/kaŋ33"	
"拣"	"山开二上产见"	"kai31"	"kan451"	"kai41"	"kai31"	
"眼"	"山开二上产疑"	"ŋaŋ31/ŋai31"	"ɓak2"	"ŋai41"	"ŋai31"	
"闲"	"山开二平山匣"	"ai22"	"eiŋ24"	"ai22"	"ai22"	
"限"	"山开二上产匣"	"haŋ42"	"han443"	"haŋ453"	"haŋ42"	
"苋"	"山开二去裥匣"	"haŋ42"	"i443"	"hiɛŋ453"	"——"	
"班"	"山开二平删帮"	"paŋ33"	"pan45"	"baŋ24"	"ɓaŋ33"	
"板"	"山开二上潸帮"	"pai31/paŋ31"	"pan451"	"bai41"	"ɓai31/ɓaŋ31"	
"蛮野～"	"山开二平删明"	"maŋ22"	"ɓan24"	"maŋ22"	"maŋ22"	
"慢"	"山开二去谏明"	"maŋ33"	"——"	"maŋ24"	"maŋ33"	
"奸"	"山开二平删见"	"kaŋ33"	"kan45"	"kaŋ24"	"kaŋ33"	
"颜"	"山开二平删疑"	"aŋ22"	"ŋan443"	"ŋaŋ22"	"ŋaŋ22"	
"瞎"	"山开二入鎋晓"	"——"	"——"	"——"	"——"	
"晏"	"山开二去谏影"	"am44"	"ua31"	"ua41"	"ku44"	
"鞭"	"山开三平仙帮"	"pi33"	"pi45"	"piɛŋ24"	"——"	
"变"	"山开三去线帮"	"piŋ44"	"pi31"	"piɛŋ21"	"ɓin44"	
"偏"	"山开三平仙滂"	"pʰiŋ33"	"pʰien45"	"pʰiɛŋ24"	"——"	
"骗"	"山开三去线滂"	"pʰiŋ44"	"pʰien31"	"pʰiɛŋ21"	"pʰin44"	
"辩"	"山开三上狝并"	"piŋ42"	"pan443"	"piɛŋ453"	"ɓin42"	
"别"	"山开三入薛并"	"pit2"	"piet2"	"piɛk2"	"ɓit2"	
"棉"	"山开三平仙明"	"mi22"	"ɓien22"	"mi33"	"min22"	
"免"	"山开三上狝明"	"miŋ31"	"ɓien451"	"miɛŋ41"	"min31"	
"面～上"	"山开三去线明"	"miŋ33"	"ɓin443"	"miɛŋ24"	"min33"	
"灭"	"山开三入薛明"	"mit2"	"ɓiet2"	"miɛk2"	"mit2"	
"连"	"山开三平仙来"	"liŋ22"	"lien22"	"liɛŋ22"	"lyn22"	
"裂"	"山开三入薛来"	"lik2"	"li443"	"liɛk2"	"li453"	
"煎"	"山开三平仙精"	"ʦi44"	"ʦien31"	"ʦi24"	"ʦi33"	
"剪"	"山开三上狝精"	"ka33"	"ʦien451"	"ka24"	"ka33"	
"箭"	"山开三去线精"	"ʦi44"	"ʦien31"	"ʦi21"	"ʦi44"	
"迁"	"山开三平仙清"	"tsʰiŋ33"	"tsʰien45"	"tsʰiɛŋ24"	"sin33"	
"浅"	"山开三上狝清"	"tsʰiŋ31"	"tsʰien451"	"tsʰiɛŋ21"	"kʰin31"	
"钱"	"山开三平仙从"	"ʦi22"	"ʦi24"	"ʦi22"	"ʦi22"	
"贱"	"山开三去线从"	"ʦiŋ42"	"ʦien443"	"ʦiɛŋ33"	"ʦyn42"	
"仙"	"山开三平仙心"	"ɬiŋ33"	"sien45"	"siɛŋ24"	"ɬyn33"	
"癣"	"山开三上狝心"	"tsʰua31"	"sien451"	"siɛŋ41"	"ɬyn31"	
"线"	"山开三去线心"	"ɬua44"	"sua31"	"sua21"	"ɬu44"	
"薛"	"山开三入薛心"	"ɬia33"	"siet5"	"soi453"	"——"	
"展"	"山开三上狝知"	"ʦiŋ31"	"ʦien451"	"ʦiɛŋ41"	"ʦin31"	
"缠"	"山开三平仙澄"	"——"	"ʦien443"	"tsʰiɛŋ22"	"——"	
"战"	"山开三去线章"	"ʦiŋ44"	"ʦien31"	"ʦiɛŋ453"	"ʦyn44"	
"折～断"	"山开三入薛章"	"ʦik5"	"ʦiet5"	"a453/ʦiɛk5"	"ʦi453"	
"舌"	"山开三入薛船"	"ʦi42"	"li443"	"ʦi33"	"ʦi42"	
"扇～子"	"山开三去线书"	"ɬi44"	"sua31"	"si21"	"ɬi44"	
"设"	"山开三入薛书"	"ɬik5"	"tsʰiet5"	"siɛk5"	"syt5"	
"善"	"山开三上狝禅"	"ɬiŋ42"	"sien22"	"siɛŋ453"	"ɬyn42"	
"折～本"	"山开三入薛禅"	"ʦik5"	"sit2"	"si453"	"ɬi42"	
"然"	"山开三平仙日"	"iŋ22"	"ien24"	"iɛŋ22"	"jin22"	
"热"	"山开三入薛日"	"jik2"	"jiet2"	"zua22/jiɛk2"	"——"	
"件"	"山开三上狝群"	"kiŋ42"	"kien443"	"kʰiɛŋ33"	"kin42"	
"杰"	"山开三入薛群"	"kik2"	"kit2"	"kiɛk5"	"kit2"	
"孽"	"山开三入薛疑"	"——"	"niep2"	"ŋiɛk5"	"——"	
"延"	"山开三平仙以"	"iŋ22"	"ien22"	"jiɛŋ22"	"jin22"	
"演"	"山开三上狝以"	"iŋ31"	"ien451"	"jiɛŋ22"	"jyn31"	
"建"	"山开三去愿见"	"kiŋ44"	"kien31"	"kiɛŋ21"	"kin44"	
"言"	"山开三平元疑"	"jiŋ22"	"ien24"	"ŋiɛŋ22"	"——"	
"掀"	"山开三平元晓"	"pʰɛŋ53"	"——"	"hiɛŋ24"	"——"	
"献"	"山开三去愿晓"	"hiŋ44"	"hien31"	"hiɛŋ21"	"hin44"	
"歇"	"山开三入月晓"	"hia53"	"tʰau451"	"hia453/hiɛk5"	"hɛ453"	
"边"	"山开四平先帮"	"pai22/ki22"	"pi45"	"pai22/piɛŋ24"	"ɓai33"	
"扁"	"山开四上铣帮"	"——"	"pien451"	"piɛŋ41/piɛŋ453"	"ɓɛn31"	
"遍"	"山开四去霰帮"	"pʰiŋ44"	"pʰien31"	"pʰiɛŋ21"	"——"	
"片"	"山开四去霰滂"	"pʰiŋ44"	"pʰien31"	"pʰiɛŋ21"	"pʰɛn44"	
"撇"	"山开四入屑滂"	"pʰik5"	"pʰiet5"	"pʰiɛk5"	"pʰit5"	
"辫"	"山开四上铣并"	"pʰik5"	"pi45"	"piɛŋ453/pi33"	"ɓin33"	
"面～条"	"山开四去霰明"	"mi33"	"ɓi443"	"mi24"	"mi33"	
"蔑"	"山开四入屑明"	"wi42"	"ɓiet2"	"ɓi24"	"pʰi42"	
"颠"	"山开四平先端"	"tiŋ33"	"tien45"	"tiɛŋ24"	"ɗyn33"	
"天"	"山开四平先透"	"tʰi33"	"tʰi45"	"tʰi24/tʰiɛŋ24"	"tʰi33"	
"铁"	"山开四入屑透"	"tʰi53"	"tʰi451"	"tʰi453"	"tʰi453"	
"田"	"山开四平先定"	"tsʰaŋ22"	"tsʰaŋ24"	"tsʰaŋ22"	"saŋ22"	
"填"	"山开四平先定"	"tsʰaŋ22"	"tʰien24"	"tʰiɛŋ22"	"tʰin22"	
"电"	"山开四去霰定"	"tiŋ42"	"tien443"	"tiɛŋ33"	"ɗin42"	
"垫"	"山开四去霰定"	"tʰiam42"	"tien31"	"tʰiam33/tʰiap5"	"tʰi42/kʰiam33"	
"年"	"山开四平先泥"	"hi22"	"ni24"	"hi22"	"hi22/nin22"	
"捏"	"山开四入屑泥"	"niam53"	"niu451"	"tɛ22"	"——"	
"莲"	"山开四平先来"	"liŋ22"	"lien24"	"liɛŋ22"	"lyn22"	
"炼"	"山开四去霰来"	"liŋ42"	"lien443"	"liɛŋ33"	"lyn33"	
"节"	"山开四入屑精"	"ʦik5"	"ʦiet5"	"ʦoi453/ʦiɛk5"	"tɛi453"	
"千"	"山开四平先清"	"tsʰai33"	"tsʰan45"	"tsʰai24"	"sai33"	
"切"	"山开四入屑清"	"tsʰik5"	"tsʰiet5"	"ʦoi453/tsʰiɛk5"	"tɛi33"	
"前"	"山开四平先从"	"ʦai22"	"ʦieŋ24"	"ʦai22"	"tai22"	
"先"	"山开四平先心"	"ɬai33"	"sien45"	"siɛŋ24"	"ɬai33/ɬin33"	
"肩"	"山开四平先见"	"kai33"	"kien45"	"kiɛŋ24"	"kin453"	
"见"	"山开四去霰见"	"ki44"	"kien31"	"ki21"	"ki44"	
"结"	"山开四入屑见"	"kik5"	"kiet5"	"kiɛk5"	"kit5"	
"牵"	"山开四平先溪"	"kʰaŋ33"	"hien45"	"kʰaŋ24"	"kʰaŋ33"	
